@relation 'MLC'

@attribute F1_MEAN_on_ACC_V2 numeric
@attribute F2_MEAN_on_filter_BP_on_A_V2 numeric
@attribute F3_VAR_on_ACC_V2 numeric
@attribute F4_VAR_on_filter_BP_on_A_V2 numeric
@attribute F5_ENERGY_on_ACC_V2 numeric
@attribute F6_ENERGY_on_filter_BP_on_A_V2 numeric
@attribute F7_PeakToPeak_on_ACC_V2 numeric
@attribute F8_PeakToPeak_on_filter_BP_on_A_V2 numeric
@attribute F9_ZeroCross_on_ACC_V2 numeric
@attribute F10_ZeroCross_on_filter_BP_on_A_V2 numeric
@attribute F11_PeaKDet_on_ACC_V2 numeric
@attribute F12_PeaKDet_on_filter_BP_on_A_V2 numeric
@attribute F13_MIN_on_ACC_V2 numeric
@attribute F14_MIN_on_filter_BP_on_A_V2 numeric
@attribute F15_MAX_on_ACC_V2 numeric
@attribute F16_MAX_on_filter_BP_on_A_V2 numeric
@attribute class {stationary, walking, running, cycling}

@data
1.01465, -0.0121689, 0.0263672, 0.00727463, 63.3125, 0.445068, 0.771973, 0.422607, 26, 16, 30, 12, 0.656738, -0.267578, 1.42871, 0.155029, stationary
1.12598, 0.0112152, 0.107422, 0.0234985, 82.4375, 1.41602, 1.49414, 0.782227, 30, 18, 25, 12, 0.693359, -0.34375, 2.1875, 0.438232, stationary
0.977051, -0.000151634, 0.0244141, 0.00371933, 58.6875, 0.223022, 0.771973, 0.240845, 24, 20, 26, 16, 0.644043, -0.140625, 1.41602, 0.100159, stationary
0.999023, -0.00155258, 0.0341797, 0.0016346, 61.9063, 0.0981445, 1.07715, 0.174072, 52, 12, 35, 22, 0.589355, -0.0819092, 1.66602, 0.0921631, stationary
1.28516, 0.04953, 0.682617, 0.48584, 140, 29.2813, 3.53711, 2.67578, 24, 14, 11, 7, 0.317871, -1.31543, 3.85547, 1.36035, walking
1.30957, 0.0395203, 1.48242, 0.697754, 191.75, 41.9375, 5.59375, 3.22656, 14, 14, 10, 10, 0.180054, -1.41504, 5.77344, 1.81055, walking
1.25195, -0.0136566, 0.950195, 0.780762, 151, 46.8125, 4.42969, 3.02539, 18, 16, 9, 8, 0.0948486, -1.36914, 4.52344, 1.65527, walking
1.35645, 0.000716686, 1.06445, 0.22229, 174.125, 13.3281, 5.03906, 1.84961, 12, 16, 10, 7, 0.147949, -0.780762, 5.1875, 1.06836, walking
1.33496, -0.0555725, 1.59082, 1.15234, 202.25, 69.25, 4.64844, 3.57031, 16, 16, 12, 8, 0.108459, -1.67285, 4.75781, 1.89648, walking
1.48242, 0.0861206, 1.51953, 0.681641, 222.875, 41.3125, 4.51953, 3.04102, 18, 16, 13, 9, 0.165161, -1.44629, 4.68359, 1.59473, walking
1.07129, -0.101135, 0.678711, 0.404785, 109.5, 24.8906, 3.59766, 2.77539, 16, 12, 12, 7, 0.0726318, -1.35742, 3.66992, 1.41797, walking
1.37402, 0.0198975, 1.5459, 1.02637, 205.875, 61.5313, 6.22266, 3.64844, 16, 16, 15, 8, 0.200562, -1.67969, 6.42188, 1.96777, walking
1.52148, -0.00105858, 1.35742, 0.533203, 220.125, 31.9688, 5.26172, 2.74609, 20, 18, 18, 8, 0.290527, -1.31348, 5.55078, 1.43164, walking
1.59277, 0.11145, 1.98633, 0.736816, 271.25, 44.9063, 7.10547, 3.92969, 16, 12, 13, 7, 0.126953, -1.82617, 7.23047, 2.10352, walking
1.54395, -0.0290833, 2.33203, 1.7207, 282.75, 103.25, 6.76953, 4.16406, 14, 16, 12, 8, 0.0536804, -1.98438, 6.82422, 2.17969, walking
1.32031, -0.0549011, 1.57715, 0.885742, 199.125, 53.2813, 5.21875, 3.35156, 22, 18, 12, 9, 0.20874, -1.44141, 5.42578, 1.91016, walking
1.10547, -0.0352173, 0.807617, 0.21814, 121.688, 13.1563, 4.83594, 2.45117, 24, 14, 15, 8, 0.115234, -1.13281, 4.94922, 1.31738, walking
1.40527, 0.0623779, 1.63086, 0.444092, 216.125, 26.8594, 5.01953, 1.98926, 26, 20, 13, 11, 0.0811768, -0.916504, 5.10156, 1.07227, walking
1.1709, -0.0551147, 0.925781, 0.512695, 137.75, 30.9219, 4.87109, 2.82617, 12, 16, 8, 7, 0.244385, -1.33398, 5.11719, 1.49219, walking
1.35938, 0.0738525, 1.375, 0.669434, 193.25, 40.4688, 4.96875, 2.93164, 14, 12, 10, 9, 0.16272, -1.42676, 5.13281, 1.50391, walking
1.27441, -0.0531616, 0.987305, 0.617676, 156.625, 37.2188, 3.87695, 3.16211, 18, 18, 14, 8, 0.247681, -1.57129, 4.125, 1.59082, walking
1.14746, -0.0204163, 0.845703, 0.35791, 129.625, 21.4844, 4.94141, 2.75391, 12, 14, 14, 7, 0.233643, -1.3623, 5.17578, 1.3916, walking
1.25293, -0.0140533, 1.25, 0.6875, 169.125, 41.2188, 4.95703, 3.16016, 16, 14, 16, 10, 0.170532, -1.48535, 5.12891, 1.67383, walking
1.38867, 0.0524292, 1.63379, 0.55957, 213.625, 33.7188, 5.11719, 3.11523, 20, 20, 12, 9, 0.130493, -1.44336, 5.24609, 1.6709, walking
1.31348, -0.0431213, 1.65137, 0.484619, 202.5, 29.1719, 4.54688, 2.26953, 20, 20, 15, 11, 0.108459, -1.03711, 4.65625, 1.23242, walking
1.25293, 0.0283356, 0.814453, 0.468262, 143, 28.125, 4.07031, 2.96094, 14, 14, 10, 6, 0.353027, -1.37793, 4.42188, 1.58203, walking
1.17285, -0.046936, 1.16113, 0.460449, 152.125, 27.7344, 5.49609, 2.67188, 22, 14, 14, 10, 0.157715, -1.29102, 5.65234, 1.37988, walking
1.42871, 0.0507813, 1.99023, 1.23535, 241.625, 74.25, 6.28906, 3.88672, 16, 16, 11, 7, 0.112427, -1.83887, 6.40234, 2.04688, walking
1.44531, 0.0166321, 1.68945, 1.14063, 226.625, 68.375, 5.69531, 3.79297, 20, 16, 17, 8, 0.161377, -1.70313, 5.85547, 2.08984, walking
1.11719, -0.0252838, 0.652344, 0.278564, 113.938, 16.75, 3.59375, 2.34766, 20, 12, 13, 8, 0.282471, -1.19922, 3.87695, 1.14844, walking
1.32031, 0.0509338, 1.16113, 0.755371, 174.125, 45.4375, 3.72852, 2.85742, 14, 14, 10, 8, 0.217896, -1.3877, 3.94727, 1.46875, walking
1.31934, 0.00454712, 0.955078, 0.457764, 161.625, 27.4531, 4.43359, 2.63867, 16, 18, 17, 8, 0.438232, -1.16309, 4.87109, 1.47461, walking
1.12305, -0.00216675, 0.796875, 0.333008, 123.375, 19.9688, 4.47656, 2.81836, 14, 16, 16, 10, 0.209351, -1.3291, 4.6875, 1.48828, walking
1.40527, -0.0282898, 2.2793, 1.2373, 255, 74.25, 7.20313, 3.73438, 16, 16, 18, 8, 0.119263, -1.74707, 7.32422, 1.98633, walking
1.38867, 0.0733643, 1.17676, 0.471924, 186.25, 28.625, 5.36328, 2.54688, 16, 16, 12, 9, 0.234375, -1.20313, 5.59766, 1.34277, walking
1.2627, 0.00343704, 1.38184, 0.613281, 178.5, 36.7813, 4.70703, 3.30273, 18, 14, 9, 6, 0.171753, -1.5293, 4.87891, 1.77246, walking
1.26758, -0.00949097, 1.48535, 1.01953, 185.375, 61.125, 4.71484, 3.31641, 16, 16, 14, 8, 0.119568, -1.62305, 4.83594, 1.69336, walking
1.37109, 0.00440979, 1.40137, 0.60498, 196.75, 36.2813, 5.29688, 3.26367, 20, 16, 13, 8, 0.242188, -1.55762, 5.53906, 1.70605, walking
1.11426, -0.0756836, 1.2002, 0.612793, 146.375, 37.0938, 4.0625, 3.08203, 12, 12, 10, 9, 0.128174, -1.41699, 4.19141, 1.66504, walking
1.43555, 0.0246277, 1.95117, 1.09766, 240.5, 65.875, 5.63281, 3.50195, 18, 18, 12, 8, 0.0566711, -1.59375, 5.6875, 1.90723, walking
1.26367, 0.013649, 0.764648, 0.277344, 141.625, 16.6406, 3.86914, 2.24219, 18, 16, 12, 8, 0.271973, -0.794922, 4.14063, 1.44727, walking
1.25195, 0.0154724, 1.11035, 0.509766, 160.5, 30.5781, 4.10938, 2.80469, 14, 16, 16, 8, 0.262939, -1.3584, 4.37109, 1.44629, walking
1.50391, 0.0240936, 1.49023, 0.818848, 225, 49.125, 5.54297, 3.44727, 18, 16, 15, 9, 0.218872, -1.59277, 5.76172, 1.85352, walking
1.17773, -0.0390625, 0.976563, 0.490234, 141.75, 29.4844, 5.82813, 3.26563, 12, 14, 13, 9, 0.247559, -1.57031, 6.07422, 1.69531, walking
1.14453, -0.0289154, 0.879883, 0.463623, 131.25, 27.8438, 3.86328, 2.56641, 12, 12, 16, 8, 0.225708, -1.26563, 4.08984, 1.2998, walking
1.3623, 0.0497131, 0.814453, 0.58252, 160.125, 35.0625, 3.74609, 2.56445, 16, 16, 13, 7, 0.286133, -1.26465, 4.03125, 1.29883, walking
1.35254, -0.0211182, 0.922852, 0.286621, 165, 17.2188, 4.96484, 1.91309, 20, 16, 12, 9, 0.206177, -0.977051, 5.17188, 0.936035, walking
1.18652, -0.0263672, 1.2832, 0.633301, 161.375, 38, 4.07422, 2.87695, 14, 14, 15, 10, 0.227173, -1.44043, 4.30078, 1.43555, walking
1.37305, -0.0052681, 1.42871, 1.05566, 198.75, 63.3125, 4.48438, 3.18359, 14, 14, 11, 8, 0.199097, -1.50488, 4.68359, 1.67773, walking
1.23535, 0.0508118, 0.538086, 0.354004, 123.75, 21.3906, 3.42383, 2.49219, 18, 14, 17, 6, 0.353271, -1.29395, 3.77734, 1.19824, walking
1.23926, 0.041687, 1.01855, 0.483398, 153.125, 29.0938, 3.80859, 2.85547, 14, 14, 13, 9, 0.174438, -1.41113, 3.98242, 1.44336, walking
1.31445, -0.0362244, 0.920898, 0.614258, 158.75, 36.9063, 4.23828, 2.65625, 14, 14, 16, 7, 0.341064, -1.27832, 4.57813, 1.37695, walking
1.30176, -0.042511, 0.821289, 0.485352, 150.875, 29.2031, 3.9375, 2.53125, 16, 16, 17, 8, 0.308105, -1.2041, 4.24609, 1.32715, walking
1.48242, 0.0817871, 1.55078, 0.735352, 224.75, 44.5, 4.75781, 2.73828, 16, 16, 15, 9, 0.220093, -1.23633, 4.97656, 1.50098, walking
1.12207, -0.0271454, 0.333984, 0.261963, 95.5, 15.75, 2.16211, 2.20508, 18, 12, 16, 10, 0.345215, -1.36328, 2.50781, 0.841797, walking
1.21875, -0.0552673, 1.18652, 0.504395, 160.25, 30.4063, 5.81641, 2.74023, 14, 14, 17, 9, 0.178345, -1.40918, 5.99609, 1.33105, walking
1.33691, 0.0422363, 1.24609, 0.834961, 181.875, 50.1875, 4.26563, 2.92969, 16, 16, 14, 7, 0.341309, -1.39941, 4.60547, 1.5293, walking
1.37305, -0.0260315, 1.24512, 0.561523, 187.75, 33.6875, 5.37109, 2.88281, 20, 16, 19, 9, 0.241089, -1.40137, 5.61328, 1.48145, walking
1.13184, -0.0234222, 1.10938, 0.460205, 143.375, 27.625, 5.69531, 3.44922, 12, 14, 11, 8, 0.119812, -1.57031, 5.81641, 1.87891, walking
1.31543, 0.0153198, 1.0957, 0.69043, 169.5, 41.4063, 3.73828, 2.66797, 16, 16, 14, 8, 0.230713, -1.28223, 3.96875, 1.38574, walking
1.91406, 0.0673828, 11.4063, 2.04883, 903.5, 123.063, 24.3594, 6.05859, 18, 14, 30, 10, 0.0233002, -2.47461, 24.375, 3.58398, walking
2.625, 0.117126, 32.9063, 3.86719, 2386, 232.75, 37.8125, 9.91406, 28, 14, 43, 11, 0.0099411, -3.79297, 37.8125, 6.11719, walking
2.23242, -0.183716, 16.0781, 3.03711, 1263, 184.125, 24, 7.11719, 22, 12, 39, 11, 0.00769806, -3.23828, 24, 3.87695, walking
1.8916, 0.0637817, 10.7734, 2.87891, 860.5, 172.875, 19.2188, 7.59766, 20, 14, 37, 9, 0.0183258, -3.07813, 19.2344, 4.51953, walking
3.15039, 0.128906, 53.1563, 5.09375, 3782, 306.25, 48.4063, 12.6328, 32, 14, 31, 8, 0.0133057, -4.89063, 48.4063, 7.73828, walking
2.39258, -0.196533, 12.5156, 4.99609, 1093, 302, 22.1406, 9.48438, 16, 12, 30, 9, 0.0132599, -5.35938, 22.1563, 4.12109, walking
1.77734, 0.0542297, 8.48438, 1.05078, 698, 63.1563, 21.6563, 5.64063, 16, 12, 30, 11, 0.0187378, -2.09766, 21.6719, 3.54297, walking
2.30078, 0.153809, 16.0469, 2.73633, 1280, 165.5, 21.4219, 6.71484, 32, 18, 34, 10, 0.00381851, -2.625, 21.4219, 4.08984, walking
2.20703, -0.144531, 20.3438, 3.3125, 1512, 199.875, 34.7188, 9.3125, 24, 12, 37, 10, 0.001688, -3.8457, 34.7188, 5.46484, walking
2.31641, -0.0946655, 20.6875, 3.83203, 1562, 230.375, 25.7344, 8.94531, 24, 14, 48, 7, 0.0124359, -4.08594, 25.75, 4.85547, walking
2.58203, 0.138916, 19.875, 4.87109, 1592, 293.25, 22.9688, 10.2109, 20, 12, 35, 12, 0.0093689, -4.46875, 22.9844, 5.73828, walking
2.14063, -0.0449829, 3.87891, 1.16113, 507.25, 69.75, 10.5391, 4.07813, 24, 14, 26, 11, 0.0509949, -1.93848, 10.5938, 2.13867, walking
2.15625, -0.0412598, 15.4297, 2.45508, 1204, 147.375, 22.4531, 6.92969, 36, 14, 34, 9, 0.0257568, -2.86914, 22.4844, 4.05859, walking
2.24805, 0.0667725, 11.9766, 2.2168, 1021.5, 133.125, 19.5625, 7.04297, 26, 12, 28, 12, 0.0175781, -3.00391, 19.5781, 4.03906, walking
2.20898, -0.0367432, 7.84766, 2.29883, 763, 138, 15.1953, 6.51953, 26, 14, 36, 9, 0.0138016, -2.99609, 15.2109, 3.52148, walking
2.21094, -0.0670166, 17.3906, 2.61328, 1336, 156.875, 26.0156, 7.03125, 30, 14, 37, 11, 0.0298157, -3.00781, 26.0469, 4.02344, walking
2.27734, 0.0568848, 12.625, 2.83984, 1068, 170.5, 19.2188, 7.14844, 30, 12, 34, 9, 0.00845337, -2.95703, 19.2344, 4.19141, walking
2.42383, 0.104736, 11.8125, 1.81738, 1061, 109.625, 21.1563, 5.55469, 26, 12, 29, 10, 0.0561523, -2.41797, 21.2188, 3.13672, walking
1.77832, -0.134888, 8.75781, 1.85156, 715, 112.125, 18.4531, 5.58984, 22, 14, 36, 7, 0.014183, -2.32617, 18.4688, 3.26367, walking
2.09766, -0.0436096, 11.1875, 2.38281, 934.5, 143, 16.8906, 6.27734, 20, 12, 41, 10, 0.000573635, -2.93945, 16.8906, 3.33594, walking
2.5957, 0.157959, 44.2813, 6.28906, 3060, 378.5, 48.3125, 13.6484, 18, 14, 34, 10, 0.0389099, -5.56641, 48.3438, 8.07813, walking
2.51953, -0.0304413, 20.9219, 4.53906, 1635, 272.25, 31.875, 10.0781, 32, 14, 36, 11, 0.0363464, -4.05469, 31.9063, 6.01953, walking
2.02344, -0.0793457, 6.80469, 1.84863, 653.5, 111.188, 12.1953, 5.44141, 18, 14, 37, 9, 0.0379028, -2.33008, 12.2344, 3.11133, walking
2.3418, 0.0895386, 9.03906, 1.70605, 871, 102.75, 16.5156, 5.38281, 30, 12, 36, 9, 0.0114212, -2.37891, 16.5313, 3.00195, walking
2.01953, -0.0872192, 13.3906, 2.46484, 1047, 148.25, 25.4219, 7.66797, 22, 14, 27, 7, 0.00180626, -3.25, 25.4219, 4.41797, walking
2.04297, 0.000634193, 4.32813, 0.816406, 509.75, 48.9375, 10.2344, 3.75195, 20, 18, 21, 8, 0.053009, -1.49121, 10.2891, 2.25977, walking
2.23828, 0.0604858, 16.3594, 1.95215, 1282, 117.313, 22.8281, 6.30469, 22, 12, 34, 11, 0.00464249, -2.61133, 22.8281, 3.69141, walking
1.69043, -0.0203552, 3.13867, 0.480469, 359.5, 28.8438, 10.5469, 3.3418, 26, 14, 29, 10, 0.00235558, -1.38477, 10.5469, 1.95703, walking
2.04688, -0.0839233, 7.45703, 1.375, 698.5, 82.875, 17.6094, 5.24219, 42, 12, 30, 12, 0.00576782, -1.8916, 17.6094, 3.34766, walking
2.06445, -0.10321, 14.7734, 2.58594, 1141, 155.625, 25.0781, 7.39453, 16, 12, 35, 11, 0.0317688, -3.21289, 25.1094, 4.17969, walking
2.04688, 0.203003, 7.78516, 1.99805, 718, 122.25, 15.5391, 5.26563, 22, 14, 42, 7, 0.00464249, -2.23047, 15.5469, 3.03516, walking
1.64844, -0.090271, 2.86914, 0.763672, 335, 46.2813, 8.85156, 3.80859, 22, 18, 31, 14, 0.0755005, -1.86621, 8.92969, 1.94238, walking
2.3125, -0.0296173, 13.7969, 2.42578, 1148, 145.5, 27.7031, 8.29688, 24, 14, 30, 9, 0.0400391, -3.23438, 27.75, 5.0625, walking
1.94922, -0.0420532, 15.9688, 2.57031, 1185, 154.25, 25.3125, 8.16406, 20, 14, 33, 6, 0.0053215, -3.64258, 25.3125, 4.51953, walking
2.10938, 0.0415649, 7.11328, 1.66406, 693.5, 99.875, 15.1875, 5.375, 32, 12, 32, 9, 0.0158386, -2.00781, 15.2031, 3.36719, walking
2.85938, 0.102844, 11.3516, 1.71484, 1171, 103.438, 20.4063, 6.54688, 30, 18, 35, 14, 0.0402832, -2.75, 20.4531, 3.79492, walking
2.25781, -0.161865, 24.5938, 3.39648, 1780, 205.125, 29.3281, 8.04688, 34, 12, 28, 9, 0.0119934, -3.57617, 29.3438, 4.46875, walking
2.19727, 0.00526428, 12.25, 2.58984, 1024, 155.25, 21.4688, 6.65234, 28, 14, 32, 10, 0.00296783, -2.72852, 21.4688, 3.92188, walking
2.16602, 0.155762, 5.05859, 1.18848, 584.5, 72.75, 10.0469, 3.94531, 34, 18, 30, 9, 0.0210419, -1.69629, 10.0703, 2.24805, walking
1.86523, -0.108582, 4.55469, 1.43262, 481.5, 86.625, 10.7344, 4.96094, 38, 14, 27, 7, 0.0110397, -2.21875, 10.7422, 2.74023, walking
2.28711, -0.0587769, 15.0703, 2.97266, 1217, 178.5, 20.125, 7.05469, 20, 14, 41, 10, 0.0195923, -2.75977, 20.1406, 4.29297, walking
2.08789, 0.133301, 8.26563, 1.53223, 757, 92.9375, 21.4688, 6.51172, 30, 12, 31, 9, 0.0439453, -2.73438, 21.5156, 3.77539, walking
1.69336, -0.0279694, 3.78906, 1.02051, 399, 61.25, 9.8125, 4.64844, 34, 12, 33, 10, 0.0254669, -1.93457, 9.83594, 2.71289, walking
1.81641, -0.0610352, 2.20117, 0.378662, 329.75, 22.9219, 5.86719, 2.40625, 24, 14, 23, 15, 0.0661011, -1.02148, 5.93359, 1.38379, walking
1.93066, 0.0313721, 4.63281, 0.786133, 501, 47.1875, 11.9766, 4.46484, 34, 18, 24, 10, 0.0263367, -1.94824, 12, 2.51563, walking
2.41211, 0.0610657, 10.1406, 2.15625, 956.5, 129.5, 14.6016, 5.77344, 36, 14, 29, 11, 0.0117188, -2.50195, 14.6094, 3.27148, walking
2.16406, -0.103088, 8.84375, 3.00781, 811, 180.875, 13.5859, 8.15625, 28, 12, 37, 9, 0.00761795, -3.74805, 13.5938, 4.40625, walking
1.85059, 0.0218658, 4.85156, 1.06641, 496, 63.9375, 11.4609, 4.53906, 28, 14, 31, 8, 0.00966644, -2.0625, 11.4688, 2.47461, walking
2.11328, 0.0845337, 5.86328, 1.70996, 619.5, 102.938, 11.1719, 5.15234, 22, 12, 21, 9, 0.00195313, -2.34766, 11.1719, 2.80273, walking
2.22266, -0.0065155, 8.48438, 1.95605, 805, 117.313, 16.9688, 6.6875, 34, 14, 31, 8, 0.00607681, -2.8418, 16.9688, 3.8457, walking
1.82422, -0.122131, 8.60156, 1.78906, 715.5, 108.125, 19.2188, 5.36328, 32, 12, 31, 9, 0.0223236, -2.41992, 19.2344, 2.94336, walking
1.79492, 0.0260925, 3.98828, 1.23633, 432.25, 74.1875, 11.2344, 4.89844, 16, 14, 34, 8, 0.00275612, -2.08984, 11.2344, 2.80859, walking
2.58594, 0.12439, 10.75, 3.07617, 1046, 185.375, 18.4844, 8.21094, 22, 12, 30, 9, 0.0168304, -3.62695, 18.5, 4.58203, walking
2.65234, 0.0203552, 29.8125, 3.83398, 2210, 229.875, 35.0938, 9.23438, 34, 14, 33, 10, 0.0136719, -3.57031, 35.0938, 5.66406, walking
1.92969, -0.141479, 5.68359, 2.15039, 564, 130.125, 13.6797, 5.89063, 24, 12, 26, 9, 0.00952148, -2.74023, 13.6875, 3.15039, walking
1.86621, -0.00372124, 4.57422, 0.905762, 483, 54.3125, 9.89063, 3.89453, 32, 14, 25, 12, 0.00400925, -1.69238, 9.89063, 2.20117, walking
2.02344, -0.161377, 11.2344, 2.28125, 919, 138.25, 18.2813, 6.1875, 30, 14, 37, 7, 0.00648499, -2.57031, 18.2813, 3.61523, walking
2.09766, -0.00213432, 9.86719, 2.54102, 855.5, 152.375, 19.0938, 8.50781, 12, 14, 41, 8, 0.0258942, -3.79297, 19.125, 4.71484, walking
2.01953, 0.0869141, 8.80469, 1.86133, 772.5, 112.063, 16.1563, 5.52734, 30, 12, 39, 9, 0.0363464, -2.25, 16.1875, 3.27734, walking
2.00195, 0.0372009, 4.30469, 0.839355, 498.5, 50.4063, 8.89063, 3.85938, 26, 18, 35, 8, 0.0279541, -1.5752, 8.92188, 2.2832, walking
1.91797, -0.123962, 8.24219, 1.70605, 715, 103.25, 21.4219, 5.97266, 20, 12, 30, 7, 0.00269508, -2.3418, 21.4219, 3.62891, walking
2.05469, 0.0465088, 20.4375, 2.33789, 1478, 140.25, 33.5938, 8.42969, 28, 14, 25, 9, 0.0285645, -3.01367, 33.625, 5.41016, walking
2.67188, 0.178711, 24.7344, 2.82031, 1911, 171, 33.9375, 8.4375, 28, 14, 22, 10, 0.00121307, -2.79297, 33.9375, 5.64453, walking
2.25, -0.200439, 8.53906, 2.75195, 815.5, 167.5, 17.125, 7.08203, 24, 12, 37, 11, 0.0379944, -3.64648, 17.1563, 3.43555, walking
1.94629, -0.0161438, 7.98828, 1.65234, 706, 99.0625, 16.1094, 5.89844, 34, 14, 37, 10, 0.0151443, -2.32031, 16.125, 3.57617, walking
2.20898, 0.0527649, 11.3594, 2.41211, 973, 144.75, 23.125, 6.91797, 28, 12, 32, 10, 0.00278473, -2.5625, 23.125, 4.35547, walking
2.08203, 0.0931396, 4.01563, 0.72168, 500.75, 43.8125, 8.80469, 3.38086, 24, 14, 27, 11, 0.00884247, -1.12012, 8.8125, 2.25977, walking
1.78418, -0.140625, 6.60547, 2.26758, 587, 137.125, 14.9141, 6.30078, 22, 12, 28, 7, 0.052887, -2.75586, 14.9688, 3.54297, walking
1.78418, -0.0388184, 5.98047, 1.41699, 549.5, 85.0625, 13.1406, 5.09766, 20, 14, 31, 10, 0.00788879, -2.10938, 13.1484, 2.98828, walking
2.41602, 0.118103, 11.6641, 2.08008, 1049, 125.563, 21.7813, 6.51953, 26, 12, 30, 10, 0.0111008, -2.8125, 21.7969, 3.70508, walking
2.4082, -0.00823975, 15.5, 2.22852, 1277, 133.625, 26.8594, 7.61328, 32, 14, 22, 10, 0.0349121, -3.01367, 26.8906, 4.59766, walking
2.16406, -0.123352, 9.63281, 2.57617, 858, 155.375, 12.8047, 5.91406, 26, 12, 32, 10, 0.00403595, -2.80859, 12.8125, 3.10547, walking
2.44922, 0.118835, 13.2969, 2.17383, 1157, 131.125, 24.7813, 7.49219, 34, 14, 26, 8, 0.0251617, -3.05273, 24.8125, 4.4375, walking
2.39648, 0.0924683, 11.4766, 2.51172, 1032, 151.125, 19.2969, 6.61328, 30, 14, 27, 9, 0.0100327, -2.92578, 19.3125, 3.6875, walking
2.03711, -0.110168, 9.49219, 1.85938, 818, 112.188, 20.5469, 6.30469, 32, 12, 32, 10, 0.0412598, -2.69727, 20.5938, 3.60742, walking
1.87793, -0.0678711, 11.5625, 2.32813, 904.5, 139.875, 19.8906, 6.45703, 28, 14, 33, 9, 0.00967407, -2.57813, 19.9063, 3.87695, walking
2.15625, 0.0841064, 7.64844, 1.85449, 737.5, 111.625, 12.9453, 6.45313, 32, 16, 35, 13, 0.0562134, -2.74219, 13, 3.71094, walking
2.20313, -0.00823975, 5.59766, 1.66992, 627, 100.125, 14.6875, 6.21875, 32, 14, 32, 9, 0.0184784, -2.66797, 14.7031, 3.55078, walking
2.23047, -0.0789795, 11.6484, 2.79883, 997, 168.125, 15.6719, 7.03906, 24, 12, 42, 10, 0.00971222, -3.3457, 15.6797, 3.69336, walking
2.24805, 0.00777435, 15.3984, 2.43555, 1226, 146, 28.7188, 8.24219, 28, 14, 34, 8, 0.0233612, -3.60938, 28.7344, 4.63281, walking
2.68359, 0.131714, 20.9531, 3.62305, 1688, 218.25, 28.0313, 8.70313, 38, 12, 38, 10, 0.0385742, -3.72852, 28.0625, 4.97266, walking
2.85938, -0.000846863, 34.6875, 5.02734, 2570, 301.5, 38.7188, 11.8125, 26, 14, 24, 9, 0.00901031, -4.74219, 38.7188, 7.06641, walking
2.09961, -0.123413, 4.58984, 2.51172, 539.5, 151.5, 10.375, 7.34375, 32, 12, 25, 9, 0.00204086, -4.75, 10.375, 2.5918, walking
2.62695, 0.0116196, 19.5156, 2.60352, 1584, 156.125, 25.4063, 7.48438, 36, 14, 32, 10, 0.0211639, -3.44141, 25.4219, 4.04297, walking
1.93066, 0.0446777, 5.13281, 1.58789, 531, 95.3125, 11.4844, 5.63281, 20, 14, 33, 9, 0.00426865, -2.48047, 11.4922, 3.15039, walking
1.35645, -0.0620117, 0.552734, 0.403076, 143.5, 24.4063, 3.06445, 2.03711, 12, 12, 13, 7, 0.176392, -1.18066, 3.24023, 0.855469, walking
1.35156, -0.0178528, 0.633789, 0.26416, 147.5, 15.8594, 3.11719, 2.08398, 12, 10, 14, 8, 0.241211, -1.0918, 3.35742, 0.991699, walking
1.57813, 0.00610733, 1.28516, 0.51123, 226.375, 30.6406, 4.69531, 2.40234, 12, 12, 11, 8, 0.100647, -1.19531, 4.79688, 1.20605, walking
1.49023, 0.0261383, 1.95117, 0.635254, 250.125, 38.125, 6.90234, 3.13086, 12, 12, 8, 8, 0.10321, -1.63867, 7.00391, 1.49121, walking
1.27051, 0.00156116, 0.485352, 0.194702, 125.875, 11.6719, 3.0918, 1.51367, 16, 12, 15, 6, 0.302734, -0.837891, 3.39453, 0.675781, walking
1.43359, -0.00445557, 0.875, 0.416016, 175.625, 24.9375, 4.03516, 2.32031, 14, 14, 14, 6, 0.280518, -1.22461, 4.31641, 1.09473, walking
1.62305, 0.023819, 0.8125, 0.503418, 206.75, 30.2188, 3.41992, 2.41992, 14, 14, 11, 7, 0.330078, -1.30469, 3.75, 1.11426, walking
1.56934, -0.0176392, 1.30664, 0.863281, 226, 51.7813, 3.81836, 2.86719, 14, 14, 9, 7, 0.189819, -1.41113, 4.00781, 1.45605, walking
1.77734, 0.0778809, 2.13867, 1.07617, 317.5, 64.875, 6.24219, 3.27148, 14, 14, 11, 7, 0.134399, -1.61328, 6.375, 1.65723, walking
1.08984, -0.0782471, 0.416992, 0.287354, 96.1875, 17.5938, 3.24805, 2.33008, 8, 14, 17, 9, 0.27832, -1.59668, 3.52539, 0.73291, walking
1.5625, -0.0159912, 1.37695, 0.478271, 229, 28.6875, 3.91211, 2.53906, 10, 12, 13, 7, 0.220825, -1.14746, 4.13281, 1.3916, walking
1.42871, 0.0188446, 3.10742, 0.763672, 308.75, 45.8125, 9.49219, 4.69531, 14, 16, 11, 9, 0.189941, -2.36328, 9.67969, 2.33203, walking
1.31836, 0.0211945, 0.525391, 0.177612, 135.75, 10.6797, 3.24609, 1.78906, 14, 14, 17, 7, 0.578613, -1.01758, 3.82422, 0.771484, walking
1.40137, -0.0543213, 1.28418, 0.592285, 194.75, 35.6875, 4.15234, 2.58789, 12, 12, 8, 7, 0.188965, -1.25586, 4.33984, 1.33203, walking
