@relation 'MLC'

@attribute F1_MEAN_on_ACC_V2 numeric
@attribute F2_MEAN_on_filter_BP_on_A_V2 numeric
@attribute F3_VAR_on_ACC_V2 numeric
@attribute F4_VAR_on_filter_BP_on_A_V2 numeric
@attribute F5_ENERGY_on_ACC_V2 numeric
@attribute F6_ENERGY_on_filter_BP_on_A_V2 numeric
@attribute F7_PeakToPeak_on_ACC_V2 numeric
@attribute F8_PeakToPeak_on_filter_BP_on_A_V2 numeric
@attribute F9_ZeroCross_on_ACC_V2 numeric
@attribute F10_ZeroCross_on_filter_BP_on_A_V2 numeric
@attribute F11_PeaKDet_on_ACC_V2 numeric
@attribute F12_PeaKDet_on_filter_BP_on_A_V2 numeric
@attribute F13_MIN_on_ACC_V2 numeric
@attribute F14_MIN_on_filter_BP_on_A_V2 numeric
@attribute F15_MAX_on_ACC_V2 numeric
@attribute F16_MAX_on_filter_BP_on_A_V2 numeric
@attribute class {stationary, walking, running, cycling}

@data
1.00098, -3.06368e-05, 0, 4.23193e-06, 60, 0.000252724, 0.0449219, 0.00870514, 70, 26, 40, 18, 0.977539, -0.0047493, 1.02246, 0.00395584, stationary
0.993652, -0.0041275, 0.00195313, 0.00028038, 59.3125, 0.0178223, 0.342285, 0.0926514, 48, 22, 34, 15, 0.747559, -0.0730591, 1.08984, 0.0195618, stationary
1.01465, 0.00367546, 0.0126953, 0.00355339, 62.5, 0.213867, 0.789551, 0.305176, 46, 16, 30, 11, 0.80127, -0.159302, 1.59082, 0.145752, stationary
0.998535, 0.000182152, 0, 3.57628e-06, 59.7813, 0.000216246, 0.0551758, 0.00787354, 12, 10, 42, 19, 0.970215, -0.00364876, 1.02539, 0.00421906, stationary
0.999023, -0.000188231, 0.000976563, 5.72205e-06, 59.9063, 0.000345469, 0.046875, 0.00852966, 62, 20, 41, 21, 0.97168, -0.004879, 1.01855, 0.00364876, stationary
0.99707, -0.000223994, 0, 8.10623e-06, 59.5, 0.000490665, 0.0546875, 0.0141525, 44, 22, 40, 18, 0.969727, -0.00641632, 1.02441, 0.00773621, stationary
1.00098, 5.25117e-05, 0, 1.07288e-05, 60.0938, 0.000644207, 0.0463867, 0.0125732, 56, 14, 45, 19, 0.973145, -0.00553894, 1.01953, 0.0070343, stationary
1.00098, -0.000149727, 0, 9.47714e-06, 59.875, 0.000566959, 0.0483398, 0.0149078, 56, 20, 37, 20, 0.971191, -0.00751877, 1.01953, 0.00738525, stationary
1.00098, -0.000171065, 0, 6.73532e-06, 59.875, 0.00040555, 0.0507813, 0.0111237, 70, 24, 40, 21, 0.973633, -0.00562668, 1.02441, 0.00549316, stationary
1.00098, -7.76649e-05, 0, 7.27177e-06, 59.8438, 0.000436306, 0.0473633, 0.0121765, 52, 22, 40, 29, 0.977051, -0.00615311, 1.02441, 0.00602341, stationary
0.999512, -0.000240922, 0, 5.42402e-06, 59.8125, 0.00033021, 0.0581055, 0.012001, 42, 28, 43, 19, 0.972168, -0.00624084, 1.03027, 0.00576019, stationary
0.998535, 9.11951e-06, 0, 7.27177e-06, 59.5938, 0.000436544, 0.0527344, 0.010376, 72, 18, 41, 20, 0.97168, -0.00567245, 1.02441, 0.00470352, stationary
1.00098, -2.42591e-05, 0, 9.47714e-06, 60.0313, 0.000568867, 0.046875, 0.0127945, 58, 16, 40, 19, 0.978516, -0.00562668, 1.02539, 0.007164, stationary
