accX[g],accY[g],accZ[g]
0.84,0.616,-1.134
1.168,1.997,-1.468
0.642,1.312,-0.375
1.156,-1.719,1.822
0.148,-1.998,1.604
0.488,-0.221,-0.309
0.998,1.546,-1.578
0.336,1.956,-1.813
-0.104,0.414,-0.524
-0.62,-1.998,1.596
-0.801,-1.998,0.986
0.524,0.207,-0.94
0.271,1.536,-1.677
0.08,1.373,-1.022
-0.516,-0.559,-0.31
-1.356,-1.998,1.705
-0.448,-1.625,0.307
0.477,1.349,-1.154
0.038,1.552,-0.825
-0.612,0.94,-0.523
-1.66,-1.998,0.998
-1.41,-1.998,1.66
-0.666,-0.184,-0.238
0.156,1.413,-1.104
-0.172,1.666,-1.057
-0.811,0.721,-0.474
-1.936,-1.998,1.998
-1.058,-1.873,0.749
-0.445,0.932,-1.099
-0.057,1.466,-1.13
-0.605,0.607,-0.601
-1.848,-1.998,1.455
-1.03,-1.998,1.511
-0.18,0.497,-0.09
0.172,1.894,-1.276
-0.66,0.794,-0.902
-1.549,-1.997,-0.543
-0.988,-1.998,0.574
0.055,-0.034,1.373
0.545,1.745,0.654
-0.394,1.274,0.123
-0.344,1.231,-0.915
-0.448,-0.451,-1.997
-0.825,-1.862,-1.104
-0.118,-0.025,-0.098
0.407,1.901,-0.042
0.653,1.991,0.844
0.122,0.015,-1.031
0.038,-1.998,-1.421
0.37,-0.746,-0.462
0.459,1.938,-0.418
0.012,1.997,0.404
-0.36,0.135,-0.807
0.103,-1.998,-1.997
0.159,-1.774,-0.457
0.324,1.048,-0.769
1.225,1.996,0.774
0.374,1.662,-0.097
-1.038,-1.433,-1.667
0.036,-1.998,-0.903
0.161,-0.002,-0.782
0.677,1.996,-0.301
0.075,1.951,-0.135
0.062,-0.186,-0.99
-0.004,-1.998,-1.947
-0.433,-1.47,-0.617
-0.273,0.981,-0.726
0.747,1.996,0.274
0.437,1.732,-0.324
0.623,-1.487,-1.153
0.308,-1.998,-0.549
-0.693,0.04,-0.387
-0.633,0.962,-0.117
-0.481,1.052,-0.33
-1.127,-1.528,-1.351
-1.106,-1.138,-0.044
-0.473,1.997,0.479
-0.239,1.992,-0.455
-0.433,-1.234,-0.906
-1.504,-1.213,-0.081
-0.763,1.88,-0.177
-1.368,-0.104,-1.509
-0.803,-1.924,0.457
-0.872,1.97,-0.494
-1.214,-1.584,-1.569
-0.559,-0.088,0.527
-1.526,1.415,-0.252
-1.227,-1.974,-0.229
-0.96,1.392,0.248
-1.073,0.297,-1.211
-1.159,-1.426,0.642
-0.978,1.58,-0.564
-1.682,-1.923,-0.881
-1.686,-0.577,-0.257
-1.411,0.114,-0.974
-1.2,-0.046,-0.14
-0.681,0.953,-0.236
-0.536,0.46,-1.039
0.534,-1.394,-1.758
-0.382,-1.998,-0.424
0.3,1.643,0.742
0.969,1.811,-0.078
-0.315,-1.998,-1.65
-0.247,0.1,1.203
0.586,1.997,-0.029
1.642,-1.99,-0.549
0.914,0.617,1.193
1.86,0.549,-1.99
0.457,-1.471,0.168
0.545,1.499,-0.065
1.427,-1.093,-1.409
0.509,-0.385,0.447
1.575,1.9,0.151
-0.273,-1.998,-1.036
0.669,-0.108,-0.348
0.346,0.325,-0.843
0.337,0.334,-0.541
0.049,0.195,-1.17
0.364,-0.432,-1.955
-0.314,0.487,-0.368
-1.192,1.948,-0.002
-0.302,-1.024,-1.997
1.997,-1.998,-0.119
-0.434,1.073,0.842
-1.998,1.997,0.056
1.542,-0.961,-1.835
1.997,-1.738,-0.142
1.033,-0.542,-0.653
-1.998,1.383,-0.757
-1.998,1.049,-1.308
1.591,-0.822,-0.832
1.997,0.242,-0.425
0.23,-1.959,-1.477
-1.998,1.375,-1.851
-1.866,-0.342,-0.392
1.997,0.608,-0.536
1.997,-0.989,-0.137
-1.895,-0.173,-1.723
-1.998,0.976,-0.487
0.772,-0.537,-0.864
1.997,0.793,-0.619
1.509,-1.738,-0.419
-1.998,1.129,-1.762
-1.998,-0.356,-0.489
1.997,0.233,-0.758
1.994,-0.575,0.114
-1.998,0.886,-1.997
-1.998,0.609,-1.539
1.302,-1.087,-1.055
1.997,-0.406,0.672
0.004,-0.273,1.077
-1.97,1.498,-0.801
-1.081,0.676,-1.997
1.431,-1.39,-1.938
0.13,-0.319,-1.722
-0.634,-0.354,-0.846
-1.44,-0.172,1.255
-0.088,0.305,0.968
1.862,-0.159,0.342
1.997,-1.447,-1.074
1.031,-0.828,-1.131
-0.526,0.198,0.477
-0.786,0.613,0.975
1.943,-0.012,0.68
1.997,-1.061,-0.642
0.736,-1.84,-0.683
-0.643,0.348,0.834
-0.492,0.29,1.124
1.012,-0.384,0.683
0.874,-0.698,-0.143
0.493,-0.565,-1.694
0.87,-0.894,-1.997
1.129,-0.925,-1.997
0.619,-0.77,-0.864
-0.293,-0.284,1.92
0.099,0.839,1.02
0.639,-0.172,-1.627
-0.563,-1.665,-1.997
0.098,-0.38,-1.47
-0.103,0.59,1.341
0.172,1.008,0.749
-0.558,-1.925,-1.865
-0.518,-0.976,-1.997
-0.214,-0.199,-1.548
-0.062,0.566,1.147
0.472,0.639,0.952
-0.917,-1.581,-1.947
-0.406,-0.868,-1.997
0.041,-0.032,-0.748
-0.082,0.521,1.246
0.207,0.246,0.405
-0.722,-1.587,-1.997
-0.087,-0.792,-1.997
-0.046,-0.099,-0.251
0.102,0.568,1.279
0.183,0.345,0.641
-0.884,-1.859,-1.997
-0.088,-0.632,-1.953
0.189,0.893,0.003
0.241,0.683,-0.314
-1.275,-0.366,-0.841
-1.465,-0.161,-1.018
-0.966,-0.04,-0.45
0.201,-0.398,0.625
-0.298,-0.228,-0.137
-1.9,0.247,-0.296
-1.998,0.726,-0.853
-1.546,-0.71,-0.765
1.39,-0.659,-0.082
-0.377,-0.475,-0.135
-1.998,0.363,-0.228
-1.898,-0.267,-1.067
-0.742,-0.248,-1.009
0.075,0.122,0.003
-0.715,-0.277,-0.056
-1.22,-0.285,-0.545
-0.978,0.053,-1.153
-0.494,0.012,-1.116
0.177,0.29,-1.004
0.925,-0.348,-0.54
0.61,-0.696,-0.384
-0.843,0.526,-1.04
-1.998,0.295,-1.526
0.647,-0.044,-1.405
1.997,-0.606,-0.179
1.66,-0.951,-0.372
-1.998,0.89,-1.468
-1.998,-0.039,-0.886
1.99,-0.221,-1.444
1.997,-0.327,-0.238
-1.069,-0.447,-1.334
-1.998,0.834,-0.933
-0.707,-0.751,-0.989
1.997,0.623,-0.36
1.587,-1.269,-0.373
-1.998,1.036,-1.94
-1.998,0.354,-0.366
1.97,-0.359,-1.24
1.997,-0.032,0.049
-1.735,-0.923,-0.442
-1.998,0.788,-1.009
-0.814,0.362,-0.642
1.437,0.265,-0.963
1.671,-0.972,0.824
-1.62,-1.913,-1.713
-1.738,-0.203,-1.738
-0.917,-0.067,-1.245
0.643,-0.558,-1.395
0.502,-1.657,0.34
-0.573,0.193,-1.222
-0.415,0.041,-1.487
0.315,-1.383,-0.661
-0.898,-1.012,0.286
-0.37,1.168,-0.1
0.069,1.987,-1.598
0.942,-0.077,-1.997
1.136,-1.336,-1.513
-0.456,-1.998,0.157
-0.868,-0.999,0.916
-1.998,0.814,-0.69
-0.777,1.318,-1.997
1.087,0.54,-1.997
1.966,-0.933,-1.953
0.85,-1.998,-0.902
-1.113,-1.427,1.146
-1.998,0.802,-0.452
-0.658,1.997,-1.942
1.96,-0.045,-1.997
1.896,-1.481,-1.997
0.766,-1.998,-0.849
-1.407,-0.141,0.821
-1.998,0.617,-0.679
0.344,0.867,-1.993
1.997,-0.384,-1.822
1.997,-1.748,-1.684
-0.543,-1.846,0.232
-1.856,0.785,0.182
-1.998,1.368,-1.468
1.043,0.322,-1.997
1.997,-1.271,-1.248
0.902,-1.998,0.062
-0.048,-0.742,0.065
-1.916,1.857,-1.362
-0.643,1.939,-1.997
0.357,0.026,-1.997
-0.671,-0.538,-1.164
-0.678,-1.617,0.073
0.433,-1.557,0.376
1.996,-0.681,-0.238
1.95,-0.532,-1.949
-0.869,0.359,-1.997
-1.625,0.038,-1.622
-1.277,-0.555,0.402
-0.148,-0.471,0.502
1.973,-0.98,0.32
1.06,-0.316,-1.997
0.263,0.881,-1.997
-1.947,-0.007,-1.984
-1.428,-0.678,0.043
-0.377,-1.211,1.141
1.169,-0.836,0.68
1.994,0.172,-0.704
1.053,-0.356,-1.997
-0.647,-0.556,-1.997
-1.998,-0.004,-0.723
-0.793,-1.067,1.234
0.054,-0.902,0.818
1.081,0.029,0.194
1.657,-0.326,-1.997
0.274,-1.014,-1.997
-0.236,0.096,-1.886
-1.038,-0.671,-0.703
-0.819,-1.555,0.816
-0.135,-0.102,-0.277
0.926,0.887,-1.991
0.937,-0.306,-1.997
0.453,-0.599,-1.617
-0.427,-1.581,0.025
-0.682,-1.78,1.765
-0.347,0.954,-0.961
-0.257,0.833,-1.997
0.177,-0.786,-1.997
-0.115,-0.772,-0.961
-0.265,-1.998,0.496
-0.287,-0.614,0.553
-0.32,1.997,-1.295
-0.266,-0.031,-1.997
0.426,-0.626,-1.766
-0.139,-1.998,-0.016
-0.351,-0.715,0.739
-0.5,1.994,-0.991
-0.863,1.339,-1.997
0.448,-0.337,-1.995
0.523,-1.867,-1.057
-0.766,-1.824,1.237
-0.313,1.136,0.189
-1.98,1.645,-1.507
-0.956,0.087,-1.997
1.167,-0.549,-1.433
1.818,-1.027,-0.92
1.14,-1.559,-0.714
-0.201,-0.564,-0.63
-1.259,0.819,-0.176
-1.823,1.997,-0.862
-0.83,0.266,-1.898
0.266,-1.766,-1.584
1.932,-1.264,-0.852
0.846,-0.54,0.744
-0.741,1.167,0.319
-1.998,0.449,-1.482
-1.998,-0.247,-1.997
0.997,-0.095,-1.11
1.332,-0.909,-0.149
-0.448,-0.706,-0.053
-1.998,1.074,-0.709
-1.998,0.71,-1.165
0.319,0.132,-1.329
1.568,-1.031,-0.41
-1.031,-0.915,-0.585
