A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
-522	823	-266	-10.99	208.705	-68.4775
-688	958	-134	7.72625	136.273	-45.325
-714	1013	-100	17.4388	41.1863	-11.515
-599	970	-165	22.54	-55.0113	27.2913
-553	912	-289	25.5413	-136.15	51.9838
-382	864	-456	29.155	-207.463	71.435
-278	835	-593	30.38	-256.743	81.1475
-147	867	-678	27.755	-283.5	87.71
-10	798	-719	18.1738	-286.571	96.4163
245	880	-710	13.4838	-276.281	92.5138
378	891	-607	3.12375	-220.045	82.5913
326	921	-513	-3.52625	-150.614	53.5325
374	933	-451	-8.61	-86.9925	26.3638
227	891	-396	-9.56375	-22.5488	7.84
113	930	-363	-6.2475	20.0638	-6.97375
55	925	-349	-5.87125	45.3688	-15.5313
-33	946	-332	-4.6725	57.9425	-16.5463
19	949	-338	-5.24125	60.235	-15.5488
24	963	-344	-6.4575	68.0663	-16.0125
55	960	-352	-9.24875	79.2225	-19.67
155	944	-373	-12.1363	98.1575	-24.8413
124	909	-385	-13.8425	127.549	-29.3388
106	900	-400	-12.215	149.975	-35.5863
196	923	-455	-11.6288	173.81	-48.405
163	910	-498	-17.4563	208.311	-62.51
12	867	-502	-24.0275	235.935	-72.2138
-321	788	-377	-23.5725	239.593	-74.69
-522	856	-238	-5.9675	200.813	-58.3275
-632	931	-156	13.3613	135.835	-32.935
-701	1016	-108	27.1425	48.7463	6.53625
-539	978	-186	31.99	-44.3538	46.27
-536	933	-316	30.8613	-122.903	64.225
-373	914	-508	26.565	-201.565	82.3638
-186	916	-636	12.8363	-253.479	88.3488
-171	876	-699	-2.94875	-279.598	90.7988
-4	805	-754	-14.2275	-286.676	93.5113
456	836	-697	-16.5288	-277.646	90.44
461	843	-517	-18.1388	-206.78	91.3325
396	885	-429	-15.4963	-132.396	61.005
466	879	-375	-8.4875	-63.0525	24.535
183	919	-329	-0.6825	1.98625	2.12625
127	929	-337	5.04	28.9888	-9.56375
65	960	-333	6.51	44.73	-12.5563
48	971	-335	3.1325	50.6625	-12.2675
139	933	-355	-0.53375	58.2138	-16.3975
96	921	-350	-0.04375	74.41	-17.675
174	949	-373	1.12	87.4038	-20.5625
240	911	-394	0.42875	113.024	-31.1063
255	943	-435	-0.9975	144.848	-40.4863
284	885	-488	-4.87375	181.72	-52.6925
295	868	-563	-5.6	224.665	-63.035
127	831	-609	-7.9975	266.849	-73.675
-231	794	-468	-4.90875	277.979	-71.365
-546	859	-291	9.0475	238.035	-58.3013
-688	973	-166	25.9438	152.898	-41.65
-678	1109	-113	29.5838	44.345	-10.6575
-639	1032	-185	17.9113	-62.3438	21.105
-476	967	-339	11.1213	-158.401	48.8163
-330	859	-517	5.50375	-232.181	71.3213
-182	866	-642	3.77125	-277.506	80.0363
-42	852	-717	-0.93625	-286.685	88.7075
143	825	-717	-10.2113	-286.213	88.8388
455	850	-642	-10.92	-262.526	79.3975
334	935	-515	-12.425	-193.27	64.33
473	917	-443	-14.9975	-125.703	40.6613
297	926	-376	-13.37	-54.1013	27.0375
253	903	-340	-10.2988	-6.125	10.6488
210	911	-320	-5.45125	31.535	-5.24125
132	923	-324	-1.61875	57.7763	-16.065
202	942	-340	0.0875	76.1513	-23.7738
126	922	-357	0.98875	102.156	-31.4213
158	948	-375	2.24875	121.783	-39.4888
214	911	-411	1.015	149.161	-45.5088
123	927	-444	0.90125	181.755	-48.5188
198	880	-491	-0.72625	206.019	-53.795
180	831	-571	2.52875	240.503	-63.0788
131	879	-622	4.62	272.449	-72.0738
-364	846	-542	-0.56875	282.879	-74.3488
-727	930	-268	4.0775	225.776	-54.7838
-692	1019	-126	9.835	115.876	-31.8675
-653	1037	-116	8.9775	6.44	-5.4075
-592	984	-192	8.7675	-93.275	30.3888
-394	908	-353	10.9113	-175.508	61.6788
-349	857	-503	11.5675	-234.981	84.0438
-196	846	-652	9.1875	-278.425	95.48
35	801	-743	4.025	-286.685	110.521
221	804	-720	-3.325	-284.751	104.501
325	889	-661	-6.58875	-260.986	93.3625
536	814	-555	-12.5388	-207.06	79.6513
521	832	-461	-5.24125	-125.755	50.8725
368	928	-429	2.695	-53.3838	18.4188
323	924	-408	2.56375	-1.155	-3.64875
191	904	-407	1.81125	38.745	-14.175
142	943	-398	1.855	59.7538	-18.4363
239	907	-410	-0.56	76.335	-23.4325
200	903	-422	-0.27125	102.664	-32.6025
277	946	-440	-1.47875	127.129	-44.0213
238	839	-474	-4.5675	160.685	-54.2675
289	873	-517	-0.16625	193.043	-61.4425
180	815	-563	2.12625	229.898	-68.845
215	864	-630	5.81	257.04	-74.5938
-59	802	-608	3.71875	281.584	-78.0675
-503	846	-399	11.06	262.43	-69.58
-709	995	-212	21.035	177.284	-48.2913
-641	1065	-151	20.0375	62.4313	-23.695
-670	1052	-179	11.9788	-48.93	8.8375
-556	991	-328	4.165	-154.604	45.8763
-307	853	-545	-2.9225	-239.523	76.0113
-191	828	-660	-5.20625	-281.969	86.73
10	830	-747	-7.23625	-286.685	98.8488
100	833	-731	-15.5575	-286.685	102.646
358	848	-696	-19.1713	-278.303	96.8975
470	865	-559	-22.89	-220.509	85.3038
470	861	-458	-21.0088	-149.153	60.4713
567	855	-420	-13.37	-78.5925	27.5888
422	871	-382	-3.43875	-0.21	-3.63125
275	884	-387	5.04	56.91	-22.3563
196	924	-379	10.1238	90.895	-31.2813
177	920	-402	10.605	114.581	-38.9375
27	935	-411	9.79125	131.285	-44.3188
150	1020	-429	4.50625	133.429	-40.8975
222	947	-462	-7.945	153.93	-43.8638
221	968	-500	-17.9463	182.796	-50.7938
199	940	-503	-31.465	213.316	-57.2688
33	873	-454	-39.8563	236.539	-55.09
-234	827	-306	-36.12	233.433	-50.1113
-397	847	-136	-17.3863	191.004	-36.8638
-498	925	-36	6.6325	127.461	-18.27
-617	1010	1	23.8175	44.345	1.8725
-621	1016	-76	28.175	-58.4238	24.9113
-504	955	-255	26.3463	-162.776	47.2675
-288	892	-477	22.2338	-245.446	65.695
-94	828	-660	16.8875	-283.841	80.2463
88	919	-725	9.8525	-286.685	87.2813
