A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
323	862	-341	1.26875	-4.20875	-6.50125
309	876	-349	-0.35	-8.645	-17.9113
300	874	-346	-2.70375	-14.9275	-36.0675
284	894	-348	-5.775	-21.9013	-55.475
261	887	-345	-10.6925	-30.1963	-79.485
175	884	-331	-15.3213	-37.975	-102.839
82	872	-320	-18.9875	-48.3525	-130.191
-30	852	-292	-21.6038	-57.4875	-157.421
-224	914	-282	-25.69	-59.815	-173.933
-364	940	-263	-27.9475	-52.255	-145.6
-643	979	-256	-27.09	-33.145	-91.0175
-557	949	-228	-17.7538	-15.855	-18.97
-502	909	-205	-6.23875	6.25625	36.7938
-368	903	-209	6.36125	22.1288	69.8688
-302	910	-228	14.9538	34.86	95.2963
-222	894	-239	20.0113	41.7813	114.039
-95	931	-262	24.3338	44.4063	127.496
-36	918	-276	24.22	46.4625	132.291
79	905	-297	23.275	39.2788	115.526
170	922	-318	20.93	32.9612	95.0863
163	903	-325	16.5113	27.4925	69.2475
236	899	-337	12.95	16.345	41.23
274	903	-343	9.065	8.70625	23.8088
284	902	-344	4.15625	3.325	13.93
279	891	-343	-0.02625	-1.435	6.4925
278	890	-341	-2.8525	-4.69875	-0.735
256	884	-335	-3.22875	-6.1775	-7.0525
250	894	-336	-2.555	-7.5775	-12.6
227	912	-339	-2.9225	-9.3975	-19.25
214	913	-337	-5.67875	-14.1313	-30.1175
201	898	-329	-9.45	-20.405	-43.8813
165	916	-329	-13.9738	-28.7875	-65.8088
176	894	-320	-19.705	-39.0075	-101.15
46	861	-282	-23.59	-44.9225	-132.344
-124	862	-253	-25.7863	-52.0975	-166.18
-267	935	-264	-28.385	-53.2088	-181.86
-391	981	-251	-29.5138	-36.435	-127.698
-723	926	-218	-25.0338	-12.705	-48.4488
-528	928	-192	-13.1075	-5.60875	0.90125
-466	892	-180	-3.84125	9.65125	35.4725
-386	908	-198	6.78125	20.685	59.2725
-323	910	-213	14.7438	31.2463	87.8588
-222	921	-231	21.3063	40.4688	120.479
-129	931	-245	25.1038	46.6638	143.815
-20	920	-258	25.8825	46.55	145.504
87	918	-280	24.2463	40.075	125.379
155	913	-301	20.3525	30.66	95.1038
221	920	-309	15.575	22.4788	68.9238
252	906	-311	10.0625	15.61	47.1013
290	902	-316	5.01375	8.05875	28.7613
321	886	-313	0.90125	2.0475	14.6563
298	875	-307	-1.49625	-2.065	4.9525
294	891	-310	-2.94875	-7.00875	-7.46375
276	897	-310	-4.50625	-11.515	-22.5575
249	905	-310	-5.83625	-16.6688	-38.2988
231	893	-308	-6.9825	-22.0063	-52.99
187	883	-304	-7.25375	-26.1013	-65.4413
124	899	-300	-7.48125	-30.4675	-80.8763
63	901	-293	-9.52	-36.7588	-103.863
-65	922	-277	-14.1138	-43.715	-135.004
-232	903	-260	-21.5163	-50.1638	-171.544
-233	922	-275	-24.92	-50.435	-180.311
-510	968	-255	-25.3663	-29.19	-124.399
-672	927	-237	-21.1225	-9.94	-47.5738
-637	923	-205	-11.9438	2.09125	14.1925
-469	886	-195	-4.1125	13.09	53.1125
-405	890	-195	5.24125	25.9263	83.6413
-321	895	-208	13.6675	34.37	107.205
-192	915	-214	19.3638	41.7375	130.113
-100	920	-229	22.295	46.8825	144.489
4	909	-248	23.6338	45.6225	141.024
123	907	-269	22.1113	38.255	117.6
154	904	-287	19.215	30.6338	89.8363
197	901	-304	16.345	19.0313	56.6738
254	905	-314	14.0438	8.9425	32.9788
255	900	-325	10.9988	3.36875	20.7113
264	904	-336	7.93625	-1.88125	9.10875
282	903	-339	4.54125	-5.31125	-0.77875
265	896	-342	1.21625	-5.55625	-6.83375
232	905	-343	-0.77875	-8.16375	-17.3338
237	907	-340	-3.0975	-13.8513	-34.3
204	899	-329	-6.11625	-18.7775	-50.7325
172	891	-326	-8.40875	-25.4363	-67.2875
106	883	-319	-9.275	-33.0312	-85.645
-36	891	-305	-10.5438	-41.9125	-110.303
-102	898	-295	-13.4488	-53.165	-137.699
-190	899	-278	-16.5375	-58.5463	-153.178
-392	1020	-306	-21.42	-50.6275	-137.086
-493	945	-273	-21.3063	-30.8963	-68.565
-559	944	-242	-15.2513	-10.6575	-9.765
-450	906	-225	-5.81875	4.45375	30.8613
-356	908	-222	3.98125	18.7863	58.17
-297	902	-230	10.3075	29.3825	77.5775
-223	904	-248	15.8113	36.155	93.3188
-121	942	-264	20.5188	42.7175	114.013
-53	924	-272	23.0738	48.7725	131.014
60	933	-296	24.7013	49.8225	137.323
84	915	-304	23.5463	46.3488	126.245
206	902	-319	19.3988	32.6813	93.765
273	901	-333	13.1163	22.2863	65.835
320	882	-340	6.2125	12.9675	41.7988
348	863	-333	2.1	4.4275	21.0263
338	854	-334	-0.16625	-2.66875	4.40125
334	868	-336	-0.9275	-8.505	-9.07375
309	874	-334	-1.86375	-11.5413	-18.3138
290	877	-338	-3.115	-15.05	-28.0088
299	879	-345	-3.68375	-19.32	-39.83
227	895	-343	-5.0575	-22.47	-50.6888
196	902	-344	-8.79375	-29.7063	-71.365
154	893	-333	-12.7838	-37.6513	-96.5125
29	891	-313	-16.2225	-47.2063	-128.713
-47	892	-298	-20.5538	-59.15	-172.384
-247	953	-301	-26.495	-51.9838	-166.303
-407	895	-259	-24.325	-36.9775	-109.445
-541	969	-264	-18.0513	-23.1963	-68.0488
-498	917	-246	-10.5088	-7.0875	-7.245
-426	911	-240	-1.26875	8.07625	33.4775
-353	931	-249	5.075	19.9063	58.24
-292	928	-255	8.12875	30.7388	84.9363
-206	918	-261	12.3813	40.7138	113.006
-144	913	-264	18.0163	46.515	131.749
5	921	-279	19.4513	43.54	128.896
67	914	-294	18.0513	39.4188	114.546
140	909	-308	15.3125	30.0563	89.0313
228	908	-317	11.9175	20.8775	63.8838
245	900	-318	9.3625	16.6863	53.2263
246	896	-320	7.27125	10.9638	41.8775
299	885	-324	4.94375	3.38625	28.0263
315	876	-325	3.36	-0.9975	18.8125
328	874	-330	2.66	-3.99875	9.40625
342	876	-336	2.17	-5.62625	0.83125
322	877	-340	1.19875	-6.2125	-7.35
309	875	-342	-0.07875	-8.015	-18.0163
279	875	-343	-2.0475	-11.0075	-31.3075
244	893	-335	-4.52375	-17.7188	-51.2138
211	931	-341	-10.5963	-27.5625	-80.0188
171	903	-331	-18.6288	-37.8963	-112.508
-9	894	-297	-23.9138	-46.5675	-134.26
-141	910	-284	-27.0025	-58.9488	-148.173
-188	908	-265	-29.0238	-68.18	-149.538
-331	966	-232	-32.4538	-63.6738	-138.101
-417	906	-221	-30.9663	-46.1125	-101.08
-549	956	-178	-18.7163	-18.235	-37.8788
-539	899	-161	-7.63	4.83	11.0688
-435	937	-166	3.54375	23.1525	46.6463
-402	893	-185	11.55	39.9963	80.0538
-256	920	-215	20.6238	48.4138	106.19
-193	923	-233	26.3113	56.1488	132.125
-79	924	-254	28.2975	55.5538	140.359
13	922	-277	27.4838	50.5663	131.644
108	914	-294	23.4588	41.335	108.22
166	909	-308	18.865	31.4038	79.0213
200	913	-318	14.91	22.0938	55.8425
246	914	-326	10.7888	13.3088	39.4888
251	905	-330	6.92125	6.37	28.1838
270	896	-332	4.01625	-0.07	17.5175
293	881	-334	1.925	-3.9025	8.645
292	884	-334	1.09375	-5.13625	2.835
275	891	-337	0.44625	-6.5625	-4.935
267	897	-340	-0.53375	-9.61625	-16.7738
241	897	-336	-1.8725	-14.1575	-31.5613
229	898	-331	-4.17375	-20.7375	-50.7325
178	905	-326	-7.735	-27.7375	-73.5788
146	903	-317	-11.27	-36.5663	-100.083
62	860	-305	-14.1663	-43.7675	-124.845
-96	852	-288	-14.1313	-51.1525	-149.756
-202	952	-291	-14.6475	-56.1225	-165.533
-353	955	-297	-19.7838	-44.0825	-130.812
-555	982	-286	-19.1013	-25.7513	-70.9188
-568	955	-254	-13.51	-10.885	-10.1063
-466	917	-230	-6.60625	2.17	29.6888
-345	896	-237	1.84625	14.945	54.5475
-304	915	-251	9.73875	28.1838	84.4725
-200	920	-267	15.5925	39.27	119.455
-111	910	-272	20.335	48.5538	148.146
-12	913	-280	22.2075	49.7	151.804
92	908	-296	21.7525	43.5663	133.805
176	888	-312	19.0838	35.28	106.129
239	888	-325	16.6338	25.7688	78.1113
284	895	-334	13.0725	16.17	53.095
309	880	-338	8.19	7.4725	30.6863
346	859	-340	4.75125	0.21875	13.6588
343	854	-343	2.87875	-3.52625	2.35375
334	861	-350	1.51375	-6.25625	-7.86625
324	879	-353	0.07875	-7.875	-16.4413
290	895	-356	-1.95125	-9.2575	-25.3313
248	915	-346	-4.69	-11.9525	-38.2113
249	925	-340	-8.4175	-13.6413	-47.3113
149	914	-330	-12.145	-13.3088	-50.4963
124	918	-318	-13.9563	-21.6563	-66.2812
85	901	-302	-15.8638	-31.1763	-86.03
41	903	-303	-18.0075	-42.6825	-109.883
-24	894	-296	-19.425	-50.9075	-131.285
-102	886	-270	-20.265	-52.0188	-141.024
-269	907	-252	-20.3525	-47.0313	-143.465
-360	921	-254	-19.495	-35.455	-121.013
-546	917	-236	-15.3563	-15.785	-73.6663
-604	949	-232	-9.42375	-1.715	-26.3375
-561	938	-221	-5.11	11.6025	25.1825
-464	912	-221	-0.3325	23.6863	68.355
-378	892	-222	6.50125	35.3588	104.3
-262	910	-233	13.7638	42.9538	128.503
-159	915	-245	17.3688	46.9525	140.84
-63	916	-258	18.7338	46.27	140.796
26	915	-265	18.9263	40.8363	127.181
146	902	-282	16.4062	31.9638	101.133
197	899	-303	14.5425	25.4713	77.8488
237	905	-311	13.825	20.3088	61.9238
264	900	-314	11.4713	15.3038	45.7013
299	883	-320	8.49625	9.8175	31.045
316	885	-325	6.615	5.8975	21.2975
318	882	-325	4.40125	2.8525	12.4688
327	878	-325	2.485	-0.39375	3.6925
318	881	-328	0.8225	-3.43875	-5.4075
292	882	-325	-1.19	-8.19875	-20.0988
296	884	-323	-3.59625	-15.5225	-40.0838
256	883	-320	-6.79	-21.8838	-60.5238
210	887	-317	-10.8588	-30.7038	-84.3675
161	880	-301	-14.385	-39.6638	-105.236
42	867	-284	-16.3538	-49.3938	-123.9
-117	904	-273	-16.8	-59.7975	-145.058
-219	928	-274	-18.2438	-64.82	-156.433
-322	969	-272	-17.045	-55.4138	-128.826
-536	963	-262	-13.405	-33.4688	-79.8613
-494	973	-252	-6.8425	-14.91	-29.4613
-507	943	-245	-2.58125	4.4275	17.395
-384	955	-255	2.66875	18.5325	55.615
-316	939	-244	6.90375	36.1638	101.938
-228	918	-248	11.4538	48.58	136.885
-89	899	-249	17.6838	55.1513	157.071
-11	916	-255	22.505	56.5075	155.785
96	906	-269	20.8425	45.745	122.036
237	887	-293	16.6425	32.8388	85.5663
