A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
128	862	-373	-3.3775	-6.4925	10.325
149	855	-353	-7.5775	-9.51125	7.91875
175	852	-340	-9.00375	-13.3263	6.65875
195	902	-329	-10.7713	-17.0713	4.1825
164	881	-320	-13.4488	-11.3575	15.155
150	882	-323	-10.71	-1.75875	33.0575
142	934	-334	-6.79	1.35625	32.41
171	983	-332	-0.8575	-5.50375	8.19
238	998	-330	9.065	-14.4113	-16.1
221	1091	-289	19.0575	-14.5075	-23.0038
216	1176	-237	21.9975	-8.19	-15.5225
163	994	-147	19.705	-1.2075	-5.43375
85	865	-93	12.5913	2.5725	0.42
38	841	-96	5.565	3.66625	4.78625
73	970	-121	3.6225	3.1325	7.74375
62	981	-168	5.55625	3.35125	10.4913
85	973	-206	8.07625	3.745	10.8588
181	949	-230	9.77375	3.3425	6.86
180	932	-244	8.84625	6.85125	4.31375
179	930	-220	14.5075	5.67	1.505
249	954	-191	25.235	0.0175	4.095
240	933	-162	20.5625	3.1325	5.075
175	907	-118	1.81125	8.1025	-11.8125
170	924	-98	-16.0563	10.9025	-26.285
158	936	-83	-27.23	13.9213	-22.0588
109	935	-43	-28.525	11.865	-11.3138
114	922	-9	-24.3775	8.65375	0.735
90	927	3	-19.3813	6.16875	9.1875
174	1223	-31	-14.2888	1.67125	8.5225
118	1122	-75	-9.93125	2.05625	8.2775
74	1009	-152	-2.94	5.1625	12.6613
95	955	-221	0.35	7.25375	15.4788
86	939	-279	-0.8225	8.02375	12.5388
11	965	-303	-3.45625	5.705	5.0925
19	980	-298	-2.94	-0.0525	-2.485
20	939	-276	-11.06	0.63	-1.51375
59	911	-261	-17.3338	0.79625	6.44
113	886	-250	-12.0925	-4.4975	10.6488
110	912	-244	-1.3475	-16.625	-4.865
136	889	-261	11.9088	-23.1613	-27.8075
161	869	-279	25.865	-22.3738	-38.92
168	868	-308	30.3363	-14.1138	-29.6713
190	905	-356	25.97	-9.24	-16.135
211	952	-396	16.6163	-7.30625	-5.85375
237	977	-420	9.135	-4.865	0.8575
264	1077	-429	6.30875	-2.65125	3.325
291	1200	-388	6.62375	0.35	8.26875
272	1168	-273	9.2925	1.65375	8.89875
158	919	-138	11.1213	0.7175	3.1675
72	767	-82	6.60625	3.85	-0.79625
32	813	-72	7.39375	1.75	-4.795
58	958	-124	14.595	-1.9775	1.32125
81	926	-183	12.1888	2.8875	10.9988
149	919	-221	2.1875	4.55	-1.82875
192	907	-243	-10.7275	5.845	-20.8425
196	888	-255	-21.5863	8.015	-23.5813
193	908	-250	-23.415	4.61125	-14.5688
194	925	-240	-19.5563	-1.9775	-4.1125
175	921	-234	-14.56	-8.505	4.41875
173	951	-233	-11.4013	-11.97	9.4675
177	925	-231	-8.42625	-14.4375	10.045
180	901	-234	-5.01375	-18.2525	9.345
156	931	-268	-4.99625	-18.06	10.0538
249	1187	-347	-10.5875	-11.6288	8.74125
199	1119	-419	-14.5425	-5.8625	4.2
144	1006	-450	-15.7675	-7.175	-0.79625
133	947	-455	-17.1763	-9.49375	3.54375
114	911	-462	-15.2688	-7.20125	14.945
69	937	-437	-11.0338	-10.255	15.5663
40	919	-389	-4.87375	-21.3238	-6.34375
22	882	-330	6.265	-31.4125	-30.0563
47	848	-284	17.4913	-27.4313	-35.2013
61	838	-262	22.2075	-14.7438	-24.5525
92	830	-263	20.5713	-3.07125	-10.6488
120	863	-275	14.3063	0.49875	-2.3275
123	909	-284	9.17875	0.7	2.63375
117	932	-309	7.49875	1.8025	5.215
154	992	-310	7.83125	3.9375	6.20375
206	1025	-298	10.2813	3.52625	5.11875
240	1132	-270	12.8975	1.23375	2.52
260	1198	-212	10.5263	0.46375	1.60125
236	1140	-104	6.0725	0.95375	-3.9025
173	884	21	4.9875	-0.25375	-10.9288
108	817	74	-0.07875	10.8063	-5.25875
68	869	41	-9.2925	20.0025	-6.335
49	870	-8	-19.1538	22.2863	-15.2863
59	889	-60	-27.0288	24.8938	-12.845
147	910	-119	-26.8538	24.745	-3.15
202	930	-161	-22.68	22.7063	5.52125
194	947	-182	-17.3163	19.18	12.18
196	966	-183	-12.285	14.9188	14.77
224	943	-183	-8.155	10.3775	14.385
228	951	-179	-3.0625	5.4425	16.835
211	948	-166	0.13125	1.7675	24.1588
216	949	-163	-3.45625	2.6775	29.47
194	924	-154	-7.65625	2.31	26.635
192	985	-174	-12.6	0.23625	21.875
272	1138	-203	-16.5113	-4.38375	13.055
259	1070	-268	-16.625	-5.18	10.4125
220	905	-342	-7.1925	-5.78375	17.9288
248	922	-440	-1.54	-7.315	17.3863
247	939	-517	1.53125	-16.03	0.3675
199	955	-495	7.42	-23.5725	-16.3538
90	895	-436	13.2213	-21.3588	-18.0688
14	885	-383	15.5575	-14.0875	-8.5225
52	884	-346	15.1638	-8.68	-1.61875
82	852	-318	12.2763	-6.20375	1.75875
144	889	-311	8.3475	-5.6175	3.85875
158	894	-304	7.09625	-6.3	4.83
135	847	-295	7.79625	-5.38125	8.0325
121	899	-296	10.0188	-4.3925	10.3863
160	962	-301	9.96625	-3.64	6.86875
161	980	-286	9.54625	-1.855	4.935
216	1200	-261	9.765	3.24625	5.8275
251	1209	-210	19.46	0.13125	1.855
128	1010	-98	22.9863	0.6825	3.68375
39	907	-26	12.6613	5.88875	2.31875
-22	867	-23	-2.6075	6.0025	-12.1013
-10	924	-68	-16.1963	5.52125	-20.1075
58	861	-155	-20.2738	4.0775	-16.415
167	939	-220	-16.87	-0.7175	-8.46125
192	935	-231	-12.5738	-5.69625	0.77
138	906	-216	-8.25125	-10.3863	6.3875
122	928	-215	-6.9825	-12.7663	5.25875
110	954	-212	-7.42875	-15.1725	2.49375
125	949	-205	-7.77875	-17.1413	3.5875
161	939	-206	-10.1325	-16.0825	5.31125
181	936	-206	-11.4275	-14.6125	4.0075
198	906	-211	-15.2513	-11.5588	2.3275
164	942	-243	-17.3163	-10.7888	0.8925
218	1138	-311	-21.9975	-11.725	2.93125
165	1106	-393	-26.285	-11.5063	5.85375
117	993	-439	-22.3825	-18.6725	4.38375
166	1005	-464	-12.2763	-25.4188	-4.17375
89	975	-461	3.15	-29.4963	-13.02
25	960	-413	18.655	-30.5025	-15.7938
-13	920	-336	24.0188	-24.9813	-9.6425
15	871	-279	18.76	-19.0138	-3.17625
71	808	-263	12.4513	-17.7713	-0.55125
75	847	-258	7.16625	-13.895	4.7425
111	867	-266	5.67875	-14.1225	10.6225
73	895	-276	7.8225	-18.6813	14.2625
19	914	-269	11.4625	-22.7413	17.2025
94	931	-280	12.6788	-25.4538	19.2763
108	934	-264	13.1425	-27.8688	16.835
164	1040	-251	10.5963	-25.095	15.3388
234	1151	-226	10.5175	-24.395	13.5538
206	1130	-148	16.205	-31.6313	13.2038
157	1067	-44	5.705	-26.5125	9.5725
154	969	-18	-7.14	-24.2113	-8.21625
119	950	-8	-16.4675	-21.5075	-16.5725
58	981	-29	-18.445	-16.9575	-10.1763
69	878	-76	-12.845	-17.3075	0.63
115	849	-121	-4.7775	-24.1588	9.70375
130	823	-152	-0.49	-35.4638	17.3513
121	835	-176	-2.51125	-46.8475	21.7263
146	901	-198	-9.2575	-57.7325	19.53
181	913	-225	-15.5663	-63.9538	17.2725
228	933	-237	-19.7663	-61.4075	18.0163
226	940	-229	-21.6213	-54.565	15.8375
201	922	-230	-20.16	-49.665	9.45875
188	908	-250	-16.4763	-52.4388	7.4725
222	1063	-337	-17.3075	-54.1363	19.2763
333	1158	-411	-23.1875	-51.7388	37.0563
130	975	-472	-24.1763	-54.3288	36.2513
122	1026	-527	-20.3088	-65.0038	11.0688
158	1030	-532	-8.995	-74.4013	-12.5913
