A_X [mg]	A_Y [mg]	A_Z [mg]
-362	-1387	-169
-288	-1497	-141
-255	-1540	-173
-63	-1298	-275
333	-1050	-254
374	-939	-400
19	-744	-311
-254	-1065	-163
-256	-1256	-120
-348	-1500	-128
-529	-1604	-65
-611	-1634	-63
-652	-1548	-185
-871	-1589	-67
-819	-1520	302
-829	-1487	671
-854	-1247	505
-830	-1194	369
-739	-1356	239
-578	-1316	214
-496	-1657	197
-440	-1609	169
-427	-1607	77
-398	-1426	-47
-353	-1309	-116
-317	-1255	-137
-266	-1273	-159
-245	-1335	-177
-212	-1274	-231
-150	-1217	-294
1	-1049	-314
87	-1090	-280
47	-762	-254
-234	-855	-126
-420	-1151	33
-307	-1251	-33
-284	-1362	-87
-330	-1624	-112
-513	-1800	-256
-898	-2044	-68
-1346	-1669	-62
-950	-1556	69
-949	-1378	336
-917	-1094	406
-864	-1211	377
-719	-1071	271
-667	-1550	76
-467	-1731	-19
-300	-1713	60
-317	-1541	66
-334	-1429	-66
-379	-1383	-164
-386	-1422	-216
-343	-1561	-221
-305	-1514	-211
-202	-1290	-263
-21	-1049	-255
107	-1010	-265
205	-705	-312
-34	-835	-98
-191	-1094	43
-266	-1264	-5
-320	-1410	-34
-433	-1618	47
-675	-1760	64
-617	-1993	-53
-1156	-1896	188
-1064	-1455	320
-689	-1377	448
-736	-1143	383
-868	-1278	267
-798	-1090	143
-676	-1426	75
-506	-1538	72
-386	-1585	33
-375	-1441	-34
-370	-1364	-114
-352	-1369	-155
-339	-1409	-174
-304	-1515	-167
-268	-1429	-182
-187	-1293	-258
98	-1030	-200
279	-969	-220
203	-771	-298
-101	-992	-157
-275	-1279	-1
-314	-1359	30
-334	-1318	-38
-320	-1386	-40
-398	-1570	-128
-593	-1884	-113
-951	-1952	42
-1162	-1638	184
-1014	-1479	333
-809	-1168	431
-810	-1201	464
-813	-1124	303
-721	-1358	118
-533	-1572	49
-335	-1595	74
-296	-1528	93
-347	-1426	-27
-368	-1433	-153
-365	-1475	-213
-327	-1572	-205
-310	-1572	-199
-257	-1451	-285
24	-1237	-318
430	-970	-219
418	-725	-276
180	-830	-199
-146	-1234	-130
-294	-1374	-42
-373	-1487	-40
-431	-1588	56
-480	-1650	-53
-586	-1932	-136
-938	-2016	35
-920	-1664	242
-854	-1450	650
-825	-1150	705
-794	-1173	616
-612	-1108	397
-500	-1434	163
-358	-1679	104
-246	-1727	214
-299	-1617	158
-322	-1474	-30
-363	-1399	-167
-407	-1410	-240
-361	-1533	-239
-290	-1490	-208
-210	-1261	-260
-17	-1060	-272
256	-885	-188
296	-671	-288
67	-810	-201
-132	-1232	-127
-362	-1402	-29
-402	-1480	31
-438	-1541	134
-385	-1599	1
-431	-1899	-47
-831	-2107	380
-1066	-1706	730
-970	-1425	707
-778	-1158	594
-780	-1321	295
-732	-1064	81
-614	-1354	73
-540	-1558	143
-503	-1565	73
-427	-1489	-43
-414	-1455	-172
-389	-1434	-223
-315	-1430	-207
-261	-1485	-168
-239	-1424	-150
-193	-1228	-163
145	-940	-108
526	-707	-160
254	-724	-130
-145	-1106	53
-287	-1515	46
-235	-1703	-81
-420	-1678	-95
-460	-1569	-12
-547	-1414	-58
-873	-1539	163
-896	-1544	186
-743	-1472	335
-735	-1371	411
-832	-1072	293
-897	-1137	265
-852	-1172	127
-687	-1440	43
-568	-1675	24
-463	-1643	3
-418	-1563	-49
-374	-1436	-119
-319	-1333	-158
-299	-1261	-164
-256	-1308	-156
-259	-1383	-138
-229	-1332	-160
20	-1066	-211
260	-842	-206
256	-886	-201
125	-927	-280
-135	-1277	-290
-343	-1522	-157
-425	-1655	-164
-514	-1659	-30
-606	-1585	35
-624	-1553	-99
-750	-1749	7
-756	-1650	395
-724	-1391	725
-825	-1167	579
-960	-1157	404
-782	-1199	211
-550	-1345	119
-470	-1823	88
-457	-1736	117
-448	-1667	90
-433	-1549	-36
-420	-1437	-151
-352	-1331	-181
-257	-1279	-152
-196	-1222	-130
-227	-1115	-160
-130	-946	-255
-56	-925	-242
9	-961	-303
-106	-766	-265
-348	-1021	-97
-320	-1139	-26
-344	-1222	-91
-374	-1279	-16
-443	-1469	68
-439	-1607	-29
-563	-1925	-27
-913	-1889	274
-1008	-1581	404
-869	-1427	413
-752	-1163	423
-769	-1234	339
-709	-1098	188
-680	-1411	108
-550	-1432	68
-420	-1459	52
-341	-1400	-8
-341	-1350	-114
-333	-1361	-178
-311	-1392	-188
-304	-1478	-176
-293	-1493	-188
-272	-1309	-263
-174	-1179	-269
-12	-1248	-272
-75	-901	-262
115	-713	-27
-114	-822	120
-163	-908	132
-170	-1024	29
-228	-1331	29
-334	-1629	-130
-538	-2017	-340
-1148	-2160	-133
-1295	-1462	-92
-810	-1473	202
-844	-1172	402
-860	-1075	516
-695	-1048	344
-681	-1339	117
-570	-1583	1
-321	-1606	68
-243	-1540	124
-311	-1386	9
-381	-1338	-120
-413	-1314	-207
-375	-1352	-220
-282	-1330	-185
-228	-1193	-193
-133	-1042	-217
53	-907	-143
140	-896	-155
17	-695	-121
-266	-925	74
-275	-1169	147
-239	-1347	19
-320	-1417	-8
-428	-1551	64
-490	-1627	27
-707	-1746	101
-950	-1532	246
-845	-1427	316
-758	-1366	228
-770	-1096	161
-857	-1185	166
-826	-1029	97
-756	-1396	12
-572	-1432	-24
-394	-1490	-52
-331	-1418	-52
-332	-1364	-95
-311	-1340	-137
-306	-1314	-156
-286	-1340	-147
-284	-1356	-171
-254	-1313	-255
90	-1089	-192
389	-953	-208
255	-847	-195
-126	-1003	9
-310	-1306	52
-246	-1403	-29
-404	-1430	-102
-500	-1454	2
-527	-1415	-83
-649	-1452	-16
-838	-1413	186
-832	-1354	376
-797	-1382	392
-757	-1162	219
-739	-1157	225
-700	-1163	219
-653	-1241	122
-635	-1620	51
-511	-1571	-27
-403	-1489	-79
-331	-1307	-106
-304	-1187	-109
-305	-1207	-120
-301	-1319	-135
-266	-1386	-133
-241	-1275	-148
-153	-1061	-179
-48	-916	-153
-47	-969	-144
-87	-914	-136
-304	-1148	-63
-324	-1175	2
-285	-1104	1
-290	-1101	39
-377	-1253	55
-417	-1484	-178
-682	-2052	-419
-1227	-2187	-355
-1243	-1480	-117
-1076	-1202	151
-1197	-1120	286
-1163	-1103	123
-753	-1145	40
-548	-1567	-9
-351	-1617	10
-309	-1632	86
-392	-1504	34
-369	-1433	-110
-381	-1360	-190
-389	-1388	-200
-355	-1518	-196
-329	-1490	-198
-229	-1333	-234
-50	-1163	-207
250	-1027	-215
285	-652	-331
-23	-716	-56
-158	-1003	33
-227	-1253	-75
-379	-1513	-119
-538	-1799	2
-594	-1853	-113
-774	-2005	-99
-1165	-1745	68
-841	-1600	447
-747	-1380	658
-736	-1063	646
-760	-1198	467
-703	-1156	238
-575	-1571	92
-374	-1743	117
-291	-1700	148
-344	-1502	47
-375	-1418	-115
-421	-1371	-205
-412	-1430	-251
-319	-1500	-220
-260	-1369	-224
-170	-1209	-278
55	-1031	-241
308	-885	-228
196	-678	-314
-147	-927	-122
-204	-1200	39
-210	-1463	24
-336	-1662	-6
-449	-1759	97
-423	-1692	-56
-646	-1863	70
-1030	-1759	531
-908	-1635	735
-745	-1377	626
-695	-1105	463
-696	-1256	331
-623	-1135	180
-562	-1515	86
-519	-1616	49
-491	-1604	0
-436	-1526	-72
-397	-1452	-174
-374	-1372	-203
-314	-1348	-206
-277	-1397	-186
-247	-1331	-143
-129	-1148	-128
138	-799	-111
260	-862	-150
193	-895	-148
-107	-1167	-38
-216	-1308	36
-274	-1356	25
-341	-1367	-11
-398	-1451	-9
-440	-1591	-108
-595	-1911	-69
-932	-1903	103
-1066	-1661	232
-978	-1407	356
-829	-1111	458
-772	-1236	353
-682	-1140	212
-590	-1449	145
-475	-1469	115
-430	-1557	129
-452	-1510	57
-444	-1519	-83
-417	-1526	-177
-394	-1468	-183
-374	-1449	-153
-192	-1257	-126
52	-963	-272
171	-778	-291
164	-1000	-190
86	-1009	-298
-171	-1306	-246
-317	-1482	-108
-353	-1539	-107
-467	-1492	-73
-525	-1507	-19
-547	-1473	-93
-733	-1618	25
-901	-1618	233
-869	-1560	447
-845	-1290	510
-840	-1121	515
-852	-1298	333
-689	-1301	176
-534	-1650	110
-375	-1703	103
-384	-1696	42
-393	-1534	-63
-349	-1400	-158
-355	-1294	-198
-310	-1258	-220
-248	-1289	-227
-264	-1398	-280
-215	-1418	-431
93	-1097	-402
308	-879	-242
137	-655	-228
27	-732	-40
-254	-1187	20
-246	-1591	-66
-473	-1902	-118
-609	-1927	31
-674	-1615	-45
-817	-1509	-42
-656	-1565	35
-619	-1517	285
-746	-1379	530
-831	-1117	442
-956	-1168	405
-831	-1198	245
-554	-1431	169
-344	-1716	141
-351	-1739	81
-391	-1699	0
-375	-1476	-124
-361	-1328	-203
-348	-1250	-240
-295	-1281	-255
-252	-1337	-274
-231	-1263	-290
-134	-1158	-313
153	-956	-157
331	-786	-218
275	-775	-333
-140	-1319	-183
-303	-1521	38
-242	-1568	56
-209	-1584	61
-296	-1661	-22
-455	-1734	-70
-842	-1927	117
-1078	-1685	273
-934	-1446	449
-774	-1180	501
-796	-1135	474
-833	-1228	289
-708	-1375	105
-516	-1681	-1
-362	-1717	18
-360	-1691	26
-372	-1571	-102
-370	-1485	-207
-388	-1410	-220
-335	-1400	-214
-284	-1408	-193
-256	-1361	-235
-49	-1147	-276
372	-924	-308
539	-718	-447
-33	-894	-146
-203	-1334	0
-224	-1499	-122
-336	-1660	-245
-540	-1768	3
-582	-1654	-9
-600	-1562	-81
-818	-1634	158
-743	-1725	364
-761	-1588	457
-794	-1276	396
-889	-1186	423
-776	-1130	309
-596	-1266	182
-507	-1517	138
-452	-1557	113
-397	-1570	36
-354	-1455	-64
-328	-1393	-131
-323	-1317	-180
-296	-1291	-180
-280	-1371	-178
-280	-1380	-228
-60	-1143	-263
327	-911	-237
433	-837	-353
102	-863	-226
-153	-1302	-101
-307	-1509	-57
-371	-1519	-82
-381	-1502	36
-415	-1486	32
-511	-1505	97
-703	-1591	378
-680	-1645	476
-665	-1585	461
-742	-1273	366
-856	-1182	401
-850	-1205	302
-661	-1245	152
-550	-1509	61
-480	-1519	18
-424	-1499	14
-397	-1387	-55
-370	-1361	-120
-353	-1333	-157
-328	-1380	-166
-313	-1440	-166
-202	-1347	-205
138	-999	-230
340	-798	-225
290	-944	-230
38	-993	-208
-181	-1407	-73
-327	-1536	-13
-353	-1556	-37
-373	-1582	123
-415	-1549	134
-486	-1483	62
-621	-1620	185
-803	-1561	277
-989	-1396	268
-979	-1113	267
-885	-1166	357
-835	-1181	207
-768	-1436	65
-603	-1681	25
-408	-1696	31
-319	-1628	20
-358	-1520	-76
-374	-1495	-143
-376	-1472	-179
-349	-1520	-187
-358	-1580	-203
-217	-1440	-300
275	-1060	-280
708	-752	-288
456	-813	-237
127	-1115	-158
-144	-1467	-102
-312	-1592	-85
-387	-1661	-58
-496	-1754	-16
-578	-1727	-207
-861	-1782	-71
-1068	-1753	163
-966	-1647	468
-807	-1317	589
-720	-1073	583
-817	-1230	475
-773	-1164	274
-596	-1578	135
-424	-1806	146
-310	-1798	183
-336	-1616	58
-417	-1490	-102
-463	-1410	-150
-424	-1393	-174
-346	-1443	-158
-261	-1469	-193
50	-1225	-258
436	-791	-293
386	-782	-273
138	-772	-215
-85	-1140	-226
-282	-1507	-190
-540	-1762	-115
-673	-1764	51
-662	-1638	42
-578	-1587	-56
-688	-1787	176
-758	-1766	539
-758	-1537	718
-788	-1281	638
-796	-1071	588
-736	-1278	399
-573	-1241	228
-494	-1673	168
-487	-1741	122
-470	-1764	29
-434	-1584	-93
-386	-1448	-203
-372	-1353	-232
-338	-1353	-221
-307	-1402	-208
-292	-1365	-224
-94	-1238	-265
258	-908	-250
380	-914	-320
228	-804	-218
-127	-1258	-91
-289	-1469	-22
-324	-1614	-59
-389	-1655	44
-381	-1708	19
-422	-1895	-180
-790	-2191	-9
-1160	-1870	304
-1084	-1547	510
-947	-1286	523
-801	-1070	505
-726	-1093	371
-643	-1047	240
-587	-1503	60
-535	-1744	24
-455	-1748	91
-421	-1713	-9
-434	-1707	-199
-485	-1656	-263
-455	-1644	-233
-371	-1614	-183
-268	-1477	-193
115	-1165	-175
560	-705	-205
540	-799	-230
250	-852	-228
-87	-1317	-211
-277	-1552	-124
-357	-1754	-114
-457	-1885	-13
-544	-1870	19
-620	-1764	-19
-761	-1832	168
-749	-1744	419
-791	-1563	514
-903	-1177	402
-998	-1031	403
-851	-1073	275
-616	-1249	103
-528	-1647	-10
-503	-1684	-13
-449	-1602	-3
-381	-1482	-82
-376	-1448	-187
-402	-1467	-235
-362	-1611	-228
-340	-1708	-186
-291	-1621	-182
183	-1253	-189
628	-699	-289
524	-737	-230
167	-949	-172
-94	-1405	-184
-287	-1606	-122
-379	-1752	-38
-440	-1803	44
-508	-1724	-76
-656	-1738	-52
-899	-1670	260
-786	-1576	464
-778	-1332	551
-734	-1020	494
-814	-1075	503
-755	-1135	292
-695	-1511	132
-453	-1789	142
-309	-1858	109
-292	-1727	42
-379	-1611	-74
-415	-1563	-181
-477	-1576	-240
-436	-1696	-224
-225	-1619	-243
152	-1300	-280
549	-704	-389
558	-826	-340
336	-860	-342
10	-1309	-277
-177	-1614	-191
-363	-1823	-127
-484	-1858	12
-562	-1763	87
-531	-1597	-72
-684	-1670	260
-709	-1701	650
-673	-1635	726
-664	-1300	600
-719	-1044	559
-736	-1219	415
-675	-1243	225
-622	-1749	90
-507	-1812	69
-434	-1701	48
-408	-1533	-51
-426	-1436	-158
-443	-1379	-209
-357	-1390	-202
-300	-1423	-172
-219	-1366	-205
124	-998	-234
424	-671	-246
312	-877	-251
63	-1019	-236
-146	-1514	-193
-346	-1677	-108
-440	-1698	-68
-492	-1650	72
-507	-1467	-16
-560	-1481	-29
-736	-1741	172
-822	-1765	435
-835	-1488	554
-807	-1160	516
-842	-1147	524
-782	-1204	313
-660	-1477	133
-519	-1749	80
-402	-1747	95
-375	-1622	54
-379	-1491	-68
-393	-1435	-165
-413	-1412	-210
-347	-1480	-211
-284	-1472	-191
-143	-1312	-223
200	-918	-222
351	-722	-161
260	-816	-169
49	-951	-172
-237	-1354	-78
-331	-1517	-21
-357	-1634	-33
-372	-1703	-1
-457	-1700	-116
-647	-1858	-9
-957	-1906	257
-994	-1674	477
-855	-1394	634
-675	-1102	574
-682	-1146	550
-707	-1063	356
-675	-1336	154
-564	-1716	70
-442	-1705	87
-368	-1660	57
-381	-1555	-84
-430	-1555	-198
