A_X [mg] A_Y [mg] A_Z [mg]
56 	 823 	 -591
-803 	 1663 	 -602
-745 	 1325 	 -17
529 	 557 	 487
627 	 495 	 548
273 	 812 	 255
191 	 805 	 -33
-175 	 1478 	 -175
-418 	 1665 	 540
136 	 1151 	 964
-129 	 1663 	 -200
81 	 1573 	 -799
497 	 1460 	 412
330 	 1095 	 -230
179 	 468 	 -302
-161 	 311 	 -258
109 	 167 	 -369
104 	 3 	 -40
993 	 761 	 1024
1212 	 1736 	 1323
945 	 1301 	 375
725 	 1004 	 -487
252 	 719 	 -647
-173 	 1326 	 -313
-730 	 1563 	 -258
-312 	 1088 	 -194
240 	 602 	 375
342 	 663 	 391
368 	 677 	 286
192 	 721 	 -56
-199 	 1356 	 -37
-462 	 1713 	 518
138 	 1262 	 772
2 	 1641 	 -314
469 	 1565 	 -688
446 	 1384 	 450
101 	 883 	 -253
87 	 402 	 -344
-130 	 311 	 -245
108 	 230 	 -348
261 	 59 	 297
1205 	 1073 	 1134
777 	 1295 	 751
835 	 622 	 -353
1015 	 1470 	 -414
-170 	 1373 	 -352
-479 	 1058 	 -406
-696 	 1361 	 -302
-246 	 887 	 -15
580 	 706 	 495
413 	 681 	 345
227 	 893 	 -111
-410 	 1705 	 126
-219 	 1380 	 867
307 	 1079 	 562
-32 	 1407 	 400
263 	 1496 	 -879
326 	 1540 	 -59
87 	 1596 	 365
235 	 709 	 -463
9 	 388 	 -247
68 	 247 	 -346
119 	 13 	 11
867 	 271 	 749
1109 	 1466 	 939
832 	 1259 	 392
1133 	 939 	 -320
343 	 1008 	 -336
-239 	 1144 	 -406
-633 	 1432 	 -386
-447 	 1174 	 -77
267 	 662 	 300
592 	 719 	 403
333 	 640 	 310
126 	 875 	 -99
-376 	 1684 	 -221
-113 	 1445 	 1043
156 	 1091 	 844
-12 	 1501 	 157
-78 	 1729 	 -820
233 	 1497 	 -346
510 	 1428 	 298
238 	 853 	 -367
-191 	 413 	 -296
-86 	 224 	 -456
203 	 1 	 -224
824 	 264 	 685
1273 	 1607 	 1121
639 	 782 	 413
894 	 1096 	 -299
384 	 1488 	 -447
-211 	 924 	 -511
-593 	 1273 	 -415
-613 	 1108 	 -10
365 	 784 	 445
682 	 699 	 420
339 	 745 	 298
58 	 1002 	 -200
-337 	 1535 	 -105
-89 	 1342 	 1023
204 	 1108 	 875
-143 	 1529 	 29
8 	 1602 	 -872
591 	 1427 	 -410
456 	 1355 	 378
237 	 767 	 -221
71 	 482 	 -261
-130 	 305 	 -299
119 	 217 	 -261
233 	 96 	 216
1154 	 1035 	 1163
883 	 1229 	 946
872 	 1059 	 -126
667 	 1227 	 -422
43 	 840 	 -383
-355 	 1159 	 -157
-525 	 1264 	 -289
-106 	 929 	 75
365 	 710 	 337
440 	 715 	 364
174 	 646 	 246
