STEVAL-STWINKT1 (ISM330DHCX) 


A_X [g]	A_Y [g]	A_Z [g]	G_X [mdps]	G_Y [mdps]	G_Z [mdps]	
  -0.010919000	  -0.032147000	   1.011929000	 245.000000000	-761.250000000	-367.500000000	
  -0.007808000	  -0.028426000	   1.017846000	 192.500000000	-1102.500000000	-472.500000000	
   0.003843000	  -0.035807000	   1.011624000	  52.500000000	-1006.250000000	-507.500000000	
  -0.008662000	  -0.034160000	   1.015955000	 183.750000000	-787.500000000	-428.750000000	
  -0.010187000	  -0.029402000	   1.009672000	 262.500000000	-997.500000000	-463.750000000	
   0.005368000	  -0.033184000	   1.018456000	 166.250000000	-1006.250000000	-516.250000000	
  -0.007198000	  -0.035624000	   1.009489000	 166.250000000	-813.750000000	-437.500000000	
  -0.012810000	  -0.029707000	   1.010038000	 157.500000000	-936.250000000	-420.000000000	
   0.002867000	  -0.030439000	   1.016931000	 131.250000000	-1085.000000000	-455.000000000	
  -0.002318000	  -0.037088000	   1.016077000	 166.250000000	-848.750000000	-420.000000000	
  -0.014579000	  -0.032208000	   1.008330000	 201.250000000	-866.250000000	-420.000000000	
  -0.001769000	  -0.024766000	   1.018883000	 157.500000000	-1225.000000000	-490.000000000	
   0.004392000	  -0.037759000	   1.010282000	  26.250000000	-857.500000000	-446.250000000	
  -0.014335000	  -0.036722000	   1.010221000	 201.250000000	-735.000000000	-402.500000000	
  -0.007320000	  -0.026840000	   1.019615000	 157.500000000	-1155.000000000	-472.500000000	
   0.005063000	  -0.033489000	   1.012356000	  26.250000000	-988.750000000	-463.750000000	
  -0.010248000	  -0.036783000	   1.010343000	  96.250000000	-700.000000000	-376.250000000	
  -0.010126000	  -0.026108000	   1.017541000	 140.000000000	-945.000000000	-446.250000000	
   0.006771000	  -0.031110000	   1.010770000	 148.750000000	-1006.250000000	-446.250000000	
  -0.007442000	  -0.037881000	   1.013637000	 175.000000000	-735.000000000	-411.250000000	
  -0.014518000	  -0.029829000	   1.013088000	 201.250000000	-918.750000000	-490.000000000	
   0.005612000	  -0.026718000	   1.014308000	  87.500000000	-1120.000000000	-490.000000000	
  -0.003538000	  -0.038430000	   1.011319000	 122.500000000	-813.750000000	-428.750000000	
  -0.015067000	  -0.032940000	   1.014064000	 201.250000000	-822.500000000	-463.750000000	
   0.001586000	  -0.026840000	   1.014979000	 148.750000000	-1146.250000000	-463.750000000	
   0.001281000	  -0.036295000	   1.011258000	  96.250000000	-910.000000000	-463.750000000	
  -0.015250000	  -0.033489000	   1.013881000	 148.750000000	-796.250000000	-428.750000000	
  -0.003233000	  -0.026291000	   1.018517000	 175.000000000	-1128.750000000	-446.250000000	
   0.004514000	  -0.035807000	   1.010953000	 175.000000000	-883.750000000	-385.000000000	
  -0.011956000	  -0.039406000	   1.011990000	 253.750000000	-813.750000000	-402.500000000	
  -0.010858000	  -0.025437000	   1.015589000	 201.250000000	-1067.500000000	-437.500000000	
   0.007564000	  -0.031659000	   1.009367000	  96.250000000	-980.000000000	-437.500000000	
  -0.006344000	  -0.040931000	   1.017114000	 148.750000000	-761.250000000	-385.000000000	
  -0.015067000	  -0.028731000	   1.014430000	 201.250000000	-1058.750000000	-516.250000000	
   0.002989000	  -0.026474000	   1.013515000	 210.000000000	-1067.500000000	-490.000000000	
   0.001403000	  -0.039345000	   1.012905000	 105.000000000	-761.250000000	-402.500000000	
  -0.015982000	  -0.032208000	   1.009611000	 201.250000000	-813.750000000	-472.500000000	
  -0.000976000	  -0.025925000	   1.015345000	 201.250000000	-1085.000000000	-490.000000000	
   0.001708000	  -0.035929000	   1.012051000	 131.250000000	-892.500000000	-420.000000000	
  -0.012017000	  -0.035868000	   1.013454000	 157.500000000	-735.000000000	-463.750000000	
  -0.006405000	  -0.029829000	   1.014125000	 131.250000000	-1085.000000000	-498.750000000	
   0.002135000	  -0.031476000	   1.010404000	 122.500000000	-971.250000000	-393.750000000	
  -0.011773000	  -0.035929000	   1.013698000	 192.500000000	-813.750000000	-385.000000000	
  -0.004880000	  -0.029890000	   1.014674000	 166.250000000	-980.000000000	-437.500000000	
   0.002257000	  -0.030317000	   1.010404000	 140.000000000	-901.250000000	-455.000000000	
  -0.010614000	  -0.035685000	   1.019371000	 201.250000000	-918.750000000	-367.500000000	
  -0.005978000	  -0.031110000	   1.009428000	 148.750000000	-1023.750000000	-455.000000000	
   0.000671000	  -0.029707000	   1.012539000	 183.750000000	-927.500000000	-437.500000000	
  -0.006405000	  -0.035258000	   1.015650000	 192.500000000	-840.000000000	-385.000000000	
  -0.008662000	  -0.031842000	   1.012783000	 157.500000000	-997.500000000	-507.500000000	
  -0.000732000	  -0.029463000	   1.013820000	 166.250000000	-936.250000000	-463.750000000	
  -0.001159000	  -0.033001000	   1.011075000	 148.750000000	-840.000000000	-411.250000000	
  -0.010919000	  -0.032879000	   1.013454000	 157.500000000	-901.250000000	-455.000000000	
  -0.000793000	  -0.031659000	   1.016565000	 131.250000000	-945.000000000	-533.750000000	
  -0.002806000	  -0.033489000	   1.013820000	 140.000000000	-857.500000000	-428.750000000	
  -0.007320000	  -0.033489000	   1.007598000	 210.000000000	-883.750000000	-463.750000000	
  -0.003965000	  -0.031964000	   1.019127000	 166.250000000	-1111.250000000	-516.250000000	
  -0.004758000	  -0.033001000	   1.009245000	 113.750000000	-901.250000000	-402.500000000	
  -0.005978000	  -0.031293000	   1.014186000	 192.500000000	-805.000000000	-402.500000000	
  -0.002562000	  -0.032513000	   1.014369000	 166.250000000	-1015.000000000	-437.500000000	
  -0.005429000	  -0.032391000	   1.012478000	 140.000000000	-962.500000000	-428.750000000	
  -0.006527000	  -0.032513000	   1.016443000	 105.000000000	-901.250000000	-463.750000000	
   0.000122000	  -0.032025000	   1.011441000	 148.750000000	-1032.500000000	-472.500000000	
  -0.003843000	  -0.033916000	   1.013942000	 201.250000000	-840.000000000	-411.250000000	
  -0.009638000	  -0.032574000	   1.015467000	  96.250000000	-866.250000000	-385.000000000	
  -0.002501000	  -0.030500000	   1.012417000	 157.500000000	-962.500000000	-446.250000000	
  -0.001586000	  -0.032635000	   1.012417000	 236.250000000	-936.250000000	-472.500000000	
  -0.007869000	  -0.033489000	   1.016077000	 175.000000000	-805.000000000	-367.500000000	
  -0.005551000	  -0.030622000	   1.012295000	 122.500000000	-1041.250000000	-446.250000000	
   0.001525000	  -0.032025000	   1.013515000	 122.500000000	-1023.750000000	-525.000000000	
  -0.008540000	  -0.036539000	   1.013576000	 210.000000000	-761.250000000	-393.750000000	
  -0.008479000	  -0.027938000	   1.015528000	 201.250000000	-988.750000000	-490.000000000	
   0.002135000	  -0.031293000	   1.013698000	 175.000000000	-1067.500000000	-498.750000000	
  -0.006039000	  -0.035258000	   1.011746000	 157.500000000	-691.250000000	-446.250000000	
  -0.010675000	  -0.031110000	   1.012417000	 131.250000000	-918.750000000	-411.250000000	
   0.003538000	  -0.031537000	   1.016504000	  96.250000000	-1058.750000000	-446.250000000	
  -0.004941000	  -0.038247000	   1.012600000	 201.250000000	-770.000000000	-428.750000000	
  -0.014335000	  -0.030744000	   1.015284000	 201.250000000	-910.000000000	-455.000000000	
   0.003172000	  -0.025132000	   1.012234000	 175.000000000	-1146.250000000	-481.250000000	
   0.000854000	  -0.037454000	   1.013271000	 122.500000000	-770.000000000	-402.500000000	
  -0.015616000	  -0.033916000	   1.018212000	 210.000000000	-840.000000000	-420.000000000	
  -0.003477000	  -0.026108000	   1.010831000	 166.250000000	-1111.250000000	-498.750000000	
   0.005551000	  -0.033977000	   1.010282000	 175.000000000	-883.750000000	-463.750000000	
  -0.014701000	  -0.038491000	   1.015833000	 218.750000000	-822.500000000	-472.500000000	
  -0.007564000	  -0.026901000	   1.014796000	 166.250000000	-1076.250000000	-437.500000000	
   0.007991000	  -0.029646000	   1.012844000	 122.500000000	-1067.500000000	-446.250000000	
  -0.007747000	  -0.039894000	   1.014552000	 218.750000000	-682.500000000	-402.500000000	
  -0.013725000	  -0.029402000	   1.010221000	 280.000000000	-971.250000000	-428.750000000	
   0.004148000	  -0.028731000	   1.019798000	 183.750000000	-1128.750000000	-481.250000000	
  -0.003782000	  -0.039040000	   1.010282000	 131.250000000	-831.250000000	-402.500000000	
  -0.013298000	  -0.030866000	   1.015467000	 113.750000000	-892.500000000	-428.750000000	
   0.003172000	  -0.028060000	   1.013698000	 201.250000000	-1207.500000000	-437.500000000	
   0.000000000	  -0.036905000	   1.013332000	 157.500000000	-927.500000000	-358.750000000	
  -0.014945000	  -0.033611000	   1.006805000	 183.750000000	-778.750000000	-437.500000000	
  -0.000976000	  -0.026901000	   1.019432000	 201.250000000	-1155.000000000	-428.750000000	
   0.004331000	  -0.037210000	   1.012661000	  87.500000000	-927.500000000	-411.250000000	
  -0.014945000	  -0.037454000	   1.009245000	 236.250000000	-752.500000000	-437.500000000	
  -0.007747000	  -0.025132000	   1.019798000	 201.250000000	-1137.500000000	-455.000000000	
   0.008052000	  -0.031903000	   1.009001000	 122.500000000	-980.000000000	-428.750000000	
  -0.008174000	  -0.038796000	   1.013271000	 192.500000000	-726.250000000	-376.250000000	
  -0.014274000	  -0.029768000	   1.016931000	 218.750000000	-1023.750000000	-446.250000000	
   0.005673000	  -0.030622000	   1.006805000	 157.500000000	-1093.750000000	-446.250000000	
  -0.005429000	  -0.037454000	   1.019432000	 122.500000000	-778.750000000	-446.250000000	
  -0.016226000	  -0.030866000	   1.009794000	 157.500000000	-936.250000000	-490.000000000	
   0.003477000	  -0.027023000	   1.017236000	 148.750000000	-1102.500000000	-516.250000000	
  -0.000671000	  -0.038125000	   1.012295000	 157.500000000	-840.000000000	-437.500000000	
  -0.015067000	  -0.033916000	   1.014491000	 183.750000000	-918.750000000	-437.500000000	
   0.000671000	  -0.026657000	   1.010648000	 201.250000000	-1085.000000000	-507.500000000	
   0.001159000	  -0.034526000	   1.015162000	 131.250000000	-927.500000000	-393.750000000	
