A_X [mg]	A_Y [mg]	A_Z [mg]
371	-1481	423
935	-1118	125
2922	-55	-673
4346	2554	-956
2454	2218	-946
958	1755	-762
0	1059	-498
-514	583	-222
-821	451	-10
-912	491	185
-781	662	91
-311	880	147
1325	1296	-504
3550	2718	-1008
3547	1627	-464
1481	258	-212
752	-544	-94
596	-770	243
390	-935	323
233	-990	240
584	-653	37
2854	-168	-612
4836	2833	-928
2523	2054	-668
513	1504	-800
-365	965	-457
-853	574	-241
-1122	481	-79
-987	462	-83
-672	667	93
31	932	30
2320	2584	-475
4409	2910	-327
2490	1048	-80
906	-40	-137
534	-496	69
550	-717	349
331	-1150	378
430	-1008	387
1333	-609	36
3467	423	-347
4237	2513	-630
1915	2040	-690
369	1617	-776
-292	1055	-577
-760	632	-347
-1118	410	-148
-1025	511	-79
-449	757	182
563	1215	-5
2595	2612	-258
3832	2416	-135
2070	1048	-38
856	-5	-153
754	-539	132
769	-851	380
629	-1041	420
837	-578	365
1837	-83	302
3823	1629	-278
3078	2308	-378
1140	1560	-642
-40	868	-611
-692	483	-443
-996	364	-276
-959	215	-244
-641	350	-162
-139	669	-10
1457	1684	-377
3473	3060	12
2809	1798	16
1322	472	60
627	-236	154
687	-632	313
709	-1254	370
708	-1181	248
1265	-699	-54
3325	277	-583
4160	2754	-839
2168	2045	-892
535	1529	-771
-216	937	-445
-874	574	-142
-1288	245	122
-1149	463	177
-484	515	201
659	1054	-27
3078	2832	-120
3899	2124	-102
1752	781	180
744	-18	157
608	-474	392
702	-901	483
742	-1056	383
994	-622	118
2064	-323	-296
3473	1703	-926
2609	1674	-865
1163	1283	-957
350	911	-678
-202	588	-429
-616	396	-180
-818	378	83
-646	420	226
-245	410	180
927	1174	46
2843	2450	-28
3062	1811	121
1623	774	214
870	139	200
759	-134	273
743	-325	255
558	-594	223
617	-608	71
1060	-452	-112
2656	91	-300
3534	2048	-600
1965	1427	-489
907	1199	-881
253	924	-756
-217	626	-518
-582	496	-145
-670	413	245
-578	393	410
-213	360	396
1060	1078	369
3222	2479	-151
3123	1756	328
1367	655	221
577	19	90
482	-235	81
581	-486	61
736	-572	24
868	-403	-66
1381	-251	-326
2892	750	-649
2712	1964	-844
1430	1278	-783
435	926	-563
-177	532	-221
-557	278	-89
-673	348	125
-526	378	227
-262	538	178
705	901	-112
2439	2112	-584
3294	2046	-203
1829	900	-46
799	159	-38
521	-168	131
486	-439	237
462	-780	252
662	-793	135
1062	-548	-56
2710	84	-490
3424	1951	-696
2070	1504	-669
783	1141	-614
95	739	-269
-415	515	-97
-817	509	107
-873	511	170
-632	743	157
