A_X [mg]	A_Y [mg]	A_Z [mg]
222	-629	-777
191	-645	-867
238	-726	-839
142	-653	-881
27	-597	-899
-53	-588	-825
-140	-542	-848
-188	-506	-932
-215	-496	-914
-230	-491	-916
-271	-486	-947
-187	-538	-881
-66	-570	-959
-51	-505	-1004
-66	-486	-846
-73	-490	-826
-51	-482	-942
-37	-484	-941
-23	-491	-900
-19	-455	-905
-7	-481	-939
17	-481	-1030
8	-452	-999
-20	-366	-1008
12	-307	-999
54	-418	-795
68	-462	-734
44	-568	-678
22	-667	-784
-11	-659	-953
-88	-616	-1028
-151	-538	-935
-220	-514	-766
-256	-522	-711
-307	-510	-813
-347	-436	-977
-399	-517	-811
-407	-534	-888
-328	-491	-1067
-335	-449	-970
-325	-416	-772
-217	-462	-800
-186	-500	-814
-185	-541	-842
-214	-561	-881
-266	-621	-935
-231	-656	-1154
-245	-639	-1084
-236	-587	-1021
-184	-533	-968
-102	-519	-910
-63	-447	-906
-61	-432	-737
-65	-488	-703
-113	-527	-744
-154	-633	-842
-230	-586	-1148
-260	-634	-1002
-291	-567	-1071
-306	-421	-1068
-292	-506	-838
-209	-462	-1010
-197	-334	-979
-262	-421	-697
-203	-554	-728
-191	-568	-1153
-284	-403	-1302
-207	-346	-849
-74	-473	-667
-115	-519	-703
-152	-587	-844
-75	-623	-920
-70	-547	-918
-139	-503	-799
-171	-618	-813
-87	-566	-876
-72	-490	-885
-159	-473	-757
-120	-567	-662
-72	-620	-693
-155	-663	-767
-193	-639	-1075
-145	-445	-1196
-68	-319	-891
-28	-352	-605
-27	-447	-568
-105	-651	-748
30	-704	-1458
-14	-405	-1551
-131	-410	-964
-34	-497	-775
-6	-485	-777
-84	-491	-781
-75	-470	-959
-11	-354	-1035
-49	-361	-802
-66	-431	-678
-103	-530	-677
-34	-620	-1023
-6	-531	-1411
-78	-384	-1182
-64	-381	-829
-53	-414	-677
-23	-480	-792
-65	-459	-977
-122	-498	-999
-21	-506	-1136
-34	-500	-1153
13	-469	-1113
63	-423	-950
66	-395	-758
87	-481	-627
59	-552	-667
36	-579	-861
-27	-512	-1173
-106	-429	-1167
-61	-447	-887
-123	-505	-735
-135	-529	-928
-92	-533	-1177
-51	-445	-1306
-65	-339	-1131
-17	-352	-848
25	-389	-843
62	-458	-943
145	-508	-963
88	-417	-1105
18	-291	-1185
166	-274	-1037
201	-264	-760
159	-355	-490
92	-445	-489
-47	-479	-676
69	-516	-1284
24	-419	-1395
-76	-355	-909
-81	-378	-711
-116	-449	-741
-77	-553	-1052
-14	-486	-1537
-100	-361	-1365
13	-426	-960
96	-497	-647
112	-452	-843
99	-369	-1035
132	-423	-919
171	-474	-885
56	-475	-971
2	-518	-1033
139	-680	-1300
140	-258	-1703
-32	-151	-912
94	-337	-495
79	-443	-583
53	-578	-838
-66	-524	-1135
-91	-489	-1234
-21	-577	-1003
-34	-508	-999
-37	-301	-810
-8	-290	-643
5	-344	-681
-75	-375	-644
-136	-371	-838
-49	-483	-1052
-18	-460	-1264
-37	-363	-1198
-39	-337	-1035
-48	-273	-995
-19	-310	-985
-8	-409	-1005
24	-468	-1026
66	-506	-989
81	-568	-1045
128	-472	-1132
91	-404	-871
53	-368	-784
37	-314	-794
38	-331	-872
-22	-352	-891
-16	-505	-1115
90	-425	-1423
