A_X [mg] A_Y [mg] A_Z [mg]
-90 	 1145 	 -197
13 	 1171 	 -148
-8 	 1111 	 -145
-10 	 1009 	 -79
-264 	 1090 	 -169
-529 	 1051 	 -302
-198 	 686 	 -80
-231 	 763 	 -108
-55 	 790 	 -81
-136 	 815 	 -106
-228 	 923 	 -90
-96 	 999 	 -88
-225 	 986 	 -37
-275 	 827 	 87
180 	 1080 	 509
-115 	 1344 	 -230
105 	 958 	 -78
174 	 1007 	 -128
135 	 1129 	 36
190 	 1096 	 -370
102 	 1194 	 -217
-101 	 830 	 96
-310 	 958 	 -16
-43 	 1025 	 -23
-115 	 1096 	 7
-297 	 1146 	 -52
-394 	 904 	 157
-487 	 931 	 68
-226 	 1117 	 -44
-113 	 468 	 -133
-252 	 578 	 -101
-119 	 1199 	 -23
-159 	 1446 	 -130
-235 	 1224 	 -13
-6 	 992 	 -45
17 	 1053 	 -76
-79 	 1259 	 -137
-268 	 670 	 -93
22 	 88 	 -72
-68 	 744 	 -184
253 	 1144 	 -408
84 	 1197 	 -260
-30 	 872 	 -218
123 	 1109 	 -243
118 	 1030 	 -288
51 	 1069 	 -342
-36 	 1321 	 -290
7 	 1072 	 -375
16 	 902 	 -274
-76 	 782 	 -239
102 	 477 	 -238
53 	 717 	 -357
36 	 927 	 -361
-97 	 1275 	 -559
-212 	 1206 	 -504
-203 	 850 	 -267
-228 	 850 	 -306
-225 	 858 	 -399
-191 	 1029 	 -446
-238 	 1065 	 -582
-382 	 1165 	 -650
-443 	 1195 	 -484
-123 	 661 	 -267
-331 	 723 	 -428
-233 	 359 	 -600
-205 	 670 	 -579
-291 	 830 	 -588
-346 	 901 	 -497
-218 	 880 	 -563
-291 	 747 	 -558
-246 	 819 	 -468
-262 	 897 	 -319
-160 	 714 	 -316
-39 	 831 	 -285
-126 	 1030 	 -153
-148 	 936 	 -556
-166 	 1036 	 -511
-313 	 1019 	 -534
-112 	 1041 	 -691
98 	 1079 	 -638
-112 	 938 	 -649
-71 	 798 	 -536
407 	 618 	 -437
481 	 472 	 -500
274 	 488 	 -822
183 	 393 	 -735
475 	 148 	 -577
769 	 219 	 -974
860 	 479 	 -1135
828 	 468 	 -982
866 	 650 	 -997
777 	 618 	 -896
733 	 187 	 -251
1208 	 174 	 -188
1297 	 33 	 -134
1066 	 39 	 -57
857 	 76 	 -360
653 	 -60 	 -460
733 	 -282 	 -623
582 	 -190 	 -740
362 	 -453 	 -651
449 	 -521 	 -671
454 	 -332 	 -1129
298 	 -461 	 -1047
405 	 -618 	 -1067
371 	 -456 	 -1131
146 	 -471 	 -892
246 	 -597 	 -871
290 	 -525 	 -985
228 	 -425 	 -1031
214 	 -419 	 -987
208 	 -492 	 -831
179 	 -526 	 -995
140 	 -525 	 -927
103 	 -525 	 -847
107 	 -516 	 -812
121 	 -516 	 -1013
107 	 -437 	 -1026
40 	 -400 	 -771
69 	 -400 	 -745
73 	 -430 	 -864
82 	 -478 	 -888
79 	 -561 	 -742
34 	 -550 	 -792
30 	 -593 	 -872
32 	 -636 	 -774
19 	 -591 	 -729
26 	 -596 	 -834
-47 	 -576 	 -756
-20 	 -560 	 -634
-119 	 -512 	 -994
-102 	 -525 	 -951
-78 	 -576 	 -979
-9 	 -695 	 -766
-123 	 -621 	 -765
-142 	 -576 	 -922
17 	 -542 	 -958
-42 	 -469 	 -823
-68 	 -428 	 -683
-70 	 -442 	 -766
-8 	 -490 	 -584
-4 	 -588 	 -650
-19 	 -696 	 -717
-53 	 -703 	 -700
42 	 -780 	 -768
18 	 -789 	 -639
-146 	 -733 	 -691
-170 	 -680 	 -827
-75 	 -789 	 -743
-90 	 -832 	 -797
-132 	 -691 	 -900
-126 	 -709 	 -948
-21 	 -650 	 -986
77 	 -546 	 -876
32 	 -565 	 -751
-17 	 -580 	 -741
31 	 -741 	 -939
166 	 -672 	 -1461
75 	 -423 	 -1087
-5 	 -400 	 -527
-12 	 -527 	 -501
137 	 -679 	 -766
162 	 -703 	 -919
36 	 -716 	 -1093
107 	 -588 	 -1204
90 	 -539 	 -936
56 	 -425 	 -652
-39 	 -490 	 -458
-21 	 -674 	 -689
114 	 -779 	 -1181
232 	 -627 	 -1418
113 	 -315 	 -917
17 	 -264 	 -507
-24 	 -375 	 -412
81 	 -650 	 -595
298 	 -775 	 -1121
236 	 -683 	 -1293
107 	 -566 	 -1076
80 	 -447 	 -928
93 	 -394 	 -766
100 	 -424 	 -640
125 	 -461 	 -697
126 	 -470 	 -788
104 	 -557 	 -917
99 	 -607 	 -1114
104 	 -519 	 -1216
25 	 -452 	 -1021
35 	 -518 	 -921
59 	 -530 	 -907
39 	 -544 	 -916
73 	 -530 	 -956
120 	 -521 	 -997
71 	 -504 	 -947
54 	 -534 	 -970
111 	 -529 	 -1046
104 	 -517 	 -1021
146 	 -506 	 -1004
176 	 -477 	 -916
169 	 -464 	 -824
128 	 -483 	 -785
152 	 -538 	 -826
210 	 -536 	 -941
173 	 -481 	 -951
160 	 -510 	 -864
130 	 -494 	 -819
119 	 -514 	 -805
110 	 -557 	 -820
85 	 -550 	 -870
40 	 -530 	 -913
62 	 -543 	 -953
76 	 -558 	 -891
49 	 -568 	 -872
23 	 -540 	 -962
-7 	 -553 	 -959
4 	 -565 	 -1027
25 	 -541 	 -1185
16 	 -462 	 -1259
-29 	 -427 	 -1097
20 	 -444 	 -1038
145 	 -494 	 -1090
158 	 -443 	 -992
98 	 -503 	 -758
107 	 -572 	 -778
93 	 -578 	 -822
120 	 -588 	 -937
157 	 -479 	 -1125
159 	 -387 	 -1051
159 	 -436 	 -862
293 	 -488 	 -826
334 	 -545 	 -641
244 	 -623 	 -567
87 	 -711 	 -726
33 	 -863 	 -1022
184 	 -889 	 -1439
283 	 -587 	 -1333
171 	 -364 	 -693
24 	 -393 	 -348
-91 	 -516 	 -320
-126 	 -671 	 -502
-30 	 -756 	 -889
57 	 -821 	 -1267
120 	 -688 	 -1398
114 	 -484 	 -1083
104 	 -388 	 -585
49 	 -449 	 -391
-19 	 -578 	 -456
68 	 -574 	 -733
182 	 -574 	 -1185
223 	 -510 	 -1508
158 	 -427 	 -1171
77 	 -451 	 -684
91 	 -475 	 -625
31 	 -455 	 -702
78 	 -408 	 -872
95 	 -351 	 -962
50 	 -267 	 -936
42 	 -249 	 -826
117 	 -390 	 -641
73 	 -513 	 -635
87 	 -494 	 -963
138 	 -503 	 -1230
85 	 -432 	 -1203
43 	 -347 	 -990
77 	 -375 	 -799
96 	 -335 	 -732
70 	 -343 	 -728
67 	 -305 	 -907
65 	 -289 	 -871
-9 	 -387 	 -772
-7 	 -433 	 -970
79 	 -376 	 -1357
-21 	 -256 	 -1205
24 	 -366 	 -848
100 	 -415 	 -727
79 	 -410 	 -742
-63 	 -457 	 -721
-71 	 -456 	 -977
-11 	 -317 	 -1326
-6 	 -369 	 -1254
137 	 -436 	 -1153
201 	 -430 	 -991
265 	 -497 	 -902
249 	 -419 	 -979
110 	 -380 	 -1046
77 	 -401 	 -1009
17 	 -445 	 -998
-29 	 -557 	 -1005
-30 	 -488 	 -1369
-129 	 -202 	 -1519
-6 	 -209 	 -1063
79 	 -261 	 -589
81 	 -384 	 -453
31 	 -369 	 -847
-21 	 -412 	 -942
29 	 -410 	 -1524
-7 	 -114 	 -1604
24 	 -268 	 -902
143 	 -483 	 -647
182 	 -456 	 -904
247 	 -412 	 -991
160 	 -603 	 -813
101 	 -732 	 -1029
59 	 -720 	 -1407
-38 	 -501 	 -1429
82 	 -525 	 -1032
17 	 -468 	 -827
-17 	 -403 	 -977
-21 	 -369 	 -810
-50 	 -387 	 -851
-60 	 -341 	 -911
-5 	 -393 	 -918
73 	 -519 	 -842
47 	 -553 	 -834
68 	 -559 	 -827
152 	 -586 	 -775
196 	 -713 	 -766
208 	 -704 	 -787
216 	 -624 	 -832
191 	 -630 	 -720
211 	 -622 	 -802
282 	 -560 	 -767
257 	 -566 	 -596
