STEVAL-MKI227A (LSM6DSV16X)

G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
92.9163 	 -2.905 	 -4.61125 	
101.903 	 -3.43875 	 -5.32875 	
112.551 	 -2.70375 	 -5.39875 	
107.695 	 -5.11875 	 -5.67 	
98.7263 	 -10.4388 	 -8.96875 	
92.505 	 -13.44 	 -12.74 	
82.0575 	 -8.82 	 -12.9325 	
70.945 	 -7 	 -10.5788 	
79.2488 	 -8.32125 	 -9.07375 	
86.9575 	 -7.4725 	 -8.47 	
92.3738 	 -6.8075 	 -9.45875 	
111.379 	 -10.045 	 -9.26625 	
115.868 	 -11.0775 	 -7.98875 	
110.023 	 -9.79125 	 -5.87125 	
121.94 	 -12.25 	 -6.02 	
142.503 	 -14.5075 	 -8.6625 	
162.943 	 -16.8525 	 -7.42875 	
190.811 	 -20.0113 	 -2.26625 	
209.615 	 -22.0413 	 1.7675 	
224.63 	 -21.9625 	 1.505 	
230.72 	 -16.1613 	 1.8725 	
222.976 	 -12.5563 	 5.34625 	
212.966 	 -12.4075 	 9.82625 	
195.886 	 -9.63375 	 12.2588 	
164.308 	 -5.50375 	 10.6575 	
141.715 	 -2.7825 	 5.3025 	
129.001 	 -0.5425 	 1.8725 	
122.229 	 0.385 	 2.56375 	
111.633 	 2.47625 	 2.70375 	
95.7688 	 1.89875 	 2.8875 	
82.145 	 -3.49125 	 -0.16625 	
75.6875 	 -9.05625 	 -2.5375 	
62.6938 	 -9.09125 	 -2.80875 	
59.15 	 -7.4025 	 -4.19125 	
57.2338 	 -4.9175 	 -7.84 	
61.4513 	 -5.83625 	 -10.3075 	
74.0425 	 -7.69125 	 -10.4738 	
80.7713 	 -7.77 	 -8.72375 	
74.4188 	 -7.07875 	 -8.16375 	
73.2725 	 -7.00875 	 -10.0975 	
74.5763 	 -7.8575 	 -13.4663 	
75.0663 	 -6.50125 	 -15.2863 	
87.3338 	 -6.88625 	 -17.01 	
97.8075 	 -8.5575 	 -17.5 	
105.096 	 -10.22 	 -18.55 	
109.069 	 -12.4163 	 -18.6113 	
106.251 	 -12.7838 	 -18.1563 	
103.521 	 -13.1425 	 -17.8325 	
114.704 	 -14.9888 	 -16.695 	
124.381 	 -14.98 	 -14.0788 	
129.421 	 -13.4575 	 -12.9238 	
135.914 	 -8.54 	 -13.7288 	
127.593 	 -7.455 	 -10.7625 	
127.899 	 -14.0788 	 -13.8863 	
124.46 	 -15.9775 	 -17.92 	
118.939 	 -11.0775 	 -17.465 	
118.379 	 -6.6325 	 -16.1 	
116.296 	 -3.6925 	 -14.0525 	
112.665 	 -7.13125 	 -10.4913 	
