STEVAL-MKI227A (LSM6DSV16X)

G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-155.138 	 14.245 	 19.0225 	
-157.588 	 17.3163 	 22.5575 	
-167.038 	 17.0538 	 29.3475 	
-169.129 	 18.655 	 29.05 	
-162.663 	 18.2788 	 23.3975 	
-160.291 	 13.6675 	 14.9625 	
-164.876 	 9.35375 	 10.3775 	
-145.661 	 3.78875 	 8.19875 	
-118.099 	 3.3075 	 7.5075 	
-122.378 	 9.94 	 8.33 	
-147.761 	 8.40875 	 10.5963 	
-175.298 	 4.71625 	 12.5913 	
-191.931 	 4.27875 	 10.3075 	
-192.036 	 0.455 	 3.3775 	
-178.483 	 0.93625 	 0.63 	
-169.873 	 7.455 	 4.87375 	
-157.159 	 9.625 	 6.37875 	
-147.77 	 7.7 	 1.3825 	
-146.073 	 7.595 	 -4.99625 	
-160.3 	 10.7975 	 -7.60375 	
-173.871 	 12.7575 	 -6.1775 	
-162.838 	 13.6238 	 -3.4125 	
-151.961 	 16.3013 	 -5.99375 	
-167.65 	 22.4613 	 -8.25125 	
-183.566 	 24.0713 	 -7.37625 	
-186.988 	 24.9463 	 -5.7575 	
-205.319 	 31.115 	 -2.82625 	
-240.564 	 32.7425 	 2.66875 	
-273.446 	 31.3775 	 8.53125 	
-273.823 	 33.1625 	 10.535 	
-233.791 	 38.9988 	 6.4575 	
-170.774 	 44.1875 	 -0.00875 	
-129.763 	 43.7413 	 -5.5825 	
-119.359 	 38.08 	 -8.47875 	
-150.491 	 30.8875 	 -8.2075 	
-215.259 	 28.6738 	 -6.79 	
-286.685 	 37.5813 	 1.26875 	
-286.685 	 46.3313 	 18.1213 	
-286.685 	 47.3638 	 28.98 	
-286.685 	 48.3263 	 31.2025 	
-220.001 	 42.0963 	 23.975 	
-136.675 	 27.3438 	 5.95875 	
-107.415 	 7.945 	 -13.7463 	
-126.971 	 -1.88125 	 -20.79 	
-158.191 	 -4.13 	 -19.775 	
-165.454 	 -6.0025 	 -15.715 	
-159.18 	 -5.915 	 -11.4713 	
-170.608 	 -6.195 	 23.1963 	
-178.518 	 -4.5325 	 53.97 	
-212.896 	 12.3025 	 68.3638 	
-237.3 	 23.6688 	 65.8963 	
-215.836 	 26.565 	 49.91 	
-194.276 	 24.8938 	 33.6788 	
-189.026 	 24.1063 	 26.3288 	
-180.023 	 22.0938 	 23.5288 	
-160.571 	 20.2738 	 22.4175 	
-143.868 	 16.9225 	 17.8675 	
-165.235 	 20.0638 	 22.1113 	
-206.036 	 25.27 	 22.3738 	
-233.013 	 30.0563 	 18.6463 	
-209.423 	 27.2388 	 19.2325 	
-171.868 	 20.3088 	 17.99 	
-143.614 	 17.22 	 14.35 	
-125.169 	 18.7775 	 8.2775 	
-135.529 	 18.0513 	 6.37 	
-172.016 	 17.2375 	 7.23625 	
-190.216 	 20.44 	 10.1938 	
-173.661 	 24.8675 	 12.3288 	
-146.773 	 22.1288 	 10.9988 	
-126.718 	 17.8675 	 6.3 	
-120.899 	 19.215 	 3.9725 	
-121.275 	 17.85 	 6.9475 	
-129.071 	 19.6438 	 14.7175 	
-146.493 	 23.765 	 13.4138 	
-153.125 	 26.2063 	 6.22125 	
-144.594 	 20.3088 	 7.315 	
-141.584 	 18.4888 	 9.33625 	
-145.696 	 27.0025 	 12.4163 	
-156.485 	 31.2288 	 6.4225 	
-153.974 	 31.0538 	 1.5575 	
-153.886 	 22.2163 	 7.65625 	
-150.763 	 16.205 	 21.3238 	
-152.014 	 7.7875 	 23.4325 	
-152.959 	 2.87875 	 12.9763 	
-149.66 	 4.795 	 4.71625 	
-140 	 7.55125 	 7.9625 	
-140.84 	 8.93375 	 9.21375 	
-150.019 	 13.2213 	 7.8225 	
-167.361 	 17.71 	 10.9813 	
-166.381 	 26.845 	 8.32125 	
-160.405 	 28.9888 	 6.7025 	
-167.256 	 29.4263 	 7.37625 	
-159.101 	 36.2163 	 2.8525 	
-166.933 	 44.8 	 6.2475 	
-181.414 	 45.9638 	 14.5163 	
-188.676 	 43.4263 	 23.065 	
-179.848 	 37.0125 	 21.0175 	
-164.351 	 30.205 	 15.0238 	
-181.668 	 30.2488 	 16.9488 	
-213.605 	 34.9038 	 20.4838 	
-217.875 	 39.445 	 25.6375 	
-197.05 	 29.5925 	 20.8075 	
-190.479 	 19.355 	 17.3338 	
-187.346 	 20.58 	 14.0875 	
-165.751 	 20.9913 	 8.42625 	
-168.586 	 21.735 	 5.27625 	
-191.888 	 39.6463 	 14.3063 	
-218.645 	 56.3238 	 23.03 	
-217.359 	 50.7413 	 26.1625 	
-206.098 	 38.2813 	 24.1238 	
-193.2 	 36.015 	 20.6238 	
-187.241 	 29.0763 	 19.8013 	
-206.806 	 30.415 	 23.94 	
-217.621 	 39.9175 	 29.4263 	
-200.664 	 36.6275 	 30.94 	
-186.883 	 22.0238 	 27.3525 	
