STEVAL-STWINKT1 (ISM330DHCX) 


A_X [g]	A_Y [g]	A_Z [g]	G_X [mdps]	G_Y [mdps]	G_Z [mdps]	
  -0.004697000	  -0.032147000	   1.014491000	 227.500000000	-910.000000000	-446.250000000	
  -0.004758000	  -0.032452000	   1.014064000	 210.000000000	-962.500000000	-463.750000000	
  -0.004636000	  -0.032330000	   1.014247000	 201.250000000	-936.250000000	-446.250000000	
  -0.005002000	  -0.032513000	   1.013881000	 192.500000000	-1023.750000000	-420.000000000	
  -0.004636000	  -0.031659000	   1.014735000	 166.250000000	-962.500000000	-428.750000000	
  -0.004148000	  -0.031964000	   1.013759000	 157.500000000	-936.250000000	-472.500000000	
  -0.005124000	  -0.031842000	   1.015040000	 157.500000000	-927.500000000	-472.500000000	
  -0.005063000	  -0.031781000	   1.014064000	 113.750000000	-945.000000000	-455.000000000	
  -0.004819000	  -0.031598000	   1.015223000	 105.000000000	-883.750000000	-481.250000000	
  -0.004758000	  -0.032269000	   1.013271000	 131.250000000	-936.250000000	-463.750000000	
  -0.005002000	  -0.032086000	   1.015772000	 140.000000000	-866.250000000	-463.750000000	
  -0.004819000	  -0.031598000	   1.013942000	 157.500000000	-901.250000000	-455.000000000	
  -0.004392000	  -0.031903000	   1.014308000	 183.750000000	-901.250000000	-446.250000000	
  -0.005185000	  -0.032391000	   1.014552000	  87.500000000	-910.000000000	-455.000000000	
  -0.004270000	  -0.032696000	   1.015467000	 113.750000000	-918.750000000	-463.750000000	
  -0.005734000	  -0.031964000	   1.013881000	 131.250000000	-971.250000000	-437.500000000	
  -0.004514000	  -0.031598000	   1.014857000	 218.750000000	-892.500000000	-446.250000000	
  -0.003782000	  -0.032086000	   1.014186000	 183.750000000	-910.000000000	-498.750000000	
  -0.004331000	  -0.032025000	   1.014064000	 166.250000000	-866.250000000	-472.500000000	
  -0.004392000	  -0.031171000	   1.014796000	 157.500000000	-953.750000000	-463.750000000	
  -0.003965000	  -0.031781000	   1.014918000	 113.750000000	-936.250000000	-428.750000000	
  -0.005490000	  -0.032086000	   1.016138000	 131.250000000	-962.500000000	-446.250000000	
  -0.004758000	  -0.033001000	   1.014369000	 140.000000000	-927.500000000	-446.250000000	
  -0.005307000	  -0.032208000	   1.015955000	 166.250000000	-953.750000000	-437.500000000	
  -0.004331000	  -0.032757000	   1.013820000	 131.250000000	-936.250000000	-428.750000000	
  -0.004941000	  -0.032818000	   1.014369000	 218.750000000	-936.250000000	-455.000000000	
  -0.005124000	  -0.032147000	   1.013698000	 262.500000000	-910.000000000	-472.500000000	
  -0.004514000	  -0.031842000	   1.013759000	 201.250000000	-910.000000000	-490.000000000	
  -0.004575000	  -0.031781000	   1.014247000	 157.500000000	-936.250000000	-455.000000000	
  -0.005063000	  -0.031171000	   1.016870000	 227.500000000	-936.250000000	-481.250000000	
  -0.003965000	  -0.032086000	   1.015223000	 192.500000000	-901.250000000	-463.750000000	
  -0.003904000	  -0.032208000	   1.015162000	 131.250000000	-927.500000000	-490.000000000	
  -0.004575000	  -0.031293000	   1.015467000	 113.750000000	-997.500000000	-498.750000000	
  -0.005063000	  -0.032147000	   1.014796000	 131.250000000	-1006.250000000	-420.000000000	
  -0.004697000	  -0.031049000	   1.013942000	 148.750000000	-927.500000000	-446.250000000	
  -0.004209000	  -0.032269000	   1.014796000	 192.500000000	-971.250000000	-437.500000000	
  -0.004270000	  -0.032513000	   1.014308000	 201.250000000	-910.000000000	-472.500000000	
  -0.005490000	  -0.030988000	   1.014613000	 210.000000000	-883.750000000	-446.250000000	
  -0.004819000	  -0.031964000	   1.015589000	 166.250000000	-892.500000000	-481.250000000	
  -0.004636000	  -0.032208000	   1.014735000	 148.750000000	-918.750000000	-498.750000000	
  -0.005185000	  -0.031781000	   1.015833000	 140.000000000	-962.500000000	-455.000000000	
  -0.004697000	  -0.030744000	   1.012844000	 131.250000000	-971.250000000	-428.750000000	
  -0.005124000	  -0.031720000	   1.015101000	 157.500000000	-936.250000000	-446.250000000	
  -0.004575000	  -0.032025000	   1.014430000	 148.750000000	-1006.250000000	-490.000000000	
  -0.005490000	  -0.031842000	   1.014064000	 148.750000000	-927.500000000	-463.750000000	
  -0.004880000	  -0.031476000	   1.014430000	 192.500000000	-918.750000000	-446.250000000	
  -0.004209000	  -0.032025000	   1.015528000	 192.500000000	-945.000000000	-472.500000000	
  -0.005124000	  -0.032452000	   1.014735000	 148.750000000	-918.750000000	-472.500000000	
  -0.004819000	  -0.032208000	   1.015040000	 201.250000000	-883.750000000	-472.500000000	
  -0.004697000	  -0.032513000	   1.015528000	 166.250000000	-953.750000000	-455.000000000	
  -0.004697000	  -0.031415000	   1.014674000	 131.250000000	-927.500000000	-437.500000000	
  -0.005307000	  -0.032391000	   1.015528000	  70.000000000	-936.250000000	-446.250000000	
  -0.004514000	  -0.032025000	   1.014430000	 131.250000000	-962.500000000	-455.000000000	
  -0.003599000	  -0.032452000	   1.013881000	 122.500000000	-953.750000000	-490.000000000	
  -0.004941000	  -0.032452000	   1.016992000	 122.500000000	-910.000000000	-437.500000000	
  -0.005002000	  -0.032086000	   1.015589000	 157.500000000	-918.750000000	-437.500000000	
  -0.003843000	  -0.031781000	   1.015040000	 175.000000000	-901.250000000	-455.000000000	
  -0.005246000	  -0.031598000	   1.015406000	 183.750000000	-910.000000000	-437.500000000	
  -0.004392000	  -0.031781000	   1.013698000	 140.000000000	-945.000000000	-446.250000000	
  -0.006100000	  -0.031903000	   1.014064000	 183.750000000	-927.500000000	-411.250000000	
  -0.004636000	  -0.032208000	   1.013576000	 166.250000000	-918.750000000	-437.500000000	
  -0.004148000	  -0.032147000	   1.016016000	 210.000000000	-927.500000000	-463.750000000	
  -0.004209000	  -0.032452000	   1.013759000	 148.750000000	-953.750000000	-446.250000000	
  -0.004270000	  -0.031476000	   1.016626000	 166.250000000	-962.500000000	-402.500000000	
  -0.005185000	  -0.032452000	   1.015345000	 192.500000000	-980.000000000	-446.250000000	
  -0.005246000	  -0.031598000	   1.016382000	 201.250000000	-936.250000000	-455.000000000	
  -0.005673000	  -0.032330000	   1.013637000	 148.750000000	-953.750000000	-472.500000000	
  -0.004819000	  -0.031598000	   1.015162000	 157.500000000	-953.750000000	-507.500000000	
  -0.004575000	  -0.032574000	   1.013576000	 113.750000000	-953.750000000	-472.500000000	
  -0.003965000	  -0.032391000	   1.014674000	 157.500000000	-971.250000000	-411.250000000	
  -0.005124000	  -0.032391000	   1.014796000	 140.000000000	-962.500000000	-446.250000000	
  -0.005124000	  -0.032513000	   1.016382000	 131.250000000	-1015.000000000	-472.500000000	
  -0.005246000	  -0.032147000	   1.015894000	 175.000000000	-953.750000000	-446.250000000	
  -0.005002000	  -0.032452000	   1.016931000	 113.750000000	-901.250000000	-455.000000000	
  -0.004575000	  -0.032086000	   1.012966000	 192.500000000	-918.750000000	-490.000000000	
  -0.004758000	  -0.031903000	   1.014674000	 148.750000000	-910.000000000	-472.500000000	
  -0.004270000	  -0.031903000	   1.013515000	 157.500000000	-936.250000000	-420.000000000	
  -0.004880000	  -0.032208000	   1.016748000	 201.250000000	-901.250000000	-472.500000000	
  -0.005307000	  -0.031293000	   1.014186000	 166.250000000	-910.000000000	-472.500000000	
  -0.004758000	  -0.031537000	   1.016687000	 157.500000000	-980.000000000	-402.500000000	
  -0.004331000	  -0.031659000	   1.013698000	 148.750000000	-910.000000000	-402.500000000	
  -0.004209000	  -0.032025000	   1.015894000	 105.000000000	-927.500000000	-446.250000000	
  -0.004758000	  -0.032391000	   1.014247000	 201.250000000	-945.000000000	-411.250000000	
  -0.005002000	  -0.032696000	   1.014796000	 140.000000000	-918.750000000	-437.500000000	
  -0.004880000	  -0.032025000	   1.015284000	 148.750000000	-962.500000000	-472.500000000	
  -0.003721000	  -0.032208000	   1.015955000	 210.000000000	-962.500000000	-411.250000000	
  -0.004697000	  -0.031659000	   1.014979000	 157.500000000	-936.250000000	-446.250000000	
  -0.004270000	  -0.032330000	   1.015955000	 175.000000000	-971.250000000	-420.000000000	
  -0.004209000	  -0.031354000	   1.014796000	 113.750000000	-962.500000000	-420.000000000	
  -0.005246000	  -0.032208000	   1.014186000	 148.750000000	-910.000000000	-428.750000000	
  -0.004575000	  -0.031415000	   1.015406000	 157.500000000	-953.750000000	-455.000000000	
  -0.004758000	  -0.032513000	   1.014369000	 131.250000000	-953.750000000	-463.750000000	
  -0.004880000	  -0.031659000	   1.015955000	 131.250000000	-945.000000000	-542.500000000	
  -0.004941000	  -0.032208000	   1.015406000	 157.500000000	-971.250000000	-498.750000000	
  -0.004758000	  -0.031781000	   1.015467000	 157.500000000	-971.250000000	-455.000000000	
  -0.004514000	  -0.031720000	   1.015101000	 218.750000000	-927.500000000	-446.250000000	
  -0.004514000	  -0.031659000	   1.014735000	 218.750000000	-927.500000000	-402.500000000	
  -0.004636000	  -0.032391000	   1.015528000	 192.500000000	-962.500000000	-463.750000000	
  -0.005063000	  -0.032208000	   1.014247000	 175.000000000	-918.750000000	-455.000000000	
  -0.005246000	  -0.031293000	   1.016687000	 148.750000000	-918.750000000	-463.750000000	
  -0.004514000	  -0.031842000	   1.013149000	 166.250000000	-901.250000000	-481.250000000	
  -0.004331000	  -0.032696000	   1.016199000	 183.750000000	-892.500000000	-411.250000000	
  -0.004209000	  -0.031903000	   1.013637000	 148.750000000	-918.750000000	-428.750000000	
  -0.004575000	  -0.032025000	   1.016138000	 201.250000000	-875.000000000	-428.750000000	
  -0.005185000	  -0.031903000	   1.014003000	 122.500000000	-822.500000000	-446.250000000	
  -0.005185000	  -0.032208000	   1.015345000	 175.000000000	-883.750000000	-490.000000000	
  -0.005124000	  -0.031110000	   1.015528000	 148.750000000	-883.750000000	-446.250000000	
  -0.004392000	  -0.032574000	   1.014308000	 192.500000000	-910.000000000	-490.000000000	
  -0.003721000	  -0.031842000	   1.014735000	 148.750000000	-901.250000000	-393.750000000	
  -0.004331000	  -0.032025000	   1.014552000	 122.500000000	-971.250000000	-472.500000000	
  -0.004880000	  -0.031781000	   1.014247000	  96.250000000	-945.000000000	-428.750000000	
  -0.003721000	  -0.031110000	   1.014918000	 157.500000000	-945.000000000	-437.500000000	
  -0.005124000	  -0.031354000	   1.015894000	 157.500000000	-927.500000000	-428.750000000	
  -0.005246000	  -0.031842000	   1.014979000	 192.500000000	-901.250000000	-437.500000000	
  -0.006100000	  -0.032208000	   1.016687000	 140.000000000	-962.500000000	-428.750000000	
  -0.004148000	  -0.031354000	   1.015528000	  96.250000000	-953.750000000	-446.250000000	
  -0.003721000	  -0.032025000	   1.015040000	 105.000000000	-927.500000000	-455.000000000	
  -0.004941000	  -0.032147000	   1.014247000	 105.000000000	-910.000000000	-385.000000000	
  -0.005002000	  -0.031659000	   1.013881000	  96.250000000	-910.000000000	-428.750000000	
  -0.005002000	  -0.032330000	   1.014796000	 140.000000000	-918.750000000	-507.500000000	
  -0.004758000	  -0.031903000	   1.015223000	 157.500000000	-918.750000000	-463.750000000	
  -0.004819000	  -0.032147000	   1.014308000	 218.750000000	-945.000000000	-428.750000000	
  -0.005246000	  -0.032330000	   1.015528000	 131.250000000	-901.250000000	-446.250000000	
  -0.005368000	  -0.032330000	   1.015650000	 113.750000000	-927.500000000	-463.750000000	
  -0.005490000	  -0.031720000	   1.015894000	 140.000000000	-892.500000000	-455.000000000	
  -0.004392000	  -0.030683000	   1.014430000	 157.500000000	-945.000000000	-455.000000000	
  -0.004819000	  -0.031903000	   1.014857000	 113.750000000	-918.750000000	-455.000000000	
  -0.004392000	  -0.031781000	   1.014064000	 140.000000000	-953.750000000	-437.500000000	
  -0.005063000	  -0.031415000	   1.015467000	 175.000000000	-936.250000000	-437.500000000	
  -0.003782000	  -0.032147000	   1.014247000	 210.000000000	-945.000000000	-437.500000000	
  -0.004392000	  -0.032452000	   1.016199000	 227.500000000	-918.750000000	-446.250000000	
  -0.005246000	  -0.032391000	   1.015528000	 183.750000000	-918.750000000	-437.500000000	
  -0.005185000	  -0.030866000	   1.014247000	 131.250000000	-918.750000000	-481.250000000	
  -0.004758000	  -0.031903000	   1.014735000	 140.000000000	-866.250000000	-428.750000000	
  -0.004941000	  -0.032391000	   1.014308000	 157.500000000	-901.250000000	-446.250000000	
  -0.005124000	  -0.031537000	   1.014857000	 192.500000000	-936.250000000	-463.750000000	
