STEVAL-MKI251A (LSM6DSV320X)

G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-88.3663 	 0.56 	 12.0575 	
-84.1925 	 2.10875 	 5.15375 	
-114.31 	 -1.505 	 3.17625 	
-142.66 	 -0.4725 	 4.75125 	
-161.403 	 1.1725 	 10.5175 	
-155.47 	 -0.315 	 15.7675 	
-102.296 	 -7.60375 	 18.7425 	
-86.205 	 -6.23875 	 16.5113 	
-126.018 	 -3.38625 	 11.235 	
-174.633 	 -0.49875 	 7.77875 	
-207.856 	 4.54125 	 17.2113 	
-240.424 	 12.4075 	 29.3038 	
-255.246 	 22.3388 	 30.9138 	
-286.519 	 23.8875 	 26.95 	
-286.685 	 25.5325 	 28.8925 	
-286.685 	 26.9413 	 36.8725 	
-286.685 	 18.6288 	 34.6063 	
-286.685 	 16.73 	 29.9775 	
-285.898 	 23.17 	 34.2475 	
-226.984 	 16.7913 	 31.92 	
-156.765 	 1.7325 	 17.0538 	
-106.733 	 -9.00375 	 5.45125 	
-95.0425 	 -13.2213 	 -0.0175 	
-95.3225 	 -7.79625 	 3.85 	
-101.596 	 7.51625 	 15.0325 	
-117.591 	 14.1838 	 20.8075 	
-148.724 	 18.6638 	 22.8025 	
-165.848 	 18.1388 	 24.3688 	
-151.051 	 11.8475 	 14.6738 	
-134.698 	 7.5425 	 3.1325 	
-144.751 	 8.75 	 4.54125 	
-158.48 	 13.8863 	 15.1375 	
-165.191 	 19.9325 	 19.9238 	
-156.651 	 13.125 	 14.5163 	
-156.651 	 7.455 	 10.8325 	
-149.555 	 2.765 	 13.1863 	
-123.2 	 0.595 	 18.7775 	
-112.263 	 4.41875 	 20.2213 	
-123.095 	 6.86875 	 13.5625 	
-148.575 	 10.605 	 9.21375 	
-168.149 	 16.3712 	 10.605 	
-180.548 	 14.6388 	 10.8063 	
-182.403 	 5.45125 	 13.79 	
-189.735 	 0.63875 	 21.105 	
-199.229 	 5.67 	 21.1138 	
-188.195 	 12.6 	 12.1975 	
-171.903 	 14.1838 	 10.1763 	
-180.749 	 11.655 	 11.1563 	
-193.165 	 11.7075 	 11.9088 	
-178.229 	 10.8063 	 12.5913 	
-169.138 	 4.57625 	 15.1288 	
-182.936 	 6.86 	 14.7175 	
-189.753 	 14.6125 	 12.845 	
-191.249 	 22.5138 	 8.91625 	
-204.785 	 32.795 	 12.2325 	
-231.586 	 34.9125 	 24.99 	
-235.2 	 27.6238 	 30.0475 	
-218.033 	 25.235 	 25.655 	
-187.775 	 25.3575 	 22.2863 	
-180.215 	 27.2125 	 24.255 	
-200.883 	 26.7925 	 26.5563 	
-228.944 	 32.9438 	 27.8338 	
-244.081 	 38.9988 	 29.5138 	
-233.669 	 37.9225 	 37.4063 	
-218.645 	 28.7088 	 40.6963 	
-204.986 	 30.3625 	 42.6825 	
-200.506 	 36.8813 	 49.3325 	
-193.428 	 32.97 	 48.4313 	
-163.616 	 24.885 	 40.7838 	
-126.236 	 19.46 	 35.2713 	
-103.451 	 13.7463 	 30.5463 	
-101.29 	 7.81375 	 27.6588 	
-102.095 	 2.9225 	 25.1913 	
-105.875 	 -2.63375 	 24.5263 	
-129.57 	 -2.8 	 25.69 	
-152.18 	 5.67875 	 28.8138 	
-177.065 	 11.6375 	 35.07 	
-223.939 	 14.315 	 40.7313 	
-274.076 	 21.5075 	 45.745 	
-286.685 	 27.7113 	 44.2663 	
-274.846 	 25.7075 	 33.3638 	
-229.075 	 22.5138 	 18.0863 	
-174.545 	 18.9613 	 2.56375 	
-116.944 	 17.535 	 -10.3075 	
-72.205 	 13.475 	 -16.1263 	
-57.2775 	 12.0925 	 -17.0975 	
-49.0088 	 15.0413 	 -18.095 	
-38.6838 	 20.9213 	 -16.9225 	
-32.1213 	 24.29 	 -11.6725 	
-37.2663 	 22.1025 	 -4.66375 	
-44.6338 	 22.3388 	 -1.47 	
-45.4038 	 27.0463 	 3.26375 	
-47.6263 	 32.375 	 9.4325 	
-51.5025 	 27.9125 	 9.38875 	
-38.9988 	 15.6625 	 4.29625 	
-25.235 	 5.55625 	 -3.98125 	
-12.7663 	 5.3725 	 -10.4825 	
-7.14875 	 10.185 	 -13.615 	
-7.0175 	 12.915 	 -16.87 	
-5.41625 	 11.1388 	 -19.9238 	
-9.72125 	 9.45 	 -16.4675 	
-23.73 	 1.5575 	 -16.8525 	
-19.3463 	 -9.80875 	 -18.8738 	
-27.0813 	 -5.81 	 -11.0075 	
-45.9025 	 0.9275 	 -5.9325 	
-48.72 	 -0.1925 	 -13.0025 	
-33.6525 	 -4.03375 	 -14.07 	
-22.575 	 -7.28875 	 -11.655 	
-25.9263 	 -4.83 	 -11.8388 	
-25.7775 	 -9.065 	 -16.2575 	
-19.0925 	 -13.755 	 -15.8988 	
-24.7888 	 -11.69 	 -12.6525 	
-35.5513 	 -3.4825 	 -5.3025 	
