STEVAL-MKI251A (LSM6DSV320X)

G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
33.8013 	 -2.05625 	 -3.465 	
32.165 	 -2.9225 	 -1.67125 	
42.4025 	 -4.7775 	 -1.9425 	
50.8025 	 -7.81375 	 -2.5725 	
47.3463 	 -7.51625 	 -2.17 	
40.0488 	 -6.62375 	 -1.1375 	
48.3263 	 -8.11125 	 -1.96875 	
65.9575 	 -10.3425 	 -3.6925 	
70.7613 	 -9.65125 	 -2.87875 	
63.1575 	 -8.9075 	 -0.4375 	
69.0463 	 -11.0425 	 2.9225 	
73.5438 	 -14.3413 	 4.10375 	
85.47 	 -16.7825 	 0.455 	
97.0113 	 -16.45 	 -6.06375 	
89.4338 	 -14.2363 	 -8.95125 	
73.7625 	 -12.9763 	 -8.925 	
70.1925 	 -11.6025 	 -6.90375 	
63.6825 	 -9.24 	 -3.56125 	
67.305 	 -8.81125 	 -0.28 	
79.0825 	 -10.1675 	 -0.46375 	
86.4763 	 -11.5938 	 -3.0625 	
90.3613 	 -11.7075 	 -5.775 	
88.13 	 -9.625 	 -8.37375 	
76.93 	 -7.76125 	 -10.1675 	
73.6575 	 -7.77875 	 -12.1888 	
89.9238 	 -7.84875 	 -13.2475 	
100.844 	 -9.86125 	 -14.0438 	
93.7388 	 -10.3338 	 -12.7138 	
92.7413 	 -7.91875 	 -11.2613 	
99.3213 	 -8.32125 	 -8.65375 	
91.805 	 -9.6775 	 -7.6825 	
84.3675 	 -9.87 	 -5.74875 	
93.975 	 -9.87875 	 -4.31375 	
103.486 	 -11.06 	 -4.01625 	
86.2138 	 -13.895 	 -2.1175 	
67.1213 	 -14.84 	 -0.09625 	
75.1975 	 -12.6875 	 -0.37625 	
87.6925 	 -7.9275 	 0.23625 	
90.86 	 -4.92625 	 1.225 	
80.9988 	 -4.13 	 2.38875 	
81.3925 	 -9.0825 	 3.6575 	
89.5913 	 -11.4975 	 5.2675 	
104.816 	 -13.1863 	 5.43375 	
125.02 	 -10.0713 	 2.1875 	
128.065 	 -7.1925 	 -0.455 	
116.454 	 -5.46 	 -3.22 	
100.161 	 -5.27625 	 -4.375 	
86.5638 	 -4.3925 	 -5.32 	
87.0625 	 -3.57875 	 -4.80375 	
87.1238 	 0.37625 	 -4.445 	
78.4088 	 2.2925 	 -7.18375 	
68.4688 	 0.90125 	 -10.115 	
67.9963 	 -0.62125 	 -8.11125 	
60.4538 	 0.42 	 -6.9125 	
63.6475 	 -0.16625 	 -9.07375 	
66.8325 	 0.56875 	 -12.1363 	
59.9988 	 -0.32375 	 -12.9063 	
62.2388 	 -3.92875 	 -8.56625 	
65.2662 	 0.39375 	 -7.3675 	
63.9888 	 0.6475 	 -9.75625 	
70.9188 	 0.7525 	 -13.2388 	
63.2713 	 1.11125 	 -14.2538 	
70.455 	 -1.225 	 -12.7925 	
72.065 	 -2.0125 	 -10.325 	
64.68 	 -3.2375 	 -11.0338 	
52.71 	 -11.4275 	 -9.49375 	
66.3688 	 -10.5525 	 -8.28625 	
77.1663 	 -3.5525 	 -9.8525 	
68.9325 	 -0.7875 	 -10.9375 	
58.8525 	 -3.5 	 -13.3788 	
67.8388 	 -7.42 	 -17.5963 	
77.105 	 -5.11 	 -22.4963 	
89.5563 	 -2.8 	 -23.905 	
113.033 	 -3.64875 	 -23.59 	
117.766 	 -2.345 	 -23.2663 	
106.068 	 -3.24625 	 -19.495 	
94.3163 	 -4.1125 	 -17.4563 	
89.6 	 -2.765 	 -15.5838 	
88.7775 	 -4.34875 	 -15.75 	
88.7688 	 -5.425 	 -18.41 	
94.7013 	 -6.2125 	 -19.74 	
99.5225 	 -4.73375 	 -17.0625 	
95.4538 	 -3.325 	 -12.495 	
91.6563 	 -4.19125 	 -11.9088 	
85.8288 	 -5.39875 	 -12.53 	
74.4888 	 -5.55625 	 -12.8538 	
73.535 	 -5.03125 	 -12.565 	
81.8825 	 -4.50625 	 -12.495 	
87.1413 	 -2.8875 	 -13.4575 	
93.4413 	 -2.26625 	 -13.1425 	
96.565 	 -1.2775 	 -12.7313 	
95.8125 	 0.9625 	 -12.2238 	
86.94 	 0.28875 	 -10.29 	
74.4363 	 0.63875 	 -9.73875 	
65.0388 	 -0.4025 	 -6.2825 	
70.8838 	 -1.12875 	 -7.09625 	
75.3375 	 -0.245 	 -9.51125 	
72.975 	 1.3825 	 -9.905 	
70.3325 	 1.225 	 -10.5875 	
65.9575 	 0.09625 	 -8.5225 	
63.7088 	 -0.245 	 -6.475 	
