STEVAL-MKI251A (LSM6DSV320X)

G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-103.145 	 8.00625 	 13.2388 	
-113.435 	 10.78 	 13.7988 	
-114.826 	 8.16375 	 11.6638 	
-101.29 	 2.66 	 8.0325 	
-102.34 	 3.7975 	 6.90375 	
-105.333 	 4.68125 	 8.4 	
-115.929 	 5.6875 	 13.2213 	
-121.03 	 6.2125 	 17.2463 	
-122.404 	 5.7575 	 15.1988 	
-116.953 	 4.9875 	 13.4575 	
-116.865 	 3.4125 	 7.6125 	
-119.228 	 0.39375 	 4.99625 	
-114.065 	 0.2625 	 6.3875 	
-119.324 	 3.045 	 12.0313 	
-110.373 	 0.7 	 7.665 	
-107.433 	 -2.7825 	 -1.2075 	
-110.88 	 -2.1525 	 -2.73875 	
-124.933 	 -0.79625 	 3.535 	
-137.384 	 -2.2575 	 11.8563 	
-135.004 	 -6.93 	 16.2138 	
-120.803 	 -10.185 	 10.045 	
-109.279 	 -9.05625 	 -0.385 	
-111.23 	 -3.94625 	 -2.16125 	
-107.529 	 -2.70375 	 -2.05625 	
-108.395 	 -4.15625 	 -2.82625 	
-119.376 	 -3.84125 	 2.03875 	
-125.895 	 -6.44875 	 6.44875 	
-126.998 	 -8.56625 	 1.1375 	
-125.956 	 -7.02625 	 -0.21 	
-132.23 	 -0.175 	 3.325 	
-132.808 	 3.73625 	 4.1825 	
-133.858 	 5.43375 	 6.36125 	
-130.568 	 4.69 	 7.5775 	
-131.381 	 7.39375 	 5.915 	
-133.945 	 13.5888 	 7.49875 	
