STEVAL-MKI251A (LSM6DSV320X)

G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-26.845 	 -1.14625 	 6.27375 	
-35.2538 	 -0.8225 	 6.86 	
-50.7063 	 2.73 	 3.59625 	
-71.5313 	 5.88875 	 -0.37625 	
-82.6525 	 -1.28625 	 -1.79375 	
-79.3538 	 -12.7225 	 -1.4875 	
-89.285 	 -18.8125 	 -0.6125 	
-115.273 	 -22.0938 	 1.1025 	
-151.559 	 -25.2263 	 -0.77 	
-168.753 	 -19.81 	 0.14 	
-147.656 	 -7.62125 	 -0.25375 	
-119.403 	 12.8975 	 2.31 	
-115.474 	 15.2863 	 4.165 	
-129.238 	 0.81375 	 10.7888 	
-168.061 	 -6.27375 	 14.875 	
-174.79 	 -2.93125 	 6.58875 	
-152.014 	 9.8875 	 1.6975 	
-130.769 	 17.6838 	 11.445 	
-140.823 	 1.23375 	 24.7538 	
-154.954 	 -17.8413 	 23.5988 	
-153.563 	 -14.735 	 19.8188 	
-158.708 	 2.94875 	 19.9588 	
-142.546 	 13.5625 	 18.1913 	
-120.47 	 17.045 	 18.5413 	
-114.301 	 14.6475 	 24.0013 	
-121.083 	 11.7688 	 30.2488 	
-130.839 	 7.7175 	 30.8175 	
-127.365 	 2.3275 	 25.2613 	
-111.23 	 -4.62875 	 14.0088 	
-90.5625 	 -8.04125 	 7.875 	
-77.2538 	 -4.59375 	 10.7888 	
-86.52 	 -7.5775 	 16.7738 	
-98.7963 	 -14.1488 	 18.2263 	
-95.6025 	 -9.58125 	 11.725 	
-94.0363 	 1.77625 	 2.345 	
-98.1838 	 2.0125 	 -2.07375 	
-106.733 	 -7.3325 	 -9.37125 	
-96.3113 	 -12.9063 	 -13.1513 	
-97.7025 	 -6.9475 	 -8.26875 	
-101.491 	 -0.37625 	 -0.175 	
-109.716 	 6.23875 	 6.6675 	
-106.068 	 15.0063 	 13.7813 	
-96.3375 	 17.7713 	 11.865 	
-101.658 	 21.945 	 4.08625 	
-111.913 	 22.6975 	 -2.09125 	
-123.235 	 23.1263 	 0.0875 	
-116.331 	 15.54 	 -0.8225 	
-87.6488 	 1.61875 	 -7.945 	
-83.7463 	 -1.11125 	 -8.7675 	
-91.42 	 4.27875 	 -3.63125 	
-95.4538 	 8.89 	 -2.8875 	
-91.0963 	 2.00375 	 -7 	
-88.7075 	 -0.86625 	 -9.8875 	
-85.8988 	 1.3825 	 -7.34125 	
-91.84 	 5.34625 	 2.26625 	
-108.78 	 7.04375 	 13.3963 	
-115.999 	 9.51125 	 16.31 	
-121.293 	 9.1525 	 16.1613 	
-136.159 	 8.9425 	 10.2988 	
-148.286 	 5.32 	 8.09375 	
-167.169 	 1.02375 	 16.1788 	
-197.146 	 -2.09125 	 23.1788 	
-228.979 	 2.24875 	 20.405 	
-258.615 	 11.13 	 22.12 	
-265.851 	 13.2038 	 22.6975 	
-224.315 	 8.81125 	 12.3025 	
-193.821 	 9.35375 	 5.80125 	
-185.955 	 17.29 	 9.26625 	
-168.648 	 18.2788 	 14.7175 	
-146.659 	 13.8688 	 15.3475 	
-138.845 	 14.98 	 7.21875 	
-125.554 	 22.3213 	 -0.69125 	
-110.276 	 26.3463 	 -4.445 	
-97.8425 	 23.7825 	 -4.66375 	
-113.741 	 19.9588 	 1.89 	
-148.706 	 18.0338 	 9.7125 	
-160.904 	 19.425 	 10.4563 	
-124.303 	 17.64 	 3.7625 	
-78.2425 	 13.79 	 -3.57 	
-76.4313 	 8.28625 	 -1.61875 	
-80.4213 	 4.31375 	 2.065 	
-71.2338 	 7.53375 	 -3.05375 	
-63.8575 	 12.0313 	 -11.3925 	
-61.8538 	 8.26875 	 -12.7225 	
-57.6888 	 5.1625 	 -11.9263 	
-58.59 	 3.5875 	 -10.78 	
-68.3463 	 -2.44125 	 -7.49875 	
-94.0713 	 -4.515 	 -1.82875 	
-120.05 	 -4.34 	 3.8675 	
-144.165 	 -0.5425 	 6.02875 	
-152.924 	 -0.46375 	 6.69375 	
-135.459 	 -0.63 	 3.745 	
-103.136 	 1.9425 	 -0.28 	
-97.7288 	 2.35375 	 0.4375 	
-111.291 	 -4.62875 	 2.485 	
-115.203 	 -5.075 	 3.325 	
-117.784 	 -2.07375 	 5.7925 	
-125.991 	 2.24 	 9.7475 	
-118.379 	 2.87 	 9.2925 	
-111.519 	 0.1225 	 4.94375 	
-114.66 	 -1.89875 	 1.46125 	
-124.871 	 -2.63375 	 2.8 	
-148.488 	 2.14375 	 5.76625 	
-172.961 	 4.5325 	 12.6875 	
-170.415 	 1.98625 	 17.1238 	
-153.869 	 5.8975 	 14.7 	
-145.889 	 7.9275 	 15.1813 	
-150.509 	 5.80125 	 15.1725 	
-145.39 	 5.20625 	 11.655 	
-134.216 	 7.77 	 8.295 	
-138.801 	 8.05875 	 7.8575 	
-138.906 	 7.72625 	 11.9263 	
-116.681 	 5.4075 	 11.97 	
-94.7538 	 8.225 	 7.35875 	
-94.7538 	 12.2413 	 5.0575 	
-94.1238 	 10.395 	 5.67875 	
-65.6775 	 6.6325 	 3.92 	
-43.6275 	 7.07875 	 -0.4025 	
-43.1463 	 10.465 	 -3.1325 	
-40.3375 	 8.9425 	 1.14625 	
-35.2013 	 9.80875 	 5.845 	
-46.2525 	 11.8563 	 6.71125 	
-68.11 	 8.61 	 3.6225 	
-85.0588 	 4.76875 	 3.0275 	
-83.7375 	 3.35125 	 3.535 	
-60.3225 	 5.29375 	 1.6275 	
-51.8963 	 10.4825 	 -1.33875 	
-43.5838 	 11.5588 	 -1.63625 	
-34.9038 	 9.8175 	 -3.07125 	
-50.2163 	 4.40125 	 -8.015 	
-62.1163 	 -1.155 	 -14.1225 	
-70.7263 	 -2.03875 	 -16.9838 	
-78.2338 	 -1.8025 	 -16.8087 	
-71.0763 	 -2.35375 	 -13.895 	
-64.2513 	 -0.32375 	 -9.9925 	
-58.4763 	 2.30125 	 -7.9275 	
-71.0938 	 3.7625 	 -5.67 	
-109.445 	 4.96125 	 0.875 	
-139.563 	 4.27875 	 6.6675 	
-116.751 	 5.88 	 6.04625 	
-100.004 	 7.77875 	 4.43625 	
-118.991 	 10.64 	 6.5975 	
-138.548 	 9.8875 	 11.6725 	
-120.759 	 5.5475 	 8.91625 	
-109.27 	 9.33625 	 1.95125 	
-115.01 	 11.8125 	 4.0075 	
-107.835 	 7.77 	 10.8238 	
-92.9425 	 7.245 	 13.265 	
-103.486 	 10.3513 	 11.4188 	
-122.815 	 11.1913 	 9.26625 	
-135.896 	 11.0163 	 9.765 	
-138.128 	 12.1888 	 9.51125 	
-141.978 	 14.6475 	 12.2325 	
-155.505 	 14.28 	 19.3813 	
-177.555 	 12.285 	 28.9538 	
-184.284 	 11.9963 	 33.6 	
-167.755 	 13.125 	 26.7838 	
-164.99 	 15.4438 	 18.4013 	
-170.17 	 14.315 	 14.0875 	
-155.024 	 12.845 	 13.3875 	
-142.223 	 14.2538 	 16.275 	
-152.11 	 19.5825 	 15.1638 	
-166.53 	 19.1275 	 14.4113 	
-155.82 	 17.6838 	 9.31875 	
-151.559 	 17.57 	 5.10125 	
-156.73 	 20.2475 	 2.7125 	
-143.141 	 18.5763 	 2.8175 	
-122.229 	 13.195 	 2.835 	
-124.364 	 12.6263 	 5.17125 	
-122.159 	 16.8788 	 7.2625 	
-112.683 	 20.825 	 5.48625 	
-108.85 	 20.335 	 5.705 	
-99.9513 	 19.7925 	 10.1763 	
-99.9075 	 15.9075 	 14.1575 	
