#Format version: 1.0
time[ms],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[0,357,-8,944,-3010,490,-840,,,,,,,0x03,
10,361,-5,941,-3150,420,-770,,,,,,,0x03,
19,363,-4,939,-3150,350,-490,,,,,,,0x03,
29,361,-9,941,-3080,420,-350,,,,,,,0x03,
39,358,-9,942,-2660,490,-560,,,,,,,0x03,
48,359,-4,948,-1750,630,-840,,,,,,,0x03,
58,361,5,950,-910,700,-910,,,,,,,0x03,
67,360,10,950,-490,560,-630,,,,,,,0x03,
77,358,7,945,-560,350,-350,,,,,,,0x03,
87,355,0,940,-770,140,-350,,,,,,,0x03,
96,353,-4,940,-840,70,-490,,,,,,,0x03,
106,356,-9,942,-910,210,-630,,,,,,,0x03,
116,354,-11,948,-770,490,-630,,,,,,,0x03,
125,355,-8,950,-70,560,-700,,,,,,,0x03,
135,356,-7,949,700,420,-700,,,,,,,0x03,
145,356,-6,947,1750,280,-700,,,,,,,0x03,
154,355,-3,947,2520,140,-910,,,,,,,0x03,
164,354,-1,948,2870,70,-980,,,,,,,0x03,
173,356,1,945,2730,70,-1050,,,,,,,0x03,
183,361,2,941,2310,210,-910,,,,,,,0x03,
193,361,3,939,1820,350,-630,,,,,,,0x03,
202,362,-3,939,1330,770,-490,,,,,,,0x03,
212,362,1,941,1190,1190,-560,,,,,,,0x03,
222,360,3,938,840,1610,-140,,,,,,,0x03,
231,354,3,942,420,2100,140,,,,,,,0x03,
241,351,1,948,70,2730,210,,,,,,,0x03,
250,355,0,959,-70,3430,350,,,,,,,0x03,
260,362,5,967,-210,3990,420,,,,,,,0x03,
270,363,8,977,-630,4200,630,,,,,,,0x03,
279,356,4,978,-700,3640,630,,,,,,,0x03,
289,344,7,978,-140,2590,280,,,,,,,0x03,
299,339,9,978,490,1330,-210,,,,,,,0x03,
308,337,15,974,840,-210,-770,,,,,,,0x03,
318,337,26,966,980,-1820,-1260,,,,,,,0x03,
328,337,23,953,560,-3500,-1330,,,,,,,0x03,
337,341,18,938,-210,-4620,-1470,,,,,,,0x03,
347,345,20,919,-350,-5530,-1890,,,,,,,0x03,
356,350,13,913,-630,-5880,-1680,,,,,,,0x03,
366,351,13,907,-840,-5600,-1540,,,,,,,0x03,
376,355,24,899,-420,-5180,-1330,,,,,,,0x03,
385,361,32,893,560,-4480,-980,,,,,,,0x03,
395,360,30,891,1330,-3850,-350,,,,,,,0x03,
405,360,32,886,2030,-3220,0,,,,,,,0x03,
414,361,38,887,2730,-2380,140,,,,,,,0x03,
424,363,44,885,2800,-1470,490,,,,,,,0x03,
434,364,41,885,2030,-490,1190,,,,,,,0x03,
443,366,32,885,910,420,1610,,,,,,,0x03,
453,363,24,885,70,1190,1820,,,,,,,0x03,
462,358,18,884,-210,1610,1960,,,,,,,0x03,
472,352,10,888,-210,1820,2030,,,,,,,0x03,
482,345,0,895,-140,1960,2170,,,,,,,0x03,
491,346,-10,903,70,2170,2170,,,,,,,0x03,
501,352,-11,909,350,2520,1960,,,,,,,0x03,
511,357,-6,919,420,2870,1820,,,,,,,0x03,
520,358,-3,927,420,2800,1750,,,,,,,0x03,
530,358,-9,941,350,2590,1680,,,,,,,0x03,
540,355,-14,948,350,2240,1190,,,,,,,0x03,
549,357,-4,945,700,1890,560,,,,,,,0x03,
559,358,0,944,630,1540,280,,,,,,,0x03,
568,356,-2,936,-490,1330,350,,,,,,,0x03,
578,356,1,934,-1750,1330,140,,,,,,,0x03,
588,354,7,941,-3080,1330,-70,,,,,,,0x03,
597,351,8,942,-4410,1190,0,,,,,,,0x03,
607,351,6,940,-5390,1120,-70,,,,,,,0x03,
617,354,8,937,-5530,1260,-210,,,,,,,0x03,
626,353,2,943,-5460,1400,0,,,,,,,0x03,
636,350,-6,946,-5320,1890,210,,,,,,,0x03,
645,349,-2,950,-4900,2240,280,,,,,,,0x03,
655,349,-2,953,-4550,2310,490,,,,,,,0x03,
665,349,-4,954,-3920,2030,420,,,,,,,0x03,
674,346,-4,955,-3010,1750,140,,,,,,,0x03,
684,344,0,958,-1960,1330,-210,,,,,,,0x03,
694,343,2,960,-1120,770,-420,,,,,,,0x03,
703,343,2,959,-630,70,-420,,,,,,,0x03,
713,341,0,958,-560,-560,-280,,,,,,,0x03,
723,339,4,959,-420,-770,-420,,,,,,,0x03,
732,342,14,958,-350,-910,-420,,,,,,,0x03,
742,346,21,954,-560,-1190,-140,,,,,,,0x03,
751,346,13,952,-1050,-1330,280,,,,,,,0x03,
761,340,0,954,-1260,-1400,350,,,,,,,0x03,
771,342,0,954,-910,-1190,280,,,,,,,0x03,
780,348,9,953,-490,-840,350,,,,,,,0x03,
790,350,11,952,-630,-560,770,,,,,,,0x03,
800,351,5,950,-910,-350,1120,,,,,,,0x03,
809,351,0,943,-700,-420,1120,,,,,,,0x03,
819,348,-10,940,-350,-490,1190,,,,,,,0x03,
829,343,-9,938,70,-420,910,,,,,,,0x03,
838,343,4,936,630,-490,700,,,,,,,0x03,
848,344,3,935,420,-910,910,,,,,,,0x03,
857,341,0,927,-210,-1190,910,,,,,,,0x03,
867,343,-2,922,-420,-1540,700,,,,,,,0x03,
877,348,-1,920,-280,-1610,420,,,,,,,0x03,
886,350,2,915,-210,-1610,210,,,,,,,0x03,
896,353,0,913,-420,-1540,490,,,,,,,0x03,
906,355,-6,908,-700,-1260,770,,,,,,,0x03,
915,358,-8,906,-630,-700,840,,,,,,,0x03,
925,357,-10,910,-280,-70,910,,,,,,,0x03,
935,354,-7,909,70,420,1050,,,,,,,0x03,
944,352,-3,906,490,840,1050,,,,,,,0x03,
954,352,-3,905,420,1190,1120,,,,,,,0x03,
963,349,-6,904,70,1540,1120,,,,,,,0x03,
973,347,-12,908,-420,1960,980,,,,,,,0x03,
983,345,-18,914,-910,2310,980,,,,,,,0x03,
992,343,-22,914,-1260,2380,910,,,,,,,0x03,
1002,343,-28,916,-1260,2520,840,,,,,,,0x03,
1012,345,-30,919,-840,2800,420,,,,,,,0x03,
1021,345,-31,928,-280,3010,70,,,,,,,0x03,
1031,347,-27,939,350,3010,-210,,,,,,,0x03,
1041,348,-25,944,840,2800,-560,,,,,,,0x03,
1050,348,-28,943,1050,2660,-840,,,,,,,0x03,
1060,348,-25,945,1120,2660,-1050,,,,,,,0x03,
1069,347,-19,947,980,2660,-1330,,,,,,,0x03,
1079,343,-12,953,630,2590,-1400,,,,,,,0x03,
