A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	LABEL_0
-652	2507	2950	-159.13441	611.6574	719.87024	12
-1083	2592	3069	-264.34482	632.4013	748.72266	12
-1822	1890	2838	-444.525	461.14865	692.4453	12
-197	1616	2870	-47.97945	394.40723	700.2468	12
-996	3137	3719	-242.99052	765.4471	907.3728	12
-1140	2176	3050	-278.18567	531.00195	744.1044	12
-1086	2167	3247	-264.94736	528.7971	792.33405	12
-809	2498	3210	-197.32951	609.5869	783.2268	12
-457	2488	3201	-111.5381	607.00006	780.9725	12
-847	2442	3448	-206.698	595.7506	841.35016	12
-978	1702	2898	-238.58296	415.32825	707.22375	12
-691	2631	3346	-168.64868	642.0078	816.312	12
-972	2793	3285	-237.11842	681.53284	801.55347	12
-1034	2389	2846	-252.18187	583.02716	694.34174	12
-730	2551	3167	-178.20963	622.4596	772.7773	12
-895	2816	3401	-218.3782	687.1701	829.8718	12
-1137	2566	3189	-277.3671	626.21136	778.1867	12
-1222	1999	2903	-298.07574	487.7301	708.402	12
-684	2369	2984	-166.99438	578.15234	728.07184	12
-898	2737	3618	-219.18573	667.86035	882.69806	12
-1408	2325	3197	-343.4781	567.2568	780.01105	12
-904	2000	2955	-220.65205	487.9323	721.07477	12
-800	2579	3133	-195.2283	629.1825	764.5127	12
-873	2427	3449	-212.89264	592.20447	841.53424	12
-1763	2453	3083	-430.06473	598.4117	752.3064	12
-946	2100	3066	-230.80089	512.4479	748.0264	12
-814	2990	3229	-198.59319	729.6035	787.806	12
-763	2494	3027	-186.05626	608.6455	738.48987	12
-1074	2348	3052	-262.1059	572.8047	744.5939	12
-1523	2106	3176	-371.70224	513.8237	774.84503	12
-814	1879	2999	-198.552	458.54514	731.65137	12
-1549	2575	3218	-377.94632	628.2838	785.28503	12
-1154	1948	2602	-281.66245	475.42053	634.98065	12
-879	2498	3305	-214.51999	609.5056	806.3257	12
-1232	2130	3468	-300.6541	519.7144	846.14355	12
-1049	2265	3415	-255.83452	552.7283	833.19904	12
-666	2139	3277	-162.5585	521.89374	799.5402	12
-441	2591	3042	-107.49913	632.1844	742.3371	12
-968	2407	3431	-236.10396	587.37915	837.04395	12
-845	2411	3142	-206.1031	588.18494	766.7461	12
-842	2408	3209	-205.51143	587.58673	782.9525	12
-419	2546	3168	-102.35524	621.2644	772.9046	12
-767	2755	3419	-187.11424	672.2632	834.1879	12
-700	2226	3063	-170.92026	543.02826	747.43274	12
-864	2691	3354	-210.89383	656.5976	818.4532	12
-966	2496	3004	-235.63547	608.9865	732.93115	12
-980	2523	3147	-239.01651	615.702	767.9552	12
-900	2217	2930	-219.69928	540.8312	714.8708	12
-867	2464	3188	-211.47842	601.2035	777.9312	12
-1011	2098	3133	-246.58728	511.96973	764.3895	12
-1007	2370	3415	-245.59853	578.2353	833.36993	12
-1316	2080	2910	-321.01837	507.53378	709.9691	12
-622	2297	3625	-151.83247	560.49805	884.5007	12
-1677	2253	3382	-409.27512	549.6146	825.30524	12
-920	1799	3172	-224.36656	439.0256	773.99927	12
-1463	2228	3310	-357.0248	543.6265	807.563	12
-530	1575	2964	-129.39601	384.2692	723.2085	12
-1433	2588	3546	-349.68024	631.5694	865.1993	12
-953	1499	2364	-232.59506	365.72296	576.8334	12
-1242	3228	3619	-302.97348	787.6197	883.02673	12
-433	1453	2913	-105.57779	354.50485	710.8035	12
-1265	3227	3546	-308.726	787.4712	865.1936	12
-709	1940	3201	-173.01743	473.39737	781.1223	12
-1143	2654	3498	-278.94714	647.58044	853.4455	12
-872	2225	3263	-212.83742	542.93604	796.06116	12
-954	2527	3476	-232.79216	616.68695	848.2278	12
-792	1765	2907	-193.32506	430.74826	709.39264	12
-1337	2257	3365	-326.1576	550.6784	821.14624	12
-899	1768	3114	-219.28984	431.30612	759.8733	12
-1474	2542	3525	-359.6487	620.13965	860.0323	12
-1038	1946	2992	-253.17914	474.8215	730.1041	12
-1485	2903	3940	-362.25403	708.23254	961.3246	12
-1427	1795	3186	-348.2185	438.08246	777.4066	12
-1025	2257	3257	-250.18225	550.66644	794.8074	12
-292	2151	3006	-71.28649	524.7547	733.58575	12
-1169	2590	3519	-285.21066	632.0532	858.56757	12
-799	2114	2826	-194.88129	515.8543	689.6004	12
-792	2658	3616	-193.12637	648.5708	882.20306	12
-499	2227	3312	-121.8068	543.4859	808.08435	12
-816	2923	3636	-199.16779	713.18384	887.2704	12
-639	2035	3126	-155.93242	496.5821	762.85223	12
-409	2911	3686	-99.87464	710.3122	899.3737	12
-646	2440	3246	-157.53566	595.451	792.025	12
-436	2379	3340	-106.3869	580.4196	814.9646	12
-862	2228	3404	-210.43327	543.6929	830.5614	12
-850	2208	3248	-207.42668	538.85547	792.59766	12
-820	2051	2803	-200.12416	500.5575	683.89557	12
-854	2729	3386	-208.35382	665.9023	826.1773	12
-1026	2294	3241	-250.3181	559.6803	790.88245	12
-1213	2499	3671	-295.9416	609.69183	895.73755	12
-1025	1919	3189	-250.19739	468.2467	778.1358	12
-355	2259	3283	-86.66167	551.0787	800.9799	12
-873	2033	3248	-212.8948	496.101	792.5131	12
-1005	1816	3247	-245.31412	443.04987	792.3573	12
-1034	1868	3118	-252.40855	455.72897	760.67377	12
-1391	2341	3408	-339.33817	571.1724	831.4876	12
-862	1901	3137	-210.31093	463.7429	765.4467	12
-1390	2649	3724	-339.06122	646.2714	908.6806	12
-801	1636	3069	-195.41948	399.11816	748.9108	12
-1107	2417	3534	-270.1445	589.7127	862.41003	12
-1191	1831	2931	-290.4983	446.69183	715.1059	12
-883	2565	3637	-215.53577	625.7611	887.44183	12
-1248	1971	3207	-304.50208	480.91052	782.6116	12
-807	2298	3464	-196.79288	560.67236	845.1296	12
-1028	2144	3131	-250.83063	523.0576	764.00885	12
-1017	2200	3401	-248.18436	536.89746	829.9449	12
-1256	2037	3552	-306.41452	496.94925	866.68225	12
-1414	2297	3789	-345.10507	560.41907	924.5556	12
-744	2089	3069	-181.62868	509.6891	748.80426	12
-971	2459	3831	-236.91913	600.1013	934.6933	12
-863	1460	2654	-210.6543	356.18637	647.5759	12
-1326	2633	3275	-323.45093	642.38446	799.09467	12
-1210	1595	2655	-295.2057	389.1699	647.8371	12
-1183	2798	3699	-288.71347	682.75366	902.58734	12
-1128	1940	3043	-275.13885	473.43152	742.5207	12
-1270	2842	3889	-309.88297	693.4997	948.8584	12
734	779	1504	178.98209	190.1621	367.0603	12
-465	4342	4534	-113.441635	1059.5516	1106.3885	12
-3149	2293	2147	-768.436	559.4629	523.7654	12
-1217	1110	4574	-296.8993	270.77463	1116.053	12
-4133	3130	3600	-1008.39	763.7853	878.3892	12
3366	234	1940	821.21844	57.053066	473.42664	12
709	4701	4402	173.03061	1147.0809	1074.1205	12
-2466	3365	3236	-601.79767	821.09357	789.5431	12
-2443	2074	3032	-596.1209	506.1132	739.7934	12
-38	109	1931	-9.356098	26.629185	471.07806	12
-87	3459	4050	-21.330055	844.093	988.1582	12
1653	2512	2704	403.29587	613.0488	659.8206	12
-609	2790	3218	-148.62842	680.7197	785.1418	12
-3353	4059	3219	-818.18646	990.4706	785.55115	12
-3201	191	3036	-781.0031	46.657074	740.8409	12
174	2574	3636	42.385517	628.1468	887.1029	12
1220	3306	4295	297.77576	806.6404	1047.9501	12
-577	1944	3803	-140.80438	474.33447	927.9382	12
-3219	1719	1842	-785.51154	419.37317	449.52615	12
-279	1007	2581	-68.14511	245.7158	629.8607	12
-2023	3491	2752	-493.60803	851.79565	671.5678	12
442	1937	3268	107.95618	472.55652	797.3748	12
-2636	4449	5546	-643.27594	1085.6196	1353.2621	12
577	-293	1765	140.78575	-71.38189	430.75934	12
-563	4757	4893	-137.48859	1160.733	1193.8425	12
-2304	1645	1808	-562.10345	401.33398	441.22775	12
165	2156	3275	40.202885	526.00433	799.10864	12
-2549	2684	2874	-621.8959	654.83026	701.36475	12
-835	1728	3000	-203.7668	421.56186	731.89435	12
-883	2431	3296	-215.37143	593.074	804.2777	12
-326	2652	3553	-79.5766	647.10236	867.03876	12
-1575	2454	4097	-384.31744	598.81165	999.6414	12
-737	1415	2675	-179.86455	345.20163	652.6204	12
-759	3020	3590	-185.1048	736.9811	875.85223	12
-741	2110	3074	-180.68979	514.82556	750.0277	12
-1569	2407	3426	-382.8739	587.42926	835.98663	12
-1615	2353	2812	-394.0271	574.1213	686.10614	12
-921	1618	2689	-224.79747	394.8908	656.0897	12
-1728	2217	3717	-421.743	540.8552	906.85297	12
-500	1578	2618	-121.89622	384.99136	638.7773	12
-415	2582	3685	-101.36629	630.0188	899.0519	12
-2687	3195	3636	-655.52246	779.472	887.1347	12
-863	1161	2367	-210.46745	283.2391	577.5383	12
249	2743	3375	60.850353	669.3942	823.4733	12
-305	2153	3055	-74.458115	525.3877	745.5314	12
-663	2566	3438	-161.75145	626.04755	838.9019	12
-1283	2330	2933	-313.01175	568.636	715.5553	12
-281	2817	3608	-68.55533	687.4688	880.39777	12
-318	2095	3144	-77.56083	511.1089	767.1034	12
379	2710	3419	92.59212	661.32605	834.34247	12
-1121	3383	3573	-273.43954	825.3614	871.93304	12
-934	1491	2514	-227.9986	363.89075	613.3168	12
-548	2650	2930	-133.65714	646.5818	714.8922	12
-1288	3228	3695	-314.29977	787.5869	901.5163	12
455	1374	2545	110.915565	335.2311	621.068	12
-525	3379	3877	-127.98429	824.54517	946.08777	12
-2046	2340	2850	-499.27142	570.9424	695.3523	12
140	1301	2609	34.08454	317.4212	636.6289	12
-1791	3847	3986	-437.0824	938.7145	972.4877	12
-714	818	2557	-174.17015	199.58142	623.83575	12
-1263	3714	3935	-308.27148	906.1033	960.12036	12
-1905	1311	2434	-464.86517	319.87805	593.9519	12
634	2152	3754	154.71606	525.0364	915.9462	12
-2208	2729	3052	-538.8142	665.8359	744.5704	12
-1370	1244	2963	-334.24664	303.54425	722.8723	12
-1887	2386	3050	-460.37262	582.17584	744.09625	12
-18	1478	2549	-4.3709655	360.51788	622.04803	12
-2284	3397	3863	-557.1859	828.9706	942.5289	12
-574	1194	2821	-139.9387	291.25443	688.2408	12
-1997	2843	3529	-487.31747	693.70844	861.1215	12
-495	2352	2948	-120.88167	573.8881	719.37213	12
-1119	2671	3580	-273.11472	651.6748	873.5427	12
-1336	1719	3038	-326.04984	419.55548	741.1826	12
-1480	2315	3584	-361.04663	564.7954	874.5478	12
-796	2160	3025	-194.18843	527.0594	738.0044	12
-1464	2282	2929	-357.30682	556.8908	714.5749	12
316	2219	3060	77.09853	541.3911	746.52405	12
-2904	3416	3942	-708.65674	833.6246	961.77637	12
-1037	534	2007	-252.96994	130.27988	489.76233	12
-1269	3434	3621	-309.636	838.01794	883.51324	12
-704	1806	3334	-171.69705	440.6085	813.47363	12
-1248	3024	3833	-304.5496	737.947	935.3278	12
-1014	1451	2324	-247.30824	354.0707	567.0536	12
-785	3019	4074	-191.66136	736.54724	994.1275	12
-1776	1968	2798	-433.34543	480.2631	682.7907	12
-373	2029	3392	-91.07982	495.1803	827.7338	12
-1356	2126	3067	-330.97357	518.7546	748.37244	12
452	1557	2199	110.28664	379.9353	536.55725	12
-766	3930	3552	-186.94566	958.9672	866.7572	12
-1045	2298	3403	-254.93448	560.6132	830.3061	12
-28	1887	2918	-6.863585	460.40973	711.97314	12
-1104	3532	3640	-269.31192	861.92896	888.202	12
-113	1847	2506	-27.604168	450.7608	611.4702	12
-297	3317	3301	-72.46906	809.3412	805.3599	12
-308	2102	2751	-75.07422	512.8983	671.3265	12
-532	3484	3261	-129.7461	850.10095	795.6998	12
-1993	2307	2641	-486.25922	562.86365	644.36414	12
517	1128	2131	126.17441	275.13898	520.0782	12
-476	3845	3942	-116.198364	938.2915	961.86127	12
-956	2345	3197	-233.14543	572.13763	779.9703	12
-1533	1850	2917	-374.05334	451.43637	711.7677	12
-118	1746	3018	-28.79175	425.98645	736.36615	12
-1477	3858	3625	-360.40442	941.3349	884.47266	12
-978	1724	2843	-238.52057	420.68906	693.7848	12
-1113	2148	3163	-271.6743	524.1006	771.6525	12
-529	2037	3141	-128.98259	497.0401	766.3417	12
-1374	2923	3247	-335.29822	713.2539	792.3851	12
-687	1240	2243	-167.56317	302.57358	547.2688	12
-1176	2760	3266	-286.87448	673.5191	796.92084	12
-1364	2496	2859	-332.7919	608.96594	697.6681	12
-1138	2437	3361	-277.7109	594.69495	820.1259	12
-487	2257	3080	-118.7649	550.70746	751.42804	12
-781	3443	3690	-190.62769	840.1689	900.24146	12
-1030	1870	2840	-251.33029	456.19696	692.9352	12
-835	2367	3545	-203.75157	577.4683	865.0094	12
-977	2211	2806	-238.27573	539.59344	684.5814	12
-621	2908	3292	-151.4087	709.6068	803.2954	12
-1554	2067	2825	-379.08014	504.44617	689.2838	12
-1173	3058	3977	-286.13208	746.2094	970.39703	12
-2179	2013	2704	-531.7951	491.24826	659.77594	12
959	1531	2859	234.00323	373.60785	697.55225	12
-2869	4227	4018	-700.07227	1031.5065	980.32996	12
-911	436	1943	-222.36032	106.447235	474.0776	12
-471	2680	3369	-114.864395	653.82684	821.966	12
-1100	3102	3274	-268.46927	756.9217	798.792	12
-1363	2213	2735	-332.54868	539.9922	667.336	12
-991	1885	2875	-241.7273	460.0467	701.54126	12
-732	2602	3004	-178.60461	634.7705	732.9597	12
-473	3236	3710	-115.45558	789.57416	905.29126	12
-1212	2127	2902	-295.75528	518.8892	708.09326	12
1153	2193	3181	281.30478	535.07166	776.2194	12
-1911	4984	4344	-466.40076	1216.012	1059.838	12
-212	691	1670	-51.812458	168.56458	407.59	12
-312	3355	3441	-76.17403	818.6793	839.5145	12
392	2395	2515	95.70285	584.28723	613.60187	12
-1409	3220	3103	-343.7387	785.691	757.05994	12
-443	1894	2735	-108.1272	462.12717	667.40875	12
-1130	2813	3748	-275.7716	686.28375	914.4348	12
-483	2371	2896	-117.817245	578.4361	706.7015	12
-1733	2885	3384	-422.8342	703.9747	825.7438	12
602	1598	2676	146.88951	389.93402	652.907	12
-894	3748	3989	-218.1884	914.6098	973.3654	12
-1461	1355	2224	-356.45166	330.51126	542.70624	12
-1561	2661	3545	-380.82028	649.4037	864.86743	12
-378	1999	2677	-92.33309	487.6529	653.21796	12
-497	2883	3818	-121.26085	703.3917	931.4815	12
-1869	1851	2651	-455.97433	451.7579	646.86316	12
-189	2135	2755	-46.143616	520.8358	672.2523	12
-1700	3073	3570	-414.6951	749.782	871.0122	12
-2431	2225	2959	-593.2203	542.9943	722.0123	12
10	1322	2111	2.4693532	322.53503	515.0632	12
-195	4202	4261	-47.675423	1025.3958	1039.5669	12
-2358	2063	2423	-575.23694	503.3858	591.14465	12
-938	1525	3635	-228.98282	372.19278	886.8944	12
-1371	2105	2594	-334.44354	513.67346	633.05115	12
368	3159	3852	89.6753	770.7964	939.9414	12
-3561	2921	3113	-869.0004	712.7322	759.6147	12
734	747	2394	179.14513	182.19981	584.194	12
-1583	4205	4256	-386.2663	1025.9114	1038.5702	12
-2170	852	2150	-529.562	207.88995	524.61914	12
-442	2048	3250	-107.80268	499.73062	792.9717	12
-1213	3133	3265	-295.9704	764.5321	796.53986	12
-1205	2533	3163	-293.93073	618.0646	771.8107	12
-2161	1980	2893	-527.20825	483.1061	705.78204	12
-158	1312	2722	-38.54327	320.15613	664.0573	12
-802	3171	4224	-195.74275	773.80646	1030.5889	12
-3013	2025	2575	-735.24207	494.03714	628.38965	12
-528	914	3000	-128.92871	222.97577	731.9334	12
681	3050	3948	166.05939	744.2023	963.2167	12
-2024	3038	3429	-493.80487	741.2971	836.63947	12
-1236	750	2604	-301.58487	183.07756	635.48334	12
464	2384	3668	113.31752	581.65356	894.9265	12
-607	3030	3460	-148.01093	739.41425	844.2877	12
-1514	2593	2733	-369.50494	632.67474	666.75934	12
-130	1760	2385	-31.810585	429.35336	581.95404	12
-492	3817	4430	-120.12098	931.3717	1080.9697	12
-2537	2605	1956	-619.06647	635.7172	477.21182	12
425	499	2797	103.59221	121.80031	682.58734	12
-960	4177	4134	-234.27538	1019.14185	1008.7568	12
-1074	1893	2714	-262.0622	461.94962	662.2879	12
-1525	1919	3052	-372.1903	468.24704	744.7819	12
152	1957	2900	37.184532	477.6236	707.7144	12
-1596	3541	4176	-389.43985	863.9962	1018.9029	12
-2383	1377	2644	-581.36017	336.011	645.0791	12
-331	1750	3573	-80.79648	427.1091	871.87964	12
-437	2949	3156	-106.7353	719.62714	770.18066	12
-1840	2214	3339	-449.0744	540.1324	814.6046	12
-1840	1442	2618	-449.0145	351.7403	638.7366	12
-14	2459	3140	-3.3606048	599.9452	766.041	12
-1801	3254	3451	-439.54184	794.06165	842.0892	12
-423	1837	2368	-103.11812	448.32886	577.897	12
-1502	3259	3748	-366.58252	795.1858	914.44324	12
-164	1710	2419	-40.134945	417.12234	590.31464	12
-2485	3328	4140	-606.37756	812.11957	1010.2344	12
-1261	663	2472	-307.6859	161.84132	603.0492	12
-402	3487	4465	-97.97833	850.7978	1089.341	12
-1207	1624	2358	-294.42017	396.30206	575.3009	12
-972	2603	3827	-237.17014	635.062	933.8894	12
-1481	1706	2393	-361.26926	416.25748	584.00867	12
-1112	3255	3996	-271.2766	794.25586	974.9818	12
-3701	1831	2530	-903.109	446.75797	617.43634	12
1917	975	2648	467.6894	238.00903	646.1304	12
-1676	4685	4247	-408.9286	1143.2178	1036.1619	12
-1822	974	2039	-444.55957	237.70258	497.53873	12
-2343	2177	3943	-571.6641	531.0924	962.14685	12
100	1268	2292	24.345049	309.3919	559.1308	12
-1165	4377	4666	-284.2893	1067.9424	1138.386	12
-2273	1817	1923	-554.63513	443.33563	469.30792	12
1301	1363	3413	317.52374	332.54703	832.87286	12
-1195	4266	3702	-291.67883	1040.9133	903.2159	12
-2102	1195	2512	-512.9038	291.5413	612.9594	12
-369	2287	3880	-90.0094	557.9862	946.7297	12
-67	2309	3125	-16.449884	563.32446	762.51373	12
-815	3027	3210	-198.78575	738.5684	783.3319	12
-1219	2320	2535	-297.51868	566.0977	618.4585	12
-132	3181	4039	-32.30269	776.16187	985.5233	12
-2910	2903	3000	-710.1413	708.45197	732.0727	12
-113	486	2440	-27.529491	118.61536	595.2502	12
1113	3876	4550	271.48407	945.62445	1110.255	12
-2565	3003	2731	-625.93976	732.7589	666.40314	12
-1445	60	1767	-352.60486	14.753936	431.2408	12
-781	2853	3448	-190.66986	696.01044	841.2588	12
-861	2569	3082	-210.07872	626.8622	751.98785	12
-1350	2539	3458	-329.4572	619.4629	843.69434	12
-1471	1880	2716	-358.95703	458.72778	662.6919	12
-474	2478	4155	-115.66261	604.6046	1013.9381	12
-3265	2319	2722	-796.63	565.8951	664.0795	12
617	1112	3108	150.46617	271.3715	758.236	12
-679	3805	3915	-165.75832	928.29956	955.3177	12
-2739	1516	2363	-668.3892	369.89258	576.5826	12
-1010	1588	2659	-246.35219	387.51334	648.9022	12
645	2790	3191	157.2587	680.77527	778.6658	12
-1266	2931	3295	-308.97464	715.19366	803.9396	12
-2522	1898	3166	-615.3556	463.12186	772.39874	12
-1511	1878	3383	-368.77994	458.34012	825.4006	12
614	2753	3698	149.83522	671.8292	902.2136	12
-2022	2359	3315	-493.4873	575.59985	808.95044	12
-1005	1436	3135	-245.30112	350.2971	764.896	12
-1169	2785	3580	-285.1263	679.5526	873.608	12
-1192	1355	2552	-290.9507	330.66397	622.79126	12
-2653	2882	3576	-647.27924	703.12415	872.61035	12
-737	1044	2209	-179.9408	254.63344	538.94507	12
560	3040	3908	136.52086	741.6893	953.5867	12
-2571	2036	2700	-627.31415	496.72232	658.80255	12
-1418	1321	3130	-345.90527	322.3202	763.80457	12
-2734	3563	3859	-666.9897	869.41986	941.67505	12
-68	1521	2772	-16.690182	371.16074	676.47485	12
611	2744	3682	148.98006	669.5405	898.3108	12
-1989	3014	2951	-485.30478	735.4148	719.98254	12
-1972	2106	3220	-481.23746	513.9576	785.7191	12
-1203	1092	2800	-293.49493	266.50668	683.1464	12
-64	3370	3752	-15.506851	822.2881	915.45355	12
-218	2255	3060	-53.281677	550.27686	746.66187	12
-2003	2800	3808	-488.7992	683.12805	929.1456	12
-1657	1438	2509	-404.2869	350.8983	612.317	12
2	2239	4016	0.44818664	546.3814	979.85376	12
-1968	2925	2603	-480.17212	713.65454	635.232	12
411	2048	3424	100.237335	499.70004	835.43176	12
-3557	3505	3569	-867.8131	855.1376	870.7722	12
-79	-491	1990	-19.29944	-119.86083	485.5927	12
-974	4368	4465	-237.58527	1065.6764	1089.3668	12
-1665	1470	2598	-406.1651	358.66132	633.79974	12
-1102	2118	3562	-268.97614	516.77716	869.2233	12
