A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	LABEL_0
-1111	1750	3149	-271.06537	426.9339	768.2564	12
-828	2888	3182	-201.94263	704.7119	776.3036	12
-1035	2071	2609	-252.43909	505.33517	636.4845	12
-1304	2172	3437	-318.1004	529.9127	838.51666	12
-476	1956	3367	-116.04427	477.25388	821.61096	12
-1572	2553	3312	-383.6738	622.94446	808.07855	12
-1282	2134	3233	-312.88318	520.7832	788.9318	12
-1087	2384	3577	-265.11707	581.6118	872.8931	12
-641	1962	3470	-156.48148	478.6685	846.64984	12
-1255	2583	3276	-306.27557	630.3476	799.3585	12
-1261	1850	2839	-307.79865	451.49933	692.6164	12
-1256	2059	3118	-306.56235	502.28976	760.73456	12
-1149	2213	3111	-280.40118	539.919	759.0058	12
-1282	2265	3268	-312.89523	552.5758	797.4959	12
-983	1973	3133	-239.94337	481.32153	764.5177	12
-654	2481	3115	-159.69724	605.24994	760.1626	12
-1013	2796	3516	-247.10709	682.2485	857.8583	12
-1724	2210	3288	-420.7399	539.1376	802.3723	12
-706	2055	3295	-172.24458	501.50153	803.8659	12
-661	2870	3515	-161.16359	700.1954	857.61395	12
-753	2409	3234	-183.81961	587.81226	789.03174	12
-1057	2152	3386	-257.8496	525.01685	826.1547	12
-650	2439	3414	-158.54503	595.1624	833.0478	12
-846	2603	3468	-206.31256	635.0285	846.21515	12
-1027	2012	3215	-250.6348	490.83963	784.36176	12
-634	2160	3075	-154.77951	526.9215	750.331	12
-1015	2702	3509	-247.56387	659.3796	856.257	12
-1443	2308	3388	-352.13168	563.04767	826.6882	12
-785	2155	3408	-191.61545	525.92755	831.5521	12
-672	2690	3573	-164.0267	656.27716	871.8415	12
-1059	2086	3475	-258.37616	509.1048	847.8417	12
-747	2119	3213	-182.37978	517.0819	784.01465	12
-838	2414	3723	-204.475	589.0411	908.5237	12
-1211	1732	3312	-295.4461	422.65308	808.2303	12
-1143	2110	3502	-278.77722	514.85016	854.3804	12
-1912	2363	3559	-466.43948	576.6134	868.2951	12
-1028	1590	3077	-250.85062	387.86987	750.7557	12
-893	2492	3394	-217.86304	608.1162	828.10046	12
-912	1931	3534	-222.62099	471.17297	862.4131	12
-1233	2248	3658	-300.97284	548.4622	892.49915	12
-1016	1857	3550	-247.82932	453.0642	866.2948	12
-1143	2269	3615	-278.95642	553.59	881.974	12
-1151	1756	2995	-280.77875	428.36374	730.7197	12
-1461	1966	3584	-356.49774	479.618	874.46747	12
-1374	1448	3106	-335.23535	353.37982	757.8712	12
-991	1818	3415	-241.70146	443.65826	833.3798	12
-1538	2249	3505	-375.256	548.8636	855.1349	12
-1100	1252	3141	-268.44284	305.58234	766.424	12
-1160	2102	3700	-283.04092	512.89594	902.7371	12
-1097	1887	3108	-267.6057	460.46387	758.4317	12
-1050	1916	3466	-256.1676	467.4029	845.64624	12
-1684	2008	3124	-410.94897	490.0152	762.3614	12
-885	1399	3364	-215.88261	341.33932	820.8505	12
-1232	2590	3650	-300.6073	632.0134	890.5172	12
-1628	2119	3047	-397.2348	517.0628	743.55133	12
-1156	1661	2826	-282.02045	405.25464	689.51764	12
-558	2098	3430	-136.04126	511.96466	836.81635	12
-1145	2414	4017	-279.44388	589.00604	980.2165	12
-1182	1839	3191	-288.42334	448.68546	778.687	12
-688	2115	3561	-167.76268	515.95984	868.89465	12
-620	2303	3607	-151.34068	562.02734	880.1957	12
-895	1877	3254	-218.49628	457.971	794.0061	12
-1429	2499	3582	-348.62256	609.7003	874.0827	12
-913	1912	3110	-222.76086	466.63275	758.9172	12
-467	2589	3924	-113.89254	631.8057	957.556	12
-1172	2182	3148	-285.86234	532.3341	768.04175	12
-1200	2180	3342	-292.72787	531.9881	815.56244	12
-1099	2217	3040	-268.09543	540.9204	741.7862	12
-367	2334	3719	-89.511665	569.54364	907.397	12
-1175	2249	3163	-286.70547	548.83813	771.78546	12
-611	1842	3352	-149.05112	449.33774	817.81866	12
-1699	2574	3403	-414.56497	627.9587	830.41876	12
-1164	1672	3156	-284.0069	407.9802	769.9735	12
-1519	2179	2936	-370.588	531.7436	716.26465	12
-618	1605	3509	-150.77638	391.59418	856.21246	12
-1232	2292	2812	-300.50003	559.3547	686.22955	12
669	1120	2443	163.13261	273.26456	596.11066	12
-1984	3514	3861	-484.2032	857.3902	942.1918	12
-1648	1173	3328	-402.19937	286.1431	812.1383	12
-4146	3749	5845	-1011.71606	914.69934	1426.2051	12
-1411	-927	133	-344.3327	-226.0899	32.55737	12
3397	3331	4700	828.7587	812.77155	1146.8746	12
-2562	4895	3420	-625.03766	1194.3392	834.389	12
-787	517	2455	-192.1131	126.034706	598.907	12
-1282	2450	4053	-312.7829	597.8296	989.00995	12
-2153	1639	2156	-525.2837	399.82394	525.9805	12
366	1400	3022	89.2774	341.57346	737.34515	12
227	3564	3320	55.368465	869.6435	810.1739	12
-911	2890	3636	-222.256	705.17883	887.1892	12
-4056	2496	3477	-989.6228	609.09125	848.4391	12
-2478	-773	2433	-604.6126	-188.68053	593.5635	12
840	4646	5809	204.99054	1133.5626	1417.4832	12
-793	3002	3239	-193.55505	732.54407	790.4202	12
-1342	788	2891	-327.37	192.32599	705.4094	12
-1567	2213	1715	-382.28912	540.02423	418.38824	12
-2530	1595	2013	-617.37787	389.18243	491.24225	12
-1805	1102	1826	-440.36154	268.78412	445.48938	12
-2303	2511	4570	-561.9156	612.586	1115.1797	12
-1274	1944	3914	-310.80637	474.24875	954.9205	12
413	2844	4572	100.87724	693.82684	1115.6669	12
-2002	2809	3255	-488.46024	685.30145	794.2525	12
-495	1090	2783	-120.83599	266.0239	678.9881	12
-2214	2840	3290	-540.10443	692.8845	802.76666	12
-2094	1252	2388	-511.0541	305.5516	582.663	12
-730	1848	3475	-178.16182	450.9438	848.0076	12
-1297	2744	3429	-316.53757	669.47064	836.7313	12
-419	2000	3575	-102.17644	487.90707	872.3543	12
-2117	3455	3798	-516.5025	843.0925	926.77905	12
-2066	1670	2557	-504.22598	407.56232	623.8725	12
-600	1699	3598	-146.34605	414.43774	877.9767	12
-1267	2916	2896	-309.06543	711.4088	706.6784	12
-1499	1551	3010	-365.75433	378.3868	734.3692	12
-1172	2086	3080	-286.0311	509.0009	751.58813	12
-2272	2010	2870	-554.358	490.55646	700.1781	12
-169	1662	2616	-41.15151	405.51263	638.41406	12
-1322	3530	4313	-322.68018	861.3407	1052.2571	12
-1799	1451	2635	-439.0145	353.99164	642.9065	12
-1256	2687	3804	-306.37598	655.6295	928.1892	12
-2558	2443	3120	-624.2145	596.01086	761.3204	12
349	442	2737	85.083336	107.74818	667.80066	12
-803	3171	3145	-196.0381	773.71326	767.377	12
-2762	2446	2509	-673.91754	596.852	612.3174	12
-1147	567	2787	-279.97983	138.31866	679.9204	12
-1122	2704	3612	-273.74646	659.671	881.44244	12
-184	2230	3169	-44.925045	544.23474	773.3468	12
-47	2272	3754	-11.498277	554.2474	915.85706	12
-998	2880	3535	-243.48808	702.7318	862.4345	12
-2128	2830	3372	-519.17145	690.4634	822.8834	12
-116	1283	2271	-28.390022	313.1278	554.05884	12
-293	3389	4406	-71.54372	826.8665	1075.1273	12
-1680	2783	3115	-409.87982	679.05475	760.08386	12
-209	1423	2845	-51.046356	347.1612	694.09326	12
-666	2653	3345	-162.54605	647.3414	816.11237	12
-1472	2057	2722	-359.2485	501.97134	664.21265	12
-1659	2305	3242	-404.85376	562.38324	790.99786	12
-1328	1732	2565	-324.04752	422.56787	625.842	12
546	2479	3897	133.11584	604.81116	950.9021	12
-2428	3673	3546	-592.33264	896.21497	865.13525	12
-648	176	1955	-158.08405	42.946384	477.10052	12
-2647	4200	4291	-645.92816	1024.7323	1046.9255	12
108	826	2292	26.420776	201.48097	559.2492	12
-491	3818	4233	-119.72628	931.51904	1032.9232	12
-2132	2004	2642	-520.0877	488.94907	644.73047	12
273	2353	3070	66.54818	574.12823	749.123	12
-1328	2976	2731	-324.08163	726.1137	666.3133	12
-1638	2356	2999	-399.60968	574.7967	731.7781	12
-1457	2238	3268	-355.48123	546.13934	797.32776	12
-772	2098	3124	-188.26694	512.0152	762.3075	12
-768	2618	3411	-187.4762	638.75366	832.3511	12
-1602	2648	3645	-390.77658	646.0123	889.3515	12
-537	1467	2414	-130.94336	357.99112	589.0874	12
-966	3229	4019	-235.74901	787.98157	980.7322	12
-1293	2371	2854	-315.54538	578.4229	696.3952	12
-1719	2469	3236	-419.46985	602.47345	789.64105	12
-422	1617	2701	-102.983505	394.54062	658.9452	12
-1025	3395	3583	-250.09511	828.4808	874.1673	12
-1428	2098	2173	-348.53793	511.9773	530.1208	12
-1333	1733	3455	-325.136	422.78473	843.09143	12
-1065	1805	2400	-259.78366	440.3396	585.53174	12
-957	3691	4077	-233.5322	900.67755	994.858	12
-1265	1911	2404	-308.65048	466.19034	586.5285	12
106	2514	3642	25.897392	613.44934	888.5834	12
-1293	3296	3244	-315.55386	804.22565	791.41956	12
-539	1734	3366	-131.45743	423.11227	821.2778	12
-1701	2863	2980	-415.10797	698.5748	727.17206	12
442	1702	2912	107.837265	415.16794	710.44385	12
-48	2814	3303	-11.642291	686.70984	805.8565	12
-614	2625	3513	-149.83797	640.60254	857.1036	12
-1689	2178	2897	-412.0353	531.5344	706.9144	12
158	2177	3402	38.582565	531.19354	829.97296	12
-2094	3444	3311	-510.83157	840.30884	807.79517	12
-489	1510	3091	-119.26495	368.5311	754.096	12
-1823	2926	3631	-444.76575	713.9498	886.07764	12
-34	1313	2499	-8.259269	320.32806	609.85675	12
-1250	3568	4150	-304.9554	870.47876	1012.7052	12
