A_X [mg]	A_Y [mg]	A_Z [mg]
139	1	1013
115	5	988
120	-18	987
133	9	990
131	3	1006
115	-15	1018
122	-0	977
133	1	956
122	-0	971
138	-8	997
135	-10	1011
133	6	981
133	-15	1000
99	-19	987
114	7	945
142	-3	984
131	-2	985
129	9	983
122	4	991
131	3	964
149	21	968
127	6	984
118	-32	959
131	-15	954
129	-1	990
123	-29	1007
139	-20	1006
140	-4	1007
130	11	998
134	-5	1001
129	-22	1005
123	23	981
126	5	987
125	-10	1016
105	-7	982
102	-22	954
120	3	960
131	15	956
140	4	962
134	-2	968
127	-4	972
131	-6	952
138	-1	957
129	12	961
128	10	967
151	-1	1006
140	7	984
108	17	966
116	4	986
123	-29	1001
109	-7	958
125	37	972
134	23	1000
124	7	954
126	-5	973
117	-21	960
126	-6	968
126	-5	982
118	-18	967
127	-1	987
109	10	981
106	1	973
126	0	969
130	11	989
124	11	986
120	-12	989
131	-5	977
149	15	950
148	12	987
136	23	976
125	12	948
134	8	973
135	12	985
133	22	983
126	6	979
120	-23	982
129	-2	994
122	-3	975
143	11	973
135	-10	985
122	-18	987
127	21	961
133	6	972
150	-17	1019
125	-12	986
134	16	980
119	-10	969
126	-20	968
149	28	969
128	23	952
132	15	983
135	19	976
147	-2	972
130	16	994
142	-14	1006
156	4	1012
157	21	1010
161	-13	990
141	16	981
159	0	985
153	43	974
164	17	1007
149	-16	1011
150	56	966
178	31	1009
152	18	1020
166	32	977
175	-14	989
173	20	962
139	31	1014
144	-30	1029
140	0	932
117	17	948
167	-26	1006
138	4	989
135	49	934
176	10	994
165	34	991
178	3	1001
156	12	1037
149	87	953
202	-7	1005
164	29	1018
152	63	935
175	-9	979
160	46	961
163	8	979
156	-11	1005
173	101	921
203	53	978
192	41	969
193	59	963
179	29	966
171	51	954
153	15	952
147	15	855
205	67	874
192	51	910
221	51	916
234	28	969
208	97	987
236	98	973
208	-7	1014
183	44	998
215	34	936
228	24	1023
201	-6	1024
203	-14	956
203	49	968
190	-5	1006
165	-24	961
145	32	861
207	27	927
222	40	957
209	26	986
194	6	949
168	49	862
200	56	963
239	60	1053
267	71	1019
284	70	955
303	64	1033
283	29	990
265	-8	899
290	25	938
304	58	935
315	34	978
325	34	947
364	46	891
386	38	950
380	63	1005
383	73	904
414	75	896
407	88	955
345	76	861
400	90	940
457	61	900
417	70	879
435	94	936
457	86	929
422	86	967
406	43	902
404	82	963
410	87	940
411	38	926
415	53	874
410	59	806
370	63	914
412	73	936
460	68	965
402	92	915
433	85	861
428	43	935
398	91	935
424	106	912
414	65	914
452	76	882
426	67	931
415	105	968
431	88	947
432	56	939
443	86	907
441	92	888
464	79	901
466	35	910
464	72	915
460	81	881
456	74	884
445	70	918
420	58	904
416	88	894
421	74	894
420	75	905
406	50	915
397	50	900
409	102	874
404	79	889
394	54	937
392	69	947
375	80	908
373	81	887
365	50	913
323	50	867
401	76	945
370	20	1043
253	28	1004
339	93	1000
324	36	951
308	28	1072
306	72	1086
227	62	965
290	45	1014
309	39	1002
216	68	991
231	67	1017
278	48	964
283	67	990
233	60	1004
184	33	999
194	25	947
198	24	867
181	51	938
160	36	915
256	-7	916
370	84	984
341	151	1075
269	102	1233
255	23	1121
305	-18	1011
343	61	1131
297	79	1003
286	21	989
320	-13	1105
264	-15	994
237	64	950
231	103	936
155	70	966
145	75	1010
138	60	827
141	78	846
134	45	901
97	5	827
108	67	836
122	76	778
138	59	831
110	8	819
120	-8	791
158	15	788
144	15	770
140	10	802
172	2	733
167	12	683
162	21	674
287	65	715
333	88	1021
277	85	1105
298	105	1008
308	97	1147
272	73	1188
247	58	1189
272	55	1215
323	76	1204
320	45	1225
296	50	1215
325	91	1197
377	53	1210
381	54	1173
344	100	1101
357	112	1032
376	68	991
341	55	898
305	59	843
312	48	820
303	47	730
235	7	741
183	2	727
162	3	670
154	-7	671
143	10	709
135	17	748
139	19	710
111	21	652
94	41	674
110	62	726
123	50	709
176	50	758
203	53	874
204	68	989
245	91	1057
272	63	1022
315	57	1099
280	44	1204
247	58	1242
265	48	1215
277	27	1207
284	59	1308
221	32	1328
200	31	1262
227	39	1170
236	52	1161
228	51	1194
219	36	1138
231	54	1072
225	34	1045
204	28	1025
196	41	979
191	34	906
179	34	888
165	38	867
163	25	836
165	30	832
164	57	812
184	59	845
184	49	856
153	31	855
97	17	893
48	7	886
33	13	875
10	18	905
-7	-1	937
3	17	964
28	18	959
69	10	951
92	29	997
102	25	1025
134	31	999
146	19	1006
136	-2	1057
126	45	1066
98	31	1043
88	11	1064
61	51	1060
30	25	1030
50	11	1044
51	41	1034
45	38	1024
45	23	1035
51	25	1018
52	43	987
52	35	979
74	10	987
71	24	980
60	17	978
63	-6	994
47	1	984
25	-2	965
37	8	983
35	16	994
11	-7	992
22	-0	1000
27	4	1009
16	-3	1033
33	3	1012
38	29	1004
16	36	1006
19	17	978
36	22	1009
22	18	993
5	38	979
14	30	1014
25	-9	1030
28	-3	1044
14	18	1005
16	10	970
43	-10	1015
18	-0	1013
9	-4	1004
28	2	1011
18	5	990
22	-3	992
33	18	1010
32	13	1015
41	8	994
34	23	998
12	-2	997
44	-11	904
53	12	933
11	13	1010
3	5	937
19	-2	958
45	-7	1016
25	-8	1005
36	22	986
60	21	994
37	0	1011
33	-9	984
27	-31	987
34	1	991
28	4	972
40	-1	1031
44	-10	1051
27	-22	1032
36	11	1038
35	10	1023
51	-3	1058
66	-2	1054
49	11	1044
43	-1	1033
65	14	1015
65	26	1026
61	-1	1031
62	16	1025
28	5	963
46	3	952
54	23	993
48	21	1001
64	26	987
45	26	954
49	27	952
54	30	997
53	19	1015
66	11	997
52	33	984
42	9	972
65	1	979
66	32	985
62	-5	990
62	-20	1017
50	-20	1002
60	-25	1005
80	-18	1039
77	-9	1022
63	-13	1003
50	-23	997
47	12	984
50	16	976
50	27	959
57	59	979
62	42	973
80	24	971
88	32	994
65	21	981
74	-6	1011
79	8	962
62	31	938
58	14	963
47	0	957
34	-12	951
44	-9	913
66	30	944
72	16	973
76	3	952
84	12	956
81	4	975
101	-5	992
126	15	992
96	35	977
78	-16	986
92	-29	990
79	7	948
85	23	955
87	36	995
60	17	967
80	5	953
99	34	974
94	18	977
116	-14	1001
123	33	995
99	27	971
122	9	1000
151	40	1019
136	-0	1017
143	-7	1015
132	32	1007
109	18	1004
105	2	977
115	16	969
127	17	993
124	-6	1024
113	-2	1024
88	31	945
121	41	970
132	6	1009
131	41	997
113	36	990
98	-18	959
153	15	986
117	3	982
125	35	966
118	-3	954
119	23	924
129	46	949
93	-1	963
141	54	974
121	-2	1002
116	57	980
143	40	1011
136	-1	1001
153	28	1007
123	-4	1016
115	53	951
140	18	1005
104	-11	1003
127	51	969
122	7	998
115	66	958
150	38	998
99	-7	1005
104	105	927
139	-22	1003
110	23	995
122	72	963
135	-48	1021
126	63	962
133	28	979
105	-37	1018
116	93	942
148	-6	996
116	3	997
130	98	939
167	-22	1014
146	35	980
160	51	966
158	-31	1051
121	80	972
154	13	962
144	-30	1024
106	109	932
149	-13	994
131	-26	1051
92	102	935
129	-13	1001
121	28	1021
113	96	939
138	-38	1016
127	53	984
121	38	945
139	-44	1004
148	105	968
147	-13	1014
128	-56	1001
114	65	923
137	-23	981
147	-21	1023
110	81	947
131	28	949
172	13	1007
136	82	943
159	6	986
173	-29	1053
108	87	931
127	54	927
154	-35	1030
107	41	955
128	53	914
161	-11	1004
108	15	978
110	49	957
150	12	998
132	3	1009
115	50	985
145	13	972
166	-37	1040
112	44	974
121	45	911
171	-36	974
140	-6	970
113	82	915
143	46	946
170	-45	1023
133	57	972
136	85	947
175	-10	1029
153	-5	1027
113	59	942
132	47	909
171	-37	976
140	21	1006
106	85	931
153	-1	987
172	-23	1061
127	47	1005
121	58	986
142	-22	994
156	-53	1014
150	52	999
135	21	955
189	-87	1032
184	-17	1050
117	64	941
136	10	970
141	-52	1029
114	1	961
97	78	907
114	75	942
149	3	1018
134	-2	1050
111	87	975
147	68	972
187	-49	1092
163	-42	1063
121	51	936
133	57	941
178	-29	1049
160	-13	1056
136	61	962
