#Format version: 1.0,,,
time[ms],AccX[g],AccY[g],AccZ[g]
41502210,-1.02,-1.785,-0.095
41502240,-2.549,2.975,-3.223
41502280,-1.83,3.863,-3.518
41502320,-0.996,0.222,-0.909
41502360,0.752,-3.358,2.162
41502390,1.896,-3.945,3.005
41502430,-0.861,-1.511,-0.42
41502470,-2.286,3.337,-3.657
41502510,-1.636,3.69,-3.057
41502550,-0.679,-0.302,-0.638
41502580,0.996,-3.493,2.41
41502620,0.996,-3.493,2.41
41502660,1.827,-3.987,3.259
41502700,-1.375,-1.68,-0.825
41502740,-3.656,3.656,-3.875
41502780,-2.602,3.661,-2.614
41502810,-1.147,-0.474,-0.993
41502850,0.485,-3.5,1.572
41502890,2.792,-3.997,3.316
41502920,-0.657,-3,-0.492
41502960,-3.803,2.763,-3.532
41503000,-3.641,3.93,-2.845
41503040,-1.493,-0.277,-1.57
41503080,0.695,-3.875,1.159
41503120,1.798,-3.997,3.718
41503160,-1.103,-2.985,0.28
41503190,-3.731,2.686,-3.061
41503230,-3.425,3.926,-3.051
41503270,-1.203,0.491,-1.522
41503310,0.147,-2.884,1.297
41503340,2.16,-3.992,3.88
41503380,2.16,-3.992,3.88
41503420,-0.697,-3.535,1.053
41503460,-3.743,1.94,-3.42
41503500,-3.498,3.898,-3.792
41503530,-1.667,0.104,-1.846
41503570,0.052,-3.519,1.247
41503610,2.211,-3.997,3.697
41503650,-0.673,-3.311,-0.135
41503690,-3.459,2.252,-3.725
41503730,-3.673,3.992,-2.937
41503760,-1.894,1.284,-1.596
41503800,-0.099,-3.191,0.815
41503840,2.166,-3.997,3.867
41503880,0.494,-3.523,1.817
41503910,-2.525,0.532,-2.679
41503950,-3.666,3.975,-3.707
41503990,-2.338,2.582,-2.156
41504030,-0.814,-1.926,-0.016
41504070,2.099,-3.936,3.226
41504100,1.072,-3.771,2.429
41504140,1.072,-3.771,2.429
41504180,-2.224,-0.714,-1.469
41504220,-3.939,3.886,-3.762
41504260,-2.683,3.213,-1.928
41504300,-1.036,-1.247,-0.579
41504330,1.788,-3.924,2.418
41504370,1.828,-3.981,3.254
41504410,-1.577,-2.014,-0.707
41504450,-3.904,3.49,-3.829
41504480,-3.05,3.753,-2.848
41504520,-1.284,-0.339,-1.164
41504560,0.719,-3.527,1.555
41504600,2.287,-3.997,3.807
41504640,-0.846,-2.944,0.734
41504670,-3.628,2.261,-2.894
41504710,-3.465,3.992,-3.007
41504750,-1.665,1.32,-1.72
41504790,-0.16,-2.731,0.369
41504830,2.258,-3.992,3.24
41504870,0.235,-3.616,2.154
41504900,0.235,-3.616,2.154
41504940,-2.69,-0.047,-1.593
41504980,-3.906,3.95,-3.376
41505010,-2.597,2.992,-1.964
41505050,-0.682,-1.622,-0.312
41505090,1.172,-3.722,2.57
41505130,1.675,-3.968,3.28
41505170,-1.193,-2.21,-0.241
41505210,-3.809,3.144,-3.585
41505250,-3.344,3.883,-2.399
41505280,-1.391,0.118,-1.055
41505320,0.797,-3.52,1.442
41505360,2.257,-3.997,3.517
41505400,-0.685,-2.667,0.787
41505430,-3.132,2.18,-2.898
41505470,-3.32,3.992,-2.959
41505510,-1.596,1.855,-1.482
41505550,-0.233,-2.215,0.355
41505580,1.979,-3.957,2.912
41505620,1.979,-3.957,2.912
41505660,0.83,-3.689,1.697
41505700,-2.378,-0.193,-1.513
41505740,-3.821,3.946,-2.849
41505780,-2.294,3.2,-1.534
41505820,-0.776,-0.962,-0.607
41505850,1.193,-3.412,1.647
41505890,2.018,-3.993,3.156
41505930,-0.692,-2.612,0.438
41505970,-3.297,2.368,-2.677
41506000,-3.019,3.992,-3.11
41506040,-1.042,1.53,-1.663
41506080,-0.137,-1.768,-0.075
41506120,1.326,-3.639,2.896
41506160,1.12,-3.671,2.463
41506190,-1.361,-0.858,-0.574
41506230,-3.364,3.751,-3.497
41506270,-2.451,3.651,-1.891
41506310,-0.959,0.147,-0.803
41506350,0.589,-2.915,1.433
41506390,0.589,-2.915,1.433
41506420,2.115,-3.986,3.104
41506460,-0.268,-2.931,0.903
41506500,-3.005,1.686,-2.419
41506540,-3.619,3.989,-2.952
41506570,-1.731,2.243,-1.502
41506610,-0.586,-1.395,-0.312
41506650,1.355,-3.624,2.142
41506690,1.485,-3.986,2.92
41506730,-1.129,-2.237,-0.237
41506760,-3.579,3.169,-3.38
41506800,-3.083,3.947,-2.617
41506840,-1.104,0.83,-1.46
41506880,-0.013,-2.22,0.485
41506920,1.742,-3.842,3.368
41506960,0.546,-3.531,1.971
41506990,-1.928,-0.097,-1.522
41507030,-3.573,3.929,-3.536
41507070,-2.288,3.332,-1.818
41507100,-0.783,-0.364,-0.653
41507140,-0.783,-0.364,-0.653
41507180,0.565,-2.997,1.883
41507220,1.683,-3.98,3.601
41507260,-0.25,-2.814,0.736
41507300,-2.767,1.765,-2.815
41507330,-3.307,3.99,-3.016
41507370,-1.55,2.371,-1.326
41507410,-0.229,-1.738,0.15
41507450,1.582,-3.805,2.942
41507490,1.291,-3.863,2.209
41507520,-1.371,-0.881,-1.173
41507560,-3.526,3.851,-3.703
41507600,-2.403,3.597,-1.917
41507640,-0.736,-0.314,-0.585
41507670,0.838,-3.209,1.802
41507710,1.794,-3.989,2.804
41507750,-0.512,-2.5,0.056
41507790,-3.642,3.009,-2.637
41507830,-3.454,3.967,-1.926
41507870,-3.454,3.967,-1.926
41507910,-1.556,0.716,-1.267
41507940,0.41,-3.359,0.783
41507980,2.121,-3.997,3.566
41508020,-0.42,-3.276,1.433
41508060,-3.41,1.45,-2.369
41508090,-3.811,3.99,-3.223
41508130,-1.854,1.647,-1.629
41508170,-0.34,-2.525,0.023
41508210,1.767,-3.985,3.027
41508250,0.512,-3.795,2.182
41508280,-2.285,-0.539,-1.332
41508320,-3.961,3.901,-3.712
41508360,-2.694,3.211,-2.174
41508400,-1.076,-1.239,-0.464
41508440,1.164,-3.781,2.38
41508480,1.644,-3.997,2.998
41508510,-1.818,-2.347,-0.619
41508550,-3.942,3.383,-3.686
41508590,-3.446,3.777,-2.475
41508630,-3.446,3.777,-2.475
41508660,-1.707,-0.41,-1.33
41508700,0.631,-3.785,1.421
41508740,2.177,-3.997,3.669
41508780,-1.334,-3.025,0.552
41508820,-3.749,2.413,-2.79
41508850,-3.737,3.992,-2.949
41508890,-1.653,0.974,-1.652
41508930,-0.255,-2.726,-0.054
41508970,2.209,-3.99,2.788
41509010,0.269,-3.821,1.734
41509050,-2.891,-0.025,-1.691
41509080,-3.996,3.96,-3.045
41509120,-2.912,2.937,-1.659
41509160,-1.316,-1.655,-0.613
41509190,1.522,-3.92,2.463
41509230,1.232,-3.975,2.561
41509270,-1.939,-1.69,-0.977
41509310,-3.971,3.747,-3.337
41509350,-2.893,3.524,-1.66
41509390,-2.893,3.524,-1.66
41509420,-1.26,-0.409,-0.95
41509460,0.572,-3.439,1.269
41509500,1.966,-3.997,3.272
41509540,-0.358,-3.228,0.666
41509580,-3.396,1.253,-2.317
41509610,-3.751,3.989,-2.517
41509650,-1.834,1.927,-1.236
41509690,-0.777,-1.762,0.053
41509730,1.6,-3.781,2.192
41509760,0.914,-3.668,2.352
41509800,-1.553,-1.459,-0.109
41509840,-3.722,3.535,-3.069
41509880,-2.241,3.732,-2.295
41509920,-1.021,0.451,-0.943
41509960,-0.609,-1.714,0.416
41510000,1.011,-3.635,3.355
41510030,0.536,-3.342,1.695
41510070,-1.469,-0.973,-0.747
41510110,-2.951,3.746,-3.592
41510150,-2.951,3.746,-3.592
41510180,-1.721,3.508,-1.885
41510220,-0.854,0.018,-0.83
41510260,0.13,-2.681,1.185
41510300,1.655,-3.892,3.213
41510330,-0.399,-2.301,1.165
41510370,-2.119,0.784,-1.256
41510410,-3.14,3.97,-2.968
41510450,-1.851,2.816,-1.239
41510490,-0.967,-0.368,-0.551
41510530,0.465,-3.011,1.647
41510570,1.679,-3.899,3.145
41510600,-0.628,-2.077,0.114
41510640,-3.224,2.543,-2.893
41510680,-2.88,3.947,-2.209
41510720,-1.271,1.208,-1.078
41510750,-0.107,-2.454,0.325
41510790,2.045,-3.989,3.043
41510830,-0.051,-2.805,1.879
41510870,-0.051,-2.805,1.879
41510910,-1.853,-0.325,-0.84
41510940,-3.474,3.902,-3.076
41510980,-2.211,3.339,-1.456
41511020,-0.864,-0.109,-0.592
41511060,0.306,-2.63,1.063
41511100,1.886,-3.943,3.14
41511140,0.214,-2.489,0.735
41511170,-2.232,0.918,-1.968
41511210,-3.55,3.978,-2.579
41511250,-1.845,2.716,-1.182
41511280,-0.65,-1.017,-0.206
41511320,1.376,-3.58,1.862
41511360,1.372,-3.543,2.792
