#Format version: 1.0,,,
time[ms],AccX[g],AccY[g],AccZ[g]
41405770,-0.054,-0.084,-0.988
41405810,-0.054,-0.085,-0.988
41405850,-0.054,-0.085,-0.988
41405890,-0.054,-0.085,-0.988
41405920,-0.054,-0.084,-0.988
41405960,-0.054,-0.084,-0.988
41406000,-0.054,-0.084,-0.988
41406040,-0.053,-0.085,-0.988
41406070,-0.054,-0.084,-0.988
41406110,-0.054,-0.084,-0.988
41406150,-0.053,-0.085,-0.988
41406190,-0.053,-0.084,-0.988
41406230,-0.053,-0.085,-0.988
41406260,-0.054,-0.085,-0.988
41406300,-0.054,-0.085,-0.988
41406340,-0.054,-0.085,-0.988
41406380,-0.055,-0.084,-0.988
41406420,-0.054,-0.084,-0.988
41406460,-0.054,-0.084,-0.988
41406490,-0.054,-0.085,-0.988
41406530,-0.054,-0.085,-0.988
41406570,-0.053,-0.085,-0.988
41406610,-0.054,-0.085,-0.988
41406640,-0.054,-0.085,-0.988
41406680,-0.054,-0.085,-0.988
41406720,-0.054,-0.085,-0.988
41406760,-0.054,-0.085,-0.988
41406800,-0.054,-0.085,-0.988
41406830,-0.053,-0.085,-0.988
41406870,-0.053,-0.084,-0.988
41406910,-0.054,-0.085,-0.988
41406950,-0.054,-0.084,-0.988
41406990,-0.054,-0.085,-0.988
41407030,-0.054,-0.084,-0.988
41407060,-0.054,-0.085,-0.988
41407100,-0.054,-0.084,-0.988
41407140,-0.054,-0.084,-0.988
41407180,-0.054,-0.085,-0.988
41407210,-0.054,-0.085,-0.988
41407250,-0.054,-0.084,-0.987
41407290,-0.054,-0.085,-0.988
41407330,-0.054,-0.084,-0.988
41407370,-0.054,-0.085,-0.988
41407410,-0.054,-0.084,-0.988
41407440,-0.054,-0.084,-0.988
41407480,-0.054,-0.084,-0.988
41407520,-0.054,-0.085,-0.988
41407560,-0.054,-0.085,-0.988
41407600,-0.054,-0.084,-0.988
41407630,-0.053,-0.085,-0.988
41407670,-0.053,-0.084,-0.988
41407710,-0.054,-0.084,-0.988
41407750,-0.054,-0.085,-0.988
41407780,-0.054,-0.085,-0.988
41407820,-0.054,-0.085,-0.988
41407860,-0.054,-0.084,-0.988
41407900,-0.054,-0.084,-0.988
41407940,-0.054,-0.085,-0.988
41407980,-0.055,-0.084,-0.988
41408010,-0.054,-0.085,-0.988
41408050,-0.054,-0.084,-0.988
41408090,-0.053,-0.085,-0.988
41408130,-0.054,-0.085,-0.988
41408160,-0.054,-0.085,-0.988
41408200,-0.054,-0.085,-0.988
41408240,-0.054,-0.085,-0.988
41408280,-0.054,-0.085,-0.988
41408320,-0.054,-0.084,-0.988
41408350,-0.054,-0.085,-0.987
41408390,-0.054,-0.085,-0.988
41408430,-0.054,-0.085,-0.988
41408470,-0.054,-0.085,-0.988
41408510,-0.054,-0.085,-0.988
41408550,-0.054,-0.085,-0.988
41408580,-0.054,-0.084,-0.988
41408620,-0.054,-0.085,-0.988
41408660,-0.054,-0.085,-0.988
41408700,-0.053,-0.085,-0.988
41408730,-0.054,-0.084,-0.988
41408770,-0.054,-0.085,-0.988
41408810,-0.053,-0.084,-0.989
41408850,-0.054,-0.084,-0.988
41408890,-0.054,-0.084,-0.988
41408920,-0.054,-0.085,-0.988
41408960,-0.054,-0.085,-0.988
41409000,-0.054,-0.084,-0.988
41409040,-0.055,-0.084,-0.988
41409080,-0.054,-0.085,-0.988
41409120,-0.054,-0.084,-0.988
41409150,-0.054,-0.084,-0.988
41409190,-0.054,-0.084,-0.988
41409230,-0.054,-0.085,-0.988
41409270,-0.054,-0.084,-0.988
41409300,-0.054,-0.085,-0.988
