accX[g],accY[g],accZ[g]
0.988,0.18,-0.008
0.987,0.18,-0.009
0.987,0.181,-0.009
0.988,0.181,-0.009
0.988,0.181,-0.01
0.988,0.181,-0.01
0.988,0.181,-0.009
0.988,0.18,-0.009
0.987,0.18,-0.009
0.987,0.181,-0.009
0.989,0.18,-0.008
0.988,0.18,-0.01
0.987,0.181,-0.009
0.988,0.18,-0.009
0.988,0.181,-0.01
0.987,0.181,-0.008
0.988,0.18,-0.009
0.989,0.181,-0.008
0.988,0.181,-0.009
0.989,0.181,-0.009
0.989,0.18,-0.009
0.987,0.181,-0.008
0.987,0.18,-0.009
0.988,0.181,-0.009
0.988,0.18,-0.008
0.988,0.181,-0.009
0.989,0.18,-0.009
0.986,0.18,-0.009
0.988,0.18,-0.009
0.989,0.182,-0.009
0.987,0.18,-0.009
0.988,0.181,-0.009
0.987,0.181,-0.009
0.988,0.18,-0.009
0.987,0.181,-0.009
0.988,0.182,-0.009
0.987,0.181,-0.01
0.987,0.18,-0.009
0.987,0.181,-0.008
0.988,0.181,-0.009
0.988,0.181,-0.009
0.987,0.181,-0.009
0.988,0.182,-0.009
0.988,0.182,-0.009
0.987,0.181,-0.009
0.988,0.18,-0.008
0.988,0.18,-0.009
0.988,0.181,-0.009
0.987,0.18,-0.01
0.986,0.181,-0.009
0.988,0.18,-0.01
0.987,0.181,-0.009
0.988,0.181,-0.01
0.988,0.181,-0.008
0.987,0.181,-0.01
0.988,0.181,-0.01
0.988,0.181,-0.009
0.988,0.181,-0.009
0.99,0.18,-0.009
0.99,0.181,-0.009
0.988,0.181,-0.009
0.988,0.181,-0.01
0.987,0.18,-0.009
0.987,0.181,-0.009
0.988,0.181,-0.009
0.987,0.181,-0.01
0.987,0.18,-0.01
0.987,0.181,-0.009
0.988,0.181,-0.01
0.987,0.18,-0.009
0.988,0.18,-0.009
0.988,0.181,-0.01
0.987,0.18,-0.009
0.987,0.181,-0.01
0.988,0.181,-0.008
0.987,0.18,-0.009
0.988,0.18,-0.009
0.987,0.18,-0.01
0.989,0.181,-0.01
0.987,0.18,-0.01
0.99,0.182,-0.009
0.988,0.181,-0.009
0.988,0.181,-0.009
0.988,0.181,-0.009
0.988,0.181,-0.009
0.988,0.181,-0.009
0.988,0.181,-0.009
0.988,0.181,-0.009
0.989,0.181,-0.009
0.987,0.181,-0.009
0.99,0.18,-0.009
0.988,0.181,-0.009
0.988,0.181,-0.009
