A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
15.128 	 985.272 	 -113.216 	-9.38 	 -44.1 	 -34.65 	
55.144 	 949.16 	 -119.072 	-10.78 	 -58.1 	 -41.23 	
-44.408 	 990.64 	 -94.672 	-8.26 	 -56.14 	 -13.79 	
-44.896 	 1012.6 	 -86.864 	-5.25 	 -54.81 	 3.08 	
-14.152 	 1010.65 	 -90.28 	-4.48 	 -50.68 	 7.42 	
-12.2 	 991.616 	 -91.744 	-2.1 	 -47.6 	 6.02 	
-15.616 	 963.312 	 -98.576 	-1.26 	 -44.45 	 2.24 	
-4.392 	 963.8 	 -101.504 	-0.14 	 -40.18 	 2.38 	
-5.368 	 989.176 	 -94.672 	0.21 	 -35.84 	 4.62 	
35.624 	 1003.33 	 -102.48 	0.35 	 -30.31 	 7.49 	
23.912 	 990.64 	 -96.624 	0 	 -22.4 	 7.7 	
30.744 	 985.76 	 -98.576 	1.4 	 -15.61 	 7.49 	
3.416 	 976 	 -95.16 	2.45 	 -11.62 	 9.03 	
-15.616 	 990.64 	 -83.936 	2.59 	 -11.48 	 11.13 	
-2.928 	 1001.38 	 -88.816 	1.82 	 -12.04 	 12.11 	
-3.416 	 988.688 	 -84.424 	1.19 	 -11.55 	 12.39 	
16.592 	 1002.35 	 -89.304 	2.52 	 -11.13 	 15.82 	
14.152 	 982.344 	 -82.472 	3.22 	 -11.69 	 19.04 	
47.336 	 965.752 	 -85.888 	4.69 	 -12.74 	 17.99 	
79.544 	 975.512 	 -96.624 	5.81 	 -11.69 	 14.84 	
94.184 	 991.616 	 -104.92 	5.11 	 -8.75 	 9.8 	
98.576 	 999.424 	 -108.824 	3.15 	 -4.76 	 4.62 	
29.28 	 996.008 	 -80.032 	-1.47 	 -0.14 	 -6.44 	
-30.744 	 1021.38 	 -79.544 	-14.28 	 -6.3 	 -58.52 	
-10.248 	 913.536 	 -69.296 	-20.86 	 -11.62 	 -112.98 	
214.72 	 1004.3 	 -156.648 	2.31 	 -3.08 	 -60.48 	
-271.328 	 1088.24 	 -51.728 	27.37 	 1.12 	 52.5 	
-142.984 	 1069.7 	 -98.088 	21 	 -4.9 	 67.2 	
73.2 	 974.536 	 -141.52 	-1.12 	 -6.93 	 -0.07 	
212.768 	 995.52 	 -189.832 	-5.74 	 1.26 	 -28.63 	
46.36 	 1004.3 	 -154.696 	5.11 	 6.16 	 49.49 	
-71.736 	 949.648 	 -85.888 	18.55 	 13.51 	 123.55 	
-97.112 	 1020.9 	 -73.2 	-1.68 	 -7.21 	 15.89 	
356.728 	 914.024 	 -161.528 	-8.68 	 -7.35 	 -51.59 	
64.904 	 995.52 	 -127.856 	-6.16 	 -5.04 	 -68.25 	
-46.36 	 989.664 	 -103.944 	0.14 	 -7.28 	 -2.66 	
29.768 	 1057.5 	 -102.48 	10.29 	 -3.5 	 73.78 	
-151.768 	 974.048 	 -70.272 	5.25 	 -8.05 	 52.99 	
218.624 	 823.744 	 -122.488 	-3.78 	 -11.9 	 -35.98 	
235.216 	 957.944 	 -166.896 	-6.23 	 -5.53 	 -81.83 	
-158.6 	 1037.98 	 -103.944 	1.68 	 0.42 	 0.14 	
-21.96 	 1019.43 	 -102.968 	4.55 	 -10.01 	 32.2 	
0.976 	 999.424 	 -84.912 	-1.33 	 -13.44 	 20.58 	
90.768 	 932.568 	 -115.168 	-3.5 	 -10.71 	 -6.65 	
71.248 	 993.08 	 -122.488 	-4.55 	 -7.21 	 -29.19 	
26.84 	 982.832 	 -131.272 	-2.59 	 -3.71 	 -12.81 	
2.44 	 1007.23 	 -105.896 	-1.82 	 -6.51 	 -0.49 	
38.064 	 989.176 	 -115.656 	-2.31 	 -7.84 	 3.01 	
42.456 	 960.384 	 -124.928 	-0.91 	 -7.14 	 3.5 	
41.48 	 992.592 	 -117.608 	0.91 	 -8.82 	 0.91 	
17.568 	 974.048 	 -116.144 	-0.49 	 -9.17 	 -0.42 	
-24.4 	 994.056 	 -96.624 	0.49 	 -14.07 	 3.22 	
-53.68 	 983.808 	 -101.504 	-1.26 	 -23.66 	 7.14 	
-132.736 	 1027.24 	 -79.056 	-4.06 	 -43.61 	 12.88 	
-36.6 	 1003.33 	 -99.552 	-8.33 	 -69.86 	 18.06 	
-32.208 	 976.976 	 -101.016 	-9.31 	 -86.59 	 26.18 	
124.928 	 957.456 	 -131.76 	-9.17 	 -91.63 	 25.48 	
179.584 	 953.064 	 -134.2 	-7.84 	 -78.82 	 20.93 	
232.288 	 944.768 	 -130.296 	-4.34 	 -57.47 	 17.08 	
209.84 	 967.216 	 -132.248 	0.7 	 -31.92 	 12.46 	
142.496 	 973.56 	 -109.8 	4.55 	 -13.72 	 8.61 	
134.2 	 972.584 	 -114.192 	6.72 	 -4.55 	 6.16 	
141.032 	 979.904 	 -126.392 	9.03 	 1.26 	 8.12 	
80.032 	 994.056 	 -118.096 	8.33 	 4.34 	 4.97 	
86.376 	 1016.5 	 -113.216 	-2.17 	 1.75 	 -31.08 	
52.216 	 974.536 	 -113.216 	-15.05 	 -0.42 	 -84.91 	
95.648 	 898.408 	 -153.72 	-12.46 	 -9.94 	 -88.9 	
-93.208 	 991.616 	 -113.216 	14.35 	 -6.37 	 10.43 	
-135.176 	 1050.66 	 -77.104 	20.86 	 -4.9 	 47.53 	
154.208 	 1001.86 	 -147.864 	4.41 	 -0.7 	 0.7 	
133.224 	 915 	 -163.968 	-2.66 	 7.49 	 -23.8 	
-71.736 	 992.592 	 -147.376 	17.01 	 11.83 	 42.84 	
-181.048 	 1034.56 	 -99.552 	19.95 	 -3.64 	 46.69 	
199.592 	 992.592 	 -156.648 	0.91 	 -7.7 	 -21.28 	
108.824 	 1000.89 	 -163.48 	0.07 	 -0.84 	 -17.71 	
-107.848 	 1078.48 	 -149.816 	8.4 	 0.56 	 30.24 	
9.76 	 987.712 	 -125.904 	3.15 	 -7.35 	 21.56 	
154.696 	 914.024 	 -163.48 	-4.13 	 -5.11 	 -7.28 	
-18.056 	 1003.33 	 -154.208 	-2.1 	 -7.28 	 -1.26 	
65.88 	 1019.43 	 -168.36 	-2.87 	 -12.25 	 4.2 	
122.976 	 962.824 	 -159.576 	-3.08 	 -6.44 	 6.51 	
81.984 	 993.568 	 -162.016 	-2.59 	 2.24 	 7.56 	
91.256 	 979.904 	 -156.16 	-4.34 	 3.99 	 8.75 	
102.968 	 976.488 	 -150.792 	-4.62 	 5.88 	 9.94 	
49.776 	 981.856 	 -133.224 	-4.55 	 5.6 	 11.48 	
52.704 	 976.976 	 -130.784 	-4.2 	 0.49 	 15.19 	
-9.272 	 979.416 	 -112.728 	-4.69 	 -10.85 	 21.21 	
8.296 	 1004.3 	 -100.04 	-7.63 	 -32.06 	 24.01 	
51.728 	 979.904 	 -111.264 	-12.25 	 -50.47 	 24.92 	
134.688 	 955.504 	 -125.904 	-14.49 	 -64.47 	 25.06 	
199.104 	 956.968 	 -127.856 	-14.14 	 -66.78 	 23.8 	
239.12 	 948.184 	 -136.152 	-12.04 	 -59.43 	 20.23 	
240.584 	 936.96 	 -134.688 	-8.89 	 -48.51 	 19.74 	
