#Format version: 1.0
time[ms],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[0,-51,41,-981,1540,280,630,,,,,,,0x03,
10,-53,57,-992,-1540,420,910,,,,,,,0x03,
19,-48,47,-996,-5180,700,1050,,,,,,,0x03,
29,-49,18,-995,-6930,1050,1260,,,,,,,0x03,
39,-50,2,-993,-5530,1260,1540,,,,,,,0x03,
48,-45,7,-999,-2030,1260,1750,,,,,,,0x03,
58,-32,24,-1014,1120,1120,1470,,,,,,,0x03,
67,-33,47,-1014,1960,1330,1260,,,,,,,0x03,
77,-47,55,-1018,630,1680,1470,,,,,,,0x03,
87,-41,41,-1018,-350,2100,1190,,,,,,,0x03,
96,-45,25,-1017,-560,1890,1050,,,,,,,0x03,
106,-50,18,-1019,-70,1330,560,,,,,,,0x03,
116,-40,17,-1011,630,1190,-140,,,,,,,0x03,
125,-29,19,-1006,350,1680,-980,,,,,,,0x03,
135,-27,20,-1005,280,1820,-1120,,,,,,,0x03,
145,-35,15,-1007,700,1680,-840,,,,,,,0x03,
154,-33,28,-1016,1890,1330,-840,,,,,,,0x03,
164,-27,40,-1022,1820,980,-630,,,,,,,0x03,
173,-26,48,-1024,980,630,-280,,,,,,,0x03,
183,-35,44,-1020,-840,210,-280,,,,,,,0x03,
193,-43,21,-1017,-2310,140,-420,,,,,,,0x03,
202,-35,4,-1018,-1750,280,-910,,,,,,,0x03,
212,-22,11,-1011,350,560,-1190,,,,,,,0x03,
222,-18,31,-995,1330,700,-980,,,,,,,0x03,
231,-27,40,-984,350,280,-70,,,,,,,0x03,
241,-36,42,-994,-840,-280,490,,,,,,,0x03,
251,-39,37,-1010,-1400,-980,770,,,,,,,0x03,
260,-38,34,-1023,-1540,-1260,770,,,,,,,0x03,
270,-32,24,-1027,-1890,-1330,350,,,,,,,0x03,
280,-34,13,-1017,-2590,-910,-70,,,,,,,0x03,
289,-30,1,-1019,-1400,-770,-560,,,,,,,0x03,
299,-22,3,-1014,560,-1190,-840,,,,,,,0x03,
308,-32,9,-1029,1750,-1190,-840,,,,,,,0x03,
318,-32,10,-1046,2730,-1050,-770,,,,,,,0x03,
328,-24,16,-1040,3850,-770,-840,,,,,,,0x03,
337,-14,30,-1030,5390,-910,-910,,,,,,,0x03,
347,-17,32,-1019,6090,-1750,-560,,,,,,,0x03,
357,-46,34,-1031,6160,-2660,-490,,,,,,,0x03,
366,-62,45,-1033,5180,-3150,-490,,,,,,,0x03,
376,-61,47,-1018,1960,-3360,-280,,,,,,,0x03,
386,-69,28,-990,-1890,-3360,-140,,,,,,,0x03,
395,-66,11,-978,-3850,-3080,-350,,,,,,,0x03,
405,-34,20,-985,-1960,-2940,-770,,,,,,,0x03,
414,-3,33,-986,1610,-2660,-840,,,,,,,0x03,
424,-18,40,-1006,4200,-2310,-350,,,,,,,0x03,
434,-49,91,-1011,7420,-1890,-420,,,,,,,0x03,
443,-27,66,-1005,6720,-2870,-2730,,,,,,,0x03,
453,-45,47,-995,5180,-2100,3080,,,,,,,0x03,
463,-85,17,-1007,5040,-2170,-140,,,,,,,0x03,
472,-24,0,-1008,6090,-3290,-1610,,,,,,,0x03,
482,-30,-10,-1005,5600,-2380,1960,,,,,,,0x03,
492,-49,-19,-1018,4410,-3010,630,,,,,,,0x03,
501,-47,-7,-1021,2800,-3430,-1610,,,,,,,0x03,
511,-69,-6,-1008,-2590,-3010,-1820,,,,,,,0x03,
520,-83,-44,-988,-9450,-2800,-2240,,,,,,,0x03,
530,-59,-91,-987,-13370,-1820,-2310,,,,,,,0x03,
540,-20,-106,-981,-11760,-770,-2030,,,,,,,0x03,
549,-23,-86,-975,-8680,0,-1820,,,,,,,0x03,
559,-35,-41,-976,-6650,350,-2100,,,,,,,0x03,
569,-35,1,-978,-6230,490,-1960,,,,,,,0x03,
578,-46,32,-988,-7910,420,-1540,,,,,,,0x03,
588,-57,47,-1010,-10010,70,-980,,,,,,,0x03,
598,-50,62,-1028,-11410,-490,-560,,,,,,,0x03,
607,-36,67,-1048,-12810,-770,-350,,,,,,,0x03,
617,-35,59,-1044,-14350,-420,-560,,,,,,,0x03,
627,-26,47,-1035,-13440,-70,-980,,,,,,,0x03,
636,-16,28,-1014,-9660,-140,-1050,,,,,,,0x03,
646,-39,27,-1009,-3920,-420,-700,,,,,,,0x03,
655,-55,70,-1003,2940,-1400,-210,,,,,,,0x03,
665,-65,92,-1008,3920,-2520,1050,,,,,,,0x03,
675,-69,70,-1038,-210,-2170,1890,,,,,,,0x03,
684,-69,40,-1026,-2870,-1680,1890,,,,,,,0x03,
694,-40,14,-1001,-5530,-1680,1890,,,,,,,0x03,
704,-3,-7,-999,-5250,-1540,1190,,,,,,,0x03,
713,7,-7,-1010,-1610,-1890,630,,,,,,,0x03,
723,-14,15,-1030,2100,-2100,350,,,,,,,0x03,
733,-35,36,-1050,5250,-2030,490,,,,,,,0x03,
742,-24,52,-1057,7420,-2100,560,,,,,,,0x03,
752,-15,72,-1053,8260,-2380,210,,,,,,,0x03,
761,-36,76,-1046,7280,-3220,-70,,,,,,,0x03,
771,-47,77,-1044,5320,-3850,-420,,,,,,,0x03,
781,-23,70,-1025,3290,-3780,-560,,,,,,,0x03,
790,-28,45,-988,1190,-3500,0,,,,,,,0x03,
800,-55,12,-959,-70,-3290,700,,,,,,,0x03,
810,-59,-7,-948,630,-3010,910,,,,,,,0x03,
819,-47,-1,-945,2380,-2870,980,,,,,,,0x03,
829,-44,16,-955,2100,-3080,840,,,,,,,0x03,
839,-35,48,-980,-140,-2940,280,,,,,,,0x03,
848,-26,59,-1004,-3920,-2450,70,,,,,,,0x03,
858,-31,44,-1017,-7770,-1960,140,,,,,,,0x03,
867,-35,18,-1013,-8050,-1190,420,,,,,,,0x03,
877,-35,-6,-1012,-4760,-630,1050,,,,,,,0x03,
887,-27,-3,-1013,1680,-350,1680,,,,,,,0x03,
896,-31,18,-1019,7700,-770,2310,,,,,,,0x03,
906,-50,48,-1033,10010,-1540,2590,,,,,,,0x03,
916,-55,76,-1044,8330,-2100,2310,,,,,,,0x03,
925,-44,76,-1044,3850,-2380,1890,,,,,,,0x03,
935,-48,44,-1036,-1540,-2030,1470,,,,,,,0x03,
945,-56,8,-1013,-4480,-1540,1050,,,,,,,0x03,
954,-48,-6,-997,-3290,-1400,630,,,,,,,0x03,
964,-39,0,-990,-910,-1820,560,,,,,,,0x03,
973,-43,17,-1005,1330,-2100,630,,,,,,,0x03,
983,-44,35,-1016,2450,-2030,980,,,,,,,0x03,
993,-54,46,-1019,1610,-1750,1470,,,,,,,0x03,
1002,-65,33,-1016,560,-1260,1540,,,,,,,0x03,
1012,-76,17,-1012,840,-840,1400,,,,,,,0x03,
1022,-70,14,-1007,2520,-560,1120,,,,,,,0x03,
1031,-65,19,-1001,4060,-350,980,,,,,,,0x03,
1041,-57,37,-986,4550,140,630,,,,,,,0x03,
1051,-48,52,-964,4690,490,420,,,,,,,0x03,
1060,-50,55,-953,3570,560,630,,,,,,,0x03,
1070,-60,47,-954,2450,700,910,,,,,,,0x03,
1080,-70,37,-968,2240,980,1330,,,,,,,0x03,
1089,-63,36,-984,2450,1260,1540,,,,,,,0x03,
1099,-56,31,-993,1750,1330,1400,,,,,,,0x03,
1108,-60,25,-999,490,910,840,,,,,,,0x03,
1118,-64,30,-1021,-350,70,280,,,,,,,0x03,
1128,-54,28,-1045,-1610,-840,-140,,,,,,,0x03,
1137,-35,23,-1055,-2660,-770,-420,,,,,,,0x03,
1147,-37,4,-1053,-2940,-210,-560,,,,,,,0x03,
1157,-46,0,-1039,-2100,-70,-840,,,,,,,0x03,
1166,-51,0,-1019,-1120,-210,-1050,,,,,,,0x03,
1176,-55,9,-1003,140,-840,-1120,,,,,,,0x03,
1186,-61,27,-993,1120,-1680,-980,,,,,,,0x03,
1195,-56,47,-1000,140,-2030,-910,,,,,,,0x03,
1205,-41,58,-1000,-980,-1820,-910,,,,,,,0x03,
1214,-39,60,-992,-2800,-1330,-700,,,,,,,0x03,
1224,-44,50,-985,-4270,-630,-420,,,,,,,0x03,
1234,-56,32,-976,-3920,-210,70,,,,,,,0x03,
1243,-58,22,-964,-1890,-70,630,,,,,,,0x03,
1253,-55,29,-969,910,-210,980,,,,,,,0x03,
1263,-54,40,-987,2520,-560,980,,,,,,,0x03,
1272,-57,49,-995,1610,-560,910,,,,,,,0x03,
1282,-59,43,-992,-560,-420,980,,,,,,,0x03,
1292,-52,29,-987,-1750,-210,980,,,,,,,0x03,
1301,-54,12,-985,-1540,-210,840,,,,,,,0x03,
1311,-50,17,-989,70,-490,420,,,,,,,0x03,
1320,-37,31,-995,1400,-630,350,,,,,,,0x03,
1330,-34,50,-1015,2380,-560,490,,,,,,,0x03,
1340,-42,48,-1044,1680,-210,700,,,,,,,0x03,
1349,-56,39,-1050,840,630,980,,,,,,,0x03,
1359,-56,30,-1031,1820,980,1400,,,,,,,0x03,
1369,-47,24,-1016,3360,980,1400,,,,,,,0x03,
1378,-51,21,-1004,5250,630,1050,,,,,,,0x03,
1388,-55,32,-1002,7000,70,840,,,,,,,0x03,
1398,-55,44,-1004,7490,-350,910,,,,,,,0x03,
1407,-49,43,-1014,6230,-490,770,,,,,,,0x03,
1417,-43,38,-1007,4340,-210,770,,,,,,,0x03,
1427,-50,20,-995,2660,0,910,,,,,,,0x03,
1436,-53,4,-990,2310,0,770,,,,,,,0x03,
1446,-45,-4,-1000,3290,-210,490,,,,,,,0x03,
1455,-40,2,-1003,4760,-420,630,,,,,,,0x03,
1465,-44,10,-1011,5040,-140,770,,,,,,,0x03,
1475,-45,7,-1014,4270,420,630,,,,,,,0x03,
1484,-45,0,-1012,3710,630,420,,,,,,,0x03,
1494,-48,3,-1012,4130,350,350,,,,,,,0x03,
1504,-43,4,-1022,3780,-210,140,,,,,,,0x03,
1513,-44,5,-1027,2590,-560,140,,,,,,,0x03,
1523,-46,1,-1018,1190,-630,140,,,,,,,0x03,
1533,-37,-1,-1007,-140,-630,140,,,,,,,0x03,
1542,-45,-11,-1003,-1120,-770,-70,,,,,,,0x03,
1552,-52,-7,-1002,-1120,-1050,-280,,,,,,,0x03,
1561,-43,4,-1002,-280,-1260,-280,,,,,,,0x03,
1571,-29,18,-1011,-700,-1190,-280,,,,,,,0x03,
1581,-39,19,-1013,-2030,-1050,-140,,,,,,,0x03,
1590,-62,15,-1008,-3360,-980,-70,,,,,,,0x03,
1600,-52,17,-1001,-3850,-980,-70,,,,,,,0x03,
1610,-48,9,-999,-3710,-1190,-280,,,,,,,0x03,
1619,-54,15,-999,-3640,-1190,-490,,,,,,,0x03,
1629,-44,25,-1002,-3360,-1120,-490,,,,,,,0x03,
1639,-38,23,-1010,-3360,-1050,-280,,,,,,,0x03,
1648,-41,22,-1018,-3500,-910,-210,,,,,,,0x03,
1658,-43,18,-1009,-3430,-630,-70,,,,,,,0x03,
1667,-42,17,-1000,-3360,-420,-140,,,,,,,0x03,
1677,-48,17,-996,-2660,-630,-350,,,,,,,0x03,
1687,-54,18,-1008,-1820,-910,-700,,,,,,,0x03,
1696,-45,31,-1016,-910,-980,-700,,,,,,,0x03,
1706,-38,44,-1018,-770,-980,-630,,,,,,,0x03,
1716,-39,47,-1009,-2030,-840,-490,,,,,,,0x03,
1725,-50,26,-1008,-2940,-910,-350,,,,,,,0x03,
1735,-55,10,-1014,-2310,-910,-280,,,,,,,0x03,
1745,-49,13,-1007,-280,-840,-420,,,,,,,0x03,
1754,-47,16,-1000,910,-700,-350,,,,,,,0x03,
1764,-43,33,-1008,2170,-560,-490,,,,,,,0x03,
1773,-32,49,-1010,2310,-420,-280,,,,,,,0x03,
1783,-47,46,-1005,980,-560,0,,,,,,,0x03,
1793,-61,36,-1010,0,-630,70,,,,,,,0x03,
1802,-52,30,-1004,490,-490,210,,,,,,,0x03,
1812,-43,20,-1003,1330,-210,280,,,,,,,0x03,
1822,-41,17,-1001,2730,140,280,,,,,,,0x03,
1831,-39,19,-991,4340,630,630,,,,,,,0x03,
1841,-46,16,-987,4830,980,840,,,,,,,0x03,
1851,-52,18,-994,5320,840,910,,,,,,,0x03,
1860,-46,24,-1008,6020,420,770,,,,,,,0x03,
1870,-46,38,-1021,4900,0,490,,,,,,,0x03,
1880,-43,37,-1028,2730,-350,490,,,,,,,0x03,
1889,-48,13,-1025,840,-350,560,,,,,,,0x03,
1899,-51,-8,-1012,700,-210,560,,,,,,,0x03,
1908,-47,-11,-997,2870,-210,630,,,,,,,0x03,
1918,-31,-7,-1001,5180,-280,490,,,,,,,0x03,
1928,-27,12,-1008,5880,-70,350,,,,,,,0x03,
1937,-36,17,-1000,4060,210,420,,,,,,,0x03,
1947,-39,10,-991,840,490,630,,,,,,,0x03,
1957,-44,-9,-989,-1330,560,840,,,,,,,0x03,
1966,-52,-16,-993,-1260,560,700,,,,,,,0x03,
1976,-55,-12,-996,-630,630,490,,,,,,,0x03,
1986,-53,-4,-1012,-70,700,210,,,,,,,0x03,
1995,-41,5,-1026,-630,1120,-70,,,,,,,0x03,
2005,-42,10,-1022,-2380,1400,-140,,,,,,,0x03,
2014,-43,12,-1015,-4130,1260,-350,,,,,,,0x03,
2024,-35,11,-1012,-5040,840,-700,,,,,,,0x03,
2034,-42,13,-1014,-5110,350,-1120,,,,,,,0x03,
2043,-48,24,-1010,-5250,-70,-1190,,,,,,,0x03,
2053,-54,26,-1010,-5180,-70,-910,,,,,,,0x03,
2063,-41,25,-1005,-5250,280,-560,,,,,,,0x03,
2072,-39,21,-993,-5110,490,-280,,,,,,,0x03,
2082,-46,16,-987,-4550,490,-280,,,,,,,0x03,
2092,-41,20,-987,-3360,420,-420,,,,,,,0x03,
2101,-38,27,-989,-2520,280,-280,,,,,,,0x03,
2111,-40,35,-1002,-1890,210,-140,,,,,,,0x03,
2120,-39,36,-1024,-1470,770,-210,,,,,,,0x03,
2130,-40,40,-1023,-1890,1400,-140,,,,,,,0x03,
2140,-51,43,-1002,-2310,1820,350,,,,,,,0x03,
2149,-60,33,-990,-2310,1680,490,,,,,,,0x03,
2159,-44,29,-1004,-910,1050,280,,,,,,,0x03,
2169,-19,40,-1017,980,560,280,,,,,,,0x03,
2178,-30,44,-1026,1330,280,490,,,,,,,0x03,
2188,-43,41,-1031,350,0,840,,,,,,,0x03,
