#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
550051485,-3,-11,1007,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
550091000,-4,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
550130206,-3,-11,1006,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
550169941,-4,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
550209146,-3,-12,1005,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
550249041,-3,-12,1005,,,,,,,,,,0x029,,,,,,,,,,,,,,,,,,,,,,,,,,
550288239,-3,-11,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
550329320,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
550367964,-3,-11,1006,,,,,,,,,,0x03a,,,,,,,,,,,,,,,,,,,,,,,,,,
550408057,-3,-11,1006,,,,,,,,,,0x04c,,,,,,,,,,,,,,,,,,,,,,,,,,
550447479,-4,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
550486996,-3,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
550527757,-4,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
550567496,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
550606702,-4,-12,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
550646444,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
550685642,-3,-11,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
550725166,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
550764590,-3,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
550804105,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
550845085,-3,-11,1007,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
550884602,-3,-12,1005,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
550923806,-3,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
550963548,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
551002745,-4,-11,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
551042269,-3,-11,1005,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
551081690,-3,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
551122770,-3,-11,1005,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
551162194,-3,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
551201709,-3,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
551240915,-3,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
551280809,-4,-11,1006,,,,,,,,,,0x029,,,,,,,,,,,,,,,,,,,,,,,,,,
551320015,-4,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
551359756,-3,-12,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
551398956,-4,-11,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
551439256,-3,-12,1006,,,,,,,,,,0x04a,,,,,,,,,,,,,,,,,,,,,,,,,,
551479255,-3,-11,1006,,,,,,,,,,0x03c,,,,,,,,,,,,,,,,,,,,,,,,,,
551518779,-3,-12,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
551558203,-3,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
551597718,-3,-11,1007,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
551636924,-4,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
551676665,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
551717427,-3,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
551756944,-3,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
551796365,-4,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
551835889,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
551875313,-4,-12,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
551914828,-3,-11,1005,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
551955906,-3,-12,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
551993775,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
552034536,-3,-12,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
552074278,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
552113475,-4,-11,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
552153000,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
552192424,-4,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
552231947,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
552271370,-3,-11,1007,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
552311040,-3,-11,1005,,,,,,,,,,0x009,,,,,,,,,,,,,,,,,,,,,,,,,,
552351799,-4,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
552391541,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
552430748,-3,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
552471039,-3,-11,1005,,,,,,,,,,0x02a,,,,,,,,,,,,,,,,,,,,,,,,,,
552509476,-3,-11,1006,,,,,,,,,,0x01c,,,,,,,,,,,,,,,,,,,,,,,,,,
552549000,-3,-12,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
552589977,-3,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
552629501,-3,-12,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
552668699,-3,-11,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
552708440,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
552747644,-3,-12,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
552787385,-4,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
552826588,-3,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
552866104,-3,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
552907081,-4,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
552946606,-4,-12,1007,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
552986029,-3,-11,1005,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
553025545,-3,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
553064751,-3,-11,1002,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
