#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
634385729,-64,-147,-979,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
634424149,-66,-153,-985,,,,,,,,,,0x00a,,,,,,,,,,,,,,,,,,,,,,,,,,
634463929,-61,-150,-982,,,,,,,,,,0x05c,,,,,,,,,,,,,,,,,,,,,,,,,,
634503670,-63,-155,-986,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
634542876,-63,-150,-980,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
634582618,-63,-154,-985,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
634623370,-61,-150,-984,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
634663049,-63,-152,-983,,,,,,,,,,0x049,,,,,,,,,,,,,,,,,,,,,,,,,,
634702470,-59,-150,-988,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
634741994,-62,-154,-982,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
634781418,-65,-152,-980,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
634820933,-60,-153,-985,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
634860138,-60,-152,-985,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
634899879,-61,-155,-986,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
634940641,-62,-150,-980,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
634980156,-59,-151,-989,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
635019579,-63,-146,-981,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
635059103,-60,-157,-984,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
635098525,-60,-153,-984,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
635138041,-60,-152,-981,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
635178794,-62,-150,-983,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
635218536,-58,-151,-990,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
635257744,-62,-152,-980,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
635297485,-67,-155,-979,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
635336683,-61,-150,-981,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
635376208,-60,-152,-989,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
635415633,-55,-148,-987,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
635456710,-63,-153,-983,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
635495354,-66,-150,-980,,,,,,,,,,0x03a,,,,,,,,,,,,,,,,,,,,,,,,,,
635535448,-56,-148,-988,,,,,,,,,,0x00c,,,,,,,,,,,,,,,,,,,,,,,,,,
635574653,-63,-153,-986,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
635614396,-60,-148,-982,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
635655482,-64,-153,-986,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
635695060,-60,-154,-984,,,,,,,,,,0x029,,,,,,,,,,,,,,,,,,,,,,,,,,
635734257,-64,-155,-984,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
635773783,-63,-151,-981,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
635813206,-62,-151,-984,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
635852730,-62,-153,-985,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
635891927,-61,-152,-984,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
635931668,-60,-155,-984,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
635972429,-61,-151,-983,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
636012171,-60,-152,-979,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
636051375,-63,-158,-990,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
636090891,-59,-147,-980,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
636130314,-60,-154,-988,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
636169839,-63,-151,-980,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
636209260,-62,-155,-986,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
636250338,-56,-148,-987,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
636289538,-66,-157,-979,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
636329279,-59,-147,-983,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
636368484,-61,-156,-987,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
636408225,-58,-150,-985,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
636447423,-60,-153,-985,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
636488502,-67,-153,-981,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
636527146,-62,-150,-981,,,,,,,,,,0x03a,,,,,,,,,,,,,,,,,,,,,,,,,,
636567239,-59,-155,-986,,,,,,,,,,0x04c,,,,,,,,,,,,,,,,,,,,,,,,,,
636606438,-56,-153,-990,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
636646181,-65,-152,-978,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
636686941,-62,-155,-985,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
636725281,-64,-151,-980,,,,,,,,,,0x029,,,,,,,,,,,,,,,,,,,,,,,,,,
636766041,-59,-157,-987,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
636805558,-61,-154,-983,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
636844981,-63,-157,-979,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
636884505,-59,-153,-983,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
636923928,-65,-160,-981,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
636963452,-55,-150,-992,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
637004205,-66,-151,-975,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
637043948,-65,-156,-989,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
637083152,-61,-152,-981,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
637122895,-58,-153,-986,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
637162101,-60,-158,-990,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
637201619,-61,-151,-980,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
637242922,-67,-160,-980,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
637282128,-58,-151,-983,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
637321326,-62,-157,-986,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
637361061,-62,-156,-981,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
637400259,-71,-154,-970,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
637440002,-55,-141,-988,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
637481087,-61,-151,-990,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
637520286,-60,-142,-996,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
637559707,-75,-149,-984,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
637598451,-72,-135,-979,,,,,,,,,,0x04a,,,,,,,,,,,,,,,,,,,,,,,,,,
637638449,-42,-126,-1002,,,,,,,,,,0x03c,,,,,,,,,,,,,,,,,,,,,,,,,,
637677975,-33,-112,-1036,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
637718728,-47,-120,-1009,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
637757071,-50,-117,-968,,,,,,,,,,0x029,,,,,,,,,,,,,,,,,,,,,,,,,,
637797832,-3,-88,-995,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
637837575,-30,-91,-967,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
637876783,-28,-102,-978,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
