#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
10492983418,95,295,2724,,,,,,,,,,0x07f,,,,,,,,,,,,,,,,,,,,,,,,,,
10493022624,-138,-26,1893,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10493062050,168,-323,775,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10493101567,168,-311,-408,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10493141001,107,-331,-255,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
10493180517,251,17,1991,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10493219723,-254,390,2579,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10493260240,-54,-100,1374,,,,,,,,,,0x02a,,,,,,,,,,,,,,,,,,,,,,,,,,
10493300016,143,-323,57,,,,,,,,,,0x01c,,,,,,,,,,,,,,,,,,,,,,,,,,
10493339764,168,-165,-511,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
10493378963,75,-337,381,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10493418479,145,165,2741,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10493457905,-484,255,2498,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10493498976,-143,-320,865,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10493538182,98,-294,-270,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10493577924,203,-63,-410,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10493617276,205,-299,594,,,,,,,,,,0x019,,,,,,,,,,,,,,,,,,,,,,,,,,
10493657027,144,128,2134,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
10493696226,-164,50,2163,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10493735750,105,-167,1467,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10493776729,140,-134,650,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10493816245,299,-7,-40,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10493855678,181,-122,-225,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
10493895193,130,-447,735,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10493934400,223,29,2213,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10493974143,-100,51,2138,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10494015221,110,-159,1260,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10494054654,208,-78,465,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
10494093851,199,-56,-154,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10494133376,175,-304,76,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10494172801,137,-302,1125,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10494212319,80,-1,2141,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10494251525,-13,26,1956,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10494292045,82,-86,1077,,,,,,,,,,0x02a,,,,,,,,,,,,,,,,,,,,,,,,,,
10494331828,150,-132,111,,,,,,,,,,0x05c,,,,,,,,,,,,,,,,,,,,,,,,,,
10494371570,17,-134,-270,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10494410772,6,-379,870,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10494450296,126,210,2520,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10494489721,-259,134,2019,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10494529238,32,-289,837,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10494570227,309,-357,85,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
10494609743,255,-108,-195,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10494649102,61,-263,269,,,,,,,,,,0x059,,,,,,,,,,,,,,,,,,,,,,,,,,
10494688845,142,-177,1664,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10494728043,-74,176,2352,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10494767794,-110,-17,1662,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
10494806994,121,-159,711,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10494848074,209,-139,-206,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10494887498,123,-100,-234,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10494927015,72,-369,1067,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10494966225,-41,94,2465,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
10495005959,-231,93,2060,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10495045168,29,-223,1043,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10495084911,191,-225,277,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10495125991,242,11,-155,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10495165200,90,-163,120,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10495204623,82,-229,1360,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10495244147,-81,159,2435,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10495283570,-190,16,1803,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10495323086,105,-182,929,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10495363069,216,-149,121,,,,,,,,,,0x05a,,,,,,,,,,,,,,,,,,,,,,,,,,
10495401832,184,-74,-352,,,,,,,,,,0x02c,,,,,,,,,,,,,,,,,,,,,,,,,,
10495442585,3,-352,428,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10495482329,58,-1,2190,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10495521528,-351,276,2363,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10495561053,-172,-66,1284,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10495600479,124,-253,285,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10495639998,272,-69,-140,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10495679582,187,-242,189,,,,,,,,,,0x079,,,,,,,,,,,,,,,,,,,,,,,,,,
10495719101,166,-192,1319,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10495759862,-6,74,2252,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10495799605,-108,91,1828,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10495838803,50,-107,867,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10495878329,245,-63,58,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10495917751,219,25,-271,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10495957279,12,-333,394,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10495996700,250,-92,2033,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10496036219,-220,296,2439,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10496076981,-77,-59,1381,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10496116724,192,-227,364,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10496155929,238,-117,-294,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10496195672,120,-286,-25,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10496234872,132,-366,1629,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10496274395,-162,398,2643,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10496313817,-249,70,1637,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10496354897,113,-247,488,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10496393544,148,-138,-307,,,,,,,,,,0x03a,,,,,,,,,,,,,,,,,,,,,,,,,,
10496433635,167,-139,-406,,,,,,,,,,0x00c,,,,,,,,,,,,,,,,,,,,,,,,,,
10496472841,70,-547,947,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10496512582,-213,222,2431,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10496553662,-396,320,2443,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10496592860,-84,90,1469,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10496632277,17,-332,-55,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10496671803,311,-230,-615,,,,,,,,,,0x049,,,,,,,,,,,,,,,,,,,,,,,,,,
10496711373,130,-295,240,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10496750891,152,138,2224,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10496790098,-345,394,2568,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10496829839,-68,-30,1584,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10496870600,121,-363,201,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10496910343,216,-310,-861,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10496949543,179,-490,-128,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10496989068,226,129,2140,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10497028494,-182,548,2741,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10497068020,-29,111,1603,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10497107446,128,-307,260,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10497146962,367,-205,-489,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10497187724,173,-359,-164,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10497227466,215,-192,1329,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10497266674,188,464,2266,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10497306414,45,228,1699,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10497345613,187,-50,809,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10497385138,242,-104,86,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10497424562,217,-247,-104,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10497464861,80,-498,717,,,,,,,,,,0x04a,,,,,,,,,,,,,,,,,,,,,,,,,,
10497504637,182,71,1934,,,,,,,,,,0x01c,,,,,,,,,,,,,,,,,,,,,,,,,,
10497544379,-62,396,2263,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
