#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
10339391213,-1,-4,1006,,,,,,,,,,0x07f,,,,,,,,,,,,,,,,,,,,,,,,,,
10339430419,-1,-4,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10339470161,-1,-5,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10339509366,-1,-4,1005,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10339548885,-1,-4,1007,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10339589863,-1,-4,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10339629389,-1,-4,1007,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10339668813,-1,-4,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10339708341,-1,-5,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10339747540,-1,-4,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10339787283,0,-5,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10339826489,-1,-4,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10339867007,-1,-4,1006,,,,,,,,,,0x02a,,,,,,,,,,,,,,,,,,,,,,,,,,
10339906791,-1,-4,1007,,,,,,,,,,0x05c,,,,,,,,,,,,,,,,,,,,,,,,,,
10339946307,-1,-4,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10339985730,0,-4,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10340025255,-1,-4,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10340066008,0,-4,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10340105742,-1,-4,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10340144941,-1,-5,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10340184835,-1,-4,1006,,,,,,,,,,0x029,,,,,,,,,,,,,,,,,,,,,,,,,,
10340224042,-1,-4,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10340263559,-1,-4,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10340302987,-1,-4,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10340342512,-1,-4,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10340383490,-1,-4,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10340423016,-1,-4,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10340462217,-1,-4,1005,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10340501959,-1,-4,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10340541165,0,-4,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10340580908,-1,-4,1005,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10340621673,0,-4,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10340661188,-1,-5,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10340700611,-1,-4,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10340740137,0,-4,1005,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10340779336,-1,-4,1007,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10340819079,0,-5,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10340859833,0,-4,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10340899575,-1,-4,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10340938004,0,-4,1006,,,,,,,,,,0x05a,,,,,,,,,,,,,,,,,,,,,,,,,,
10340978098,-1,-5,1007,,,,,,,,,,0x00c,,,,,,,,,,,,,,,,,,,,,,,,,,
10341017530,-1,-4,1005,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
10341057046,-1,-4,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10341098349,-1,-4,1005,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10341137559,-1,-5,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10341176759,-1,-4,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10341216655,-1,-4,1005,,,,,,,,,,0x069,,,,,,,,,,,,,,,,,,,,,,,,,,
10341255854,-1,-4,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10341295597,-1,-4,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10341334804,0,-4,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10341375876,-1,-4,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10341415298,-1,-5,1005,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10341454824,-1,-4,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10341494248,-1,-4,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10341533774,-1,-4,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10341572972,-1,-4,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10341612715,-1,-4,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10341653476,-1,-4,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
