#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
10389193988,80,124,1284,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10389233729,60,136,1183,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10389273713,57,95,1054,,,,,,,,,,0x05a,,,,,,,,,,,,,,,,,,,,,,,,,,
10389312477,69,57,952,,,,,,,,,,0x02c,,,,,,,,,,,,,,,,,,,,,,,,,,
10389353237,108,-1,856,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10389392756,109,-79,767,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10389432178,140,-188,780,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10389471702,163,-227,935,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10389511126,150,-78,1135,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10389550643,127,113,1280,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10389591729,53,258,1269,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10389629753,65,241,1190,,,,,,,,,,0x029,,,,,,,,,,,,,,,,,,,,,,,,,,
10389670513,65,133,1032,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10389710256,91,6,859,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10389749454,110,-92,724,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10389788980,123,-118,655,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10389828405,78,-61,688,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10389867930,54,-58,865,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10389908685,85,47,1148,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10389948420,79,125,1337,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10389987626,106,91,1351,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10390027369,110,52,1269,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10390066573,100,48,1109,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10390106089,91,19,959,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10390145512,123,0,878,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10390186591,133,-11,780,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10390226016,129,-17,690,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10390265542,105,-45,683,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10390305515,110,-116,841,,,,,,,,,,0x01a,,,,,,,,,,,,,,,,,,,,,,,,,,
10390344279,128,-43,1151,,,,,,,,,,0x02c,,,,,,,,,,,,,,,,,,,,,,,,,,
10390383485,146,19,1356,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10390423229,164,80,1406,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
