# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[LSB],acc_y[LSB],acc_z[LSB]
5684305,-607,305,1951
5692648,-606,300,1940
5700998,-621,286,1943
5709341,-616,275,1947
5717684,-599,272,1950
5726035,-608,285,1918
5734377,-607,289,1898
5742720,-621,261,1906
5751064,-628,243,1916
5759415,-621,262,1916
5767757,-610,284,1917
5776099,-610,283,1925
5784450,-611,285,1937
5792790,-619,284,1948
5801140,-625,284,1949
5809482,-633,284,1953
5817824,-641,276,1970
5826175,-636,275,1977
5834517,-628,285,1982
5842859,-621,294,1971
5851202,-609,298,1959
5859553,-605,289,1956
5867894,-609,287,1939
5876244,-611,285,1936
5884587,-603,276,1929
5892930,-593,281,1910
5901272,-593,285,1903
5909623,-593,273,1904
5917964,-590,268,1900
5926308,-603,275,1905
5934659,-619,279,1921
5943002,-622,279,1949
5951345,-611,286,1975
5959688,-617,300,1984
5968032,-623,294,1969
5976383,-642,265,1945
5984725,-621,268,1919
5993068,-605,277,1918
6001418,-599,276,1919
6009761,-592,279,1931
6018104,-622,288,1949
6026447,-594,260,1955
6034797,-614,268,1965
6043141,-625,298,1951
6051483,-624,295,1960
6059834,-620,271,1971
6068175,-617,267,1971
6076517,-601,279,1951
6084869,-590,296,1928
6093210,-591,296,1909
6101553,-589,289,1904
6109896,-597,276,1924
6118246,-599,281,1918
6126589,-610,293,1928
6134931,-614,281,1948
6143282,-618,278,1954
6151624,-606,286,1948
6159967,-605,285,1938
6168317,-601,276,1927
6176659,-596,274,1928
6185002,-590,284,1925
6193353,-590,291,1925
6201695,-594,283,1926
6210038,-612,266,1934
6218388,-620,252,1948
6226731,-624,261,1958
6235074,-612,267,1988
6243417,-648,276,1941
6251767,-636,283,1964
6260110,-618,254,1970
6268452,-635,277,1941
6276803,-615,289,1948
6285146,-621,280,1943
6293489,-617,280,1950
6301832,-602,289,1957
6310183,-594,294,1945
6318526,-589,296,1939
6326869,-592,280,1935
6335211,-590,280,1919
6343562,-586,292,1926
6351904,-598,275,1946
6360246,-610,270,1943
6368597,-622,267,1937
6376940,-628,265,1939
6385281,-620,266,1959
6393630,-610,283,1966
6401971,-598,298,1958
6410322,-602,289,1948
6418663,-604,274,1946
6427006,-600,275,1947
6435356,-597,283,1944
6443698,-596,279,1935
6452041,-596,270,1925
6460392,-590,269,1919
6468734,-602,270,1904
6477077,-591,278,1912
6485427,-598,271,1922
6493770,-598,264,1930
6502113,-602,261,1946
6510456,-611,263,1950
6518806,-620,281,1949
6527150,-598,279,1979
6535492,-614,286,1949
6543836,-620,300,1973
6552185,-617,268,1977
6560529,-619,256,1968
6568872,-610,271,1961
6577215,-597,283,1943
6585566,-579,292,1928
6593910,-574,297,1926
6602251,-586,288,1918
6610601,-596,274,1926
6618945,-599,267,1941
6627288,-608,274,1947
6635630,-618,281,1955
6643981,-619,268,1967
6652323,-619,262,1960
6660672,-614,268,1956
6669014,-594,277,1951
6677355,-583,282,1949
6685705,-583,279,1936
6694047,-570,286,1918
6702390,-563,289,1917
6710740,-578,282,1922
6719083,-580,280,1935
6727426,-588,282,1951
6735776,-598,282,1950
6744119,-605,280,1950
6752461,-624,265,1968
6760804,-641,244,1981
6769154,-629,253,1964
6777496,-608,275,1947
6785840,-604,285,1936
6794190,-596,281,1939
6802533,-579,284,1948
6810875,-580,283,1953
6819225,-584,277,1951
6827568,-580,273,1951
6835912,-618,267,1945
6844254,-616,265,1948
6852605,-616,253,1951
6860948,-620,250,1953
6869291,-620,258,1971
6877640,-619,264,1971
6885983,-606,278,1956
6894326,-600,277,1956
6902676,-602,266,1947
6911019,-592,266,1949
6919361,-582,273,1945
6927704,-579,274,1928
6936054,-570,275,1917
6944397,-576,273,1922
6952746,-572,266,1924
6961087,-566,282,1919
6969429,-565,297,1926
6977780,-574,294,1941
6986122,-583,285,1957
6994465,-578,282,1959
7002815,-580,290,1955
7011157,-589,275,1956
7019499,-594,269,1951
7027851,-582,283,1951
7036192,-582,287,1951
7044534,-579,278,1955
7052885,-574,283,1941
7061228,-578,289,1931
7069570,-584,274,1942
7077914,-591,261,1958
7086262,-601,261,1959
7094605,-606,264,1945
7102948,-610,255,1941
7111300,-612,241,1938
7119643,-610,248,1932
7127985,-595,262,1932
7136328,-587,268,1944
7144680,-581,279,1944
7153022,-581,284,1944
7161365,-587,279,1944
7169708,-591,269,1954
7178060,-602,262,1972
7186402,-598,266,1976
7194745,-590,279,1970
7203095,-594,280,1961
7211437,-596,271,1950
7219778,-591,275,1936
7228130,-596,276,1921
7236472,-593,272,1922
7244814,-590,270,1938
7253157,-592,272,1964
7261506,-597,283,1979
7269849,-601,289,1965
7278200,-603,284,1947
7286542,-608,275,1946
7294886,-603,259,1969
7303235,-609,261,1972
7311577,-587,268,1964
7319920,-590,265,1938
7328263,-585,259,1936
7336614,-580,269,1939
7344954,-571,280,1931
7353304,-574,283,1926
7361645,-591,278,1929
7369988,-603,263,1952
7378338,-601,253,1970
7386681,-602,267,1967
7395025,-606,278,1948
7403368,-602,268,1946
7411719,-589,264,1946
7420062,-578,279,1931
7428406,-577,288,1927
7436748,-580,273,1948
7445100,-583,263,1945
7453443,-587,276,1934
7461785,-590,276,1933
7470135,-596,263,1937
7478477,-596,259,1949
7486820,-590,259,1979
7495163,-591,260,1981
7503513,-594,271,1957
7511856,-581,276,1933
7520197,-579,274,1916
7528548,-585,272,1922
7536889,-592,268,1937
7545239,-587,267,1965
7553581,-595,279,1998
7561924,-611,295,2004
7570274,-607,296,1990
7578615,-615,277,1984
7586958,-614,248,1981
7595309,-615,251,1949
7603652,-582,262,1950
7611995,-564,257,1938
7620338,-558,278,1908
7628688,-559,293,1886
7637031,-550,263,1899
7645374,-561,254,1903
7653717,-578,271,1905
7662067,-587,270,1933
7670409,-568,234,1990
7678752,-626,269,1962
7687102,-617,278,1980
7695445,-609,230,1981
7703788,-603,235,1987
7712138,-600,267,1985
7720481,-574,274,1961
7728824,-563,278,1927
7737167,-563,284,1905
7745518,-562,280,1917
7753861,-571,277,1943
7762202,-574,281,1951
7770552,-594,285,1961
7778896,-608,268,1986
7787236,-611,258,2001
7795586,-606,267,1998
7803929,-601,265,1992
