# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[LSB],acc_y[LSB],acc_z[LSB]
7719612,-36,-80,2058
7727955,-35,-80,2059
7736306,-36,-81,2059
7744648,-38,-82,2058
7752990,-38,-81,2057
7761340,-38,-82,2059
7769681,-39,-79,2061
7778023,-40,-82,2061
7786375,-40,-82,2060
7794717,-38,-80,2059
7803059,-39,-79,2061
7811403,-37,-80,2059
7819754,-35,-80,2060
7828097,-36,-80,2061
7836440,-37,-80,2059
7844783,-37,-82,2059
7853127,-36,-83,2058
7861477,-37,-82,2057
7869820,-38,-83,2058
7878162,-39,-83,2058
7886505,-38,-81,2060
7894856,-38,-82,2063
7903198,-37,-80,2062
7911542,-37,-80,2060
7919884,-37,-81,2058
7928235,-37,-81,2059
7936576,-38,-78,2059
7944926,-37,-81,2057
7953269,-38,-80,2056
7961611,-40,-80,2055
7969960,-38,-83,2060
7978304,-38,-81,2059
7986646,-37,-80,2060
7994989,-36,-83,2059
8003339,-37,-82,2060
8011681,-35,-81,2059
8020024,-37,-81,2060
8028367,-38,-81,2061
8036717,-40,-80,2057
8045059,-40,-83,2057
8053402,-39,-82,2059
8061753,-39,-82,2061
8070096,-38,-80,2060
8078438,-36,-82,2058
8086781,-35,-81,2061
8095132,-36,-80,2060
8103474,-37,-81,2057
8111817,-38,-82,2060
8120160,-39,-81,2060
8128504,-39,-82,2057
8136855,-41,-84,2057
8145199,-40,-83,2057
8153541,-39,-82,2057
8161885,-38,-83,2057
8170235,-37,-81,2059
8178578,-35,-80,2059
8186921,-35,-80,2061
8195264,-34,-80,2058
8203607,-35,-80,2061
8211956,-36,-81,2061
8220300,-40,-82,2060
8228642,-39,-82,2058
8236993,-41,-82,2055
8245335,-39,-82,2057
8253677,-38,-81,2059
8262027,-38,-81,2059
8270370,-37,-78,2056
8278713,-37,-78,2058
8287055,-35,-79,2058
8295406,-35,-78,2061
8303748,-36,-78,2060
8312091,-38,-80,2060
8320441,-40,-83,2062
8328784,-40,-82,2059
8337127,-39,-82,2059
8345469,-40,-84,2058
8353817,-39,-83,2058
8362160,-37,-81,2057
8370509,-38,-83,2059
8378851,-36,-82,2059
8387194,-35,-81,2061
8395544,-36,-80,2059
8403886,-38,-80,2060
8412230,-37,-79,2060
8420573,-39,-80,2058
8428924,-40,-81,2058
8437268,-39,-80,2060
8445610,-39,-80,2057
8453953,-38,-81,2057
8462296,-37,-80,2057
8470648,-38,-81,2058
8478990,-36,-84,2060
8487332,-35,-82,2059
8495683,-36,-81,2061
8504024,-36,-82,2062
8512368,-37,-82,2059
8520710,-38,-83,2058
8529061,-37,-82,2056
8537404,-39,-80,2057
8545745,-39,-81,2061
8554096,-40,-79,2059
8562437,-39,-79,2060
8570779,-39,-81,2059
8579130,-36,-79,2057
8587472,-34,-77,2056
8595815,-37,-79,2057
8604158,-36,-80,2058
8612508,-36,-81,2060
8620851,-38,-82,2060
8629193,-38,-83,2059
8637544,-39,-84,2057
8645887,-39,-84,2055
8654230,-40,-85,2060
8662573,-39,-83,2060
8670922,-38,-81,2059
8679265,-37,-81,2058
8687607,-36,-80,2059
8695950,-35,-79,2057
8704300,-36,-80,2057
8712643,-37,-79,2057
8720987,-38,-79,2059
8729330,-39,-80,2060
8737681,-38,-80,2060
8746024,-40,-81,2058
8754368,-37,-81,2058
8762710,-38,-83,2059
8771061,-38,-82,2061
8779405,-36,-81,2059
8787747,-36,-80,2056
8796089,-36,-81,2058
8804440,-36,-81,2060
8812782,-36,-80,2059
8821125,-38,-81,2059
8829468,-36,-81,2057
8837816,-38,-81,2059
8846159,-36,-81,2061
8854509,-38,-82,2060
8862851,-38,-82,2057
8871193,-37,-81,2060
8879542,-38,-81,2058
8887884,-37,-81,2058
8896227,-36,-81,2059
8904578,-38,-79,2059
8912920,-37,-81,2057
8921263,-37,-81,2057
8929605,-38,-81,2060
8937956,-37,-80,2060
8946299,-38,-81,2060
8954640,-38,-82,2058
8962991,-37,-82,2059
8971334,-39,-81,2060
8979676,-37,-82,2059
8988019,-38,-81,2060
8996371,-39,-81,2058
9004713,-39,-82,2057
9013056,-37,-81,2058
9021400,-37,-79,2058
9029751,-39,-80,2061
9038092,-38,-81,2061
9046435,-38,-81,2057
9054778,-39,-81,2058
9063129,-39,-81,2060
9071472,-38,-81,2061
9079814,-38,-81,2061
9088157,-39,-82,2058
9096507,-38,-82,2055
9104850,-37,-82,2057
9113191,-38,-81,2058
9121542,-37,-81,2058
9129885,-39,-79,2057
9138228,-37,-81,2058
9146577,-35,-81,2063
9154919,-35,-79,2062
9163263,-35,-80,2060
9171612,-36,-82,2059
9179951,-36,-78,2058
9188302,-38,-81,2054
9196643,-37,-83,2055
9204985,-38,-80,2055
9213335,-37,-80,2058
9221677,-38,-85,2059
9230019,-38,-85,2064
9238368,-37,-82,2064
9246711,-37,-79,2064
9255053,-37,-80,2061
9263404,-36,-79,2055
9271746,-37,-78,2053
9280090,-38,-80,2055
9288432,-40,-82,2060
9296783,-40,-80,2058
9305126,-40,-80,2061
9313469,-39,-82,2059
9321812,-38,-81,2058
9330163,-36,-80,2057
9338505,-33,-87,2056
9346847,-33,-85,2056
9355190,-34,-81,2065
9363539,-36,-83,2067
9371882,-36,-83,2065
9380224,-36,-81,2061
9388575,-37,-81,2056
9396918,-39,-83,2054
9405259,-39,-79,2055
9413610,-37,-77,2059
9421952,-37,-79,2056
9430294,-38,-81,2060
9438645,-38,-76,2063
9446987,-38,-77,2061
9455330,-38,-82,2059
9463680,-39,-81,2056
9472022,-39,-80,2057
9480366,-40,-82,2058
9488714,-40,-81,2062
9497056,-39,-77,2061
9505398,-38,-81,2055
9513749,-36,-83,2054
9522092,-34,-80,2059
9530435,-35,-79,2060
9538777,-34,-83,2059
9547121,-34,-81,2060
9555472,-36,-79,2062
9563815,-37,-82,2061
9572159,-40,-85,2058
9580501,-40,-80,2062
9588844,-39,-81,2058
9597195,-38,-82,2056
9605536,-37,-81,2058
9613885,-37,-78,2059
9622229,-35,-79,2058
9630571,-36,-80,2061
9638914,-34,-76,2061
9647264,-36,-77,2058
9655607,-35,-82,2053
9663949,-37,-84,2060
9672297,-38,-81,2064
9680640,-40,-85,2064
9688983,-39,-86,2059
9697333,-39,-81,2067
9705675,-36,-84,2056
9714017,-35,-89,2045
9722369,-36,-76,2059
9730709,-33,-72,2053
9739058,-35,-78,2064
9747402,-39,-85,2065
9755743,-38,-76,2051
9764092,-40,-67,2048
9772435,-37,-81,2071
9780778,-38,-97,2058
9789120,-42,-64,2049
9797471,-40,-67,2058
9805814,-33,-94,2077
9814157,-36,-94,2062
9822507,-38,-76,2051
9830850,-38,-71,2053
9839193,-33,-82,2066
9847536,-37,-94,2048
9855886,-39,-74,2057
9864229,-40,-72,2075
9872571,-37,-89,2057
9880914,-39,-84,2052
9889265,-38,-77,2055
9897608,-37,-79,2062
9905949,-39,-83,2055
9914292,-38,-81,2061
9922644,-38,-87,2068
9930987,-39,-87,2060
9939329,-38,-83,2061
9947672,-39,-80,2055
9956023,-38,-85,2051
9964366,-39,-80,2058
9972709,-39,-78,2056
9981052,-38,-82,2060
9989402,-38,-79,2062
9997744,-39,-78,2063
10006086,-38,-77,2066
10014436,-37,-79,2061
10022778,-37,-82,2057
10031122,-37,-82,2056
10039464,-36,-80,2059
10047814,-38,-85,2053
10056156,-37,-85,2053
10064499,-37,-80,2059
10072850,-35,-84,2056
10081193,-37,-85,2057
10089537,-37,-79,2061
10097880,-39,-77,2062
10106223,-37,-82,2061
10114573,-38,-79,2062
10122917,-39,-76,2062
10131260,-38,-82,2058
10139603,-38,-81,2053
10147946,-39,-81,2054
10156297,-38,-85,2054
10164639,-38,-83,2061
10172982,-37,-81,2061
10181333,-36,-80,2058
10189674,-35,-82,2057
10198017,-35,-79,2061
10206367,-35,-77,2061
10214710,-37,-79,2057
10223051,-38,-81,2058
10231395,-40,-79,2061
10239745,-40,-80,2064
10248088,-41,-82,2058
10256430,-40,-83,2058
10264781,-39,-81,2055
10273122,-37,-82,2059
10281464,-34,-82,2059
10289814,-35,-80,2056
10298156,-34,-82,2056
10306498,-35,-80,2060
10314849,-37,-79,2058
10323192,-39,-82,2059
10331535,-39,-82,2062
10339877,-40,-80,2062
10348228,-40,-82,2059
10356571,-39,-84,2059
10364913,-38,-79,2056
10373263,-37,-80,2058
10381605,-36,-84,2058
10389947,-36,-80,2061
10398298,-36,-79,2058
10406639,-37,-84,2059
10414982,-37,-80,2063
10423325,-39,-80,2060
10431676,-39,-83,2057
10440019,-39,-84,2056
10448362,-40,-81,2061
10456712,-40,-80,2061
10465055,-36,-81,2060
10473399,-36,-80,2058
