# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
85412428,-304.512,4092.856,6000.448
85420771,-224.480,4030.392,5153.280
85429113,-747.616,3846.416,3841.048
85437456,-491.904,3318.400,3206.648
85445799,-582.672,2867.976,2160.864
85454140,-510.936,1867.088,1676.280
85462491,-752.496,991.616,1772.416
85470834,-879.376,649.040,1644.560
85479175,-711.504,845.704,1516.704
85487518,-725.656,565.592,1326.384
85495868,-509.960,948.672,790.072
85504209,-542.168,388.936,613.904
85512552,-540.216,310.856,116.144
85520894,-475.800,499.712,-546.072
85529243,-504.592,209.840,-933.544
85537586,-439.688,-128.344,-1345.904
85545927,-332.816,-443.104,-1711.904
85554270,-293.288,-550.952,-1991.528
85562613,-286.456,-936.960,-2326.296
85570963,-331.352,-926.224,-2814.296
85579305,66.856,-1391.776,-3732.224
85587647,-42.944,-1181.448,-3719.536
85595991,49.776,-1116.056,-3632.672
85604333,41.968,-1138.016,-2681.560
85612684,-28.792,-1076.040,-2138.904
85621028,51.728,-584.624,-2072.048
85629370,25.864,-409.920,-1780.712
85637712,41.968,-116.632,-1441.552
85646055,82.960,155.184,-1114.104
85654398,120.048,560.712,-702.720
85662741,130.296,1151.192,-56.120
85671090,-37.576,1347.856,819.840
85679433,-244.488,2297.504,1335.656
85687775,-241.072,2615.680,2457.080
85696117,-55.144,2879.200,3775.168
85704468,15.128,3181.760,4983.944
85712810,7.808,3386.720,5733.024
85721153,106.384,3263.256,6119.520
85729495,-3.904,3416.000,5625.176
85737838,251.320,3274.480,5059.096
85746188,-53.680,3671.224,3338.896
85754531,-25.376,3085.136,3211.040
85762874,-142.984,2543.944,2730.360
85771216,-360.144,1812.432,2662.040
85779559,-420.656,1560.136,2314.096
85787909,-465.064,1338.096,1948.096
85796249,-568.032,1057.496,1578.192
85804592,-653.920,873.520,1143.872
85812934,-694.424,707.112,672.952
85821284,-691.496,345.992,207.888
85829625,-679.784,-2.440,-340.624
85837967,-588.528,-198.616,-864.736
85846317,-530.456,-369.904,-1292.712
85854660,-429.440,-594.384,-1697.264
85863003,-361.608,-1199.016,-2052.528
85871346,-329.400,-1013.576,-2659.112
85879688,-14.152,-1798.768,-3138.816
85888032,-323.056,-1508.896,-3053.904
85896374,-185.928,-1318.576,-3091.480
85904726,-32.696,-1572.824,-3134.424
85913069,131.760,-1257.576,-3048.536
85921412,97.112,-1558.184,-2382.904
85929755,155.672,-917.440,-2406.328
85938097,256.688,-507.520,-2143.784
85946439,336.232,-196.176,-1846.592
85954783,373.808,177.144,-1522.560
85963132,326.472,562.176,-1039.440
85971475,156.648,968.680,-263.032
85979817,-193.248,1274.168,767.624
85988160,-474.824,1951.024,1739.720
85996509,-489.464,2493.192,2892.376
86004852,-343.552,3115.392,3864.472
86013193,-326.960,3311.568,4861.456
86021535,-309.880,3362.808,5391.424
86029886,-348.920,3624.864,5507.080
86038228,-284.504,3859.104,5378.248
86046571,-229.360,3779.560,4943.928
86054913,-192.760,3334.016,4347.104
86063255,-165.432,3046.096,3561.912
86071599,-196.176,1971.032,3125.640
86079950,-552.416,2064.728,2163.792
86088292,-463.600,1393.240,2311.656
86096635,-653.920,1106.296,1902.712
86104978,-623.176,823.744,1516.704
86113320,-726.632,450.912,1009.184
86121671,-665.632,564.128,364.048
86130015,-418.216,183.488,148.352
86138358,-477.264,-81.496,-331.352
86146701,-359.656,-292.800,-844.240
86155044,-393.328,-503.128,-1321.992
86163387,-141.520,-670.512,-2085.712
86171729,-205.448,-873.032,-2216.496
86180079,23.424,-968.192,-2642.520
86188422,130.296,-1024.800,-2819.176
86196765,125.904,-1280.024,-2892.376
86205106,167.872,-1433.744,-2984.608
86213449,317.200,-1397.144,-3084.160
86221792,445.544,-1566.968,-3004.128
86230142,527.040,-1230.736,-2791.848
86238485,444.080,-786.656,-2155.496
86246827,513.376,-472.872,-1721.664
86255170,539.240,-112.728,-1292.224
86263512,539.240,122.000,-837.896
86271863,479.704,570.960,-311.344
86280205,270.840,695.400,400.648
86288548,4.880,1119.960,1158.024
86296890,-412.848,1489.864,1904.176
86305233,-665.632,2004.704,2765.496
86313584,-755.912,2540.040,3672.200
86321926,-769.088,2961.184,4774.592
86330267,-953.064,3226.656,5726.680
86338608,-1118.008,3201.280,6217.120
86346959,-1024.800,3270.576,5858.928
86355301,-803.248,3302.784,5005.416
86363641,-617.320,2920.192,4177.280
86371991,-499.712,2347.768,3358.904
