# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
416932899,-89.304,-624.640,-1902.712
416941242,-200.568,-833.016,-1889.048
416949584,-274.256,-939.888,-2020.320
416957926,-210.328,-1009.672,-2115.480
416966277,-93.696,-917.928,-2056.920
416974619,-5.368,-718.336,-2026.176
416982962,-32.208,-562.176,-1795.352
416991311,-20.496,-386.984,-1400.072
416999652,-27.328,-215.208,-931.592
417008002,-4.880,-35.624,-463.600
417016345,68.808,175.192,30.744
417024687,110.776,385.520,548.024
417033030,68.808,587.552,1336.144
417041381,7.808,385.520,2296.040
417049724,-85.888,930.616,2698.152
417058066,82.960,285.480,3304.248
417066410,-72.224,251.808,3900.584
417074761,70.760,371.368,3784.440
417083104,407.968,81.496,3574.600
417091447,444.080,208.864,3392.576
417099790,504.104,220.088,3116.368
417108133,535.824,222.040,2928.976
417116484,545.584,267.912,2791.360
417124828,540.216,260.104,2765.984
417133169,430.416,191.784,2760.616
417141519,373.808,278.160,2624.952
417149862,313.784,227.408,2487.336
417158205,221.064,251.320,2311.168
417166548,183.488,159.088,2152.568
417174891,249.368,141.032,1960.296
417183243,31.720,1.464,1822.680
417191585,80.032,283.528,1636.752
417199928,231.800,-32.208,1489.864
417208271,208.376,114.680,1066.768
417216622,229.848,125.416,844.728
417224965,313.296,83.936,682.224
417233307,288.896,107.360,530.456
417241656,325.984,89.792,375.760
417249998,263.032,141.032,167.872
417258341,287.432,168.360,-5.368
417266691,270.352,20.008,-145.912
417275034,175.680,-21.472,-342.088
417283377,126.392,-158.112,-520.208
417291719,81.984,-111.264,-590.968
417300070,44.896,-138.592,-588.040
417308412,-7.320,-171.288,-557.296
417316754,-25.864,-178.120,-528.016
417325105,-1.952,-193.248,-483.120
417333447,2.928,-184.464,-459.696
417341794,32.208,-200.080,-446.520
417350137,42.944,-244.000,-392.840
417358480,40.992,-260.592,-366.488
417366823,60.024,-266.936,-382.592
417375166,49.776,-290.848,-415.776
417383517,64.904,-338.672,-427.488
417391860,42.944,-369.416,-459.696
417400203,35.624,-329.888,-519.720
417408546,-32.208,-334.768,-444.080
417416897,-93.696,-329.888,-269.376
417425240,-122.000,-303.048,-48.800
417433583,-167.872,-260.104,193.248
417441926,-198.128,-189.832,472.872
417450269,-190.808,-89.792,780.312
417458620,-227.408,22.936,982.344
417466963,-249.856,47.336,1162.904
417475306,-245.952,37.576,1373.232
417483649,-247.904,54.168,1553.304
417491999,-256.200,95.648,1733.376
417500342,-232.288,111.264,2020.320
417508684,-90.768,120.536,2219.424
417517035,23.912,136.152,2382.904
417525377,273.768,467.992,2424.384
417533719,-90.280,-753.472,3195.424
417542062,72.712,1224.880,1847.568
417550413,833.992,634.888,2509.784
417558755,763.720,156.160,2939.224
417567098,651.480,407.480,2977.288
417575448,728.096,51.728,2982.656
417583791,732.976,222.528,2657.160
417592133,664.656,207.400,2326.784
417600483,579.744,169.824,2011.048
417608826,479.704,98.576,1772.416
417617169,442.128,114.192,1507.920
417625512,507.032,-16.592,1253.184
417633855,493.368,39.528,1009.184
417642206,543.144,27.816,824.720
417650549,593.896,-23.912,660.752
417658892,584.136,-1.464,540.704
417667236,554.368,-24.888,407.968
417675587,443.592,-113.216,269.376
417683930,348.432,-208.864,46.360
417692273,225.944,-357.704,-204.472
417700615,103.456,-391.376,-322.568
417708965,28.792,-526.552,-438.712
417717307,-24.888,-630.008,-570.960
417725649,-27.816,-534.360,-770.064
417734000,49.776,-712.968,-965.264
417742343,40.016,-690.032,-935.984
417750685,63.928,-560.712,-895.480
417759027,108.336,-402.600,-808.128
417767377,122.488,-400.648,-623.664
417775720,87.840,-340.136,-396.744
417784063,-1.952,-385.032,-152.256
417792414,50.752,-40.016,23.912
417800756,-49.288,-149.328,165.432
417809099,98.088,11.712,292.312
417817442,39.528,91.744,586.088
417825792,-46.360,104.432,820.816
417834135,-101.992,250.832,1098.976
417842477,-91.256,387.472,1461.560
417850820,-59.536,507.520,1894.416
417859171,4.880,673.440,2340.936
417867513,43.432,818.864,2802.584
417875856,110.776,891.576,3272.040
417884198,198.616,848.632,3563.864
417892549,215.208,908.656,3637.064
417900892,281.576,940.376,3716.120
417909234,369.904,880.352,3691.232
417917584,392.840,992.592,3536.048
417925928,355.752,984.784,3367.200
417934269,317.688,970.144,3224.704
417942620,291.824,887.672,2911.896
417950963,256.200,1043.344,2576.640
417959306,214.232,563.152,2231.624
417967648,112.240,562.176,1864.160
417975999,33.184,500.200,1653.832
417984342,-22.936,499.712,1389.824
417992685,-11.224,449.448,1177.056
418001028,53.192,383.568,932.568
418009370,53.192,283.528,695.400
418017722,-27.816,160.552,557.296
418026064,-83.448,-47.336,345.504
418034407,-140.056,-318.664,244.488
418042757,0.000,-169.824,-71.248
418051099,-44.408,807.152,-1870.992
418059441,226.432,-37.576,-1145.824
418067791,82.960,-428.464,-710.528
418076133,-175.680,-517.280,-987.712
418084475,-233.264,-588.528,-1473.760
418092823,-154.696,-721.752,-1709.464
418101166,-343.064,-735.416,-1751.920
418109516,-440.176,-907.680,-1800.720
418117859,-408.944,-1091.168,-1774.856
418126201,-458.720,-1134.112,-1779.248
418134544,-506.056,-1082.872,-1703.120
418142894,-494.344,-865.224,-1585.024
418151237,-481.656,-648.064,-1281.000
418159580,-405.040,-352.824,-870.592
418167922,-302.560,-73.200,-651.968
418176273,-283.528,257.176,-400.648
