# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
384979149,-112.240,197.152,1333.216
384987499,-104.432,167.872,1275.144
384995842,-108.336,144.936,1220.000
385004184,-127.368,134.688,1184.864
385012534,-135.176,97.600,1188.768
385020876,-117.120,65.880,1172.664
385029217,-91.744,57.096,1108.736
385037567,-84.424,67.344,1023.336
385045909,-81.008,67.344,932.080
385054251,-91.256,49.288,875.472
385062602,-78.080,27.816,816.424
385070943,-82.960,12.200,779.336
385079286,-69.296,2.440,739.320
385087629,-47.824,-14.152,713.456
385095980,-20.984,-36.600,687.592
385104322,-4.392,-43.432,653.920
385112665,7.808,-43.920,604.144
385121008,12.688,-46.360,564.616
385129358,9.272,-42.456,534.360
385137700,7.808,-45.872,511.912
385146043,9.272,-48.312,480.192
385154394,-7.320,-37.576,488.976
385162736,-24.400,-45.384,534.848
385171080,-18.056,-62.464,591.456
385179422,-5.856,-71.736,629.032
385187765,-4.392,-74.664,670.512
385196116,-1.464,-64.416,687.104
385204459,3.904,-56.120,682.224
385212802,3.904,-43.920,652.944
385221145,-20.496,-45.872,643.672
385229494,-48.800,-33.184,628.544
385237837,-64.904,-20.008,625.616
385246181,-80.520,2.928,646.112
385254524,-118.096,20.008,709.064
385262875,-148.352,27.816,812.032
385271217,-149.328,29.280,918.904
385279559,-158.112,57.584,1019.920
385287909,-160.064,74.176,1146.312
385296251,-142.008,87.840,1248.304
385304593,-140.544,105.408,1326.384
385312936,-155.672,142.008,1406.904
385321287,-159.088,164.944,1484.984
385329629,-149.816,182.024,1551.352
385337972,-117.120,188.856,1592.832
385346321,-79.056,214.232,1604.056
385354663,-49.776,229.848,1587.464
385363006,-52.216,254.736,1564.528
385371356,-54.656,259.128,1546.960
385379694,-67.832,245.952,1545.984
385388045,-60.024,233.264,1543.544
385396387,-44.408,226.920,1499.624
385404729,-33.672,223.504,1450.824
385413073,-30.256,207.400,1414.712
385421423,-39.040,181.048,1376.160
385429766,-50.752,165.920,1320.528
385438109,-55.632,143.472,1251.720
