A_X [mg],A_Y [mg],A_Z [mg],G_X [dps],G_Y [dps],G_Z [dps]
-75.457,-98.393,1014.67,0.74375,-0.9275,0.23625
-77.531,-100.284,1013.82,0.77875,-1.05875,0.18375
-79.544,-104.554,1015.16,0.67375,-1.1725,0.21
-74.298,-101.199,1012.29,0.5425,-1.505,0.20125
-72.163,-105.286,1012.9,0.21875,-1.9425,0.28875
-71.492,-109.739,1021.75,0.035,-1.9075,0.35875
-70.577,-114.314,1023.21,0.20125,-1.785,0.455
-62.342,-112.972,1026.75,0.5425,-1.6275,0.595
-69.662,-112.667,1027.18,0.88375,-1.54875,0.525
-75.762,-100.711,1016.08,1.3475,-1.89875,0.25375
-81.13,-99.979,1014.55,1.63625,-2.275,-0.06125
-148.047,-191.906,977.769,11.445,-3.59625,-1.61875
-96.38,-213.866,968.68,8.79375,-8.8375,-0.74375
43.493,-330.498,933.544,7.02625,-9.695,-2.38875
-45.506,-275.903,966.484,4.33125,-5.92375,-1.98625
-33.367,-284.077,896.395,3.6925,-3.31625,-0.44625
34.465,-450.79,1060,-2.28375,-7.0525,-0.7175
14.274,-438.468,1034.25,2.135,-6.18625,-1.4525
-87.291,-424.926,1150.83,3.08,-6.7025,-3.33375
-77.47,-454.755,927.261,9.17,-5.5825,-1.8025
-58.926,-446.703,989.847,3.56125,-9.9575,0.35
-27.511,-417.606,928.603,3.92875,-5.90625,3.43
84.668,-453.108,1003.08,-0.79625,-5.705,7.14
59.231,-540.765,1084.95,-0.175,-3.1675,1.9075
-62.586,-539.24,998.509,4.3575,-3.82375,-0.49875
-23.302,-490.623,1008.15,4.33125,-5.83625,0.735
6.649,-444.69,902.007,5.46,-1.11125,1.89
50.996,-314.089,867.603,0.8225,0.9975,2.58125
88.694,-250.222,859.917,-4.235,3.14125,1.365
-21.35,-286.029,1021.44,-10.7188,0.9275,-1.8725
-50.996,-392.047,1210.12,-10.5875,-1.91625,-3.49125
17.751,-369.05,1198.83,-1.70625,-2.52875,-3.98125
-54.046,-271.511,914.146,9.59875,4.97875,-3.17625
-24.217,-227.835,1030.9,1.95125,-1.155,-3.9725
76.189,-207.705,871.629,3.14125,-1.6975,-6.405
-73.139,-137.189,1053.47,-4.83875,0.77875,-7.875
-34.77,-228.506,998.57,-0.41125,-0.18375,-9.40625
100.223,-67.954,868.396,-0.5425,-1.295,-10.5
-222.467,-116.998,1219.94,-9.9925,1.9425,-11.3488
139.263,-192.882,935.435,0.14,0.7,-7.28
-184.159,-112.606,1077.87,-2.345,5.7925,-6.16875
16.287,-178.547,986.919,-0.44625,0.04375,-4.235
