A_X [mg],A_Y [mg],A_Z [mg],G_X [dps],G_Y [dps],G_Z [dps]
243.085,-45.811,995.093,0.91875,-1.5925,0.58625
239.425,-46.787,996.984,1.14625,-2.275,1.1725
226.92,-39.894,1003.27,1.68,-3.2375,2.1525
239.425,-59.414,1007.35,2.35375,-4.36625,3.31625
257.237,-60.207,989.115,3.70125,-4.1125,3.465
271.694,-38.796,958.005,3.84125,-4.05125,2.84375
297.009,-35.197,951.539,2.28375,-4.1825,1.995
273.768,-41.053,971.486,1.11125,-3.115,0.76125
261.751,-47.519,988.383,0.37625,-2.87875,0.0875
243.756,-48.678,1004,0.42875,-2.8175,-0.1225
241.377,-45.994,1001.44,1.14625,-3.22875,0.385
257.603,-42.334,993.263,1.79375,-3.77125,1.14625
259.372,-37.393,981.551,2.2225,-3.99,1.63625
271.999,-45.567,978.684,2.1,-4.3575,1.9775
272.792,-48.434,972.035,2.205,-3.99875,1.75875
277.245,-47.763,968.619,1.9425,-3.68375,1.32125
276.147,-45.14,972.279,1.4875,-3.26375,0.76125
270.962,-50.996,980.636,1.18125,-2.86125,0.4725
270.169,-49.654,984.296,1.33,-2.485,0.46375
269.254,-41.663,981.124,1.49625,-2.1175,0.5075
278.404,-40.931,976,1.3475,-2.065,0.51625
275.72,-44.774,974.414,1.33,-1.67125,0.39375
277.062,-46.299,973.743,1.2775,-1.505,0.42
276.635,-42.761,974.414,1.28625,-1.18125,0.35
272.06,-37.637,976.366,1.11125,-1.04125,0.18375
271.389,-40.321,980.27,0.83125,-0.93625,0.06125
263.154,-44.347,983.93,0.84875,-0.70875,-0.0175
264.923,-45.445,984.967,0.9275,-0.7525,0.16625
267.18,-46.299,984.845,1.05,-0.63875,0.21
272.914,-44.286,980.697,1.015,-0.60375,0.16625
274.927,-44.408,977.647,0.86625,-0.41125,0.09625
271.023,-47.397,976.793,0.77,-0.34125,0
270.657,-45.384,981.368,0.74375,-0.4025,-0.02625
265.472,-38.857,983.503,0.8575,-0.46375,-0.1575
262.971,-37.088,986.675,0.84,-0.70875,-0.11375
258.823,-43.615,987.163,0.9975,-0.86625,-0.02625
262.056,-47.458,988.871,1.2075,-1.19,0.1575
265.35,-41.358,983.625,1.33875,-1.30375,0.245
267.363,-36.539,982.466,1.12875,-1.40875,0.1925
270.047,-41.846,981.795,0.875,-1.435,0.07
271.816,-45.994,981.673,0.8925,-1.40875,0.02625
273.524,-39.65,978.989,1.00625,-1.35625,0.11375
272.792,-38.186,976.244,1.085,-1.19875,0.245
274.012,-40.077,976.732,0.9975,-1.14625,0.315
266.936,-41.541,978.257,1.015,-1.0675,0.32375
267.729,-43.005,985.882,0.9275,-1.21625,0.35875
257.786,-42.944,992.226,0.97125,-1.4525,0.2275
260.775,-48.739,995.642,1.0325,-1.89,0.35875
263.947,-49.654,990.701,1.40875,-1.925,0.65625
274.561,-41.419,983.808,1.68,-2.0825,1.0325
281.637,-38.43,974.231,1.7325,-1.8725,1.1375
284.931,-43.493,967.765,1.60125,-1.60125,1.02375
289.384,-43.432,964.959,1.4,-1.30375,0.945
285.785,-40.443,968.07,1.26,-0.735,0.70875
278.099,-40.382,974.048,0.90125,-0.4025,0.3325
272.853,-44.896,984.906,0.56875,-0.3325,0.0175
262.422,-45.14,991.982,0.65625,-0.2625,0.035
264.374,-45.262,992.226,0.98,-0.46375,0.30625
267.18,-42.883,987.102,1.4,-0.60375,0.525
282.857,-38.064,976.366,1.4175,-0.70875,0.6475
283.223,-38.064,967.399,1.3125,-0.42,0.51625
288.591,-41.724,966.484,0.9975,-0.2975,0.385
280.661,-42.883,974.109,0.7525,0.02625,0.0875
268.095,-40.443,982.1,0.525,0.105,-0.1575
263.764,-41.724,987.529,0.4725,-0.18375,-0.23625
256.932,-47.214,993.629,0.6825,-0.44625,-0.14
264.191,-45.323,990.945,1.04125,-0.91875,0.06125
268.644,-41.602,983.93,1.26,-1.23375,0.2275
273.524,-37.149,976.61,1.39125,-1.47,0.30625
276.696,-36.6,973.743,1.33,-1.60125,0.28875
272.609,-40.138,980.148,1.07625,-1.63625,0.11375
272.67,-42.883,985.76,0.84,-1.79375,-0.06125
262.666,-41.114,990.762,0.86625,-1.84625,-0.1575
264.008,-43.31,989.054,1.02375,-2.205,-0.07
273.341,-40.26,984.357,1.30375,-2.45,0.21875
278.587,-38.613,979.294,1.505,-2.35375,0.49
288.408,-38.43,970.998,1.58375,-2.17875,0.6475
292.129,-39.101,965.386,1.51375,-1.68,0.7
297.741,-39.345,962.031,1.35625,-1.07625,0.805
294.264,-37.393,965.691,1.19,-0.28875,0.70875
286.944,-35.685,968.253,0.91875,0.21875,0.44625
278.038,-39.65,979.477,0.4725,0.42875,0.11375
267.058,-42.822,989.054,0.245,0.34125,-0.14
262.727,-46.055,996.374,0.245,-0.0175,-0.20125
259.555,-46.36,996.191,0.6125,-0.41125,-0.00875
264.13,-47.275,990.457,1.05875,-0.98875,0.34125
275.293,-44.591,978.867,1.4175,-1.33875,0.60375
285.968,-43.066,970.327,1.5925,-1.40875,0.83125
290.055,-39.406,966.423,1.54875,-1.225,0.88375
286.273,-40.748,968.802,1.3475,-0.91,0.70875
276.208,-39.284,979.172,1.02375,-0.79625,0.315
269.071,-35.685,985.943,0.65625,-0.98,-0.14
256.627,-43.493,996.74,0.455,-1.39125,-0.48125
254.736,-47.397,999.546,0.69125,-2.16125,-0.46375
252.601,-43.31,997.655,1.2775,-3.00125,-0.07875
266.692,-39.467,991.067,1.68,-3.96375,0.4725
268.644,-32.635,978.806,2.02125,-4.41,0.93625
271.999,-31.72,970.388,1.9775,-4.90875,1.60125
289.75,-36.051,981.856,1.8025,-5.55625,2.17
269.986,-24.705,983.625,2.38875,-5.18,2.44125
288.957,-35.868,990.762,2.555,-5.32,2.84375
284.809,-51.118,971.547,3.29,-4.52375,2.66
312.503,-39.772,958.493,2.905,-4.57625,2.625
305.61,-24.766,944.646,2.16125,-3.29875,1.75875
316.59,-32.086,953.674,0.56875,-3.00125,1.015
296.033,-43.432,964.593,-0.0875,-1.91625,0.32375
300.852,-46.97,977.647,-0.14875,-1.7325,0.23625
293.349,-39.345,970.937,0.5775,-0.98875,0.35
300.425,-41.114,972.218,0.805,-0.7525,0.665
302.438,-40.809,967.582,1.02375,-0.0525,0.8225
314.333,-40.565,962.946,0.93625,0.7,0.84875
307.928,-42.273,962.275,0.74375,1.81125,0.63875
306.647,-41.053,963.861,0.2975,2.47625,0.35
301.401,-46.482,966.057,0.035,3.0275,0.11375
298.656,-39.406,965.935,-0.21875,3.5525,-0.11375
283.04,-31.476,970.571,-0.455,3.75375,-0.455
278.282,-40.687,981.734,-0.63,3.52625,-0.51625
268.4,-45.384,988.505,-0.32375,3.35125,-0.3675
268.461,-40.321,988.627,0.175,2.905,-0.02625
267.119,-39.284,988.383,0.39375,2.58125,0.13125
272.975,-46.97,984.113,0.56875,2.14375,0.27125
280.234,-49.227,985.516,0.72625,1.95125,0.4025
279.624,-39.833,979.111,0.805,1.8025,0.25375
279.624,-36.722,979.111,0.35875,1.49625,0.02625
271.755,-40.626,983.015,0.14,1.2775,-0.23625
268.827,-39.101,988.017,0.20125,0.76125,-0.2625
269.376,-37.027,988.688,0.455,0.2975,-0.14875
269.559,-41.175,984.662,0.77875,-0.0525,0.0175
277.001,-42.334,981.002,1.00625,-0.39375,0.1925
281.149,-38.613,976.976,1.015,-0.41125,0.20125
286.334,-39.833,975.878,0.805,-0.42,0.13125
288.591,-42.151,975.329,0.65625,-0.21,-0.00875
287.249,-43.493,974.841,0.67375,0.00875,-0.035
287.676,-39.101,972.279,0.805,0.14875,-0.035
287.554,-35.99,972.645,0.74375,0.23625,-0.105
282.247,-40.382,975.817,0.56,0.37625,-0.23625
271.267,-40.809,983.198,0.46375,0.14875,-0.46375
265.533,-40.687,989.481,0.46375,-0.28,-0.49
259.982,-43.554,995.215,0.76125,-0.77875,-0.27125
265.533,-47.397,994.239,1.16375,-1.365,0.105
268.583,-46.055,988.932,1.47875,-1.6975,0.25375
281.088,-45.201,981.124,1.5575,-2.03875,0.35
293.044,-41.114,972.34,1.53125,-2.0475,0.3675
290.787,-35.868,968.253,1.365,-1.77625,0.14
292.434,-38.613,969.107,0.90125,-1.785,-0.09625
283.589,-42.639,975.634,0.805,-1.575,-0.20125
283.65,-38.125,977.708,0.98,-1.5925,-0.0175
283.955,-34.953,978.501,1.1375,-1.46125,0.105
285.175,-39.04,975.512,1.25125,-1.295,0.2975
293.593,-37.149,970.571,1.21625,-1.0675,0.35
298.412,-32.391,966.972,0.9625,-0.63875,0.16625
299.937,-32.147,965.996,0.595,-0.1575,-0.11375
296.704,-35.746,967.155,0.2975,0.385,-0.2975
287.737,-39.101,971.791,0.09625,0.7,-0.44625
283.284,-39.284,977.281,0.105,0.77,-0.455
276.391,-37.21,981.063,0.28,0.735,-0.30625
276.086,-37.332,982.283,0.62125,0.56,0.035
277.428,-36.112,979.721,0.88375,0.49,0.2625
284.687,-40.687,978.318,0.8575,0.315,0.27125
284.321,-41.541,977.403,0.63875,0.3675,0.06125
282.552,-41.846,979.233,0.28875,0.25375,-0.245
257.725,-35.685,965.447,0.23625,0.21,-0.4025
309.392,-47.458,988.261,-0.91875,-1.40875,0.07
285.724,-41.724,977.952,0,0.13125,-0.595
272.304,-45.323,986.309,-0.00875,-0.13125,-0.3675
286.883,-43.249,980.331,0.46375,-0.53375,-0.035
273.768,-39.101,982.1,0.67375,-0.39375,-0.13125
272.975,-37.21,976.793,0.77,-0.84,-0.11375
272.67,-38.918,984.357,0.3675,-1.32125,-0.16625
272.426,-46.909,985.333,0.245,-1.70625,-0.25375
274.439,-50.813,996.313,0.245,-2.1525,-0.25375
269.193,-46.543,993.263,0.9275,-2.45,-0.16625
278.526,-42.7,994.117,1.25125,-2.9925,0.035
276.391,-40.687,980.392,1.70625,-3.08875,0.11375
286.517,-45.445,977.769,1.63625,-3.56125,0.315
290.116,-44.957,974.353,1.84625,-3.5525,0.2625
292.556,-40.26,971.303,1.8375,-3.5875,0.16625
