A_X [mg],A_Y [mg],A_Z [mg],G_X [dps],G_Y [dps],G_Z [dps]
-142.74,-98.271,1045.6,-12.9325,-21.63,-1.61875
-34.648,-165.249,1141.86,-6.1075,-10.6838,0.56
-37.576,-128.344,1105.38,3.54375,6.23875,0.3675
-78.324,-88.45,995.825,5.64375,4.15625,-0.35875
-136.396,-16.409,913.78,5.88,6.78125,-0.7175
-140.727,48.373,921.954,0.6825,2.415,0.385
-77.165,-112.179,1067.68,-8.9425,-12.1538,-0.21875
-27.023,-65.27,1134.36,-3.57875,-8.68875,-0.62125
-107.299,-30.317,1048.29,6.51875,10.7188,-0.39375
-152.927,-53.375,933.727,6.6325,8.715,0.20125
-92.232,-30.561,948.55,-0.07875,-5.22375,0.62125
-35.014,-83.875,991.128,-2.96625,-4.57625,0.49
-94.123,-124.318,1072.93,-2.52875,-0.60375,-0.6475
-88.694,-118.523,1076.65,0.07,-2.0825,-0.2625
-69.296,-87.413,1014.74,4.3225,2.9225,0.53375
-88.084,-30.317,942.389,5.3025,6.1075,0.35875
-114.253,-53.68,970.266,-0.665,-1.12875,-0.665
-113.033,-73.505,1058.78,-3.8325,-5.32875,-0.65625
-91.317,-19.52,1071.89,-0.46375,-1.0675,-0.07875
-103.212,-61,1035.17,1.785,2.555,-0.1925
-91.256,-19.825,979.66,3.52625,1.65375,0.595
-80.398,-44.713,961.909,1.4875,0.735,0.34125
-76.799,-81.252,1007.78,-1.715,-3.21125,-0.245
-65.026,-113.765,1047.92,-1.95125,-3.5875,-0.3675
-95.465,-113.826,1045.72,1.54,2.2925,-0.5075
