A_X [mg]	A_Y [mg]	A_Z [mg]
156	5	1012
161	10	1008
151	-1	982
150	6	986
156	33	974
163	17	1008
145	-3	1000
166	60	974
164	12	1029
159	35	982
178	-14	986
165	30	966
136	4	1038
149	-23	971
117	24	932
164	-29	1010
131	22	969
155	32	953
171	22	1002
175	13	992
155	16	1034
161	74	950
196	-16	1033
146	71	958
173	-2	968
161	45	962
162	-10	995
157	38	966
195	88	945
195	33	980
192	59	962
176	31	961
168	45	963
140	2	894
195	59	858
195	55	912
229	43	922
220	46	987
224	121	973
220	8	1006
181	38	994
223	32	947
217	17	1043
199	-24	979
204	40	958
191	-4	1010
155	-12	931
165	35	876
226	31	953
210	33	980
193	7	947
171	54	871
217	55	1011
257	68	1047
281	70	958
303	64	1032
276	18	964
273	-3	910
300	53	939
312	39	965
326	35	950
371	44	889
386	45	991
378	73	950
408	74	886
406	85	945
346	81	872
436	81	943
434	59	870
426	92	926
457	89	939
416	75	948
404	50	920
407	99	961
411	44	927
415	52	871
402	58	824
373	69	932
456	68	951
412	86	935
431	85	862
418	46	945
409	110	920
417	78	917
442	72	886
429	70	930
417	107	966
432	68	943
439	71	923
442	95	888
462	75	899
466	40	913
463	82	904
457	75	875
448	72	914
421	61	905
416	86	893
422	74	897
413	64	913
397	44	906
409	101	874
401	71	899
394	58	948
382	76	927
372	83	887
363	50	912
330	59	869
418	60	1001
280	7	1022
316	88	999
326	37	956
313	37	1094
271	73	1029
249	50	983
320	38	1014
217	67	990
241	62	1008
287	53	966
258	69	1004
191	37	1003
192	25	942
198	27	877
165	56	942
202	-1	901
358	59	972
341	150	1077
260	88	1238
269	-7	1038
338	24	1092
308	87	1042
287	21	989
315	-18	1097
242	10	959
242	100	946
170	76	951
142	72	1004
138	63	810
144	75	888
110	9	855
102	51	830
124	79	786
134	49	832
106	-6	803
147	6	792
150	18	770
138	8	800
178	5	714
152	12	685
230	45	668
338	88	958
278	85	1104
305	107	1024
297	87	1185
252	64	1179
263	53	1214
323	75	1205
314	39	1228
300	72	1203
359	73	1205
385	46	1187
344	102	1099
364	105	1026
368	57	958
314	60	854
309	50	829
302	45	733
222	3	744
172	5	702
157	-5	663
146	6	701
136	18	747
136	19	697
98	26	648
104	58	713
118	53	713
177	50	759
201	53	896
219	82	1031
260	76	1034
308	56	1073
281	45	1205
249	60	1242
269	33	1199
287	47	1264
236	41	1335
199	29	1260
232	42	1160
234	56	1180
220	39	1169
228	51	1081
225	35	1044
201	30	1020
194	40	947
185	32	891
167	39	874
163	24	837
163	35	826
171	61	820
188	54	859
161	35	851
96	17	893
44	6	882
26	19	884
-4	5	925
-0	12	960
28	18	959
76	13	956
94	29	1016
121	27	1012
146	25	998
137	-1	1057
121	49	1060
92	14	1047
76	37	1069
33	35	1033
49	10	1042
50	44	1030
44	30	1029
49	21	1030
52	40	992
52	35	979
76	11	986
65	27	976
62	0	988
52	-1	989
25	-2	966
40	13	987
24	7	992
14	-7	997
29	5	1006
16	-3	1033
37	7	1007
30	37	1010
14	24	985
35	20	1001
21	19	994
5	40	984
19	13	1022
28	-12	1041
17	17	1017
17	9	970
42	-9	1019
8	-0	1005
22	-3	1011
21	6	995
22	-2	991
33	20	1013
34	6	1008
42	19	990
13	5	1007
44	-11	904
45	15	958
3	10	988
10	1	931
42	-6	1012
26	-7	1005
44	26	985
53	11	1005
32	-3	996
29	-28	983
32	-1	989
29	3	980
46	-2	1049
32	-21	1037
33	3	1036
36	12	1025
55	-6	1060
63	5	1048
40	4	1040
62	9	1018
64	24	1024
65	1	1034
47	16	1002
33	-2	946
56	21	987
49	22	1002
61	26	982
43	25	945
55	30	977
51	22	1016
66	11	998
47	33	982
50	-3	972
69	24	984
61	6	986
62	-21	1016
50	-21	998
70	-24	1021
81	-11	1034
66	-11	1004
50	-21	995
48	16	984
50	15	966
54	49	970
60	49	976
80	23	973
83	33	988
64	9	994
81	-3	990
65	30	936
58	13	962
44	-1	959
35	-17	934
58	16	923
72	23	974
76	3	952
84	12	960
84	-2	983
