A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
219.112 	 951.112 	 -96.136 	10.22 	 18.13 	 12.74 	
228.384 	 973.56 	 -98.576 	9.03 	 16.17 	 -0.7 	
219.6 	 952.088 	 -104.432 	7.98 	 15.4 	 -10.15 	
206.424 	 981.856 	 -108.824 	9.03 	 14.84 	 -11.2 	
166.408 	 961.848 	 -93.208 	8.96 	 13.51 	 -8.12 	
181.048 	 982.344 	 -92.72 	7.91 	 8.75 	 1.33 	
203.008 	 993.08 	 -109.8 	6.93 	 3.22 	 22.89 	
218.624 	 996.496 	 -111.264 	7.7 	 -1.19 	 57.05 	
270.84 	 952.088 	 -122.488 	7.42 	 -1.47 	 64.33 	
360.632 	 920.368 	 -128.832 	4.97 	 2.52 	 36.26 	
361.12 	 924.76 	 -146.4 	-1.61 	 10.99 	 -6.37 	
297.68 	 929.64 	 -125.416 	-6.65 	 11.06 	 -47.74 	
242.536 	 923.784 	 -127.856 	-13.72 	 2.03 	 -97.16 	
243.024 	 941.84 	 -100.528 	-18.62 	 -7.7 	 -116.83 	
317.688 	 1032.61 	 -76.128 	-9.17 	 1.89 	 -42.35 	
-62.952 	 1039.93 	 -76.616 	1.89 	 11.2 	 40.46 	
141.032 	 1031.63 	 -99.552 	7.14 	 6.02 	 75.95 	
214.232 	 995.52 	 -90.768 	3.64 	 3.71 	 74.27 	
277.672 	 962.824 	 -86.376 	-5.04 	 7 	 38.15 	
260.104 	 900.36 	 -77.104 	-16.52 	 5.39 	 -17.78 	
159.576 	 931.104 	 -57.584 	-24.43 	 -5.6 	 -69.93 	
175.192 	 938.912 	 -40.504 	-27.44 	 -22.47 	 -100.8 	
112.24 	 1025.29 	 7.808 	-19.74 	 -36.47 	 -70.42 	
-13.176 	 999.912 	 7.808 	-7.84 	 -43.82 	 -13.93 	
12.2 	 1069.7 	 -11.224 	-1.12 	 -51.66 	 20.93 	
-9.272 	 1048.22 	 -22.448 	-5.32 	 -62.37 	 41.16 	
79.544 	 1002.84 	 -34.16 	-12.18 	 -74.13 	 50.54 	
124.44 	 932.08 	 -42.456 	-15.33 	 -83.23 	 55.58 	
194.224 	 934.52 	 -60.024 	-15.54 	 -91.7 	 52.43 	
223.504 	 939.4 	 -61.976 	-16.8 	 -97.37 	 43.47 	
305.488 	 948.184 	 -82.472 	-19.53 	 -99.05 	 31.78 	
298.168 	 964.288 	 -94.184 	-21.91 	 -96.81 	 25.97 	
284.504 	 911.584 	 -79.544 	-21 	 -93.31 	 26.74 	
284.016 	 947.208 	 -81.008 	-17.92 	 -91.77 	 32.41 	
374.784 	 918.904 	 -106.872 	-15.4 	 -86.45 	 35.7 	
392.84 	 889.624 	 -126.392 	-10.57 	 -75.88 	 35.98 	
434.32 	 895.968 	 -136.152 	-6.09 	 -64.68 	 29.12 	
477.752 	 889.136 	 -158.6 	-3.29 	 -50.05 	 14 	
467.016 	 878.4 	 -169.824 	-1.75 	 -32.97 	 -5.95 	
398.696 	 896.944 	 -158.112 	-1.33 	 -15.54 	 -34.09 	
327.936 	 894.504 	 -135.664 	0.42 	 -7.91 	 -84.07 	
290.848 	 896.456 	 -117.12 	1.33 	 -1.4 	 -122.99 	
275.72 	 958.92 	 -150.304 	7.56 	 -0.77 	 -104.23 	
1.464 	 992.104 	 -156.16 	17.57 	 -3.29 	 0.98 	
135.176 	 994.544 	 -150.792 	25.55 	 -9.59 	 58.38 	
206.424 	 1011.14 	 -178.12 	28 	 -3.08 	 88.13 	
246.44 	 976.488 	 -189.344 	25.48 	 2.8 	 82.11 	
272.304 	 958.432 	 -197.64 	16.03 	 4.27 	 48.23 	
324.032 	 898.408 	 -202.032 	4.97 	 0.42 	 -8.26 	
316.224 	 865.712 	 -195.688 	-2.8 	 3.43 	 -52.43 	
221.552 	 914.024 	 -196.664 	-6.23 	 1.61 	 -87.92 	
214.72 	 1012.6 	 -211.304 	-11.41 	 -8.89 	 -85.05 	
60.512 	 975.512 	 -202.032 	-10.5 	 -17.92 	 -22.96 	
51.24 	 1022.36 	 -198.128 	-5.74 	 -29.33 	 20.93 	
114.68 	 988.688 	 -190.808 	-4.9 	 -38.78 	 39.41 	
152.744 	 967.704 	 -198.128 	-7.49 	 -44.59 	 43.47 	
262.056 	 937.448 	 -208.376 	-12.6 	 -45.22 	 34.16 	
305.976 	 915.488 	 -193.736 	-16.45 	 -38.92 	 15.82 	
313.296 	 900.848 	 -198.128 	-15.75 	 -25.83 	 -4.06 	
305.488 	 914.512 	 -178.12 	-12.18 	 -12.95 	 -14.14 	
227.408 	 952.576 	 -158.6 	-7.77 	 -3.29 	 -13.23 	
157.136 	 972.096 	 -153.232 	-5.18 	 -0.35 	 -10.57 	
159.088 	 963.8 	 -149.816 	-3.92 	 -2.45 	 -7.07 	
169.824 	 950.136 	 -153.232 	-0.56 	 -3.22 	 0.56 	
204.96 	 959.896 	 -164.456 	3.36 	 -2.52 	 8.96 	
219.112 	 953.064 	 -187.392 	6.65 	 0.14 	 18.55 	
236.192 	 961.36 	 -168.36 	8.54 	 3.92 	 26.67 	
213.744 	 969.168 	 -164.944 	7 	 6.51 	 25.13 	
223.992 	 965.264 	 -167.384 	1.47 	 4.27 	 -1.05 	
298.656 	 938.912 	 -167.872 	-6.79 	 6.51 	 -35.14 	
191.784 	 917.928 	 -152.256 	-8.47 	 10.64 	 -72.66 	
170.8 	 943.304 	 -128.344 	-8.61 	 12.32 	 -97.44 	
101.016 	 969.656 	 -162.016 	-5.88 	 8.26 	 -84.7 	
-46.848 	 1006.26 	 -163.968 	-0.35 	 2.52 	 -14.21 	
91.744 	 1023.34 	 -163.48 	7.07 	 -1.26 	 38.08 	
99.064 	 994.056 	 -158.6 	11.34 	 9.94 	 69.93 	
122.976 	 962.824 	 -174.704 	13.86 	 15.96 	 71.12 	
144.448 	 944.768 	 -158.112 	11.83 	 15.75 	 39.83 	
240.584 	 962.336 	 -165.92 	4.48 	 12.39 	 -13.65 	
170.312 	 910.12 	 -166.408 	-4.9 	 13.09 	 -55.3 	
177.144 	 967.216 	 -148.84 	-10.85 	 14.98 	 -93.17 	
106.384 	 986.736 	 -172.264 	-15.33 	 17.57 	 -95.9 	
-27.328 	 1044.32 	 -163.968 	-12.18 	 16.73 	 -34.86 	
-39.04 	 1010.16 	 -137.128 	-3.99 	 12.11 	 18.06 	
66.368 	 981.368 	 -136.64 	4.41 	 16.17 	 40.46 	
116.632 	 982.344 	 -156.16 	10.85 	 26.18 	 43.4 	
158.112 	 977.464 	 -154.208 	10.43 	 35.35 	 29.82 	
152.744 	 966.728 	 -161.04 	4.2 	 41.37 	 7.49 	
133.712 	 952.088 	 -156.648 	0.28 	 44.52 	 -7.56 	
123.464 	 954.04 	 -138.592 	-1.19 	 43.89 	 -14.42 	
88.328 	 981.368 	 -131.76 	-0.28 	 42 	 -12.04 	
70.76 	 985.76 	 -126.392 	1.12 	 38.29 	 -8.05 	
71.736 	 972.096 	 -120.048 	3.57 	 34.16 	 -1.89 	
96.624 	 975.024 	 -127.368 	6.72 	 30.94 	 5.88 	
116.632 	 982.344 	 -133.712 	9.52 	 27.79 	 14.07 	
148.84 	 981.856 	 -139.08 	11.76 	 25.9 	 26.04 	
167.872 	 995.52 	 -141.52 	13.44 	 24.71 	 42.42 	
167.384 	 989.664 	 -145.912 	12.6 	 22.47 	 47.25 	
188.856 	 998.936 	 -133.224 	7.35 	 18.83 	 33.04 	
212.28 	 997.96 	 -146.4 	-1.33 	 15.12 	 2.38 	
180.072 	 901.824 	 -131.76 	-7.63 	 8.82 	 -29.19 	
