A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-363.56 	 1006.74 	 -332.328 	-32.2 	 -188.51 	 37.8 	
-96.136 	 889.624 	 -409.92 	-36.19 	 -231.14 	 50.68 	
258.152 	 851.56 	 -408.456 	-27.58 	 -223.86 	 57.19 	
561.688 	 894.016 	 -342.576 	-16.17 	 -161 	 48.51 	
694.912 	 859.368 	 -301.584 	-3.43 	 -55.09 	 17.08 	
556.808 	 857.416 	 -311.344 	10.92 	 53.97 	 -18.27 	
383.08 	 856.928 	 -400.648 	22.54 	 144.48 	 -43.75 	
108.824 	 906.216 	 -444.08 	29.05 	 201.88 	 -56.35 	
-150.304 	 935.984 	 -432.368 	30.45 	 220.08 	 -56.84 	
-294.264 	 937.448 	 -366.976 	28.42 	 196.42 	 -49.14 	
-652.456 	 1047.74 	 -219.112 	23.59 	 132.09 	 -36.54 	
-584.136 	 1121.42 	 -185.928 	6.09 	 35.77 	 -13.58 	
-603.168 	 1042.86 	 -206.424 	-14.77 	 -69.16 	 13.79 	
-412.36 	 1025.29 	 -294.264 	-27.72 	 -152.6 	 32.69 	
-303.536 	 953.064 	 -371.856 	-36.4 	 -214.13 	 50.54 	
2.44 	 859.368 	 -410.896 	-34.79 	 -239.12 	 65.73 	
223.992 	 941.84 	 -369.904 	-30.31 	 -221.41 	 69.09 	
475.8 	 852.536 	 -311.832 	-25.97 	 -165.41 	 53.41 	
616.344 	 874.984 	 -264.008 	-12.39 	 -74.69 	 27.09 	
604.144 	 854 	 -281.088 	4.34 	 30.17 	 -7.35 	
390.888 	 893.528 	 -334.768 	19.11 	 119.49 	 -33.88 	
271.816 	 907.192 	 -399.672 	27.72 	 181.51 	 -48.65 	
-118.584 	 909.144 	 -404.552 	32.34 	 213.43 	 -51.94 	
-453.352 	 975.512 	 -285.48 	31.22 	 187.04 	 -45.15 	
-508.496 	 1103.86 	 -165.92 	17.01 	 110.88 	 -28.56 	
-392.352 	 1041.88 	 -157.624 	1.12 	 37.8 	 -14.35 	
-155.672 	 982.832 	 -195.688 	-7 	 -19.11 	 -1.75 	
23.424 	 954.528 	 -214.72 	-7.56 	 -35.91 	 4.06 	
67.344 	 945.256 	 -212.768 	-4.27 	 -29.68 	 4.69 	
57.584 	 961.36 	 -213.256 	-1.68 	 -16.1 	 2.94 	
-0.976 	 975.512 	 -206.912 	-0.42 	 -6.65 	 2.17 	
-15.128 	 973.56 	 -208.864 	-0.63 	 -4.55 	 3.22 	
-19.032 	 966.24 	 -204.96 	-0.56 	 -5.53 	 3.92 	
5.856 	 962.336 	 -212.28 	0.49 	 -5.04 	 4.27 	
1.952 	 978.44 	 -206.424 	1.75 	 -4.55 	 5.46 	
17.08 	 963.312 	 -218.624 	2.94 	 -1.96 	 4.76 	
-5.856 	 966.728 	 -217.648 	3.43 	 0.07 	 4.69 	
4.88 	 968.68 	 -222.04 	3.01 	 0.28 	 8.33 	
-7.808 	 986.736 	 -223.504 	3.36 	 -0.07 	 17.01 	
44.408 	 956.48 	 -225.456 	5.25 	 -0.42 	 33.18 	
69.784 	 973.56 	 -224.968 	9.59 	 2.52 	 54.04 	
67.344 	 967.216 	 -218.136 	9.8 	 4.41 	 58.38 	
114.192 	 948.672 	 -231.8 	6.44 	 4.83 	 44.94 	
156.648 	 916.464 	 -234.24 	3.43 	 3.5 	 23.8 	
191.296 	 935.496 	 -241.56 	1.89 	 2.1 	 7.42 	
203.496 	 938.912 	 -247.904 	1.26 	 1.89 	 -0.28 	
123.952 	 962.336 	 -240.096 	0.98 	 -0.84 	 -0.63 	
-134.2 	 1090.68 	 -201.544 	-7.91 	 -23.38 	 8.82 	
-232.288 	 1080.43 	 -206.424 	-27.3 	 -78.12 	 25.13 	
-162.016 	 993.08 	 -275.72 	-47.81 	 -141.61 	 40.18 	
70.76 	 877.912 	 -338.672 	-54.04 	 -181.23 	 49.28 	
328.424 	 858.392 	 -352.824 	-48.58 	 -186.62 	 53.76 	
654.408 	 837.896 	 -331.352 	-35.98 	 -143.5 	 44.94 	
918.416 	 733.952 	 -318.176 	-13.79 	 -51.03 	 14.21 	
698.816 	 765.672 	 -318.176 	16.31 	 59.43 	 -22.61 	
570.472 	 804.224 	 -388.936 	41.02 	 144.83 	 -45.5 	
371.368 	 844.24 	 -468.968 	58.73 	 206.43 	 -57.68 	
232.288 	 851.56 	 -533.872 	67.97 	 245.49 	 -61.67 	
10.736 	 853.512 	 -502.152 	74.41 	 252.84 	 -59.92 	
-266.936 	 1066.28 	 -366 	71.26 	 223.58 	 -49.21 	
-376.736 	 1123.38 	 -253.272 	45.29 	 150.57 	 -34.51 	
-659.288 	 1196.09 	 -136.64 	6.86 	 37.73 	 -14.07 	
-379.664 	 1077.02 	 -237.168 	-27.37 	 -92.05 	 13.37 	
-264.008 	 1032.61 	 -330.376 	-48.09 	 -182.77 	 42.56 	
-82.96 	 937.448 	 -465.552 	-63.07 	 -243.32 	 57.82 	
319.152 	 839.848 	 -507.52 	-65.1 	 -256.9 	 64.05 	
735.416 	 747.616 	 -428.464 	-46.97 	 -209.44 	 59.22 	
1104.83 	 705.16 	 -385.52 	-17.85 	 -84.91 	 24.57 	
783.728 	 729.56 	 -364.536 	15.82 	 55.93 	 -18.06 	
595.36 	 811.544 	 -438.712 	41.65 	 157.78 	 -49.77 	
446.032 	 801.784 	 -567.056 	56.35 	 232.12 	 -65.87 	
89.792 	 835.944 	 -569.984 	66.92 	 270.9 	 -69.37 	
-125.416 	 926.224 	 -508.008 	67.06 	 263.69 	 -66.92 	
-395.28 	 1052.62 	 -350.872 	53.41 	 213.29 	 -55.65 	
-566.08 	 1142.9 	 -189.344 	30.66 	 110.18 	 -33.81 	
-476.288 	 1139.48 	 -181.536 	1.19 	 -8.33 	 -4.34 	
-267.912 	 1037.49 	 -284.992 	-23.17 	 -111.72 	 23.31 	
-314.76 	 1047.25 	 -354.288 	-40.18 	 -186.48 	 42.91 	
-129.32 	 955.504 	 -496.296 	-59.08 	 -248.92 	 57.61 	
142.008 	 829.112 	 -546.56 	-64.19 	 -275.45 	 72.52 	
422.608 	 788.12 	 -486.536 	-53.13 	 -253.05 	 78.68 	
879.864 	 788.12 	 -435.296 	-33.95 	 -173.11 	 55.51 	
839.848 	 787.632 	 -343.552 	-13.3 	 -53.69 	 16.38 	
697.84 	 750.056 	 -396.744 	12.95 	 62.37 	 -21.07 	
526.552 	 828.136 	 -447.008 	33.11 	 146.72 	 -42.98 	
263.032 	 839.36 	 -512.888 	44.59 	 205.52 	 -56.28 	
-282.552 	 976 	 -396.256 	45.22 	 206.78 	 -58.1 	
-381.128 	 1033.58 	 -237.656 	34.72 	 133.7 	 -48.23 	
