#Format version: 1.0
time[ms],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[0,-803,706,5,-26110,-17640,4130,,,,,,,0x03,
10,-775,571,-3,-29470,-17780,4340,,,,,,,0x03,
19,-758,499,12,-23240,-17360,5880,,,,,,,0x03,
29,-759,486,34,-13790,-15960,7700,,,,,,,0x03,
39,-791,524,38,-5250,-14280,10920,,,,,,,0x03,
48,-802,596,50,-2310,-12880,13370,,,,,,,0x03,
58,-786,649,62,-2660,-11060,15400,,,,,,,0x03,
67,-792,643,51,-5040,-9800,17850,,,,,,,0x03,
77,-801,624,57,-7420,-9870,18270,,,,,,,0x03,
87,-794,646,49,-4480,-10990,17500,,,,,,,0x03,
96,-789,659,26,-3010,-11340,19110,,,,,,,0x03,
106,-777,625,3,-3710,-11550,20860,,,,,,,0x03,
116,-800,597,-1,-1820,-11340,21630,,,,,,,0x03,
125,-834,580,6,840,-11270,22120,,,,,,,0x03,
135,-845,617,0,5530,-12250,22960,,,,,,,0x03,
145,-846,621,-8,7280,-13020,24850,,,,,,,0x03,
154,-839,591,-10,6370,-13650,25270,,,,,,,0x03,
164,-818,569,-14,5600,-14980,23520,,,,,,,0x03,
173,-808,556,-4,5530,-15610,21350,,,,,,,0x03,
183,-811,558,-6,4900,-16730,19600,,,,,,,0x03,
193,-806,573,-5,2170,-17850,18480,,,,,,,0x03,
202,-790,564,-8,-3150,-18200,18130,,,,,,,0x03,
212,-747,528,-23,-7210,-18480,17710,,,,,,,0x03,
222,-733,495,-38,-8260,-19320,17360,,,,,,,0x03,
231,-764,471,-41,-10290,-22400,17080,,,,,,,0x03,
241,-776,476,-41,-16100,-27720,15050,,,,,,,0x03,
251,-717,504,-43,-17780,-28910,12110,,,,,,,0x03,
260,-661,541,-20,-18340,-25900,11760,,,,,,,0x03,
270,-638,605,8,-20580,-23730,12320,,,,,,,0x03,
280,-659,676,47,-23730,-22890,12110,,,,,,,0x03,
289,-715,781,58,-25060,-24010,11970,,,,,,,0x03,
299,-754,848,59,-27510,-25270,12950,,,,,,,0x03,
308,-752,846,84,-30660,-26180,12810,,,,,,,0x03,
318,-749,833,78,-25900,-28350,12320,,,,,,,0x03,
328,-735,783,71,-19460,-29120,12950,,,,,,,0x03,
337,-682,694,79,-14560,-28700,11760,,,,,,,0x03,
347,-654,644,91,-6230,-28000,10150,,,,,,,0x03,
357,-672,659,103,1260,-27300,9030,,,,,,,0x03,
366,-691,693,111,3850,-26740,7980,,,,,,,0x03,
376,-689,699,118,2030,-25900,7070,,,,,,,0x03,
386,-658,692,112,-210,-24990,5950,,,,,,,0x03,
395,-637,696,119,-1820,-23660,5320,,,,,,,0x03,
405,-644,707,134,-4970,-21980,4970,,,,,,,0x03,
414,-665,716,153,-8680,-20510,4970,,,,,,,0x03,
424,-681,718,167,-12250,-19180,4830,,,,,,,0x03,
434,-670,697,167,-13020,-17990,5320,,,,,,,0x03,
443,-668,687,165,-10220,-17290,6160,,,,,,,0x03,
453,-724,728,169,-5320,-17850,6160,,,,,,,0x03,
463,-801,791,169,-2100,-19110,5110,,,,,,,0x03,
472,-793,765,166,-5600,-18340,3990,,,,,,,0x03,
482,-714,684,163,-9450,-16660,2520,,,,,,,0x03,
492,-662,630,159,-7420,-15680,1750,,,,,,,0x03,
501,-664,643,161,-3850,-15750,2030,,,,,,,0x03,
511,-691,689,159,-5950,-16170,2940,,,,,,,0x03,
520,-699,725,154,-13020,-16100,3010,,,,,,,0x03,
530,-719,735,159,-23310,-18340,1680,,,,,,,0x03,
540,-743,714,150,-36330,-24500,-700,,,,,,,0x03,
549,-724,693,157,-43680,-26460,-3500,,,,,,,0x03,
559,-712,697,181,-43400,-23240,-4690,,,,,,,0x03,
569,-707,681,205,-40390,-19810,-5320,,,,,,,0x03,
578,-684,642,225,-34930,-16520,-5600,,,,,,,0x03,
588,-668,596,237,-25620,-13440,-5740,,,,,,,0x03,
598,-671,582,239,-13510,-10710,-5390,,,,,,,0x03,
607,-692,618,235,-2870,-8190,-4830,,,,,,,0x03,
617,-714,666,228,2380,-6440,-4830,,,,,,,0x03,
627,-712,723,223,1540,-4760,-5460,,,,,,,0x03,
636,-699,778,224,-4760,-3220,-6790,,,,,,,0x03,
646,-695,793,238,-14630,-2870,-8820,,,,,,,0x03,
655,-693,758,250,-25270,-3920,-10710,,,,,,,0x03,
665,-664,698,238,-30240,-4480,-12320,,,,,,,0x03,
675,-641,620,232,-26880,-3080,-12530,,,,,,,0x03,
684,-641,559,224,-16660,-1750,-12040,,,,,,,0x03,
694,-659,526,224,-2030,-840,-11410,,,,,,,0x03,
704,-683,551,227,13790,-280,-10500,,,,,,,0x03,
713,-703,627,231,27300,-70,-9380,,,,,,,0x03,
723,-696,695,201,34510,-630,-7350,,,,,,,0x03,
733,-677,735,191,32410,-420,-5460,,,,,,,0x03,
742,-667,812,207,25410,630,-5180,,,,,,,0x03,
752,-656,859,212,17780,840,-6020,,,,,,,0x03,
761,-645,815,200,5670,630,-6020,,,,,,,0x03,
771,-642,762,207,-7070,1120,-6510,,,,,,,0x03,
781,-683,715,227,-12320,2520,-7770,,,,,,,0x03,
790,-703,635,232,-12250,3850,-7840,,,,,,,0x03,
800,-697,580,234,-8120,5320,-7280,,,,,,,0x03,
810,-696,571,246,-350,7070,-6440,,,,,,,0x03,
819,-706,595,254,8680,8400,-5530,,,,,,,0x03,
829,-720,635,223,17640,7840,-5040,,,,,,,0x03,
839,-719,675,185,22190,7630,-5110,,,,,,,0x03,
