A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-48	-5	727
33	16	677
32	-33	682
81	-8	759
-6	43	750
1	27	793
-89	-7	798
132	27	800
17	87	783
91	5	941
54	64	1034
80	114	1148
118	85	1117
174	221	1235
77	250	1277
239	152	1392
165	204	1412
260	282	1619
291	283	1599
212	42	1589
237	139	1525
252	182	1482
220	64	1449
208	137	1327
165	111	1212
151	-19	1115
179	-13	965
155	50	670
69	-277	878
200	126	800
15	137	656
64	-35	756
8	60	617
-9	-34	611
-32	-63	702
-77	0	713
-71	5	726
-73	72	806
-109	-21	772
-45	2	774
-35	0	720
28	-65	747
37	-37	704
89	-65	675
82	-87	657
-28	-198	567
-59	-83	603
-30	-103	657
0	-20	895
100	103	996
215	148	1063
298	93	1211
217	-31	1192
207	26	1238
226	-17	1274
209	19	1309
205	53	1398
251	-47	1410
271	-81	1543
348	-40	1624
401	8	1699
422	-64	1714
347	-10	1611
341	-25	1475
324	-55	1348
201	-25	1057
196	-97	961
208	-30	897
94	-112	719
150	-60	753
72	125	629
15	28	617
26	-5	668
-9	67	602
43	7	648
40	0	681
-7	-53	671
-3	22	721
-62	-10	684
-70	-23	743
-65	4	669
-35	-65	709
20	-55	695
81	-22	688
99	28	721
93	28	764
120	41	733
132	-132	848
78	-117	904
78	-99	945
21	-128	1049
82	-22	1103
124	110	1113
50	-78	1173
93	-45	1213
132	-13	1257
218	-30	1335
222	9	1405
216	3	1511
111	-21	1771
395	211	1977
443	-350	1505
206	-513	1245
127	15	1151
138	212	1149
144	-95	1154
198	-35	1109
133	-47	935
102	-197	1015
116	-55	973
210	40	955
228	6	843
111	-90	851
151	83	759
77	115	743
9	102	631
-38	-160	577
23	11	649
-26	-82	604
-42	-100	601
-57	-19	672
-71	23	703
-49	-18	681
0	-50	709
57	-47	700
98	69	732
-50	21	763
13	-84	759
-25	-15	714
218	-43	877
198	67	880
-18	28	1093
187	166	1248
106	209	1086
127	278	1225
103	216	1299
159	93	1174
177	142	1262
73	126	1299
29	45	1459
235	282	1551
227	241	1479
281	-1	1605
339	158	1417
300	116	1356
167	74	1252
188	58	1220
183	125	1196
234	124	1074
216	-128	1182
248	97	1047
249	204	826
169	181	792
44	18	677
-16	-203	470
-2	-184	672
66	44	604
13	-32	608
4	44	710
-113	-2	679
-192	-61	705
-239	-77	767
-208	-120	861
-88	-204	971
