STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-108 	 -47 	 326 	
-19 	 -67 	 179 	
57 	 -65 	 894 	
8 	 124 	 1834 	
-52 	 153 	 1939 	
54 	 -4 	 1224 	
-87 	 56 	 459 	
-168 	 -8 	 49 	
-98 	 -177 	 -129 	
374 	 -168 	 818 	
-431 	 337 	 1989 	
202 	 -159 	 1465 	
17 	 106 	 851 	
-260 	 27 	 391 	
-78 	 -155 	 101 	
265 	 -158 	 844 	
-124 	 78 	 1973 	
28 	 -77 	 1819 	
125 	 16 	 927 	
-111 	 -38 	 422 	
-47 	 -4 	 147 	
19 	 -51 	 311 	
158 	 -158 	 994 	
135 	 47 	 1900 	
-82 	 59 	 1916 	
-46 	 -100 	 986 	
23 	 -76 	 331 	
-36 	 26 	 309 	
-7 	 -146 	 412 	
71 	 -54 	 1461 	
-208 	 204 	 1993 	
-20 	 -108 	 1386 	
151 	 -19 	 205 	
-170 	 -11 	 76 	
62 	 -246 	 122 	
192 	 10 	 1453 	
-669 	 397 	 1993 	
112 	 -334 	 1048 	
89 	 -10 	 537 	
178 	 77 	 288 	
157 	 -149 	 127 	
82 	 44 	 1392 	
-190 	 166 	 1995 	
188 	 -96 	 1321 	
79 	 -103 	 437 	
-53 	 -76 	 34 	
16 	 -203 	 216 	
-104 	 32 	 1480 	
-883 	 154 	 1987 	
-165 	 -243 	 1144 	
68 	 -94 	 603 	
746 	 -87 	 313 	
1057 	 120 	 556 	
493 	 143 	 1161 	
-224 	 -9 	 1138 	
-954 	 53 	 1223 	
-733 	 49 	 1326 	
-316 	 9 	 995 	
558 	 -136 	 554 	
872 	 44 	 1039 	
721 	 123 	 1203 	
-75 	 -41 	 1150 	
-1078 	 -108 	 1039 	
-960 	 -7 	 1197 	
-217 	 15 	 1129 	
631 	 -101 	 693 	
1025 	 71 	 992 	
784 	 73 	 1086 	
-47 	 -14 	 974 	
-887 	 -154 	 950 	
-931 	 -38 	 1323 	
-379 	 -5 	 1220 	
648 	 -193 	 776 	
1153 	 132 	 1002 	
630 	 114 	 1056 	
-396 	 -125 	 923 	
-836 	 -124 	 1173 	
-608 	 43 	 1382 	
109 	 -210 	 861 	
949 	 -54 	 719 	
885 	 165 	 1041 	
-116 	 -20 	 991 	
-723 	 -127 	 1114 	
-807 	 50 	 1492 	
-93 	 -114 	 973 	
1023 	 -117 	 511 	
1104 	 196 	 886 	
90 	 30 	 1104 	
-917 	 -211 	 1113 	
-950 	 -16 	 1405 	
-211 	 -70 	 1135 	
643 	 -130 	 650 	
1117 	 95 	 731 	
235 	 73 	 1126 	
-611 	 -157 	 1151 	
-793 	 -115 	 1422 	
-327 	 -124 	 1358 	
398 	 -43 	 849 	
764 	 173 	 486 	
715 	 100 	 455 	
-305 	 -79 	 1170 	
-941 	 -199 	 1405 	
-756 	 -43 	 1558 	
-41 	 -163 	 987 	
773 	 -9 	 491 	
1048 	 156 	 782 	
359 	 8 	 1208 	
-675 	 -276 	 1115 	
-881 	 -200 	 1333 	
-713 	 13 	 1549 	
251 	 -43 	 737 	
882 	 -25 	 473 	
1326 	 -11 	 655 	
1024 	 -106 	 1097 	
-139 	 -394 	 1424 	
-1347 	 -647 	 1420 	
-1097 	 -122 	 1760 	
22 	 -231 	 1145 	
901 	 -148 	 192 	
1331 	 -67 	 122 	
584 	 212 	 1452 	
-458 	 -198 	 1480 	
-793 	 -207 	 1375 	
