STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-32 	 -56 	 -995 	
-22 	 -55 	 -984 	
-3 	 -58 	 -994 	
-3 	 -56 	 -999 	
-10 	 -53 	 -992 	
-34 	 -52 	 -980 	
-33 	 -56 	 -981 	
-21 	 -50 	 -990 	
-15 	 -54 	 -992 	
-11 	 -57 	 -998 	
-25 	 -56 	 -1003 	
-20 	 -55 	 -999 	
-19 	 -53 	 -994 	
-18 	 -52 	 -986 	
-18 	 -48 	 -991 	
-27 	 -49 	 -991 	
-27 	 -49 	 -992 	
-16 	 -48 	 -990 	
-31 	 -43 	 -984 	
-37 	 -47 	 -978 	
-28 	 -51 	 -981 	
-21 	 -49 	 -1000 	
-7 	 -47 	 -994 	
-5 	 -53 	 -988 	
-2 	 -56 	 -991 	
-27 	 -56 	 -1014 	
-29 	 -50 	 -1003 	
-37 	 -53 	 -986 	
-17 	 -52 	 -981 	
-17 	 -49 	 -990 	
-16 	 -51 	 -995 	
-22 	 -51 	 -993 	
-36 	 -52 	 -990 	
-24 	 -52 	 -990 	
-24 	 -51 	 -992 	
-11 	 -54 	 -995 	
-13 	 -50 	 -997 	
-26 	 -52 	 -994 	
-19 	 -54 	 -989 	
-26 	 -50 	 -990 	
-19 	 -48 	 -999 	
-16 	 -54 	 -989 	
-17 	 -52 	 -994 	
-14 	 -47 	 -990 	
-20 	 -45 	 -995 	
-16 	 -44 	 -993 	
-17 	 -46 	 -988 	
-21 	 -47 	 -995 	
0 	 -46 	 -991 	
-23 	 -49 	 -1003 	
-15 	 -50 	 -995 	
2 	 -47 	 -992 	
-15 	 -42 	 -1002 	
3 	 -44 	 -986 	
20 	 -41 	 -985 	
8 	 -41 	 -996 	
2 	 -41 	 -995 	
53 	 -41 	 -971 	
51 	 -39 	 -978 	
20 	 -38 	 -993 	
48 	 -40 	 -996 	
55 	 -46 	 -992 	
47 	 -45 	 -998 	
42 	 -43 	 -1003 	
73 	 -47 	 -983 	
64 	 -42 	 -988 	
50 	 -39 	 -997 	
51 	 -38 	 -991 	
47 	 -42 	 -988 	
53 	 -43 	 -982 	
