STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-339 	 -25 	 959 	
-328 	 -33 	 950 	
-337 	 -21 	 962 	
-340 	 -48 	 946 	
-332 	 -18 	 965 	
-335 	 -28 	 963 	
-365 	 -35 	 934 	
-356 	 -23 	 957 	
-330 	 -23 	 971 	
-346 	 -21 	 957 	
-335 	 -13 	 975 	
-349 	 -19 	 950 	
-341 	 -13 	 939 	
-357 	 -5 	 938 	
-375 	 1 	 946 	
-352 	 -1 	 942 	
-384 	 -2 	 929 	
-360 	 -13 	 943 	
-369 	 -9 	 946 	
-374 	 -13 	 942 	
-373 	 -17 	 923 	
-370 	 -7 	 955 	
-397 	 -6 	 941 	
-351 	 -9 	 948 	
-376 	 -13 	 924 	
-386 	 6 	 949 	
-389 	 -16 	 951 	
-393 	 8 	 966 	
-372 	 7 	 949 	
-356 	 8 	 933 	
-347 	 6 	 943 	
-323 	 14 	 950 	
-358 	 20 	 942 	
-364 	 10 	 929 	
-296 	 31 	 968 	
-374 	 46 	 977 	
-263 	 18 	 940 	
-296 	 48 	 992 	
-313 	 16 	 935 	
-287 	 44 	 985 	
-271 	 38 	 992 	
-314 	 42 	 966 	
-295 	 36 	 955 	
-265 	 55 	 983 	
-266 	 47 	 967 	
-287 	 60 	 978 	
-259 	 65 	 984 	
-311 	 66 	 964 	
-249 	 80 	 990 	
-293 	 88 	 978 	
-288 	 71 	 952 	
-282 	 107 	 971 	
-299 	 117 	 987 	
-283 	 93 	 941 	
-289 	 126 	 971 	
-275 	 139 	 979 	
-285 	 134 	 958 	
-287 	 143 	 947 	
-279 	 143 	 934 	
-265 	 167 	 953 	
-267 	 180 	 965 	
-260 	 166 	 946 	
-269 	 198 	 975 	
-267 	 182 	 947 	
-267 	 184 	 953 	
-265 	 181 	 943 	
-262 	 193 	 959 	
-263 	 181 	 954 	
-267 	 191 	 970 	
-271 	 186 	 954 	
-252 	 193 	 960 	
-246 	 183 	 951 	
-229 	 200 	 976 	
-236 	 197 	 981 	
-244 	 201 	 970 	
-245 	 203 	 969 	
-235 	 200 	 962 	
-228 	 193 	 937 	
-220 	 208 	 966 	
-217 	 202 	 971 	
-227 	 221 	 983 	
-228 	 206 	 957 	
-245 	 194 	 935 	
-217 	 204 	 954 	
-218 	 213 	 957 	
-223 	 199 	 936 	
-209 	 222 	 977 	
-221 	 214 	 975 	
-215 	 225 	 983 	
-218 	 217 	 958 	
-217 	 227 	 968 	
-217 	 223 	 966 	
-201 	 224 	 952 	
-217 	 227 	 957 	
-204 	 224 	 961 	
-219 	 233 	 961 	
-212 	 240 	 972 	
-201 	 219 	 945 	
-213 	 256 	 988 	
-208 	 211 	 926 	
-238 	 252 	 974 	
-210 	 226 	 946 	
-221 	 250 	 969 	
-202 	 244 	 959 	
-188 	 246 	 959 	
-209 	 238 	 951 	
-210 	 259 	 983 	
-211 	 240 	 952 	
-206 	 249 	 948 	
-187 	 258 	 959 	
-202 	 254 	 949 	
-205 	 259 	 949 	
-177 	 267 	 959 	
-203 	 263 	 949 	
-194 	 267 	 957 	
-188 	 267 	 957 	
-192 	 268 	 963 	
-194 	 263 	 957 	
-183 	 261 	 942 	
-192 	 264 	 951 	
-181 	 261 	 955 	
-194 	 269 	 965 	
-199 	 265 	 964 	
-194 	 258 	 947 	
-195 	 269 	 961 	
-168 	 259 	 948 	
-163 	 272 	 969 	
-202 	 252 	 936 	
-166 	 258 	 957 	
-158 	 272 	 983 	
-188 	 249 	 948 	
-168 	 259 	 962 	
-149 	 256 	 973 	
-167 	 244 	 954 	
-158 	 261 	 968 	
-148 	 247 	 964 	
-153 	 259 	 972 	
-162 	 241 	 956 	
-152 	 238 	 967 	
-136 	 241 	 973 	
-148 	 235 	 964 	
-148 	 233 	 980 	
-130 	 219 	 975 	
-150 	 234 	 984 	
-135 	 222 	 978 	
-111 	 223 	 988 	
-147 	 225 	 984 	
-158 	 217 	 967 	
-124 	 224 	 983 	
-113 	 227 	 987 	
-126 	 223 	 973 	
-115 	 217 	 969 	
-109 	 227 	 983 	
-128 	 210 	 963 	
-104 	 219 	 975 	
-127 	 220 	 995 	
-117 	 211 	 991 	
-119 	 202 	 974 	
-119 	 219 	 990 	
-99 	 191 	 970 	
-101 	 207 	 992 	
-101 	 193 	 980 	
-122 	 187 	 973 	
-78 	 192 	 982 	
-85 	 185 	 987 	
-100 	 193 	 1000 	
-79 	 181 	 999 	
-59 	 191 	 1008 	
-86 	 174 	 986 	
-51 	 168 	 993 	
-48 	 167 	 988 	
-71 	 159 	 986 	
-41 	 144 	 978 	
-46 	 165 	 1020 	
-54 	 126 	 994 	
-40 	 145 	 1030 	
-13 	 122 	 1004 	
-1 	 113 	 993 	
-22 	 126 	 1010 	
5 	 97 	 997 	
-17 	 117 	 1017 	
-28 	 94 	 1003 	
1 	 96 	 1021 	
-9 	 99 	 1013 	
21 	 91 	 1011 	
26 	 90 	 1023 	
-11 	 90 	 1001 	
6 	 76 	 984 	
21 	 88 	 1012 	
13 	 75 	 1009 	
16 	 79 	 1016 	
20 	 72 	 1012 	
10 	 74 	 1017 	
16 	 68 	 1016 	
19 	 58 	 1001 	
25 	 75 	 1027 	
20 	 58 	 1007 	
23 	 59 	 995 	
31 	 66 	 1014 	
55 	 56 	 1016 	
50 	 63 	 1016 	
44 	 59 	 1008 	
38 	 51 	 995 	
55 	 62 	 1022 	
43 	 53 	 1010 	
58 	 65 	 1019 	
70 	 51 	 997 	
63 	 65 	 1013 	
54 	 60 	 1013 	
70 	 49 	 1011 	
84 	 56 	 1011 	
66 	 56 	 1005 	
85 	 33 	 984 	
