STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-57 	 119 	 954 	
-56 	 96 	 933 	
-73 	 113 	 990 	
-100 	 121 	 1047 	
-120 	 130 	 1133 	
-138 	 139 	 1181 	
-132 	 140 	 1155 	
-92 	 132 	 1083 	
-86 	 134 	 1033 	
-73 	 129 	 966 	
-85 	 136 	 935 	
-82 	 139 	 904 	
-80 	 144 	 894 	
-79 	 147 	 882 	
-39 	 148 	 873 	
-85 	 164 	 924 	
-97 	 152 	 945 	
-66 	 145 	 997 	
-76 	 142 	 1060 	
-86 	 142 	 1095 	
-84 	 140 	 1100 	
-107 	 162 	 1121 	
-110 	 138 	 1077 	
-87 	 157 	 1079 	
-83 	 137 	 999 	
-82 	 151 	 973 	
-81 	 143 	 928 	
-79 	 140 	 900 	
-79 	 148 	 919 	
-64 	 133 	 890 	
-75 	 145 	 918 	
-64 	 139 	 976 	
-76 	 141 	 1022 	
-94 	 150 	 1063 	
-85 	 152 	 1103 	
-129 	 161 	 1136 	
-105 	 162 	 1124 	
-114 	 157 	 1073 	
-102 	 171 	 1027 	
-136 	 179 	 950 	
-46 	 141 	 872 	
-17 	 151 	 867 	
-98 	 156 	 876 	
-66 	 147 	 898 	
-66 	 150 	 948 	
-68 	 146 	 941 	
-100 	 153 	 990 	
-105 	 153 	 1020 	
-98 	 147 	 1049 	
-110 	 162 	 1115 	
-117 	 173 	 1139 	
-91 	 162 	 1111 	
-86 	 155 	 1078 	
-81 	 138 	 1006 	
-65 	 142 	 966 	
-82 	 141 	 922 	
-74 	 140 	 880 	
-84 	 155 	 887 	
-100 	 151 	 886 	
-63 	 144 	 914 	
-80 	 148 	 984 	
-87 	 154 	 1042 	
-62 	 153 	 1066 	
-91 	 165 	 1062 	
-83 	 162 	 1047 	
-53 	 153 	 1040 	
-68 	 168 	 1068 	
-76 	 141 	 1050 	
-55 	 143 	 1078 	
-101 	 131 	 1030 	
-63 	 122 	 976 	
-81 	 143 	 948 	
-116 	 127 	 879 	
-92 	 131 	 861 	
-88 	 130 	 887 	
-81 	 116 	 912 	
-60 	 124 	 1002 	
-56 	 142 	 1070 	
-65 	 150 	 1095 	
-48 	 161 	 1094 	
-90 	 187 	 1112 	
-95 	 164 	 1062 	
-80 	 167 	 1070 	
-74 	 145 	 1055 	
-70 	 137 	 1023 	
-57 	 121 	 977 	
-62 	 121 	 947 	
-70 	 114 	 871 	
-82 	 141 	 845 	
-100 	 143 	 838 	
-98 	 149 	 893 	
-93 	 132 	 946 	
-97 	 128 	 1032 	
-58 	 132 	 1080 	
-66 	 154 	 1086 	
-76 	 171 	 1115 	
-84 	 165 	 1114 	
-71 	 164 	 1098 	
-74 	 166 	 1079 	
-57 	 141 	 1025 	
-70 	 155 	 997 	
-68 	 132 	 922 	
-27 	 106 	 873 	
-51 	 108 	 871 	
-64 	 98 	 865 	
-117 	 129 	 919 	
-130 	 136 	 989 	
-122 	 157 	 1064 	
-105 	 156 	 1093 	
-67 	 154 	 1117 	
-45 	 142 	 1094 	
-61 	 151 	 1059 	
-62 	 153 	 1033 	
-92 	 160 	 1034 	
-96 	 145 	 1023 	
-80 	 143 	 1010 	
-87 	 125 	 942 	
-50 	 121 	 913 	
-44 	 104 	 873 	
-59 	 108 	 867 	
-44 	 122 	 902 	
-114 	 135 	 955 	
-147 	 162 	 1029 	
-132 	 170 	 1094 	
-136 	 191 	 1165 	
-127 	 176 	 1149 	
-93 	 185 	 1135 	
-65 	 169 	 1062 	
-72 	 149 	 973 	
-67 	 155 	 946 	
-74 	 152 	 921 	
-102 	 142 	 903 	
-75 	 136 	 892 	
-63 	 119 	 879 	
-78 	 121 	 894 	
-81 	 122 	 923 	
-108 	 143 	 980 	
-114 	 147 	 1033 	
-112 	 161 	 1073 	
-77 	 161 	 1064 	
-86 	 182 	 1067 	
-100 	 183 	 1065 	
-124 	 184 	 1068 	
-92 	 190 	 1068 	
-60 	 165 	 1007 	
-73 	 168 	 993 	
-63 	 137 	 947 	
-88 	 138 	 938 	
-75 	 131 	 914 	
-89 	 135 	 907 	
-67 	 138 	 923 	
-109 	 152 	 974 	
-111 	 151 	 999 	
-124 	 167 	 1050 	
-123 	 161 	 1065 	
-121 	 161 	 1087 	
-127 	 155 	 1072 	
-103 	 138 	 1021 	
-158 	 144 	 1035 	
-150 	 107 	 972 	
-103 	 118 	 956 	
-120 	 112 	 916 	
-67 	 120 	 888 	
-55 	 131 	 896 	
-73 	 146 	 929 	
-45 	 154 	 968 	
-101 	 177 	 1027 	
-83 	 188 	 1059 	
-87 	 189 	 1078 	
-101 	 194 	 1091 	
-79 	 178 	 1063 	
-60 	 172 	 1027 	
-48 	 163 	 1012 	
-59 	 144 	 1018 	
-56 	 134 	 1001 	
-80 	 135 	 978 	
-87 	 116 	 947 	
-113 	 113 	 938 	
-116 	 97 	 889 	
-119 	 114 	 898 	
-136 	 115 	 924 	
-119 	 131 	 999 	
-121 	 147 	 1093 	
-106 	 168 	 1131 	
-82 	 185 	 1130 	
-95 	 171 	 1093 	
-59 	 169 	 1068 	
-43 	 166 	 1032 	
-54 	 154 	 973 	
-93 	 152 	 943 	
-99 	 146 	 922 	
-111 	 146 	 907 	
-121 	 136 	 887 	
-93 	 158 	 926 	
-71 	 145 	 919 	
-79 	 152 	 953 	
-58 	 158 	 977 	
-91 	 181 	 1049 	
-99 	 176 	 1066 	
-108 	 198 	 1118 	
-106 	 182 	 1096 	
-89 	 180 	 1075 	
-101 	 162 	 1012 	
-89 	 160 	 971 	
-90 	 144 	 940 	
-99 	 142 	 912 	
-89 	 149 	 899 	
-111 	 154 	 916 	
-89 	 155 	 949 	
-117 	 161 	 978 	
-101 	 166 	 997 	
-68 	 173 	 1012 	
-98 	 186 	 1057 	
-89 	 190 	 1079 	
-112 	 185 	 1083 	
-83 	 175 	 1051 	
-99 	 165 	 1012 	
-85 	 164 	 979 	
-87 	 150 	 943 	
-88 	 156 	 948 	
-94 	 141 	 893 	
-117 	 156 	 889 	
-83 	 153 	 919 	
-98 	 153 	 955 	
-90 	 155 	 1009 	
-84 	 164 	 1062 	
-97 	 172 	 1115 	
-109 	 194 	 1160 	
-95 	 189 	 1096 	
-88 	 178 	 1025 	
-83 	 170 	 978 	
-80 	 156 	 931 	
-88 	 164 	 905 	
-81 	 158 	 907 	
-100 	 146 	 905 	
-84 	 128 	 914 	
-78 	 132 	 948 	
-103 	 131 	 986 	
-124 	 138 	 1042 	
-157 	 165 	 1065 	
-136 	 183 	 1079 	
-98 	 193 	 1071 	
