STEVAL-MKI217V1 (LSM6DSOX+LIS2MDL)   

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	M_X [mG] 	 M_Y [mG] 	 M_Z [mG] 	
-3 	 9 	 1006 	166 	 -312 	 -144 	
-2 	 8 	 1008 	351 	 -382 	 -163 	
-4 	 5 	 1006 	636 	 -499 	 -337 	
-2 	 14 	 1003 	885 	 -670 	 -681 	
-4 	 7 	 1008 	798 	 -846 	 -883 	
-1 	 8 	 1005 	798 	 -846 	 -883 	
-5 	 9 	 1005 	508 	 -880 	 -699 	
-3 	 12 	 1006 	271 	 -756 	 -394 	
-4 	 10 	 1003 	147 	 -571 	 -222 	
-2 	 7 	 1005 	46 	 -429 	 -145 	
-2 	 10 	 1004 	22 	 -352 	 -111 	
-5 	 7 	 1009 	22 	 -352 	 -111 	
-6 	 8 	 1007 	0 	 -304 	 -103 	
-6 	 6 	 1003 	10 	 -300 	 -106 	
-4 	 5 	 1005 	37 	 -285 	 -109 	
-7 	 9 	 1005 	129 	 -300 	 -118 	
-4 	 10 	 1005 	129 	 -300 	 -118 	
-9 	 8 	 1005 	282 	 -295 	 -160 	
-2 	 8 	 1006 	549 	 -211 	 -300 	
-6 	 11 	 1003 	916 	 -93 	 -675 	
-5 	 12 	 1004 	1294 	 12 	 -1462 	
-5 	 9 	 1004 	1294 	 12 	 -1462 	
-2 	 11 	 1005 	1569 	 -237 	 -2563 	
-3 	 10 	 1003 	1479 	 -1300 	 -2995 	
-3 	 9 	 1006 	955 	 -1921 	 -1752 	
-8 	 4 	 1005 	436 	 -1357 	 -552 	
-4 	 11 	 1004 	436 	 -1357 	 -169 	
-3 	 9 	 1007 	139 	 -735 	 -169 	
-6 	 9 	 1005 	13 	 -457 	 -138 	
-3 	 11 	 1004 	-30 	 -354 	 -142 	
-5 	 9 	 1006 	-33 	 -321 	 -147 	
-5 	 8 	 1003 	-25 	 -330 	 -139 	
-7 	 9 	 1004 	-25 	 -330 	 -139 	
-7 	 7 	 1004 	6 	 -379 	 -154 	
-6 	 6 	 1007 	106 	 -471 	 -162 	
-5 	 9 	 1003 	384 	 -646 	 -238 	
-4 	 9 	 1004 	954 	 -702 	 -475 	
-11 	 14 	 1011 	954 	 -702 	 -475 	
-9 	 4 	 1015 	1459 	 -268 	 -696 	
-2 	 7 	 1006 	1588 	 214 	 -786 	
-5 	 7 	 1006 	1720 	 565 	 -1005 	
-7 	 9 	 1008 	2005 	 729 	 -1663 	
-6 	 5 	 1003 	2005 	 729 	 -1663 	
-7 	 9 	 1007 	2316 	 126 	 -2871 	
-7 	 10 	 1004 	1852 	 -1714 	 -2884 	
-3 	 11 	 1006 	627 	 -2104 	 -913 	
-3 	 7 	 1005 	132 	 -1171 	 -90 	
0 	 9 	 1006 	-4 	 -672 	 3 	
-7 	 8 	 1002 	-4 	 -672 	 3 	
-3 	 8 	 1008 	-27 	 -487 	 -7 	
-2 	 12 	 1006 	-30 	 -441 	 -36 	
-5 	 9 	 1008 	-16 	 -462 	 -36 	
-5 	 9 	 1006 	37 	 -556 	 -37 	
-4 	 8 	 1005 	37 	 -556 	 -37 	
-5 	 9 	 1005 	189 	 -820 	 -106 	
-2 	 9 	 1005 	661 	 -1380 	 -487 	
-4 	 6 	 1007 	1819 	 -1938 	 -1891 	
-5 	 10 	 1008 	3139 	 -840 	 -3892 	
-5 	 10 	 1002 	3139 	 -840 	 -3892 	
-3 	 10 	 1003 	3153 	 963 	 -4554 	
-4 	 7 	 1006 	2445 	 1492 	 -4863 	
-3 	 10 	 1003 	1861 	 690 	 -5491 	
-3 	 7 	 1004 	1341 	 -1321 	 -5170 	
-6 	 7 	 1003 	1341 	 -1321 	 -5170 	
-2 	 11 	 1004 	874 	 -2572 	 -2676 	
-5 	 8 	 1003 	453 	 -1881 	 -627 	
-3 	 12 	 1003 	196 	 -1038 	 -42 	
-3 	 11 	 1005 	66 	 -604 	 43 	
-2 	 11 	 1002 	12 	 -436 	 16 	
-6 	 10 	 1004 	12 	 -436 	 16 	
-4 	 13 	 1005 	19 	 -382 	 -7 	
-1 	 8 	 1005 	81 	 -397 	 -37 	
-7 	 9 	 1005 	208 	 -438 	 -72 	
-3 	 8 	 1002 	513 	 -487 	 -189 	
-4 	 4 	 1004 	513 	 -487 	 -189 	
-6 	 7 	 1003 	1078 	 -372 	 -514 	
-5 	 10 	 1004 	1659 	 172 	 -1230 	
-6 	 10 	 1007 	1716 	 922 	 -2119 	
-9 	 9 	 1006 	1215 	 1134 	 -2865 	
-6 	 10 	 1006 	1215 	 1134 	 -2865 	
-8 	 7 	 1008 	795 	 528 	 -3450 	
-7 	 10 	 1004 	696 	 -688 	 -3292 	
-3 	 8 	 1003 	583 	 -1473 	 -1935 	
-3 	 7 	 1005 	417 	 -1182 	 -759 	
-9 	 10 	 1005 	417 	 -1182 	 -759 	
-8 	 11 	 1002 	225 	 -717 	 -285 	
-11 	 9 	 1003 	88 	 -454 	 -178 	
-4 	 11 	 1003 	28 	 -339 	 -168 	
-3 	 12 	 1002 	10 	 -291 	 -169 	
-4 	 8 	 1003 	-9 	 -267 	 -168 	
-6 	 10 	 1006 	-9 	 -267 	 -168 	
-3 	 7 	 1006 	7 	 -265 	 -184 	
-8 	 6 	 1005 	37 	 -280 	 -181 	
-6 	 11 	 1004 	154 	 -312 	 -205 	
0 	 8 	 1002 	472 	 -349 	 -291 	
-6 	 9 	 1005 	472 	 -349 	 -291 	
-4 	 10 	 1004 	1276 	 -216 	 -793 	
-6 	 10 	 1004 	1999 	 598 	 -1594 	
-4 	 8 	 1004 	1654 	 1356 	 -2271 	
-2 	 11 	 1004 	994 	 927 	 -1987 	
-5 	 8 	 1004 	994 	 927 	 -1987 	
-5 	 7 	 1003 	651 	 237 	 -1522 	
-5 	 6 	 1003 	457 	 -208 	 -1117 	
-7 	 10 	 1007 	339 	 -396 	 -741 	
-5 	 5 	 1005 	261 	 -418 	 -439 	
0 	 7 	 1004 	261 	 -418 	 -256 	
-8 	 9 	 1006 	178 	 -387 	 -256 	
-7 	 8 	 1003 	108 	 -345 	 -139 	
-6 	 9 	 1003 	42 	 -315 	 -88 	
-1 	 9 	 1007 	51 	 -334 	 -61 	
-2 	 7 	 1005 	97 	 -417 	 -48 	
-3 	 10 	 1005 	97 	 -417 	 -48 	
-6 	 9 	 1002 	226 	 -606 	 -123 	
-3 	 8 	 1003 	424 	 -907 	 -483 	
-6 	 10 	 1000 	493 	 -1153 	 -1273 	
-3 	 9 	 1004 	534 	 -942 	 -2299 	
-8 	 7 	 1004 	534 	 -942 	 -2299 	
-7 	 4 	 1003 	471 	 -150 	 -3042 	
-1 	 8 	 1002 	519 	 690 	 -2701 	
-7 	 8 	 1008 	520 	 654 	 -1707 	
-4 	 11 	 1005 	309 	 199 	 -948 	
0 	 7 	 1005 	309 	 199 	 -948 	
-1 	 10 	 1004 	133 	 -75 	 -565 	
-5 	 11 	 1005 	24 	 -166 	 -375 	
-5 	 10 	 1001 	-16 	 -195 	 -300 	
-7 	 12 	 1005 	-24 	 -211 	 -259 	
-4 	 10 	 1003 	-28 	 -223 	 -252 	
-2 	 8 	 1003 	-28 	 -223 	 -252 	
-11 	 9 	 1003 	-28 	 -241 	 -234 	
-2 	 11 	 1004 	0 	 -259 	 -228 	
-4 	 9 	 1003 	27 	 -288 	 -199 	
0 	 -4 	 996 	43 	 -310 	 -139 	
-3 	 7 	 1003 	43 	 -310 	 -139 	
-1 	 8 	 1010 	88 	 -361 	 -82 	
-1 	 9 	 1006 	196 	 -468 	 -46 	
-5 	 10 	 1003 	588 	 -717 	 -172 	
-5 	 8 	 1004 	1323 	 -841 	 -799 	
-8 	 7 	 1007 	1323 	 -841 	 -799 	
-4 	 6 	 1003 	1668 	 -99 	 -1792 	
-4 	 10 	 1005 	1207 	 807 	 -1782 	
-6 	 8 	 1004 	670 	 991 	 -1053 	
-4 	 6 	 1003 	450 	 745 	 -618 	
-5 	 8 	 1007 	450 	 745 	 -618 	
-6 	 12 	 1003 	310 	 366 	 -355 	
-3 	 10 	 1004 	232 	 112 	 -280 	
-2 	 9 	 1004 	177 	 0 	 -306 	
-3 	 8 	 1002 	129 	 -82 	 -336 	
-3 	 12 	 1006 	75 	 -147 	 -361 	
-4 	 8 	 1007 	75 	 -147 	 -361 	
-3 	 7 	 1003 	37 	 -210 	 -364 	
-6 	 11 	 1005 	12 	 -261 	 -345 	
-5 	 8 	 1006 	-13 	 -304 	 -333 	
-6 	 10 	 1006 	-1 	 -346 	 -294 	
-3 	 6 	 1002 	-1 	 -346 	 -294 	
-5 	 8 	 1005 	16 	 -397 	 -256 	
-4 	 7 	 1005 	55 	 -441 	 -222 	
-1 	 11 	 1006 	108 	 -475 	 -145 	
-6 	 9 	 1005 	219 	 -495 	 -72 	
-4 	 11 	 1008 	219 	 -495 	 -72 	
0 	 11 	 1004 	367 	 -451 	 -66 	
-2 	 7 	 1004 	478 	 -294 	 -132 	
-1 	 9 	 1005 	420 	 -106 	 -166 	
-5 	 10 	 1003 	288 	 -25 	 -150 	
-3 	 9 	 1006 	288 	 -25 	 -150 	
-1 	 10 	 1006 	171 	 0 	 -160 	
-5 	 11 	 1002 	99 	 -18 	 -174 	
-2 	 10 	 1004 	57 	 -28 	 -186 	
-5 	 9 	 1005 	4 	 -57 	 -181 	
-7 	 9 	 1003 	-7 	 -64 	 -171 	
-4 	 11 	 1003 	-7 	 -64 	 -171 	
-3 	 9 	 1006 	-15 	 -66 	 -168 	
-1 	 9 	 1005 	-12 	 -52 	 -178 	
-1 	 9 	 1005 	-3 	 -21 	 -207 	
-3 	 7 	 1005 	19 	 9 	 -258 	
-2 	 7 	 1006 	19 	 9 	 -258 	
-4 	 6 	 1005 	48 	 84 	 -387 	
-4 	 9 	 1006 	69 	 111 	 -612 	
-6 	 10 	 1006 	64 	 9 	 -874 	
-5 	 10 	 1005 	58 	 -250 	 -976 	
-1 	 13 	 1007 	58 	 -250 	 -976 	
-5 	 10 	 1005 	106 	 -444 	 -811 	
-4 	 9 	 1004 	96 	 -520 	 -561 	
-6 	 7 	 1005 	72 	 -507 	 -379 	
-4 	 8 	 1002 	10 	 -463 	 -253 	
-2 	 3 	 1006 	10 	 -463 	 -186 	
-6 	 7 	 1004 	-6 	 -400 	 -186 	
-7 	 6 	 1004 	-28 	 -358 	 -162 	
-4 	 9 	 1008 	-39 	 -322 	 -150 	
-4 	 9 	 1004 	-48 	 -310 	 -153 	
-3 	 8 	 1005 	-51 	 -313 	 -151 	
-3 	 8 	 1007 	-51 	 -313 	 -151 	
-4 	 9 	 1002 	-37 	 -328 	 -160 	
-4 	 11 	 1003 	1 	 -369 	 -186 	
-6 	 11 	 1005 	51 	 -436 	 -231 	
-2 	 10 	 1005 	157 	 -540 	 -381 	
-7 	 9 	 1007 	157 	 -540 	 -381 	
-5 	 11 	 1007 	303 	 -604 	 -706 	
-4 	 8 	 1007 	361 	 -475 	 -1042 	
-7 	 12 	 1004 	340 	 -228 	 -1122 	
-4 	 8 	 1006 	229 	 -132 	 -996 	
-6 	 8 	 1005 	229 	 -132 	 -996 	
-6 	 8 	 1005 	87 	 -171 	 -811 	
-4 	 11 	 1001 	3 	 -249 	 -646 	
-3 	 8 	 1004 	-48 	 -318 	 -526 	
-3 	 10 	 1003 	-61 	 -357 	 -418 	
-6 	 9 	 1005 	-48 	 -355 	 -339 	
-2 	 8 	 1004 	-48 	 -355 	 -339 	
-6 	 9 	 1004 	-58 	 -358 	 -315 	
-6 	 9 	 1004 	-25 	 -384 	 -298 	
-6 	 11 	 1004 	19 	 -414 	 -327 	
-5 	 8 	 1004 	115 	 -454 	 -382 	
-1 	 7 	 1007 	115 	 -454 	 -382 	
-3 	 10 	 1004 	252 	 -451 	 -480 	
-2 	 7 	 1005 	364 	 -321 	 -552 	
-3 	 10 	 1004 	339 	 -142 	 -537 	
-5 	 10 	 1007 	223 	 -57 	 -490 	
-8 	 11 	 1003 	223 	 -57 	 -490 	
-6 	 12 	 1004 	111 	 -40 	 -471 	
-6 	 7 	 1006 	15 	 -73 	 -460 	
-5 	 11 	 1004 	-45 	 -109 	 -463 	
-4 	 10 	 1004 	-81 	 -174 	 -436 	
-7 	 9 	 1008 	-81 	 -174 	 -436 	
-1 	 5 	 1005 	-102 	 -234 	 -411 	
-5 	 12 	 1006 	-88 	 -268 	 -363 	
-5 	 12 	 1005 	-75 	 -280 	 -319 	
-6 	 11 	 1005 	-51 	 -297 	 -298 	
-3 	 12 	 1006 	-42 	 -295 	 -282 	
-5 	 13 	 1007 	-42 	 -295 	 -282 	
-4 	 8 	 1004 	-31 	 -301 	 -267 	
-7 	 7 	 1003 	-7 	 -309 	 -291 	
-5 	 6 	 1005 	64 	 -309 	 -325 	
-4 	 10 	 1004 	102 	 -267 	 -393 	
-7 	 6 	 1006 	102 	 -267 	 -393 	
-4 	 7 	 1004 	139 	 -175 	 -444 	
-2 	 8 	 1007 	120 	 -100 	 -456 	
-4 	 7 	 1003 	75 	 -48 	 -442 	
-5 	 7 	 1004 	1 	 -52 	 -444 	
-1 	 6 	 1005 	1 	 -52 	 -444 	
-8 	 6 	 1005 	-37 	 -81 	 -435 	
-6 	 7 	 1005 	-60 	 -124 	 -438 	
-6 	 7 	 1003 	-97 	 -171 	 -429 	
-4 	 12 	 1002 	-103 	 -223 	 -397 	
-6 	 10 	 1004 	-103 	 -223 	 -397 	
-5 	 8 	 1001 	-82 	 -276 	 -381 	
-8 	 12 	 1004 	-69 	 -309 	 -351 	
-9 	 8 	 1008 	-46 	 -324 	 -315 	
-3 	 9 	 1006 	-31 	 -340 	 -276 	
-5 	 8 	 1005 	-19 	 -330 	 -268 	
-3 	 8 	 1008 	-19 	 -330 	 -268 	
-4 	 8 	 1007 	13 	 -343 	 -253 	
-3 	 9 	 1005 	48 	 -357 	 -288 	
-3 	 9 	 1005 	102 	 -363 	 -373 	
-5 	 6 	 1005 	147 	 -336 	 -516 	
-1 	 10 	 1004 	147 	 -336 	 -516 	
-4 	 9 	 1007 	138 	 -220 	 -633 	
-4 	 10 	 1005 	52 	 -139 	 -628 	
-4 	 11 	 1005 	-42 	 -129 	 -580 	
-3 	 9 	 1006 	-87 	 -163 	 -519 	
-8 	 11 	 1004 	-87 	 -163 	 -519 	
-4 	 9 	 1004 	-120 	 -201 	 -489 	
-2 	 10 	 1006 	-133 	 -264 	 -441 	
-7 	 8 	 1005 	-127 	 -310 	 -402 	
-7 	 8 	 1003 	-115 	 -345 	 -360 	
-4 	 11 	 1004 	-88 	 -369 	 -327 	
0 	 10 	 1005 	-88 	 -369 	 -327 	
-3 	 7 	 1003 	-58 	 -385 	 -294 	
-6 	 9 	 1004 	-24 	 -393 	 -289 	
-8 	 10 	 1003 	16 	 -417 	 -298 	
-3 	 5 	 1009 	70 	 -427 	 -376 	
-2 	 8 	 1003 	70 	 -427 	 -376 	
-6 	 10 	 1005 	130 	 -397 	 -510 	
-3 	 10 	 1006 	166 	 -276 	 -666 	
-4 	 10 	 1004 	135 	 -102 	 -705 	
-6 	 10 	 1006 	78 	 13 	 -576 	
-7 	 9 	 1007 	78 	 13 	 -576 	
-7 	 8 	 1006 	33 	 22 	 -456 	
-5 	 11 	 1005 	9 	 -24 	 -393 	
-7 	 11 	 1003 	22 	 -67 	 -358 	
-6 	 13 	 1004 	16 	 -102 	 -366 	
-4 	 7 	 1004 	16 	 -102 	 -366 	
-5 	 7 	 1005 	19 	 -147 	 -373 	
-4 	 6 	 1006 	-18 	 -189 	 -378 	
-1 	 7 	 1003 	-18 	 -234 	 -381 	
-5 	 10 	 1007 	-54 	 -276 	 -367 	
-4 	 11 	 1004 	-57 	 -330 	 -361 	
-3 	 8 	 1006 	-57 	 -330 	 -361 	
-6 	 7 	 1004 	-55 	 -372 	 -321 	
