STEVAL-MKI217V1 (LSM6DSOX+LIS2MDL)   

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	M_X [mG] 	 M_Y [mG] 	 M_Z [mG] 	
-4 	 6 	 1004 	-133 	 -375 	 -519 	
-4 	 9 	 1006 	-135 	 -327 	 -469 	
0 	 7 	 1011 	-145 	 -336 	 -409 	
-4 	 6 	 1004 	-145 	 -336 	 -409 	
-4 	 13 	 1008 	-121 	 -348 	 -360 	
-2 	 10 	 1007 	-94 	 -354 	 -340 	
-7 	 8 	 1007 	-87 	 -352 	 -303 	
-7 	 11 	 1006 	-67 	 -330 	 -286 	
-8 	 9 	 1005 	-67 	 -330 	 -286 	
-1 	 11 	 1004 	-58 	 -309 	 -300 	
-3 	 11 	 1005 	-57 	 -301 	 -316 	
-4 	 7 	 1005 	-54 	 -292 	 -342 	
-2 	 11 	 1007 	-60 	 -262 	 -381 	
-5 	 6 	 1005 	-60 	 -262 	 -381 	
-1 	 9 	 1007 	-85 	 -243 	 -414 	
-4 	 8 	 1008 	-106 	 -214 	 -427 	
-4 	 10 	 1004 	-142 	 -217 	 -423 	
-9 	 10 	 1001 	-166 	 -223 	 -423 	
-6 	 10 	 1002 	-178 	 -244 	 -429 	
-4 	 8 	 1005 	-178 	 -244 	 -429 	
-5 	 12 	 1006 	-163 	 -300 	 -429 	
-5 	 9 	 1002 	-138 	 -343 	 -391 	
-6 	 11 	 1004 	-108 	 -384 	 -324 	
-7 	 10 	 1009 	-78 	 -388 	 -258 	
-6 	 8 	 1005 	-78 	 -388 	 -258 	
-3 	 10 	 1004 	-64 	 -352 	 -214 	
-5 	 7 	 1007 	-54 	 -334 	 -204 	
-2 	 7 	 1002 	-43 	 -324 	 -208 	
-3 	 11 	 1005 	-42 	 -307 	 -222 	
-1 	 5 	 1004 	-42 	 -307 	 -222 	
-5 	 9 	 1010 	-42 	 -294 	 -231 	
-4 	 4 	 1006 	-42 	 -289 	 -258 	
