STEVAL-MKI217V1 (LSM6DSOX+LIS2MDL)   

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	M_X [mG] 	 M_Y [mG] 	 M_Z [mG] 	
161 	 -53 	 1119 	25 	 31 	 -136 	
252 	 -281 	 1416 	10 	 43 	 -145 	
132 	 -136 	 1216 	-6 	 19 	 -138 	
-106 	 158 	 758 	-1 	 28 	 -138 	
105 	 60 	 841 	-1 	 28 	 -138 	
454 	 -200 	 684 	-19 	 19 	 -145 	
-40 	 134 	 1097 	-27 	 15 	 -133 	
-328 	 118 	 355 	-39 	 9 	 -141 	
91 	 6 	 690 	-40 	 -1 	 -142 	
24 	 101 	 872 	-40 	 -1 	 -142 	
110 	 -96 	 1019 	-43 	 -9 	 -141 	
-13 	 41 	 994 	-70 	 -12 	 -147 	
-30 	 -226 	 1379 	-70 	 -31 	 -139 	
52 	 -65 	 988 	-75 	 -33 	 -151 	
42 	 108 	 756 	-75 	 -40 	 -136 	
-195 	 84 	 1110 	-75 	 -40 	 -136 	
301 	 -10 	 889 	-75 	 -46 	 -139 	
49 	 -21 	 1050 	-87 	 -60 	 -142 	
40 	 15 	 1032 	-106 	 -75 	 -138 	
53 	 8 	 952 	-105 	 -78 	 -138 	
-59 	 -11 	 1038 	-105 	 -78 	 -138 	
69 	 -46 	 997 	-102 	 -75 	 -147 	
-52 	 -24 	 1001 	-102 	 -105 	 -138 	
34 	 -21 	 1002 	-105 	 -103 	 -136 	
39 	 20 	 975 	-111 	 -117 	 -126 	
49 	 -30 	 988 	-111 	 -117 	 -126 	
-16 	 49 	 984 	-111 	 -123 	 -139 	
46 	 -239 	 1110 	-114 	 -132 	 -138 	
205 	 32 	 925 	-111 	 -145 	 -138 	
72 	 -86 	 1181 	-112 	 -160 	 -150 	
-29 	 -3 	 992 	-112 	 -160 	 -148 	
-58 	 43 	 942 	-117 	 -160 	 -148 	
62 	 -103 	 1180 	-124 	 -174 	 -136 	
19 	 1 	 1058 	-108 	 -184 	 -138 	
-15 	 -39 	 998 	-118 	 -183 	 -147 	
-264 	 23 	 998 	-111 	 -198 	 -144 	
-20 	 -13 	 986 	-111 	 -198 	 -144 	
30 	 36 	 943 	-118 	 -198 	 -139 	
56 	 0 	 1056 	-108 	 -202 	 -138 	
1 	 6 	 1000 	-120 	 -195 	 -151 	
9 	 3 	 988 	-112 	 -193 	 -145 	
12 	 -41 	 1033 	-112 	 -193 	 -145 	
-48 	 -24 	 1010 	-103 	 -199 	 -141 	
16 	 7 	 1016 	-106 	 -202 	 -144 	
2 	 8 	 999 	-102 	 -193 	 -154 	
-7 	 2 	 1006 	-105 	 -193 	 -150 	
10 	 -1 	 1008 	-105 	 -193 	 -150 	
-9 	 8 	 993 	-109 	 -192 	 -148 	
-2 	 -4 	 1000 	-112 	 -190 	 -141 	
-3 	 15 	 1005 	-115 	 -201 	 -142 	
-8 	 -2 	 1007 	-108 	 -192 	 -147 	
0 	 -1 	 1007 	-108 	 -192 	 -147 	
-2 	 3 	 1005 	-109 	 -199 	 -145 	
-8 	 2 	 1006 	-109 	 -196 	 -145 	
