A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-399.672 	 932.08 	 -201.544 	-34.86 	 -146.58 	 12.88 	
175.68 	 851.56 	 -254.248 	-25.83 	 -200.76 	 25.9 	
1186.82 	 870.104 	 -325.984 	-12.81 	 -120.89 	 16.73 	
625.128 	 878.4 	 -264.008 	11.06 	 49.91 	 -13.02 	
364.536 	 976.488 	 -335.744 	22.54 	 152.25 	 -31.22 	
-593.408 	 1065.79 	 -233.752 	20.02 	 173.53 	 -31.57 	
-1374.21 	 1141.43 	 -10.248 	-9.87 	 19.18 	 -3.22 	
-185.928 	 957.944 	 -165.92 	-22.47 	 -132.02 	 8.75 	
516.792 	 886.208 	 -183 	-12.04 	 -150.15 	 22.61 	
961.848 	 812.032 	 -322.568 	8.54 	 -22.26 	 8.05 	
148.352 	 991.616 	 -265.472 	23.52 	 96.88 	 -11.41 	
-435.296 	 1178.03 	 -162.504 	14.07 	 105.91 	 -3.78 	
-577.304 	 963.8 	 -73.688 	-4.34 	 15.47 	 10.08 	
62.464 	 920.368 	 -123.952 	-5.88 	 -47.18 	 9.1 	
245.464 	 932.08 	 -180.072 	1.4 	 -39.62 	 8.05 	
112.24 	 1006.26 	 -183.976 	4.76 	 -10.92 	 5.18 	
64.416 	 1012.6 	 -176.168 	2.38 	 3.43 	 2.24 	
35.624 	 991.616 	 -146.888 	-0.28 	 5.6 	 3.29 	
-41.48 	 971.608 	 -147.376 	0.77 	 -0.84 	 11.76 	
36.112 	 973.072 	 -161.04 	2.8 	 -12.32 	 26.53 	
83.936 	 985.272 	 -179.096 	4.06 	 -18.2 	 46.69 	
75.152 	 978.928 	 -171.288 	3.01 	 -19.53 	 62.09 	
178.12 	 965.264 	 -173.24 	1.26 	 -18.83 	 52.43 	
202.52 	 943.304 	 -169.824 	-0.28 	 -15.54 	 33.32 	
235.704 	 927.2 	 -172.264 	-0.42 	 -11.83 	 14.84 	
236.192 	 928.176 	 -180.56 	0.63 	 -7.42 	 2.59 	
221.064 	 945.256 	 -186.904 	1.47 	 -3.64 	 -3.22 	
186.416 	 958.432 	 -183.976 	1.12 	 -2.45 	 -5.18 	
183 	 961.848 	 -186.904 	0 	 -3.57 	 -4.83 	
57.096 	 1011.14 	 -173.728 	-1.33 	 -10.71 	 -3.71 	
-9.76 	 1023.82 	 -159.576 	-9.17 	 -32.9 	 -0.49 	
140.544 	 961.848 	 -177.632 	-17.43 	 -51.94 	 4.34 	
589.504 	 874.496 	 -184.464 	-15.61 	 -45.43 	 7.35 	
884.744 	 715.896 	 -289.384 	10.15 	 41.86 	 -8.47 	
