accX[mg]	accY[mg]	accZ[mg] 
345.26	-800.32	507.276
358.436	-771.772	565.592
331.108	-786.656	461.404
318.908	-820.328	483.364
378.2	-788.12	455.548
369.416	-736.636	564.128
346.724	-797.88	531.188
297.924	-910.608	371.856
328.668	-828.38	485.804
360.388	-802.272	487.024
359.412	-825.208	451.156
354.288	-791.78	473.604
332.816	-795.928	498.736
369.66	-740.784	507.52
357.216	-794.22	546.316
336.232	-834.236	465.796
325.496	-858.636	452.62
330.132	-832.772	477.264
401.868	-714.676	508.252
401.136	-761.28	490.928
338.672	-800.076	527.284
286.212	-927.688	415.776
338.428	-818.132	452.376
384.788	-750.056	553.392
355.264	-791.536	488
366.244	-758.352	510.448
340.38	-810.08	481.9
352.336	-805.2	427.976
350.872	-834.968	492.148
335.256	-797.636	491.172
365.512	-792.268	488.976
344.528	-765.428	493.856
344.528	-854.488	440.42
340.868	-858.148	426.512
335.012	-845.704	460.428
332.572	-810.812	474.58
368.196	-770.552	500.2
369.904	-800.076	482.632
357.704	-787.388	461.648
348.432	-783.484	443.592
346.48	-801.296	535.336
315.492	-891.576	449.204
355.02	-830.82	469.944
332.572	-826.672	461.404
387.228	-782.508	503.616
346.48	-799.832	492.392
344.284	-792.512	470.676
337.452	-772.992	505.324
352.092	-830.82	404.064
361.852	-820.572	489.464
326.96	-881.816	443.592
355.264	-792.512	517.28
318.664	-799.1	508.008
360.388	-811.544	457.744
340.136	-775.432	485.316
349.164	-855.464	429.684
362.584	-766.648	493.612
339.892	-777.872	475.068
357.216	-805.688	473.116
306.708	-913.048	432.612
321.104	-850.828	427.244
359.412	-823.744	479.948
335.744	-859.124	396.5
346.724	-821.792	460.184
338.428	-785.192	467.748
376.98	-794.952	488
362.34	-820.328	459.208
337.452	-806.664	504.592
322.324	-816.668	447.252
341.112	-811.788	389.912
384.788	-811.3	517.768
339.404	-860.832	401.38
328.912	-876.936	423.34
304.512	-831.064	464.088
349.896	-851.072	420.412
380.396	-803.736	452.132
349.408	-825.696	442.616
347.7	-790.072	423.34
358.436	-779.824	502.396
356.728	-823.256	490.44
313.54	-916.952	355.02
320.128	-850.096	428.22
346.236	-820.816	456.28
348.432	-866.2	382.104
349.408	-848.876	415.776
357.46	-791.048	446.276
367.708	-835.7	484.096
345.504	-810.568	479.704
347.7	-824.964	448.472
335.5	-824.232	413.824
350.628	-833.26	408.7
357.46	-827.404	496.54
346.724	-855.464	401.624
328.912	-873.276	404.552
328.912	-840.336	428.464
358.192	-864.736	418.216
372.588	-786.656	425.78
355.508	-843.996	392.352
369.904	-753.472	484.096
353.556	-801.54	509.472
292.8	-969.412	285.236
333.548	-874.252	387.472
351.36	-822.28	433.1
352.336	-869.372	376.492
346.48	-857.416	392.84
370.392	-790.804	463.112
342.088	-841.068	426.512
362.584	-801.296	475.556
338.672	-830.82	378.688
346.48	-822.28	421.144
343.064	-855.708	447.008
338.428	-881.084	401.868
334.28	-850.34	415.044
352.336	-831.552	435.052
354.288	-827.648	412.36
345.748	-840.336	397.964
373.564	-815.692	424.072
338.428	-834.48	481.412
329.888	-846.924	440.908
337.94	-811.544	438.956
377.956	-768.356	466.04
352.824	-775.432	453.596
313.296	-889.624	297.924
312.808	-993.812	161.284
325.74	-957.944	134.688
353.312	-970.876	171.532
329.156	-919.392	104.92
348.188	-945.988	145.912
346.48	-985.272	76.616
347.944	-942.084	72.712
344.772	-952.332	71.248
342.576	-932.568	6.344
348.92	-948.672	9.76
347.456	-943.06	76.128
367.464	-926.224	53.68
385.764	-945.5	72.468
369.904	-937.448	54.168
378.2	-937.204	52.216
385.276	-900.36	89.06
422.852	-937.448	164.212
420.168	-885.476	162.748
409.676	-909.632	223.016
401.136	-878.888	211.792
408.944	-875.472	264.496
409.188	-817.888	367.22
371.612	-829.112	334.28
379.176	-787.144	350.14
323.056	-804.468	433.832
415.288	-810.568	561.2
468.236	-733.22	460.916
529.724	-722.484	533.872
520.208	-689.3	488.244
550.952	-708.82	540.46
516.304	-643.672	530.7
542.656	-696.62	497.516
549.732	-657.092	474.58
566.08	-710.04	452.62
568.276	-682.712	439.688
597.068	-692.96	469.7
599.264	-678.808	423.828
628.3	-647.088	442.86
616.1	-653.676	426.024
601.948	-684.664	429.44
595.604	-681.492	409.188
610.732	-679.052	417.24
622.444	-652.456	414.556
627.568	-672.952	411.872
619.516	-674.416	406.016
613.66	-676.856	406.504
616.588	-693.448	407.48
611.952	-680.028	411.872
616.588	-676.856	408.944
611.464	-675.88	399.428
620.736	-684.908	406.504
605.608	-686.86	389.668
612.196	-696.132	406.504
617.564	-669.536	406.748
617.564	-694.912	396.988
613.416	-673.44	408.456
611.22	-695.644	394.792
610.488	-683.688	394.792
619.76	-689.3	403.82
612.684	-681.736	388.692
615.612	-689.3	404.308
606.828	-696.132	401.624
607.804	-679.784	395.28
