accX[mg]	accY[mg]	accZ[mg] 
733.952	-279.624	585.356
729.072	-292.8	610.976
737.368	-305.488	599.508
750.788	-305.488	601.46
739.564	-296.948	596.092
742.736	-305.732	603.168
747.128	-295.484	589.992
740.052	-308.66	597.8
749.08	-304.756	606.584
745.664	-307.928	601.216
744.932	-301.828	601.704
743.224	-301.096	595.848
747.616	-299.388	604.144
741.76	-306.952	594.14
752.74	-294.996	599.508
742.736	-300.364	591.944
738.588	-305.732	609.268
740.296	-297.192	593.408
740.052	-303.292	599.752
752.008	-303.536	598.288
739.564	-307.196	591.944
748.592	-305.732	605.608
737.612	-301.584	598.776
742.98	-300.608	597.556
749.324	-305.976	601.216
745.664	-302.072	589.016
740.296	-306.464	603.168
742.004	-303.048	595.604
742.004	-302.56	600.484
743.712	-303.78	596.824
752.496	-309.148	595.36
731.268	-307.44	592.676
744.688	-307.196	606.584
748.104	-304.756	594.628
743.712	-315.004	600.972
738.588	-302.072	598.532
741.516	-311.588	603.412
743.468	-304.756	587.796
740.052	-315.004	600.972
747.86	-307.44	602.192
732.488	-312.32	594.14
748.836	-309.636	610.244
740.784	-305.732	592.92
741.272	-309.88	596.58
742.98	-302.56	593.652
738.832	-310.612	595.116
742.98	-307.928	600.972
736.88	-310.124	594.384
746.396	-310.124	603.9
746.884	-304.512	597.8
743.468	-319.396	609.512
741.028	-307.196	598.044
744.2	-296.216	579.988
743.224	-283.528	582.916
747.128	-285.724	596.336
746.396	-307.928	620.98
746.396	-304.756	598.044
747.86	-312.32	600.484
738.588	-300.852	583.404
745.42	-300.12	599.508
739.808	-297.924	597.068
745.664	-306.708	606.096
737.856	-307.684	606.096
745.664	-311.1	600.24
742.248	-305.244	599.02
740.784	-306.464	596.092
741.272	-307.684	610.244
742.98	-309.392	599.996
736.392	-310.612	597.8
742.004	-307.44	599.264
738.1	-299.144	597.312
742.98	-308.66	606.096
744.932	-304.268	602.436
742.248	-313.052	599.02
745.176	-304.024	591.7
741.76	-307.928	597.8
739.808	-302.56	593.164
743.468	-302.804	595.116
746.884	-312.32	595.116
748.592	-317.688	598.044
742.248	-308.172	594.14
744.688	-307.44	596.092
746.152	-310.368	585.356
750.544	-312.564	591.944
748.836	-303.048	581.208
746.64	-314.272	594.872
752.008	-311.344	589.26
743.712	-315.492	590.236
748.592	-311.1	595.604
744.688	-309.148	586.82
753.472	-312.564	590.236
748.592	-307.928	582.184
745.664	-312.076	590.236
745.664	-310.368	593.164
748.104	-309.636	586.82
752.984	-310.612	586.332
745.664	-309.392	594.628
746.396	-315.736	589.504
749.08	-306.22	590.48
752.496	-305	585.112
746.64	-305	586.088
749.568	-305.244	583.648
756.644	-305.732	594.872
749.08	-311.1	600.972
748.104	-310.612	592.676
754.204	-305.244	591.212
748.348	-304.268	584.136
744.932	-301.34	586.088
749.08	-302.804	591.7
748.348	-304.512	589.504
752.984	-313.784	588.528
752.984	-298.9	584.136
741.76	-313.54	593.896
744.2	-301.828	591.944
754.448	-305.488	588.528
757.62	-300.852	589.748
750.788	-309.636	589.748
739.564	-316.468	595.36
745.176	-309.88	589.016
745.908	-306.708	592.432
749.812	-304.268	589.016
748.348	-309.88	595.116
747.616	-305.488	587.308
749.324	-316.224	591.944
748.348	-305.488	593.164
748.836	-312.076	594.14
751.52	-311.1	592.676
752.252	-307.44	589.992
744.444	-311.344	585.844
748.348	-312.076	593.408
743.468	-306.952	587.552
753.96	-305.976	593.164
747.372	-306.22	591.212
747.372	-314.76	592.432
748.104	-307.196	590.968
747.86	-309.88	589.504
750.544	-303.78	592.676
748.592	-302.072	588.528
747.86	-311.344	597.312
745.908	-307.928	590.968
749.08	-312.076	590.48
749.812	-308.172	595.116
743.468	-305.488	589.016
750.788	-306.708	590.236
744.444	-308.904	587.064
749.812	-313.296	593.408
743.956	-308.172	588.284
744.2	-306.708	591.7
752.984	-312.808	593.164
745.908	-307.196	589.016
750.3	-314.516	591.456
749.08	-312.808	589.016
746.884	-308.172	585.844
752.252	-306.22	594.872
742.248	-306.952	584.624
750.056	-312.808	589.504
750.056	-309.636	589.016
745.908	-312.076	586.332
753.716	-308.66	593.896
746.396	-307.928	590.968
750.3	-306.952	585.112
747.616	-312.32	597.8
743.712	-309.148	585.356
747.86	-310.124	595.848
743.956	-301.34	589.748
747.616	-307.928	591.944
743.224	-308.66	588.772
748.592	-307.196	587.796
749.812	-308.172	593.652
751.764	-304.756	591.7
743.956	-302.804	587.064
759.084	-310.856	596.336
744.444	-315.004	588.04
757.62	-307.44	598.532
739.808	-300.12	581.452
751.032	-309.392	591.456
750.788	-305.732	591.212
740.54	-311.588	589.016
755.912	-304.268	589.504
746.884	-301.828	583.404
753.96	-309.148	594.384
746.64	-304.268	591.212
746.152	-308.172	584.868
752.496	-307.684	589.992
749.324	-307.196	593.408
755.668	-305	597.312
745.176	-306.952	585.844
753.472	-310.124	589.992
744.688	-297.68	582.916
752.74	-304.268	592.188
755.18	-301.096	586.088
749.812	-311.1	588.772
751.764	-302.316	592.188
746.884	-309.392	589.748
754.936	-305.488	592.432
748.592	-305.976	581.452
754.448	-310.368	591.7
745.908	-309.636	583.648
750.3	-310.124	586.332
749.812	-303.048	588.04
750.544	-313.052	587.064
753.228	-305.732	588.772
743.224	-317.688	589.748
753.96	-308.172	587.552
746.152	-310.368	585.112
749.568	-310.612	588.04
746.396	-310.612	591.944
744.2	-314.028	586.088
751.276	-310.612	585.6
747.128	-310.612	584.38
750.3	-309.392	593.164
743.712	-313.54	590.48
747.616	-315.004	589.016
749.568	-307.44	586.088
749.324	-315.492	585.356
747.86	-307.684	588.772
746.64	-317.688	594.872
750.3	-315.248	590.48
743.956	-313.54	582.916
749.812	-309.636	585.112
746.64	-316.468	594.872
745.42	-313.296	595.36
744.444	-312.076	589.26
750.056	-310.856	592.432
743.956	-314.028	590.724
742.98	-316.224	594.628
746.152	-311.344	591.456
746.64	-315.248	592.92
749.812	-313.052	593.896
737.368	-317.2	593.408
747.616	-311.832	596.092
741.76	-311.832	584.136
747.372	-314.028	595.848
738.588	-315.736	591.944
746.884	-317.444	593.652
742.98	-316.224	590.48
747.128	-318.664	592.188
746.396	-315.248	590.724
744.444	-321.104	595.604
742.248	-314.028	589.748
741.028	-317.444	590.724
745.908	-314.272	590.724
744.444	-320.86	596.824
743.468	-315.492	589.016
745.42	-318.908	593.164
747.86	-316.224	591.456
745.42	-314.76	589.748
745.42	-314.028	592.676
741.76	-315.736	589.748
743.956	-319.396	592.432
747.372	-315.248	586.82
746.396	-314.028	596.58
739.808	-320.86	587.064
744.444	-315.98	593.164
747.616	-318.42	589.748
747.616	-319.152	587.308
744.688	-316.712	590.48
738.344	-317.2	591.212
743.468	-320.128	593.164
749.08	-318.42	586.332
750.056	-315.736	593.164
742.736	-322.324	588.772
750.056	-319.884	592.188
737.368	-320.372	585.356
744.688	-320.616	594.628
742.248	-315.98	592.676
747.128	-315.98	590.48
743.224	-318.42	590.968
741.76	-315.98	592.432
738.1	-319.64	590.236
749.324	-319.884	591.944
742.492	-320.86	591.456
749.08	-317.444	595.116
742.248	-314.516	590.724
741.516	-326.716	596.092
743.712	-318.908	591.944
738.588	-322.812	589.992
746.64	-315.98	592.432
741.516	-322.324	591.212
745.42	-320.372	596.58
734.44	-328.912	593.896
744.444	-326.96	591.7
738.832	-318.908	588.284
740.784	-325.496	595.116
738.588	-325.252	584.868
742.492	-332.084	594.628
739.564	-329.888	588.528
741.516	-325.74	589.26
739.564	-324.032	590.48
740.784	-329.156	590.968
738.832	-329.156	584.868
741.272	-331.108	591.212
738.588	-326.228	589.016
741.028	-324.764	591.7
738.588	-329.4	590.724
740.54	-326.472	590.724
735.904	-332.572	591.212
742.492	-327.448	590.968
740.052	-317.932	587.308
747.372	-328.912	589.992
735.172	-328.424	592.188
738.1	-333.304	589.504
744.688	-329.156	589.26
742.248	-325.74	589.26
739.32	-318.42	581.696
736.636	-331.352	592.432
737.124	-330.132	587.064
738.588	-333.792	592.92
742.736	-329.888	595.848
730.78	-331.596	589.26
732	-336.476	594.628
737.612	-340.38	591.944
738.832	-341.112	590.48
732	-345.26	607.56
735.904	-333.792	600.972
728.584	-335.5	588.04
730.536	-347.7	589.016
727.852	-338.428	593.164
720.776	-355.508	613.66
722.484	-335.988	605.12
718.824	-356.484	598.044
720.776	-354.044	596.824
726.144	-351.604	602.924
711.748	-354.776	621.712
713.7	-350.628	619.028
698.328	-351.604	616.344
705.16	-368.44	631.228
692.472	-360.388	632.204
676.368	-369.904	619.516
682.956	-386.496	648.308
670.512	-386.74	671
687.348	-389.424	666.852
690.276	-374.54	647.332
681.248	-352.58	640.744
678.32	-387.96	676.612
666.852	-338.184	660.752
718.092	-421.144	640.256
672.708	-345.992	702.72
664.9	-369.66	730.536
633.912	-369.904	672.952
626.592	-379.176	674.416
585.356	-323.544	681.004
671.244	-406.26	631.96
606.828	-420.9	660.508
606.096	-437.248	675.148
590.968	-325.984	695.4
628.788	-422.364	680.272
637.572	-445.056	628.544
599.508	-413.092	616.588
608.536	-402.112	615.124
617.564	-369.416	642.94
633.18	-379.176	648.064
608.048	-372.832	632.448
653.676	-376.248	615.612
660.02	-426.268	677.588
592.676	-383.08	641.476
629.032	-407.724	622.932
671	-429.196	659.288
613.66	-353.8	666.12
672.464	-411.628	663.68
650.992	-370.636	674.904
635.62	-381.86	651.968
651.236	-368.44	681.248
664.9	-345.992	681.98
658.8	-371.612	685.64
639.768	-348.676	649.528
649.04	-340.624	650.748
679.784	-339.648	661.972
