Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	
14619	-3066	-5855	4962	-374.052	-714.310	605.364	
34924	-3064	-5787	4986	-373.808	-706.014	608.292	
55230	-3073	-5794	4967	-374.906	-706.868	605.974	
75535	-3064	-5819	4965	-373.808	-709.918	605.730	
95841	-3067	-5832	4962	-374.174	-711.504	605.364	
116146	-3052	-5836	4962	-372.344	-711.992	605.364	
136451	-3061	-5778	4962	-373.442	-704.916	605.364	
156757	-3030	-5816	4944	-369.660	-709.552	603.168	
177062	-3041	-5818	4963	-371.002	-709.796	605.486	
197371	-3031	-5845	4973	-369.782	-713.090	606.706	
217679	-3043	-5826	4986	-371.246	-710.772	608.292	
237985	-3043	-5805	4977	-371.246	-708.210	607.194	
258292	-3055	-5796	4961	-372.710	-707.112	605.242	
278598	-3051	-5809	4949	-372.222	-708.698	603.778	
298907	-3050	-5824	4969	-372.100	-710.528	606.218	
319217	-3050	-5815	4973	-372.100	-709.430	606.706	
339526	-3042	-5803	4976	-371.124	-707.966	607.072	
359833	-3047	-5815	4964	-371.734	-709.430	605.608	
380140	-3039	-5841	4958	-370.758	-712.602	604.876	
400449	-3046	-5852	4957	-371.612	-713.944	604.754	
420755	-3044	-5832	4968	-371.368	-711.504	606.096	
441062	-3055	-5812	4973	-372.710	-709.064	606.706	
461369	-3041	-5795	4967	-371.002	-706.990	605.974	
481676	-3042	-5799	4959	-371.124	-707.478	604.998	
501981	-3053	-5817	4948	-372.466	-709.674	603.656	
522285	-3050	-5817	4937	-372.100	-709.674	602.314	
542593	-3042	-5831	4933	-371.124	-711.382	601.826	
562900	-3038	-5840	4928	-370.636	-712.480	601.216	
583205	-3041	-5828	4992	-371.002	-711.016	609.024	
603510	-3042	-5853	4969	-371.124	-714.066	606.218	
623817	-3040	-5883	4984	-370.880	-717.726	608.048	
644125	-3025	-5803	5007	-369.050	-707.966	610.854	
664432	-3042	-5804	4989	-371.124	-708.088	608.658	
684738	-3035	-5817	4940	-370.270	-709.674	602.680	
705042	-3030	-5815	4936	-369.660	-709.430	602.192	
725349	-3039	-5816	4941	-370.758	-709.552	602.802	
745657	-3057	-5817	4951	-372.954	-709.674	604.022	
765963	-3067	-5824	4945	-374.174	-710.528	603.290	
786269	-3057	-5837	4957	-372.954	-712.114	604.754	
806577	-3052	-5834	4962	-372.344	-711.748	605.364	
826884	-3018	-5818	4973	-368.196	-709.796	606.706	
847192	-3012	-5808	4987	-367.464	-708.576	608.414	
867499	-3005	-5816	4982	-366.610	-709.552	607.804	
887806	-3012	-5817	4984	-367.464	-709.674	608.048	
908116	-3031	-5812	4977	-369.782	-709.064	607.194	
928425	-3046	-5823	4960	-371.612	-710.406	605.120	
948733	-3044	-5821	4954	-371.368	-710.162	604.388	
969039	-3040	-5827	4949	-370.880	-710.894	603.778	
989344	-3026	-5824	4958	-369.172	-710.528	604.876	
1009651	-3021	-5826	4962	-368.562	-710.772	605.364	
