@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_V numeric
@attribute F4_VAR_on_ACC_X numeric
@attribute F5_VAR_on_ACC_Y numeric
@attribute F6_VAR_on_ACC_V numeric
@attribute F7_ENERGY_on_ACC_X numeric
@attribute F8_ENERGY_on_ACC_Y numeric
@attribute F9_ENERGY_on_ACC_V numeric
@attribute F10_PeakToPeak_on_ACC_X numeric
@attribute F11_PeakToPeak_on_ACC_Y numeric
@attribute F12_PeakToPeak_on_ACC_V numeric
@attribute class {stationary, motion, jackup, crash}

@data
-0.0723267, -0.0976563, 1.05078, 0.0143661, 0.0510864, 0.0166016, 2.03711, 6.30078, 116.563, 0.693359, 0.819336, 0.868164, motion
-0.0751953, -0.152222, 1.0459, 0.0134048, 0.0333862, 0.0146484, 1.98047, 5.87891, 115.25, 0.502441, 0.827637, 0.621582, motion
-0.0692749, -0.123962, 1.0625, 0.0231628, 0.0594788, 0.0185547, 2.90625, 7.77734, 119.25, 0.882324, 0.858398, 1.23535, motion
-0.0789795, -0.0355225, 1.04297, 0.012764, 0.0265656, 0.0117188, 1.97461, 2.89258, 114.313, 0.570801, 0.653809, 0.853516, motion
-0.0753784, -0.0568237, 1.04297, 0.0137329, 0.028595, 0.0214844, 2.01758, 3.30859, 115.313, 0.716309, 0.713867, 1.05273, motion
-0.0674438, -0.103821, 1.03516, 0.00940704, 0.0246887, 0.0214844, 1.4502, 3.6875, 113.563, 0.505859, 0.638184, 0.955566, motion
-0.0581665, -0.144775, 1.04297, 0.018219, 0.0276489, 0.0185547, 2.24609, 5.05469, 115, 0.673828, 0.78125, 0.833984, motion
-0.071106, -0.0656738, 1.04492, 0.0120087, 0.0334167, 0.00878906, 1.77246, 3.92188, 114.375, 0.672363, 0.753906, 0.643555, motion
-0.0817871, -0.0618591, 1.04297, 0.011055, 0.0247803, 0.00585938, 1.84473, 2.97461, 113.688, 0.647461, 0.836426, 0.55957, motion
-0.0737305, -0.0456238, 1.04492, 0.0187073, 0.0332642, 0.00878906, 2.50977, 3.67383, 114.375, 0.842773, 0.833008, 0.581543, motion
-0.065979, -0.0968018, 1.0459, 0.0112, 0.0342712, 0.00976563, 1.61621, 4.53516, 114.688, 0.663086, 0.618652, 0.612305, motion
-0.0670776, -0.137817, 1.04004, 0.0106506, 0.019455, 0.00585938, 1.57422, 3.99609, 113.063, 0.448486, 0.580078, 0.566406, motion
-0.0805664, -0.108337, 1.04492, 0.0119858, 0.0353088, 0.0214844, 1.9209, 4.88672, 115.75, 0.780273, 0.847168, 1.01367, motion
-0.0974731, -0.0227966, 1.04102, 0.0138779, 0.0189819, 0.0224609, 2.42969, 2.02734, 115, 0.512695, 0.739258, 1.05762, motion
-0.0720825, -0.0981445, 1.04004, 0.0103378, 0.0214539, 0.00683594, 1.61426, 3.23047, 113.188, 0.451904, 0.666504, 0.491211, motion
-0.0844116, -0.122314, 1.0293, 0.00844574, 0.00801849, 0.0107422, 1.61816, 2.38867, 111.25, 0.578613, 0.504395, 0.533203, motion
-0.0843506, -0.11908, 1.04102, 0.0103455, 0.026413, 0.0107422, 1.81445, 4.21875, 113.75, 0.646973, 0.733887, 0.608887, motion
-0.0935059, -0.0350952, 1.03516, 0.0120392, 0.0128708, 0.0107422, 2.16016, 1.46582, 112.438, 0.650391, 0.615723, 0.936035, motion
