@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {boat, bow, bridge, child, cobra, DFD, medita, plank, SFB, SM, SS, TESA, tree, UP}

@data
0.0887451, -0.0136337, -1.00195, child
0.0894165, -0.0223999, -1.00195, child
0.0830078, -0.0145035, -1.00195, child
0.0818481, -0.0126419, -1.00195, child
0.0814209, -0.0138016, -1.00195, child
0.0808716, -0.0142136, -1.00195, child
0.0805664, -0.0144501, -1.00195, child
0.0805664, -0.0149918, -1.00195, child
0.0802612, -0.0151901, -1.00195, child
0.0802612, -0.0157166, -1.00195, child
0.0802612, -0.0161591, -1.00195, child
0.0800781, -0.0166016, -1.00195, child
0.0797119, -0.0155869, -1.00195, child
0.0792236, -0.0153046, -1.00195, child
0.0794678, -0.0161896, -1.00195, child
0.0795288, -0.0167694, -1.00195, child
0.0795288, -0.0172119, -1.00195, child
0.0801392, -0.0179291, -1.00195, child
0.0823364, -0.022995, -1.00195, child
0.0856934, -0.0335693, -1.00195, child
0.0831909, -0.0306091, -1.00195, child
0.0814209, -0.0273743, -1.00195, child
0.0803833, -0.0256805, -1.00195, child
0.0791016, -0.023407, -1.00195, child
0.0789795, -0.0233154, -1.00195, child
0.0791016, -0.0234833, -1.00195, child
-0.00151825, 0.520996, -0.871582, child
-0.00057745, 0.504883, -0.861328, child
-0.00123405, 0.508789, -0.859375, child
-0.00273705, 0.509277, -0.859863, child
-0.00337982, 0.504883, -0.862793, child
-0.00335884, 0.502441, -0.86377, child
-0.00312424, 0.50293, -0.86377, child
-0.00326538, 0.509766, -0.858398, child
-0.00337982, 0.504883, -0.86377, child
-0.00311661, 0.503418, -0.86377, child
-0.00292587, 0.501953, -0.86377, child
-0.00296974, 0.5, -0.86377, child
-0.00316429, 0.501465, -0.86377, child
-0.0031662, 0.503906, -0.862793, child
-0.00317955, 0.503906, -0.86377, child
-0.00312233, 0.505371, -0.858398, child
-0.00318336, 0.511719, -0.855469, child
-0.00271225, 0.51123, -0.855469, child
-0.00259781, 0.511719, -0.855957, child
-0.0031662, 0.515137, -0.853027, child
-0.00276947, 0.514648, -0.854492, child
-0.00294304, 0.51123, -0.85498, child
-0.00213051, 0.510742, -0.85791, child
-0.00259972, 0.514648, -0.854492, child
-0.00266075, 0.51416, -0.85498, child
-0.00263596, 0.512695, -0.85498, child
-0.00229263, 0.511719, -0.85498, child
-0.00238609, 0.51123, -0.857422, child
-0.00246429, 0.513672, -0.85498, child
-0.0586243, -0.152222, -1.01563, cobra
-0.0487061, -0.139038, -0.996094, cobra
-0.0394592, -0.145996, -0.995605, cobra
-0.0367737, -0.144409, -0.998047, cobra
-0.0148315, -0.139893, -0.996094, cobra
0.0144577, -0.15686, -0.998047, cobra
0.020462, -0.154541, -0.995605, cobra
0.0261383, -0.172241, -0.995605, cobra
0.0296783, -0.105957, -1, cobra
0.0269928, -0.149658, -0.998047, cobra
0.0414429, -0.164185, -0.993164, cobra
0.0354004, -0.149536, -0.998047, cobra
0.0357971, -0.182007, -0.990234, cobra
0.0376892, -0.174438, -0.994141, cobra
0.0371094, -0.174438, -0.993652, cobra
0.0375366, -0.165283, -0.996582, cobra
0.0397644, -0.169556, -0.994141, cobra
0.0411682, -0.169678, -0.994141, cobra
0.0410767, -0.16687, -0.995605, cobra
0.0388184, -0.164917, -0.995605, cobra
0.0375977, -0.163452, -0.996094, cobra
0.0385742, -0.164917, -0.995605, cobra
-0.071228, 0.0669556, -1.02246, cobra
-0.0678711, 0.0635986, -1.00195, cobra
-0.069458, 0.0606384, -1.00293, cobra
-0.0671387, 0.0543213, -1.00098, cobra
-0.0678711, 0.0569763, -1.00195, cobra
-0.0714722, 0.0785522, -1.00195, cobra
-0.0689697, 0.0827637, -0.998535, cobra
-0.0789795, 0.0701904, -0.997559, cobra
-0.0724487, 0.0606079, -1.00293, cobra
-0.0682373, 0.0441589, -1.00098, cobra
-0.0706787, 0.0556641, -1.00293, cobra
-0.0639038, 0.0593262, -0.999023, cobra
-0.0610352, 0.0759277, -1.00488, cobra
-0.0622864, 0.0680542, -1.00195, cobra
-0.0619507, 0.0449219, -0.998047, cobra
-0.059021, 0.0334167, -1.00781, cobra
-0.0662231, 0.0546875, -1.00195, cobra
-0.0596619, 0.041687, -1.00488, cobra
-0.0631104, 0.0583496, -1.00195, cobra
-0.0657349, 0.0783081, -1.00195, cobra
-0.0665283, 0.0772705, -1, cobra
-0.0681152, 0.0740967, -1, cobra
-0.0648804, 0.072876, -1.00293, cobra
-0.0697021, 0.0841064, -1, cobra
-0.0680542, 0.0834961, -1, cobra
-0.0719604, 0.0914917, -0.998047, cobra
-0.0670776, 0.0968628, -1, cobra
-0.0697632, 0.112122, -0.996094, cobra
-0.0691528, 0.111389, -0.997559, cobra
-0.0724487, 0.141357, -0.993652, cobra
-0.749023, -0.0665894, -0.699707, DFD
-0.746094, -0.00323868, -0.665039, DFD
-0.732422, -0.0386353, -0.69043, DFD
-0.724121, -0.0455017, -0.694336, DFD
-0.713379, -0.0270691, -0.709961, DFD
-0.715332, -0.00374794, -0.708496, DFD
-0.714844, 0.0172729, -0.706055, DFD
-0.713867, 0.0116043, -0.709473, DFD
-0.711426, 0.00320053, -0.711426, DFD
-0.707031, 0.00622559, -0.714844, DFD
-0.704102, 0.00559998, -0.719238, DFD
-0.704102, 0.00997162, -0.717285, DFD
-0.706543, 0.011734, -0.71875, DFD
-0.720215, 0.0166473, -0.69873, DFD
-0.71875, -0.0001508, -0.703613, DFD
-0.717773, -0.00855255, -0.705566, DFD
-0.71875, -0.00883484, -0.704102, DFD
-0.719727, -0.00728607, -0.705566, DFD
-0.719727, -0.00232887, -0.703613, DFD
-0.717773, 0.00196075, -0.704102, DFD
-0.728027, -0.00206184, -0.691406, DFD
-0.717773, 0.00479889, -0.703613, DFD
-0.717285, 0.008461, -0.70459, DFD
-0.71875, 0.00131035, -0.705566, DFD
-0.717285, 0.00375366, -0.708496, DFD
-0.713379, 0.00384903, -0.711914, DFD
-0.713867, 0.000291348, -0.710938, DFD
-0.713867, -0.00153923, -0.708496, DFD
-0.773926, 0.0925293, -0.662598, DFD
-0.755371, 0.0758057, -0.657715, DFD
-0.755371, 0.0681152, -0.657715, DFD
-0.755371, 0.0704956, -0.657227, DFD
-0.752441, 0.0683594, -0.658691, DFD
-0.752441, 0.0704346, -0.660156, DFD
-0.750488, 0.0750732, -0.662598, DFD
-0.751465, 0.0774536, -0.662598, DFD
-0.746582, 0.0764771, -0.668945, DFD
-0.750977, 0.0690918, -0.662598, DFD
-0.75, 0.0716553, -0.665039, DFD
-0.750488, 0.076416, -0.662109, DFD
-0.748047, 0.0767822, -0.666992, DFD
-0.747559, 0.0765381, -0.666992, DFD
-0.748047, 0.0819092, -0.665527, DFD
-0.750977, 0.083374, -0.662109, DFD
-0.745117, 0.0843506, -0.670898, DFD
-0.747559, 0.0810547, -0.66748, DFD
-0.740723, 0.0797729, -0.67334, DFD
-0.761719, 0.0924683, -0.645996, DFD
-0.762207, 0.100708, -0.643066, DFD
-0.771484, 0.0964966, -0.636719, DFD
-0.750977, 0.101746, -0.65918, DFD
-0.751465, 0.100098, -0.657227, DFD
-0.750488, 0.0986328, -0.658691, DFD
