@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {boat, bow, bridge, child, cobra, DFD, medita, plank, SFB, SM, SS, TESA, tree, UP}

@data
-1.00586, 0.0167084, -0.0968628, SS
-0.997559, 0.0286713, -0.0743408, SS
-0.987305, 0.0155945, -0.0772095, SS
-1.01465, 0.0167694, -0.0724487, SS
-0.999023, 0.0247498, -0.0637207, SS
-0.998047, 0.00497055, -0.0848389, SS
-0.995605, 0.012207, -0.0699463, SS
-1.00391, 0.0228729, -0.0491028, SS
-1.00391, 0.0192108, -0.0546875, SS
-0.999023, 0.0266113, -0.055542, SS
-1.00195, 0.0379333, -0.0449829, SS
-1.00195, 0.0390015, -0.0522461, SS
-1, 0.0204315, -0.060791, SS
-1.00293, 0.0238495, -0.0588074, SS
-0.993164, 0.00897217, -0.0626831, SS
-1.00488, 0.03125, -0.0482483, SS
-1.00195, 0.0194702, -0.0482788, SS
-1, 0.0206299, -0.0466309, SS
-1.01953, -0.0326233, -0.0675659, SS
-1, -0.0424805, -0.0704346, SS
-1, -0.0395813, -0.0704346, SS
-1, -0.0577393, -0.0782471, SS
-1, -0.0585327, -0.0725708, SS
-1, -0.0573425, -0.0635376, SS
-1, -0.0563965, -0.0463257, SS
-1, -0.0532227, -0.0630493, SS
-1, -0.0505676, -0.0802002, SS
-1, -0.0578613, -0.0671997, SS
-1, -0.0547791, -0.0680542, SS
-1, -0.0580444, -0.0739136, SS
-1, -0.0562439, -0.0688477, SS
-1, -0.0545959, -0.0794678, SS
-1.00977, -0.0397034, -0.0506897, SS
-0.991211, -0.0315857, -0.0632324, SS
-1, -0.0286865, -0.0496521, SS
-1.00293, -0.0234833, -0.04953, SS
-1, -0.0326233, -0.0516052, SS
-1.00293, -0.0170593, -0.0472412, SS
-1.00098, -0.0253601, -0.0488586, SS
-0.999023, -0.0183411, -0.0523987, SS
-1.00195, -0.0151825, -0.0517883, SS
-1.00293, -0.0152054, -0.0544739, SS
-1.00195, -0.015686, -0.0557556, SS
-1, -0.0125351, -0.0574951, SS
-1.00098, -0.0136108, -0.0565186, SS
-1.00098, -0.00865936, -0.0553894, SS
-1, -0.0106277, -0.0530701, SS
-1, -0.00953674, -0.0547791, SS
-1, -0.0102692, -0.0552979, SS
-1.00098, -0.0115738, -0.0576782, SS
-1, -0.0153427, -0.0580444, SS
-0.998047, -0.0161438, -0.0555725, SS
-1, -0.0112762, -0.0533447, SS
-1.00195, -0.0101089, -0.0508728, SS
-1.00098, -0.0119629, -0.0541077, SS
-1, -0.0114822, -0.0532227, SS
-1.00098, -0.0131454, -0.056488, SS
-1.00293, -0.00815582, -0.0562134, SS
-0.998535, -0.0150757, -0.0616455, SS
-0.755371, 0.65332, 0.0614014, TESA
-0.706543, 0.66748, 0.194336, TESA
-0.735352, 0.63916, 0.128662, TESA
-0.734863, 0.653809, 0.133423, TESA
-0.736816, 0.651367, 0.0896606, TESA
-0.736816, 0.65625, 0.0847778, TESA
-0.734375, 0.654785, 0.088623, TESA
-0.729004, 0.661621, 0.093811, TESA
-0.72998, 0.658691, 0.101135, TESA
-0.728027, 0.658691, 0.107117, TESA
-0.724609, 0.663086, 0.103271, TESA
-0.722656, 0.665527, 0.106995, TESA
-0.725098, 0.661621, 0.106812, TESA
-0.723145, 0.664551, 0.104797, TESA
-0.721191, 0.669434, 0.104065, TESA
-0.71875, 0.670898, 0.105591, TESA
-0.717285, 0.671875, 0.115601, TESA
-0.715332, 0.664551, 0.141846, TESA
-0.711426, 0.681152, 0.111511, TESA
-0.715332, 0.67041, 0.0977173, TESA
-0.72168, 0.666504, 0.104309, TESA
-0.723145, 0.667969, 0.0866089, TESA
-0.725098, 0.667969, 0.081543, TESA
-0.727051, 0.664063, 0.0756836, TESA
-0.724609, 0.669434, 0.0768433, TESA
-0.726563, 0.668945, 0.0838013, TESA
-0.733398, 0.654297, 0.0899658, TESA
-0.73877, 0.649902, 0.0808716, TESA
-0.73584, 0.653809, 0.0974731, TESA
-0.72998, 0.65625, 0.116394, TESA
-0.726563, 0.654785, 0.126831, TESA
-0.727539, 0.662109, 0.110596, TESA
-0.729004, 0.659668, 0.097229, TESA
-0.77002, 0.64209, 0.100769, TESA
-0.756836, 0.632813, 0.0896606, TESA
-0.754395, 0.631348, 0.110168, TESA
-0.75, 0.631348, 0.118164, TESA
-0.747559, 0.638672, 0.111328, TESA
-0.745605, 0.637695, 0.114624, TESA
-0.745605, 0.645996, 0.10553, TESA
-0.744629, 0.644043, 0.108582, TESA
-0.745605, 0.643555, 0.107849, TESA
-0.740723, 0.647461, 0.110474, TESA
-0.739746, 0.652344, 0.111328, TESA
-0.740234, 0.641113, 0.126343, TESA
-0.742676, 0.643555, 0.124451, TESA
-0.740234, 0.641602, 0.128296, TESA
-0.737793, 0.646973, 0.13501, TESA
-0.73584, 0.646973, 0.128906, TESA
-0.734375, 0.65625, 0.104065, TESA
-0.737305, 0.65332, 0.0892944, TESA
-0.73584, 0.65625, 0.0755005, TESA
-0.733398, 0.65625, 0.0709839, TESA
-0.734863, 0.662598, 0.0514832, TESA
-0.735352, 0.659668, 0.0482483, TESA
-0.736816, 0.661621, 0.0287323, TESA
-0.739746, 0.653809, 0.0488892, TESA
-0.737793, 0.65625, 0.0593567, TESA
-0.527832, -0.200806, -0.857422, tree
-0.521484, -0.194824, -0.839355, tree
-0.524902, -0.195313, -0.840332, tree
-0.527832, -0.206787, -0.833984, tree
-0.539063, -0.205078, -0.824219, tree
-0.533203, -0.200317, -0.832031, tree
-0.53125, -0.205078, -0.82959, tree
-0.530762, -0.212646, -0.831055, tree
-0.527344, -0.212402, -0.835938, tree
-0.530273, -0.223022, -0.82666, tree
-0.530762, -0.209595, -0.831543, tree
-0.537598, -0.202759, -0.825684, tree
-0.545898, -0.214844, -0.822754, tree
-0.54834, -0.221802, -0.810059, tree
-0.539063, -0.217529, -0.824707, tree
-0.560059, -0.209229, -0.807129, tree
-0.559082, -0.197021, -0.818848, tree
-0.55957, -0.190186, -0.814941, tree
-0.55957, -0.19165, -0.818359, tree
-0.557129, -0.197876, -0.815918, tree
-0.563477, -0.208984, -0.807129, tree
-0.567871, -0.209839, -0.809082, tree
-0.0791626, -0.187622, -1.00391, tree
-0.0698242, -0.172729, -0.993164, tree
-0.0700073, -0.141846, -0.996582, tree
-0.0697021, -0.135132, -0.997559, tree
-0.0740967, -0.134033, -0.998535, tree
-0.0740356, -0.127808, -0.998535, tree
-0.0761719, -0.129028, -0.999023, tree
-0.0750732, -0.126953, -0.998047, tree
-0.0769043, -0.134644, -0.997559, tree
-0.0797119, -0.130493, -0.998535, tree
-0.0794067, -0.138672, -0.998047, tree
-0.0819092, -0.138672, -0.998047, tree
-0.0808716, -0.141724, -0.996582, tree
-0.0791016, -0.154541, -0.994141, tree
-0.0849609, -0.138306, -0.995605, tree
-0.085022, -0.126953, -0.997559, tree
-0.086731, -0.122437, -0.999023, tree
-0.0869141, -0.127441, -0.998535, tree
-0.0846558, -0.131836, -0.995605, tree
-0.0869141, -0.135742, -0.996582, tree
-0.0853882, -0.138428, -0.994141, tree
-0.0838623, -0.133545, -0.998047, tree
-0.0859985, -0.128906, -0.999023, tree
-0.0889282, -0.124084, -0.998047, tree
-0.557617, 0.240601, 0.777344, UP
-0.608398, 0.25, 0.750977, UP
-0.507813, 0.192505, 0.832031, UP
-0.419434, 0.23584, 0.870605, UP
-0.433838, 0.269287, 0.853516, UP
-0.422607, 0.266113, 0.859375, UP
-0.425293, 0.265137, 0.86084, UP
-0.420166, 0.26416, 0.862305, UP
-0.425049, 0.282715, 0.853027, UP
-0.428711, 0.284912, 0.850586, UP
-0.425293, 0.294434, 0.847168, UP
-0.420898, 0.293213, 0.852051, UP
-0.415771, 0.288086, 0.855957, UP
-0.415527, 0.318848, 0.844727, UP
-0.424805, 0.362793, 0.820313, UP
-0.433838, 0.375488, 0.8125, UP
-0.423096, 0.307129, 0.84668, UP
-0.427979, 0.298828, 0.84668, UP
-0.43042, 0.232666, 0.866211, UP
-0.42627, 0.255615, 0.860352, UP
-0.418457, 0.249634, 0.868652, UP
-0.42749, 0.262695, 0.859375, UP
-0.423584, 0.27417, 0.85791, UP
-0.418457, 0.270996, 0.86084, UP
-0.373047, -0.0560913, 0.947266, UP
-0.362061, -0.125366, 0.927246, UP
-0.365234, -0.106934, 0.930176, UP
-0.366699, -0.0965576, 0.931152, UP
-0.359375, -0.105042, 0.933594, UP
-0.354736, -0.112122, 0.935547, UP
-0.352783, -0.107666, 0.935059, UP
-0.350342, -0.116394, 0.935547, UP
-0.35083, -0.113037, 0.935547, UP
-0.3479, -0.105591, 0.936035, UP
-0.352783, -0.09198, 0.934082, UP
-0.341797, -0.110046, 0.938965, UP
-0.337891, -0.128906, 0.936523, UP
-0.33667, -0.119995, 0.9375, UP
-0.333984, -0.123169, 0.937988, UP
-0.33252, -0.133667, 0.937988, UP
-0.334473, -0.123413, 0.937988, UP
-0.335205, -0.112305, 0.937988, UP
-0.338379, -0.112854, 0.9375, UP
-0.337891, -0.117981, 0.936035, UP
-0.333984, -0.1203, 0.937988, UP
-0.32959, -0.133911, 0.938477, UP
-0.326904, -0.126343, 0.939453, UP
-0.324707, -0.127441, 0.937988, UP
-0.320557, -0.133057, 0.938965, UP
-0.320313, -0.11853, 0.94043, UP
-0.319824, -0.11969, 0.940918, UP
-0.316895, -0.119019, 0.941406, UP
-0.320557, -0.109924, 0.941406, UP
-0.319824, -0.115234, 0.94043, UP
