STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-551	-270	476
-468	-587	520
-686	-338	599
-691	-360	456
-926	-488	670
-896	-338	590
-962	-437	497
-955	-544	751
-882	-291	518
-1293	-520	661
-1353	-475	699
-1200	-453	643
-1258	-493	541
-1119	-305	475
-1018	-215	505
-1545	505	1882
-932	-548	324
-945	-474	111
-954	-247	-40
-941	-157	-82
-933	-242	-52
-918	-342	-7
-912	-322	-1
-951	-367	25
-982	-262	152
-914	-229	86
-940	-295	142
-983	-186	305
-962	-272	221
-1005	-360	451
-998	-215	412
-1041	-306	471
-1067	-231	525
-1051	-351	598
-1021	-426	682
-1060	-377	660
-1106	-364	633
-1120	-323	611
-1055	-426	612
-1022	-406	624
-896	-430	515
-862	-518	631
-768	-474	514
-672	-587	569
-637	-495	654
-557	-513	707
-425	-508	800
-502	-429	1023
-366	-193	788
-331	-278	617
-175	-218	444
-29	-325	396
-7	-436	380
48	-444	414
88	-279	508
159	-459	532
121	-427	617
177	-527	664
74	-630	726
134	-535	851
89	-527	848
65	-642	964
49	-455	995
91	-593	966
61	-536	935
60	-479	843
50	-575	813
92	-508	742
89	-447	669
58	-504	670
87	-492	594
32	-447	559
0	-454	613
-28	-440	567
-70	-514	569
-139	-517	621
-206	-244	634
-261	-487	464
-435	-449	724
-486	-176	579
-499	-360	533
-610	-542	718
-773	-458	599
-722	-486	625
-992	-379	551
-919	-422	590
-1064	-499	738
-1065	-339	526
-1220	-571	733
-1065	-447	625
-1137	-217	518
-1119	-425	456
-1118	-409	558
-1009	-185	369
-1004	490	974
-1102	-719	999
-937	-582	51
-960	-332	-127
-904	-189	-193
-914	-286	-170
-966	-353	-129
-924	-226	-32
-989	-140	149
-1013	-218	217
-962	-295	135
-976	-274	72
-936	-293	35
-959	-301	69
-999	-251	122
-989	-269	104
-1003	-263	271
-974	-145	241
-1019	-326	392
-1011	-260	490
-1050	-325	529
-1087	-340	581
-1102	-308	570
-1115	-365	556
-1122	-392	584
-1079	-428	520
-1054	-458	544
-1012	-425	537
-926	-497	580
-890	-432	546
-806	-466	610
-732	-497	650
-640	-434	624
-559	-421	656
-454	-523	637
-355	-416	693
-219	-484	592
-232	-591	701
-120	-366	656
-78	-525	527
-54	-692	795
15	-531	618
30	-564	652
33	-471	692
94	-414	626
107	-360	691
131	-391	696
159	-394	711
193	-383	745
176	-379	758
195	-461	771
209	-402	853
222	-519	812
196	-427	843
267	-489	828
167	-472	853
210	-442	769
173	-426	770
190	-448	757
166	-392	614
138	-375	572
146	-473	585
-3	-351	482
86	-433	598
-118	-343	483
-173	-297	621
-176	-422	588
-430	-335	609
-432	-230	552
-622	-400	439
-703	-426	782
-925	-260	452
-932	-518	777
-1058	-314	619
-1168	-475	738
-1071	-368	875
-1269	-441	675
-1134	-525	943
-1047	-221	794
-1116	-265	574
-1048	-566	566
-1033	-555	561
-1174	561	945
-1097	-284	881
-902	-460	206
-957	-295	4
-926	-222	-66
-938	-384	16
-932	-308	36
-920	-317	26
-951	-330	115
-945	-170	129
-975	-259	197
-957	-280	186
-967	-200	254
-958	-158	194
-968	-333	232
-986	-208	377
-946	-225	305
-1022	-328	462
-996	-161	475
-1036	-260	588
-1034	-318	572
-1062	-256	627
-1051	-165	646
-1063	-267	633
-1050	-325	643
-1006	-241	651
-1034	-284	705
-955	-383	659
-874	-310	722
-859	-314	716
-777	-306	677
-680	-165	758
-578	-258	659
-532	-353	862
-391	-187	781
-315	-322	837
-261	-278	852
-243	-195	785
-128	-307	773
-113	-273	679
