#Format version: 1.0,,,,,,
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g]
40113060,-20.37,-3.08,-0.07,1.001,-0.001,0.002
40113080,-25.62,-2.38,0.35,1.002,0.001,0.014
40113100,-31.29,-3.5,1.19,1.002,0.001,0
40113120,-33.18,-2.52,1.89,1.001,0,0.002
40113130,-36.26,-1.82,2.66,1,-0.001,0.001
40113150,-41.93,-1.05,2.87,1.001,-0.002,0.006
40113170,-42.28,-1.68,3.57,1,0,0.005
40113190,-35.49,-2.52,4.41,0.999,-0.007,-0.007
40113210,-30.17,-0.84,3.36,1.003,-0.016,0.004
40113230,-34.09,-0.98,1.96,1.006,-0.02,0.01
40113250,-45.64,-2.1,0.91,0.998,-0.003,0.012
40113270,-50.05,-3.29,2.17,0.997,0.008,-0.006
40113290,-46.2,-2.17,4.69,1.003,-0.017,0
40113310,-44.59,-1.54,3.08,1.001,-0.028,-0.002
40113330,-44.59,-1.54,3.08,1.001,-0.028,-0.002
40113350,-41.09,-0.7,-0.49,0.999,-0.004,0.003
40113360,-39.13,-1.54,0,0.998,-0.007,0.009
40113380,-41.93,-3.08,1.05,1.002,0,0.004
40113400,-45.08,-3.64,3.57,1,-0.012,-0.008
40113420,-46.27,-1.61,3.64,1,-0.022,-0.015
40113440,-44.31,1.4,1.96,1,-0.014,-0.005
40113460,-47.6,2.52,2.24,1.005,-0.023,0.002
40113480,-54.6,2.87,1.89,1.001,-0.016,0.004
40113500,-58.52,1.96,1.75,1,-0.021,0.014
40113520,-63.21,0.35,1.05,1,-0.012,0
40113540,-59.36,0.77,0.77,1.002,-0.022,-0.003
40113560,-56.42,1.96,-0.07,0.999,-0.01,-0.003
40113570,-52.71,3.15,0.7,1,-0.009,0.008
40113590,-51.52,1.89,1.89,0.999,-0.014,0.022
40113610,-49.14,-0.98,2.8,1.001,-0.009,-0.001
40113630,-46.97,0.21,4.2,1.001,-0.022,-0.003
40113650,-48.86,2.66,3.92,0.998,-0.018,0.003
40113670,-47.81,3.15,4.9,0.999,-0.013,0.013
40113690,-44.73,1.82,6.09,1.001,-0.029,0.003
40113710,-45.71,2.87,5.53,1.001,-0.033,0.007
40113730,-47.95,3.22,4.69,1.001,-0.029,0.012
40113750,-48.23,3.15,4.62,0.999,-0.034,0.013
40113770,-45.15,2.31,3.57,1.003,-0.036,0.019
40113790,-43.96,0.98,2.52,1,-0.04,0.011
40113800,-42.28,1.47,1.68,0.998,-0.03,0.009
40113820,-39.2,1.89,2.03,0.999,-0.029,0.017
40113840,-37.66,1.26,3.22,1.001,-0.036,0.008
40113860,-37.17,2.24,3.08,1.001,-0.043,0.011
40113880,-38.99,2.8,2.45,1.001,-0.043,0.013
40113900,-40.04,3.5,2.17,0.997,-0.035,0.016
40113920,-33.88,2.87,2.17,0.999,-0.039,0.021
