#Format version: 1.0,,,,,,
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g]
40034420,21.84,-3.01,-1.12,1.001,-0.004,0.001
40034440,31.29,-3.01,-1.54,1,-0.016,0.008
40034460,51.52,-5.18,-5.53,1.006,-0.009,0.033
40034480,72.38,-11.55,-8.19,1.006,-0.017,-0.023
40034500,80.36,-7.21,-12.11,1.007,0.002,0.004
40034520,75.11,-9.52,-10.57,0.992,0.016,-0.002
40034540,75.11,-9.52,-10.57,0.992,0.016,-0.002
40034560,55.16,-8.75,-3.64,0.998,0.022,-0.048
40034580,24.29,-1.19,1.82,0.996,0.004,-0.019
40034600,15.47,-1.12,1.26,0.996,-0.001,-0.01
40034610,15.68,-1.47,-0.21,1.004,0.007,-0.017
40034630,23.1,-1.4,-1.33,1.001,-0.002,0.003
40034650,35.7,-4.41,-2.73,1.007,0.006,-0.016
40034670,50.26,-4.62,-3.99,1.006,-0.009,-0.003
40034690,66.64,-7,-7.21,1,0.006,-0.009
40034710,81.55,-8.82,-7.77,0.998,0.002,-0.015
40034730,93.59,-10.43,-9.87,0.997,0.014,-0.024
40034750,102.48,-11.69,-9.24,0.997,0.014,-0.029
40034770,102.97,-11.2,-7.84,0.998,0.017,-0.045
40034790,103.25,-8.89,-6.79,1.001,0.022,-0.041
40034810,115.99,-8.61,-7.49,0.983,0,-0.067
40034820,130.97,-2.8,-13.02,1.009,0.015,-0.036
40034840,130.13,-4.41,-12.95,0.997,0.029,-0.032
40034860,130.62,-9.1,-8.12,0.998,0.031,-0.04
40034880,120.68,-7.91,-6.44,1.007,0.004,-0.075
40034900,87.92,-3.08,-4.48,0.994,0.022,-0.051
40034920,73.15,-3.36,-1.19,0.993,0.017,-0.064
40034940,78.61,-1.05,-3.29,1.007,0.007,-0.055
40034960,82.46,-3.22,-3.43,0.996,0.025,-0.039
40034980,92.75,-6.3,-2.66,0.993,-0.005,-0.074
40035000,99.68,-2.8,-7.49,1.003,0.023,-0.059
40035020,101.64,-4.48,-4.13,1.003,0.024,-0.043
40035040,110.04,-7.21,-4.06,1.002,-0.009,-0.086
40035050,118.16,-3.22,-9.38,0.996,0.018,-0.088
40035070,132.23,-0.35,-8.4,0.996,0.037,-0.075
40035090,153.93,-1.05,-4.2,0.995,0.015,-0.091
40035110,155.05,2.24,-0.14,0.993,0.013,-0.079
40035130,153.02,5.32,-0.77,1.011,-0.015,-0.058
40035150,145.39,3.71,-2.59,0.988,-0.002,-0.088
40035170,149.31,9.03,-3.92,1.011,-0.001,-0.091
40035190,140.84,15.05,-1.75,0.995,0,-0.037
40035210,146.16,9.1,-1.82,1.004,-0.037,-0.048
40035230,144.62,8.33,-6.16,1.002,-0.014,-0.095
40035250,140.7,17.36,-7.84,0.999,-0.01,-0.022
40035270,133.35,10.99,-4.9,0.999,0.002,0.008
40035280,133.35,10.99,-4.9,0.999,0.002,0.008
40035300,129.43,0.49,-1.33,1.006,-0.037,-0.029
40035320,116.83,-0.42,-5.25,1.005,-0.013,-0.027
40035340,106.82,-3.5,-4.97,0.996,-0.012,-0.021
40035360,100.87,-7.21,-2.66,0.997,-0.003,-0.033
40035380,97.3,-10.15,-1.4,1.001,-0.027,-0.06
40035400,93.59,-8.26,-3.36,0.998,-0.028,-0.049
40035420,90.79,-7.77,-3.57,0.99,-0.001,-0.046
40035440,82.53,-7.07,0.42,1.008,-0.035,-0.037
40035460,70.49,-8.68,-0.77,1.006,-0.036,-0.055
40035480,65.03,-8.4,-1.89,1.011,-0.034,-0.059
40035500,64.19,-8.89,-2.94,1.008,-0.044,-0.059
40035510,61.95,-9.87,-5.53,0.996,-0.028,-0.063
40035530,53.62,-8.54,-7.14,0.99,-0.031,-0.076
40035550,40.95,-3.57,-8.82,0.984,-0.014,-0.077
40035570,33.46,0.07,-8.26,0.992,-0.012,-0.065
40035590,28.07,0.77,-6.93,0.997,-0.012,-0.062
40035610,20.86,0.42,-6.37,0.999,-0.009,-0.068
