#Format version: 1.0
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],
39776790,0.63,0.98,-0.7,1.001,-0.003,-0.017,
39776810,0.49,0.56,-0.63,1.001,-0.003,-0.017,
39776830,0.28,0.42,-0.63,1,-0.003,-0.019,
39776850,0.49,0.91,-0.49,1.001,-0.003,-0.016,
39776870,0.35,0.77,-0.35,1,-0.002,-0.015,
39776890,0.14,0,-0.42,1,-0.003,-0.015,
39776910,0,-0.56,-0.63,1.001,-0.003,-0.016,
39776920,0.14,-0.7,-0.49,1.002,-0.002,-0.016,
39776940,0.28,-0.63,-0.28,1.001,-0.002,-0.016,
39776960,0.28,-0.56,-0.07,0.999,-0.002,-0.015,
39776980,0.28,-0.49,-0.14,1.001,-0.003,-0.016,
39777000,0.21,-0.42,-0.42,1.002,-0.003,-0.015,
39777020,0.07,-0.49,-0.98,0.999,-0.002,-0.015,
39777040,0.07,-0.49,-0.98,0.999,-0.002,-0.015,
39777060,0,-0.49,-1.12,1,-0.002,-0.015,
39777080,0,-0.42,-1.05,1.001,-0.002,-0.015,
39777100,-0.07,-0.63,-1.05,1.001,-0.002,-0.014,
39777120,-0.07,-0.63,-1.05,1.002,-0.001,-0.016,
39777140,0.21,-0.14,-0.91,1.001,0,-0.014,
39777160,0.28,0.07,-0.63,1.001,0,-0.015,
39777170,0.42,0.21,-0.42,1.001,-0.001,-0.013,
39777190,0.28,0.07,-0.35,1.001,0,-0.013,
39777210,0.07,0,-0.49,1.002,-0.001,-0.013,
39777230,0.07,-0.07,-0.49,1,-0.002,-0.013,
39777250,0.07,-0.49,-0.28,1.001,-0.001,-0.013,
39777270,0.14,-0.63,-0.21,1,-0.001,-0.014,
39777290,0.21,-0.49,-0.35,1.001,-0.001,-0.013,
39777310,0.21,-0.21,-0.56,1.002,0,-0.013,
39777330,0.07,-0.14,-0.42,1.002,-0.002,-0.012,
